"Date","APU0000712405"
1980-01-01,1.063
1980-02-01,1.062
1980-03-01,1.123
1980-04-01,1.125
1980-05-01,1.039
1980-06-01,1.143
1980-07-01,1.067
1980-08-01,1.069
1980-09-01,1.056
1980-10-01,1.119
1980-11-01,1.172
1980-12-01,1.209
1981-01-01,1.255
1981-02-01,1.163
1981-03-01,1.168
1981-04-01,1.039
1981-05-01,1.061
1981-06-01,0.934
1981-07-01,0.947
1981-08-01,0.974
1981-09-01,1.062
1981-10-01,1.13
1981-11-01,1.138
1981-12-01,1.25
1982-01-01,1.39
1982-02-01,1.458
1982-03-01,1.225
1982-04-01,1.083
1982-05-01,1.066
1982-06-01,1.06
1982-07-01,1.093
1982-08-01,1.247
1982-09-01,1.141
1982-10-01,1.248
1982-11-01,1.318
1982-12-01,1.253
1983-01-01,1.259
1983-02-01,1.29
1983-03-01,1.441
1983-04-01,1.258
1983-05-01,1.163
1983-06-01,1.065
1983-07-01,1.161
1983-08-01,1.25
1983-09-01,1.196
1983-10-01,1.359
1983-11-01,1.365
1983-12-01,1.326
1984-01-01,1.444
1984-02-01,1.657
1984-03-01,1.533
1984-04-01,1.234
1984-05-01,1.129
1984-06-01,1.022
1984-07-01,1.054
1984-08-01,1.076
1984-09-01,1.09
1984-10-01,1.117
1984-11-01,1.3
1984-12-01,1.143
1985-01-01,1.413
1985-02-01,1.453
1985-03-01,1.354
1985-04-01,1.105
1985-05-01,1.117
1985-06-01,1.108
1985-07-01,1.175
1985-08-01,1.12
1985-09-01,1.174
1985-10-01,1.132
1985-11-01,1.232
1985-12-01,1.249
1986-01-01,1.316
1986-02-01,1.047
1986-03-01,1.056
1986-04-01,1.066
1986-05-01,1.118
1986-06-01,1.215
1986-07-01,1.084
1986-08-01,1.133
1986-09-01,0.996
1986-10-01,1.152
1986-11-01,1.108
1986-12-01,1.114
1987-01-01,1.201
1987-02-01,1.34
1987-03-01,1.285
1987-04-01,1.248
1987-05-01,1.192
1987-06-01,1.109
1987-07-01,1.288
