"Date","APU0000FC1101"
1998-01-01,1.846
1998-02-01,1.823
1998-03-01,1.838
1998-04-01,1.83
1998-05-01,1.829
1998-06-01,1.825
1998-07-01,1.834
1998-08-01,1.847
1998-09-01,1.835
1998-10-01,1.845
1998-11-01,1.855
1998-12-01,1.841
1999-01-01,1.849
1999-02-01,1.887
1999-03-01,1.87
1999-04-01,1.884
1999-05-01,1.869
1999-06-01,1.889
1999-07-01,1.861
1999-08-01,1.877
1999-09-01,1.916
1999-10-01,1.925
1999-11-01,1.93
1999-12-01,1.933
2000-01-01,1.942
2000-02-01,1.946
2000-03-01,1.978
2000-04-01,2.005
2000-05-01,2.013
2000-06-01,2.008
2000-07-01,2.019
2000-08-01,2.045
2000-09-01,2.035
2000-10-01,2.025
2000-11-01,2.044
2000-12-01,2.062
2001-01-01,2.101
2001-02-01,2.159
2001-03-01,2.169
2001-04-01,2.193
2001-05-01,2.195
2001-06-01,2.21
2001-07-01,2.183
2001-08-01,2.21
2001-09-01,2.217
2001-10-01,2.236
2001-11-01,2.225
2001-12-01,2.22
2002-01-01,2.211
2002-02-01,2.251
2002-03-01,2.256
2002-04-01,2.252
2002-05-01,2.316
2002-06-01,2.287
2002-07-01,2.3
2002-08-01,2.326
2002-09-01,2.3
2002-10-01,2.351
2002-11-01,2.3
2002-12-01,2.314
2003-01-01,2.315
2003-02-01,2.378
2003-03-01,2.392
2003-04-01,2.423
2003-05-01,2.368
2003-06-01,2.389
2003-07-01,2.399
2003-08-01,2.434
2003-09-01,2.465
2003-10-01,2.494
2003-11-01,2.66
2003-12-01,2.708
2004-01-01,2.702
2004-02-01,2.692
2004-03-01,2.65
2004-04-01,2.646
2004-05-01,2.641
2004-06-01,2.658
2004-07-01,2.653
2004-08-01,2.693
2004-09-01,2.698
2004-10-01,2.702
2004-11-01,2.72
2004-12-01,2.705
2005-01-01,2.712
2005-02-01,2.754
2005-03-01,2.759
2005-04-01,2.775
2005-05-01,2.752
2005-06-01,2.735
2005-07-01,2.719
2005-08-01,2.715
2005-09-01,2.731
2005-10-01,2.726
2005-11-01,2.729
2005-12-01,2.732
2006-01-01,2.742
2006-02-01,2.701
2006-03-01,2.749
2006-04-01,2.735
2006-05-01,2.714
2006-06-01,2.709
2006-07-01,2.66
2006-08-01,2.698
2006-09-01,2.713
2006-10-01,2.71
2006-11-01,2.727
2006-12-01,2.74
2007-01-01,2.73
2007-02-01,2.776
2007-03-01,2.809
2007-04-01,2.824
2007-05-01,2.869
2007-06-01,2.855
2007-07-01,2.843
2007-08-01,2.868
2007-09-01,2.896
2007-10-01,2.893
2007-11-01,2.912
2007-12-01,2.871
2008-01-01,2.902
2008-02-01,2.946
2008-03-01,2.966
2008-04-01,2.953
2008-05-01,2.964
2008-06-01,3.008
2008-07-01,2.987
2008-08-01,3.098
2008-09-01,3.128
2008-10-01,3.167
2008-11-01,3.172
2008-12-01,3.193
2009-01-01,3.157
2009-02-01,3.185
2009-03-01,3.139
2009-04-01,3.133
2009-05-01,3.114
2009-06-01,3.128
2009-07-01,3.028
2009-08-01,3.101
2009-09-01,3.05
2009-10-01,3.05
2009-11-01,3.057
2009-12-01,3.071
2010-01-01,3.065
2010-02-01,3.113
2010-03-01,3.099
2010-04-01,3.15
2010-05-01,3.16
2010-06-01,3.227
2010-07-01,3.225
2010-08-01,3.234
2010-09-01,3.187
2010-10-01,3.266
2010-11-01,3.211
2010-12-01,3.195
2011-01-01,3.277
2011-02-01,3.32
2011-03-01,3.443
2011-04-01,3.427
2011-05-01,3.501
2011-06-01,3.497
2011-07-01,3.528
2011-08-01,3.482
2011-09-01,3.444
2011-10-01,3.505
2011-11-01,3.496
2011-12-01,3.547
2012-01-01,3.6
2012-02-01,3.621
2012-03-01,3.664
2012-04-01,3.663
2012-05-01,3.693
2012-06-01,3.715
2012-07-01,3.747
2012-08-01,3.766
2012-09-01,3.754
2012-10-01,3.759
2012-11-01,3.802
2012-12-01,3.82
2013-01-01,3.841
2013-02-01,3.814
2013-03-01,3.839
2013-04-01,3.823
2013-05-01,3.75
2013-06-01,3.757
2013-07-01,3.79
2013-08-01,3.829
2013-09-01,3.823
2013-10-01,3.823
2013-11-01,3.887
2013-12-01,3.895
2014-01-01,3.897
2014-02-01,4.038
2014-03-01,4.134
2014-04-01,4.226
2014-05-01,4.213
2014-06-01,4.237
2014-07-01,4.224
2014-08-01,4.357
2014-09-01,4.504
2014-10-01,4.565
2014-11-01,4.593
2014-12-01,4.598
