"Date","APU0000FD2101"
1998-01-01,2.082
1998-02-01,2.106
1998-03-01,2.147
1998-04-01,1.973
1998-05-01,2.065
1998-06-01,2.072
1998-07-01,2.114
1998-08-01,2.105
1998-09-01,2.083
1998-10-01,2.075
1998-11-01,2.06
1998-12-01,1.991
1999-01-01,2.009
1999-02-01,1.983
1999-03-01,2.019
1999-04-01,1.926
1999-05-01,1.99
1999-06-01,2.017
1999-07-01,2.074
1999-08-01,2.084
1999-09-01,2.097
1999-10-01,2.182
1999-11-01,2.172
1999-12-01,2.116
2000-01-01,2.01
2000-02-01,2.072
2000-03-01,2.09
2000-04-01,2.082
2000-05-01,2.086
2000-06-01,2.1
2000-07-01,2.157
2000-08-01,2.214
2000-09-01,2.211
2000-10-01,2.263
2000-11-01,2.217
2000-12-01,2.172
2001-01-01,2.109
2001-02-01,2.191
2001-03-01,2.228
2001-04-01,2.135
2001-05-01,2.198
2001-06-01,2.224
2001-07-01,2.245
2001-08-01,2.257
2001-09-01,2.276
2001-10-01,2.305
2001-11-01,2.255
2001-12-01,2.209
2002-01-01,2.225
2002-02-01,2.252
2002-03-01,2.25
2002-04-01,2.205
2002-05-01,2.311
2002-06-01,2.285
2002-07-01,2.27
2002-08-01,2.285
2002-09-01,2.296
2002-10-01,2.269
2002-11-01,2.193
2002-12-01,2.15
2003-01-01,2.11
2003-02-01,2.168
2003-03-01,2.163
2003-04-01,2.097
2003-05-01,2.067
2003-06-01,2.176
2003-07-01,2.172
2003-08-01,2.201
2003-09-01,2.241
2003-10-01,2.206
2003-11-01,2.185
2003-12-01,2.113
2004-01-01,2.073
2004-02-01,2.047
2004-03-01,2.078
2004-04-01,2.044
2004-05-01,2.048
2004-06-01,2.034
2004-07-01,2.059
2004-08-01,2.09
2004-09-01,2.16
2004-10-01,2.281
2004-11-01,2.199
2004-12-01,2.229
2005-01-01,2.242
2005-02-01,2.253
2005-03-01,2.273
2005-04-01,2.35
2005-05-01,2.335
2005-06-01,2.301
2005-07-01,2.323
2005-08-01,2.304
2005-09-01,2.358
2005-10-01,2.368
2005-11-01,2.32
2005-12-01,2.274
2006-01-01,2.21
2006-02-01,2.292
2006-03-01,2.287
2006-04-01,2.255
2006-05-01,2.245
2006-06-01,2.265
2006-07-01,2.343
2006-08-01,2.348
2006-09-01,2.366
2006-10-01,2.397
2006-11-01,2.35
2006-12-01,2.317
2007-01-01,2.301
2007-02-01,2.245
2007-03-01,2.333
2007-04-01,2.235
2007-05-01,2.192
2007-06-01,2.309
2007-07-01,2.385
2007-08-01,2.369
2007-09-01,2.352
2007-10-01,2.304
2007-11-01,2.29
2007-12-01,2.256
2008-01-01,2.235
2008-02-01,2.177
2008-03-01,2.198
2008-04-01,2.264
2008-05-01,2.281
2008-06-01,2.255
2008-07-01,2.33
2008-08-01,2.369
2008-09-01,2.412
2008-10-01,2.456
2008-11-01,2.466
2008-12-01,2.432
2009-01-01,2.465
2009-02-01,2.436
2009-03-01,2.444
2009-04-01,2.308
2009-05-01,2.402
2009-06-01,2.349
2009-07-01,2.37
2009-08-01,2.419
2009-09-01,2.331
2009-10-01,2.307
2009-11-01,2.222
2009-12-01,2.156
2010-01-01,2.231
2010-02-01,2.221
2010-03-01,2.284
2010-04-01,2.281
2010-05-01,2.339
2010-06-01,2.395
2010-07-01,2.447
2010-08-01,2.458
2010-09-01,2.505
2010-10-01,2.56
2010-11-01,2.436
2010-12-01,2.392
2011-01-01,2.487
2011-02-01,2.43
2011-03-01,2.517
2011-04-01,2.444
2011-05-01,2.499
2011-06-01,2.537
2011-07-01,2.498
2011-08-01,2.561
2011-09-01,2.618
2011-10-01,2.632
2011-11-01,2.569
2011-12-01,2.527
2012-01-01,2.511
2012-02-01,2.501
2012-03-01,2.603
2012-04-01,2.589
2012-05-01,2.588
2012-06-01,2.645
2012-07-01,2.681
2012-08-01,2.849
2012-09-01,2.852
2012-10-01,2.825
2012-11-01,2.719
2012-12-01,2.666
2013-01-01,2.693
2013-02-01,2.633
2013-03-01,2.777
2013-04-01,2.69
2013-05-01,2.743
2013-06-01,2.869
2013-07-01,2.837
2013-08-01,2.906
2013-09-01,2.921
2013-10-01,2.947
2013-11-01,2.805
2013-12-01,2.725
2014-01-01,2.794
2014-02-01,2.825
2014-03-01,2.934
2014-04-01,2.847
2014-05-01,2.976
2014-06-01,3.02
2014-07-01,3.125
2014-08-01,3.281
2014-09-01,3.389
2014-10-01,3.433
2014-11-01,3.331
2014-12-01,3.217
2015-01-01,3.211
2015-02-01,3.221
2015-03-01,3.176
2015-04-01,2.971
2015-05-01,3.045
2015-06-01,3.02
