"Date","APU0000FF1101"
2006-01-01,3.307
2006-02-01,3.341
2006-03-01,3.295
2006-04-01,3.308
2006-05-01,3.236
2006-06-01,3.277
2006-07-01,3.209
2006-08-01,3.357
2006-09-01,3.397
2006-10-01,3.28
2006-11-01,3.288
2006-12-01,3.284
2007-01-01,3.274
2007-02-01,3.259
2007-03-01,3.337
2007-04-01,3.371
2007-05-01,3.486
2007-06-01,3.513
2007-07-01,3.509
2007-08-01,3.589
2007-09-01,3.528
2007-10-01,3.421
2007-11-01,3.459
2007-12-01,3.376
2008-01-01,3.392
2008-02-01,3.48
2008-03-01,3.372
2008-04-01,3.502
2008-05-01,3.452
2008-06-01,3.403
2008-07-01,3.42
2008-08-01,3.445
2008-09-01,3.359
2008-10-01,3.343
2008-11-01,3.344
2008-12-01,3.284
2009-01-01,3.299
2009-02-01,3.326
2009-03-01,3.405
2009-04-01,3.388
2009-05-01,3.342
2009-06-01,3.398
2009-07-01,3.32
2009-08-01,3.267
2009-09-01,3.285
2009-10-01,3.33
2009-11-01,3.318
2009-12-01,3.31
2010-01-01,3.251
2010-02-01,3.313
2010-03-01,3.261
2010-04-01,3.245
2010-05-01,3.241
2010-06-01,3.323
2010-07-01,3.309
2010-08-01,3.337
2010-09-01,3.311
2010-10-01,3.389
2010-11-01,3.339
2010-12-01,3.324
2011-01-01,3.209
2011-02-01,3.175
2011-03-01,3.218
2011-04-01,3.291
2011-05-01,3.111
2011-06-01,3.127
2011-07-01,3.253
2011-08-01,3.275
2011-09-01,3.217
2011-10-01,3.102
2011-11-01,3.147
2011-12-01,3.102
2012-01-01,3.145
2012-02-01,3.113
2012-03-01,3.183
2012-04-01,3.173
2012-05-01,3.123
2012-06-01,3.195
2012-07-01,3.36
2012-08-01,3.368
2012-09-01,3.117
2012-10-01,3.428
2012-11-01,3.412
2012-12-01,3.267
2013-01-01,3.381
2013-02-01,3.278
2013-03-01,3.226
2013-04-01,3.266
2013-05-01,3.429
2013-06-01,3.525
2013-07-01,3.55
2013-08-01,3.599
2013-09-01,3.608
2013-10-01,3.652
2013-11-01,3.45
2013-12-01,3.46
2014-01-01,3.427
2014-02-01,3.384
2014-03-01,3.468
2014-04-01,3.392
2014-05-01,3.474
2014-06-01,3.504
2014-07-01,3.444
2014-08-01,3.476
2014-09-01,3.481
2014-10-01,3.486
2014-11-01,3.527
2014-12-01,3.482
2015-01-01,3.438
2015-02-01,3.511
2015-03-01,3.522
2015-04-01,3.504
2015-05-01,3.408
2015-06-01,3.388
2015-07-01,3.378
2015-08-01,3.406
2015-09-01,3.377
2015-10-01,3.356
2015-11-01,3.35
2015-12-01,3.282
2016-01-01,3.251
2016-02-01,3.302
2016-03-01,3.271
2016-04-01,3.251
2016-05-01,3.25
2016-06-01,3.228
2016-07-01,3.21
2016-08-01,3.218
2016-09-01,3.244
2016-10-01,3.305
2016-11-01,3.263
2016-12-01,3.2
2017-01-01,3.218
2017-02-01,3.195
2017-03-01,3.291
2017-04-01,3.289
2017-05-01,3.208
2017-06-01,3.215
2017-07-01,3.189
2017-08-01,3.194
2017-09-01,3.185
2017-10-01,3.141
2017-11-01,3.13
2017-12-01,3.192
2018-01-01,3.073
2018-02-01,3.119
2018-03-01,3.142
2018-04-01,3.238
2018-05-01,3.076
2018-06-01,3.094
2018-07-01,3.116
2018-08-01,2.939
2018-09-01,2.896
2018-10-01,3.047
2018-11-01,3.052
2018-12-01,3.112
2019-01-01,3.063
2019-02-01,3.062
2019-03-01,3.048
2019-04-01,3.014
2019-05-01,3.092
2019-06-01,3.051
2019-07-01,2.975
2019-08-01,2.96
2019-09-01,2.93
2019-10-01,2.948
2019-11-01,2.94
2019-12-01,3.113
2020-01-01,3.059
2020-02-01,3.013
2020-03-01,2.956
2020-04-01,3.158
2020-05-01,3.348
2020-06-01,3.349
2020-07-01,3.221
2020-08-01,3.276
2020-09-01,3.302
2020-10-01,3.29
2020-11-01,3.412
2020-12-01,3.293
2021-01-01,3.26
2021-02-01,3.239
2021-03-01,3.291
2021-04-01,3.406
2021-05-01,3.371
2021-06-01,3.353
2021-07-01,3.5
2021-08-01,3.536
2021-09-01,3.517
2021-10-01,3.589
2021-11-01,3.618
2021-12-01,3.725
2022-01-01,3.726
2022-02-01,3.815
2022-03-01,3.87
2022-04-01,4.096
2022-05-01,4.31
2022-06-01,4.568
2022-07-01,4.608
2022-08-01,4.706
2022-09-01,4.746
2022-10-01,4.67
2022-11-01,4.42
2022-12-01,4.348
2023-01-01,4.315
2023-02-01,4.365
2023-03-01,4.324
2023-04-01,4.405
2023-05-01,4.236
2023-06-01,4.193
2023-07-01,4.141
2023-08-01,4.179
2023-09-01,4.229
2023-10-01,4.222
2023-11-01,4.06
