"Date","APU0000FJ4101"
2018-04-01,1.057
2018-05-01,1.059
2018-06-01,1.061
2018-07-01,1.074
2018-08-01,1.073
2018-09-01,1.066
2018-10-01,1.043
2018-11-01,1.062
2018-12-01,1.077
2019-01-01,1.07
2019-02-01,1.062
2019-03-01,1.102
2019-04-01,1.087
2019-05-01,1.114
2019-06-01,1.126
2019-07-01,1.144
2019-08-01,1.137
2019-09-01,1.15
2019-10-01,1.109
2019-11-01,1.135
2019-12-01,1.148
2020-01-01,1.108
2020-02-01,1.169
2020-03-01,1.176
2020-04-01,1.197
2020-05-01,1.232
2020-06-01,1.237
2020-07-01,1.216
2020-08-01,1.225
2020-09-01,1.2
2020-10-01,1.215
2020-11-01,1.235
2020-12-01,1.254
2021-01-01,1.224
2021-02-01,1.228
2021-03-01,1.197
2021-04-01,1.182
2021-05-01,1.215
2021-06-01,1.209
2021-07-01,1.251
2021-08-01,1.212
2021-09-01,1.228
2021-10-01,1.223
2021-11-01,1.25
2021-12-01,1.265
2022-01-01,1.281
2022-02-01,1.303
2022-03-01,1.35
2022-04-01,1.35
2022-05-01,1.4
2022-06-01,1.366
2022-07-01,1.44
2022-08-01,1.407
2022-09-01,1.441
2022-10-01,1.42
2022-11-01,1.489
2022-12-01,1.472
2023-01-01,1.476
2023-02-01,1.502
2023-03-01,1.526
2023-04-01,1.553
2023-05-01,1.529
2023-06-01,1.516
2023-07-01,1.57
2023-08-01,1.576
2023-09-01,1.555
2023-10-01,1.571
2023-11-01,1.634
