"Date","APU0100FN1101"
2018-04-01,1.646
2018-05-01,1.604
2018-06-01,1.694
2018-07-01,1.533
2018-08-01,1.634
2018-09-01,1.601
2018-10-01,1.576
2018-11-01,1.504
2018-12-01,1.599
2019-01-01,1.738
2019-02-01,1.743
2019-03-01,1.606
2019-04-01,1.471
2019-05-01,NA
2019-06-01,1.542
2019-07-01,1.559
2019-08-01,1.524
2019-09-01,1.526
2019-10-01,1.569
2019-11-01,1.484
2019-12-01,1.418
2020-01-01,1.479
2020-02-01,1.443
2020-03-01,1.44
2020-04-01,1.559
2020-05-01,1.601
2020-06-01,1.491
2020-07-01,1.563
2020-08-01,1.53
2020-09-01,1.432
2020-10-01,1.564
2020-11-01,1.37
2020-12-01,NA
2021-01-01,NA
2021-02-01,NA
2021-03-01,NA
2021-04-01,NA
2021-05-01,NA
2021-06-01,NA
2021-07-01,NA
2021-08-01,NA
2021-09-01,NA
2021-10-01,NA
2021-11-01,NA
2021-12-01,NA
2022-01-01,NA
2022-02-01,NA
2022-03-01,NA
2022-04-01,NA
2022-05-01,NA
2022-06-01,1.933
2022-07-01,1.983
2022-08-01,1.92
2022-09-01,2.07
2022-10-01,2.098
2022-11-01,2.068
2022-12-01,2.051
2023-01-01,2.237
2023-02-01,2.229
2023-03-01,2.015
2023-04-01,2.103
2023-05-01,2.172
2023-06-01,2.154
2023-07-01,2.089
2023-08-01,2.089
2023-09-01,2.074
2023-10-01,2.173
2023-11-01,1.965
