"Date","APU0400FS1101"
2018-04-01,4.398
2018-05-01,4.091
2018-06-01,NA
2018-07-01,NA
2018-08-01,NA
2018-09-01,NA
2018-10-01,NA
2018-11-01,NA
2018-12-01,NA
2019-01-01,NA
2019-02-01,NA
2019-03-01,NA
2019-04-01,NA
2019-05-01,NA
2019-06-01,NA
2019-07-01,NA
2019-08-01,NA
2019-09-01,NA
2019-10-01,NA
2019-11-01,NA
2019-12-01,NA
2020-01-01,NA
2020-02-01,NA
2020-03-01,NA
2020-04-01,NA
2020-05-01,NA
2020-06-01,NA
2020-07-01,NA
2020-08-01,NA
2020-09-01,NA
2020-10-01,NA
2020-11-01,NA
2020-12-01,NA
2021-01-01,NA
2021-02-01,NA
2021-03-01,NA
2021-04-01,NA
2021-05-01,NA
2021-06-01,NA
2021-07-01,4.208
2021-08-01,4.152
2021-09-01,3.994
2021-10-01,3.718
2021-11-01,3.851
2021-12-01,3.772
2022-01-01,3.774
2022-02-01,3.915
2022-03-01,4.354
2022-04-01,4.529
2022-05-01,NA
2022-06-01,4.59
2022-07-01,4.616
2022-08-01,4.834
2022-09-01,5.033
2022-10-01,5.082
2022-11-01,5.07
2022-12-01,5.296
2023-01-01,5.219
2023-02-01,5.129
2023-03-01,5.104
2023-04-01,4.764
2023-05-01,4.85
2023-06-01,4.952
2023-07-01,4.975
2023-08-01,4.726
2023-09-01,4.828
2023-10-01,5.066
2023-11-01,4.936
