"Date","APUA42172601"
1978-11-01,9.166
1978-12-01,9.166
1979-01-01,9.925
1979-02-01,9.925
1979-03-01,9.925
1979-04-01,10.029
1979-05-01,10.615
1979-06-01,11.879
1979-07-01,11.879
1979-08-01,11.879
1979-09-01,11.879
1979-10-01,12.33
1979-11-01,11.684
1979-12-01,12.34
1980-01-01,12.34
1980-02-01,12.821
1980-03-01,12.821
1980-04-01,12.801
1980-05-01,13.759
1980-06-01,13.759
1980-07-01,15.218
1980-08-01,15.218
1980-09-01,15.166
1980-10-01,15.166
1980-11-01,13.819
1980-12-01,13.819
1981-01-01,13.326
1981-02-01,13.326
1981-03-01,13.326
1981-04-01,13.288
1981-05-01,14.705
1981-06-01,14.705
1981-07-01,14.84
1981-08-01,14.817
1981-09-01,14.817
1981-10-01,14.817
1981-11-01,14.612
1981-12-01,14.618
1982-01-01,14.823
1982-02-01,14.823
1982-03-01,14.763
1982-04-01,14.753
1982-05-01,19.278
1982-06-01,19.293
1982-07-01,19.303
1982-08-01,19.348
1982-09-01,19.338
1982-10-01,19.348
1982-11-01,19.258
1982-12-01,19.268
1983-01-01,19.917
1983-02-01,19.841
1983-03-01,19.871
1983-04-01,19.861
1983-05-01,22.572
1983-06-01,24.907
1983-07-01,25.369
1983-08-01,25.533
1983-09-01,25.523
1983-10-01,25.544
1983-11-01,22.049
1983-12-01,22.06
1984-01-01,20.289
1984-02-01,22.029
1984-03-01,22.06
1984-04-01,22.049
1984-05-01,25.552
1984-06-01,25.503
1984-07-01,25.391
1984-08-01,25.391
1984-09-01,25.513
1984-10-01,25.235
1984-11-01,22.038
1984-12-01,20.296
1985-01-01,21.766
1985-02-01,21.312
1985-03-01,21.766
1985-04-01,21.662
1985-05-01,27.103
1985-06-01,22.748
1985-07-01,26.798
1985-08-01,27.103
1985-09-01,NA
1985-10-01,26.596
1985-11-01,17.9
1985-12-01,16.945
1986-01-01,17.706
1986-02-01,17.846
1986-03-01,18.176
1986-04-01,18.071
1986-05-01,26.924
1986-06-01,26.819
1986-07-01,26.923
1986-08-01,26.923
1986-09-01,27.469
1986-10-01,27.573
1986-11-01,17.182
1986-12-01,17.35
1987-01-01,17.378
1987-02-01,17.953
1987-03-01,18.282
1987-04-01,18.176
1987-05-01,29.639
1987-06-01,29.352
1987-07-01,29.457
1987-08-01,29.563
1987-09-01,29.459
1987-10-01,29.459
1987-11-01,18.243
1987-12-01,18.095
1988-01-01,18.243
1988-02-01,18.027
1988-03-01,18.027
1988-04-01,18.027
1988-05-01,28.274
1988-06-01,28.274
1988-07-01,28.275
1988-08-01,28.275
1988-09-01,28.275
1988-10-01,28.275
1988-11-01,18.307
1988-12-01,18.307
1989-01-01,18.64
1989-02-01,18.64
1989-03-01,18.64
1989-04-01,18.64
1989-05-01,27.656
1989-06-01,27.656
1989-07-01,27.656
1989-08-01,27.691
1989-09-01,27.691
1989-10-01,27.691
1989-11-01,18.662
1989-12-01,18.662
1990-01-01,18.662
1990-02-01,19.971
1990-03-01,19.971
1990-04-01,19.976
1990-05-01,27.721
1990-06-01,27.712
1990-07-01,27.726
1990-08-01,27.726
1990-09-01,27.744
1990-10-01,27.744
1990-11-01,20.046
1990-12-01,22.224
1991-01-01,23.779
1991-02-01,23.647
1991-03-01,23.647
1991-04-01,23.484
1991-05-01,30.641
1991-06-01,26.413
1991-07-01,30.664
1991-08-01,30.67
1991-09-01,30.67
1991-10-01,30.67
1991-11-01,23.654
1991-12-01,23.654
1992-01-01,23.099
1992-02-01,22.941
1992-03-01,22.27
1992-04-01,22.27
1992-05-01,26.651
1992-06-01,26.65
1992-07-01,26.65
1992-08-01,26.65
1992-09-01,26.65
1992-10-01,26.65
1992-11-01,22.299
1992-12-01,22.299
1993-01-01,24.13
1993-02-01,24.13
1993-03-01,24.13
1993-04-01,24.278
1993-05-01,28.703
1993-06-01,30.091
1993-07-01,30.115
1993-08-01,30.086
1993-09-01,30.086
1993-10-01,29.746
1993-11-01,25.138
1993-12-01,25.138
1994-01-01,24.632
1994-02-01,24.68
1994-03-01,24.68
1994-04-01,24.68
1994-05-01,29.242
1994-06-01,29.242
1994-07-01,29.308
1994-08-01,29.272
1994-09-01,29.272
1994-10-01,29.232
1994-11-01,24.662
1994-12-01,24.708
1995-01-01,27.157
1995-02-01,27.157
1995-03-01,27.157
1995-04-01,27.157
1995-05-01,31.957
1995-06-01,31.957
1995-07-01,31.98
1995-08-01,31.98
1995-09-01,31.98
1995-10-01,30.139
1995-11-01,11.968
1995-12-01,25.392
1996-01-01,24.792
1996-02-01,24.864
1996-03-01,25.812
1996-04-01,25.812
1996-05-01,30.099
1996-06-01,30.099
1996-07-01,30.099
1996-08-01,30.099
1996-09-01,30.099
1996-10-01,30.099
1996-11-01,25.934
1996-12-01,26.085
1997-01-01,25.835
1997-02-01,25.835
1997-03-01,25.835
1997-04-01,25.835
1997-05-01,30.188
1997-06-01,31.788
1997-07-01,33.215
1997-08-01,32.016
1997-09-01,32.016
1997-10-01,32.887
1997-11-01,32.138
1997-12-01,32.704
1998-01-01,29.507
1998-02-01,28.352
1998-03-01,28.352
1998-04-01,29.779
1998-05-01,29.042
1998-06-01,28.18
1998-07-01,26.857
1998-08-01,28.12
1998-09-01,28.511
1998-10-01,26.759
1998-11-01,26.386
1998-12-01,27.327
1999-01-01,26.028
1999-02-01,25.627
1999-03-01,24.683
1999-04-01,24.09
1999-05-01,27.771
1999-06-01,28.722
1999-07-01,30.294
1999-08-01,31.077
1999-09-01,32.606
1999-10-01,30.896
1999-11-01,28.474
1999-12-01,26.197
2000-01-01,26.921
2000-02-01,28.149
2000-03-01,28.055
2000-04-01,30.098
2000-05-01,34.615
2000-06-01,36.679
