"Date","APUC40072601"
1978-11-01,9.5
1978-12-01,9.529
1979-01-01,8.859
1979-02-01,9.613
1979-03-01,9.638
1979-04-01,10.024
1979-05-01,10.472
1979-06-01,10.456
1979-07-01,11.164
1979-08-01,11.191
1979-09-01,11.245
1979-10-01,11.349
1979-11-01,11.253
1979-12-01,11.223
1980-01-01,11.439
1980-02-01,11.652
1980-03-01,13.142
1980-04-01,12.739
1980-05-01,14.594
1980-06-01,14.639
1980-07-01,14.589
1980-08-01,14.034
1980-09-01,12.981
1980-10-01,13.701
1980-11-01,12.662
1980-12-01,12.744
1981-01-01,13.174
1981-02-01,13.826
1981-03-01,13.771
1981-04-01,14.104
1981-05-01,15.797
1981-06-01,15.808
1981-07-01,15.808
1981-08-01,15.811
1981-09-01,15.707
1981-10-01,16.647
1981-11-01,15.444
1981-12-01,15.444
1982-01-01,15.825
1982-02-01,15.825
1982-03-01,15.825
1982-04-01,15.812
1982-05-01,17.893
1982-06-01,18.234
1982-07-01,18.212
1982-08-01,18.58
1982-09-01,18.58
1982-10-01,20.536
1982-11-01,20.175
1982-12-01,21.054
1983-01-01,21.054
1983-02-01,20.946
1983-03-01,19.462
1983-04-01,19.418
1983-05-01,19.863
1983-06-01,19.538
1983-07-01,20.368
1983-08-01,20.4
1983-09-01,20.4
1983-10-01,18.32
1983-11-01,19.567
1983-12-01,19.567
1984-01-01,19.862
1984-02-01,19.951
1984-03-01,19.897
1984-04-01,19.897
1984-05-01,20.693
1984-06-01,21.932
1984-07-01,22.25
1984-08-01,22.45
1984-09-01,23.165
1984-10-01,23.076
1984-11-01,23.489
1984-12-01,21.886
1985-01-01,21.389
1985-02-01,18.147
1985-03-01,25.005
1985-04-01,25.004
1985-05-01,24.078
1985-06-01,25.578
1985-07-01,25.567
1985-08-01,25.417
1985-09-01,NA
1985-10-01,24.652
1985-11-01,23.047
1985-12-01,21.893
1986-01-01,23.059
1986-02-01,23.082
1986-03-01,23.096
1986-04-01,22.584
1986-05-01,22.981
1986-06-01,22.921
1986-07-01,22.808
1986-08-01,22.808
1986-09-01,22.089
1986-10-01,22.101
1986-11-01,21.668
1986-12-01,21.668
1987-01-01,21.133
1987-02-01,20.914
1987-03-01,20.833
1987-04-01,20.839
1987-05-01,19.834
1987-06-01,20.566
1987-07-01,20.539
1987-08-01,19.878
1987-09-01,19.836
1987-10-01,20.008
1987-11-01,20.577
1987-12-01,20.577
1988-01-01,20.621
1988-02-01,20.55
1988-03-01,20.605
1988-04-01,20.674
1988-05-01,23.61
1988-06-01,22.72
1988-07-01,22.748
1988-08-01,22.771
1988-09-01,18.686
1988-10-01,22.182
1988-11-01,20.178
1988-12-01,20.207
1989-01-01,20.303
1989-02-01,21.163
1989-03-01,21.244
1989-04-01,21.139
1989-05-01,22.703
1989-06-01,23.013
1989-07-01,23.043
1989-08-01,23.312
1989-09-01,23.282
1989-10-01,24.145
1989-11-01,21.573
1989-12-01,21.092
1990-01-01,21.194
1990-02-01,21.112
1990-03-01,21.112
1990-04-01,21.082
1990-05-01,23.684
1990-06-01,22.738
1990-07-01,22.766
1990-08-01,22.831
1990-09-01,22.805
1990-10-01,23.663
1990-11-01,21.606
1990-12-01,22.088
1991-01-01,19.524
1991-02-01,22.238
1991-03-01,22.615
1991-04-01,22.478
1991-05-01,23.532
1991-06-01,23.596
1991-07-01,23.623
1991-08-01,23.623
1991-09-01,23.503
1991-10-01,23.531
1991-11-01,22.385
1991-12-01,22.332
1992-01-01,22.637
1992-02-01,19.916
1992-03-01,22.637
1992-04-01,21.374
1992-05-01,23.541
1992-06-01,23.581
1992-07-01,23.606
1992-08-01,22.579
1992-09-01,23.326
1992-10-01,23.352
1992-11-01,22.045
1992-12-01,22.192
1993-01-01,22.305
1993-02-01,22.222
1993-03-01,22.305
1993-04-01,21.007
1993-05-01,22.09
1993-06-01,22.441
1993-07-01,22.441
1993-08-01,22.287
1993-09-01,22.372
1993-10-01,22.397
1993-11-01,22.219
1993-12-01,22.178
1994-01-01,22.425
1994-02-01,22.34
1994-03-01,22.425
1994-04-01,21.047
1994-05-01,22.15
1994-06-01,22.123
1994-07-01,22.112
1994-08-01,22.675
1994-09-01,22.444
1994-10-01,22.471
1994-11-01,22.264
1994-12-01,22.291
1995-01-01,22.696
1995-02-01,22.633
1995-03-01,22.7
1995-04-01,22.669
1995-05-01,22.993
1995-06-01,22.989
1995-07-01,22.925
1995-08-01,22.916
1995-09-01,22.894
1995-10-01,22.444
1995-11-01,22.391
1995-12-01,22.414
1996-01-01,21.825
1996-02-01,21.76
1996-03-01,16.99
1996-04-01,15.573
1996-05-01,20.791
1996-06-01,21.386
1996-07-01,21.411
1996-08-01,21.527
1996-09-01,21.503
1996-10-01,21.506
1996-11-01,21.88
1996-12-01,21.958
1997-01-01,22.271
1997-02-01,22.178
1997-03-01,22.133
1997-04-01,21.107
1997-05-01,22.458
1997-06-01,22.76
1997-07-01,23.326
1997-08-01,23.492
1997-09-01,23.447
1997-10-01,23.447
1997-11-01,24.821
1997-12-01,24.824
