"Date","APUS37A74714"
1978-01-01,0.598
1978-02-01,0.6
1978-03-01,0.598
1978-04-01,0.598
1978-05-01,0.599
1978-06-01,0.608
1978-07-01,0.616
1978-08-01,0.627
1978-09-01,0.632
1978-10-01,0.635
1978-11-01,0.64
1978-12-01,0.651
1979-01-01,0.66
1979-02-01,0.672
1979-03-01,0.694
1979-04-01,0.737
1979-05-01,0.775
1979-06-01,0.837
1979-07-01,0.88
1979-08-01,0.918
1979-09-01,0.93
1979-10-01,0.94
1979-11-01,0.96
1979-12-01,0.993
1980-01-01,1.058
1980-02-01,1.136
1980-03-01,1.193
1980-04-01,1.208
1980-05-01,1.209
1980-06-01,1.215
1980-07-01,1.211
1980-08-01,1.21
1980-09-01,1.204
1980-10-01,1.196
1980-11-01,1.191
1980-12-01,1.206
1981-01-01,1.237
1981-02-01,1.321
1981-03-01,1.366
1981-04-01,1.367
1981-05-01,1.356
1981-06-01,1.349
1981-07-01,1.301
1981-08-01,1.284
1981-09-01,1.28
1981-10-01,1.275
1981-11-01,1.275
1981-12-01,1.275
1982-01-01,1.273
1982-02-01,1.255
1982-03-01,1.204
1982-04-01,1.117
1982-05-01,1.132
1982-06-01,1.217
1982-07-01,1.248
1982-08-01,1.239
1982-09-01,1.227
1982-10-01,1.211
1982-11-01,1.199
1982-12-01,1.186
1983-01-01,1.154
1983-02-01,1.106
1983-03-01,1.08
1983-04-01,1.131
1983-05-01,1.165
1983-06-01,1.176
1983-07-01,1.189
1983-08-01,1.191
1983-09-01,1.188
1983-10-01,1.183
1983-11-01,1.175
1983-12-01,1.158
1984-01-01,1.148
1984-02-01,1.139
1984-03-01,1.135
1984-04-01,1.145
1984-05-01,1.148
1984-06-01,1.149
1984-07-01,1.148
1984-08-01,1.193
1984-09-01,1.202
1984-10-01,1.197
1984-11-01,1.178
1984-12-01,1.169
1985-01-01,1.109
1985-02-01,1.087
1985-03-01,1.085
1985-04-01,1.12
1985-05-01,1.165
1985-06-01,1.178
1985-07-01,1.184
1985-08-01,1.182
1985-09-01,1.178
1985-10-01,1.172
1985-11-01,1.124
1985-12-01,1.118
1986-01-01,1.115
1986-02-01,1.082
1986-03-01,0.958
1986-04-01,0.801
1986-05-01,0.786
1986-06-01,0.819
1986-07-01,0.794
1986-08-01,0.742
1986-09-01,0.74
1986-10-01,0.723
1986-11-01,0.702
1986-12-01,0.708
1987-01-01,0.797
1987-02-01,0.841
1987-03-01,0.837
1987-04-01,0.859
1987-05-01,0.867
1987-06-01,0.88
1987-07-01,0.897
1987-08-01,0.924
1987-09-01,0.925
1987-10-01,0.922
1987-11-01,0.915
1987-12-01,0.913
1988-01-01,0.897
1988-02-01,0.893
1988-03-01,0.872
1988-04-01,0.87
1988-05-01,0.883
1988-06-01,0.878
1988-07-01,0.884
1988-08-01,0.902
1988-09-01,0.913
1988-10-01,0.901
1988-11-01,0.884
1988-12-01,0.877
1989-01-01,0.856
1989-02-01,0.852
1989-03-01,0.854
1989-04-01,0.958
1989-05-01,1.029
1989-06-01,1.019
1989-07-01,0.998
1989-08-01,0.968
1989-09-01,0.936
1989-10-01,0.937
1989-11-01,0.922
1989-12-01,0.909
1990-01-01,0.95
1990-02-01,0.959
1990-03-01,0.944
1990-04-01,0.962
1990-05-01,0.988
1990-06-01,1.022
1990-07-01,1.02
1990-08-01,1.063
1990-09-01,1.196
1990-10-01,1.3
1990-11-01,1.365
1990-12-01,1.349
1991-01-01,1.244
1991-02-01,1.132
1991-03-01,1.062
1991-04-01,1.035
1991-05-01,1.119
1991-06-01,1.134
1991-07-01,1.098
1991-08-01,1.109
1991-09-01,1.111
1991-10-01,1.123
1991-11-01,1.13
1991-12-01,1.128
1992-01-01,1.073
1992-02-01,1.034
1992-03-01,1.035
1992-04-01,1.061
1992-05-01,1.102
1992-06-01,1.15
1992-07-01,1.152
1992-08-01,1.144
1992-09-01,1.132
1992-10-01,1.121
1992-11-01,1.116
1992-12-01,1.107
1993-01-01,1.073
1993-02-01,1.044
1993-03-01,1.048
1993-04-01,1.044
1993-05-01,1.073
1993-06-01,1.085
1993-07-01,1.078
1993-08-01,1.078
1993-09-01,1.051
1993-10-01,1.085
1993-11-01,1.057
1993-12-01,1.032
1994-01-01,0.998
1994-02-01,0.987
1994-03-01,0.985
1994-04-01,1.007
1994-05-01,1.022
1994-06-01,1.038
1994-07-01,1.058
1994-08-01,1.127
1994-09-01,1.143
1994-10-01,1.132
1994-11-01,1.135
1994-12-01,1.154
1995-01-01,1.148
1995-02-01,1.132
1995-03-01,1.119
1995-04-01,1.117
1995-05-01,1.155
1995-06-01,1.189
1995-07-01,1.172
1995-08-01,1.134
1995-09-01,1.106
1995-10-01,1.074
1995-11-01,1.018
1995-12-01,1.02
1996-01-01,1.048
1996-02-01,1.038
1996-03-01,1.085
1996-04-01,1.221
1996-05-01,1.255
1996-06-01,1.236
1996-07-01,1.186
1996-08-01,1.152
1996-09-01,1.156
1996-10-01,1.15
1996-11-01,1.163
1996-12-01,1.173
1997-01-01,1.172
1997-02-01,1.172
1997-03-01,1.162
1997-04-01,1.155
1997-05-01,1.144
1997-06-01,1.146
1997-07-01,1.126
1997-08-01,1.159
1997-09-01,1.181
1997-10-01,1.157
1997-11-01,1.12
1997-12-01,1.101
1998-01-01,1.054
1998-02-01,1.012
1998-03-01,0.984
1998-04-01,0.984
1998-05-01,0.988
1998-06-01,0.988
1998-07-01,0.98
1998-08-01,0.966
1998-09-01,0.946
1998-10-01,0.957
1998-11-01,0.956
1998-12-01,0.931
1999-01-01,0.899
1999-02-01,0.887
1999-03-01,0.899
1999-04-01,1.027
1999-05-01,1.06
1999-06-01,1.058
1999-07-01,1.081
1999-08-01,1.142
1999-09-01,1.177
1999-10-01,1.218
1999-11-01,1.204
1999-12-01,1.239
2000-01-01,1.239
2000-02-01,1.295
2000-03-01,1.457
2000-04-01,1.465
2000-05-01,1.434
2000-06-01,1.508
2000-07-01,1.548
2000-08-01,1.455
2000-09-01,1.456
2000-10-01,1.443
2000-11-01,1.427
2000-12-01,1.373
2001-01-01,1.341
2001-02-01,1.393
2001-03-01,1.354
2001-04-01,1.496
2001-05-01,1.63
2001-06-01,1.597
2001-07-01,1.388
2001-08-01,1.302
2001-09-01,1.374
2001-10-01,1.27
2001-11-01,1.107
2001-12-01,1.009
2002-01-01,1.039
2002-02-01,1.051
2002-03-01,1.155
2002-04-01,1.359
2002-05-01,1.368
2002-06-01,1.322
2002-07-01,1.314
2002-08-01,1.315
2002-09-01,1.324
2002-10-01,1.381
2002-11-01,1.349
2002-12-01,1.306
2003-01-01,1.411
2003-02-01,1.579
2003-03-01,1.605
2003-04-01,1.489
2003-05-01,1.405
2003-06-01,1.403
2003-07-01,1.444
2003-08-01,1.531
2003-09-01,1.509
2003-10-01,1.427
2003-11-01,1.384
2003-12-01,1.372
2004-01-01,1.53
2004-02-01,1.569
2004-03-01,1.622
2004-04-01,1.695
2004-05-01,1.895
2004-06-01,1.878
2004-07-01,1.812
2004-08-01,1.802
2004-09-01,1.802
2004-10-01,1.852
2004-11-01,1.872
2004-12-01,1.769
2005-01-01,1.696
2005-02-01,1.813
2005-03-01,1.884
2005-04-01,2.148
2005-05-01,2.11
2005-06-01,2.05
2005-07-01,2.193
2005-08-01,2.341
2005-09-01,2.883
2005-10-01,2.893
2005-11-01,2.26
2005-12-01,2.065
2006-01-01,2.249
2006-02-01,2.253
2006-03-01,2.287
2006-04-01,2.714
2006-05-01,2.901
2006-06-01,2.811
2006-07-01,2.877
2006-08-01,2.884
2006-09-01,2.419
2006-10-01,2.06
2006-11-01,2.069
2006-12-01,2.158
2007-01-01,2.109
2007-02-01,2.047
2007-03-01,2.351
2007-04-01,2.669
2007-05-01,2.886
2007-06-01,2.926
2007-07-01,2.83
2007-08-01,2.671
2007-09-01,2.599
2007-10-01,2.616
2007-11-01,2.884
2007-12-01,2.805
2008-01-01,2.877
2008-02-01,2.837
2008-03-01,3.121
2008-04-01,3.282
2008-05-01,3.613
2008-06-01,3.892
2008-07-01,3.931
2008-08-01,3.61
2008-09-01,3.538
2008-10-01,3.096
2008-11-01,1.951
2008-12-01,1.554
2009-01-01,1.609
2009-02-01,1.741
2009-03-01,1.793
2009-04-01,1.953
2009-05-01,2.062
2009-06-01,2.463
2009-07-01,2.331
2009-08-01,2.44
2009-09-01,2.309
2009-10-01,2.321
2009-11-01,2.45
2009-12-01,2.435
2010-01-01,2.507
2010-02-01,2.429
2010-03-01,2.619
2010-04-01,2.707
2010-05-01,2.761
2010-06-01,2.542
2010-07-01,2.525
2010-08-01,2.515
2010-09-01,2.462
2010-10-01,2.616
2010-11-01,2.598
2010-12-01,2.782
2011-01-01,2.896
2011-02-01,2.932
2011-03-01,3.393
2011-04-01,3.685
2011-05-01,3.79
2011-06-01,3.513
2011-07-01,3.522
2011-08-01,3.51
2011-09-01,3.338
2011-10-01,3.157
2011-11-01,3.149
2011-12-01,3.004
2012-01-01,3.18
2012-02-01,3.468
2012-03-01,3.712
2012-04-01,3.796
2012-05-01,3.526
2012-06-01,3.257
2012-07-01,3.249
2012-08-01,3.464
2012-09-01,3.59
2012-10-01,3.442
2012-11-01,3.102
2012-12-01,3.033
2013-01-01,3.19
2013-02-01,3.542
2013-03-01,3.611
2013-04-01,3.452
2013-05-01,3.447
2013-06-01,3.442
2013-07-01,3.514
2013-08-01,3.459
2013-09-01,3.263
2013-10-01,3.161
2013-11-01,3.014
2013-12-01,3.071
2014-01-01,3.141
2014-02-01,3.209
2014-03-01,3.365
2014-04-01,3.532
2014-05-01,3.463
2014-06-01,3.533
2014-07-01,3.463
2014-08-01,3.276
2014-09-01,3.193
2014-10-01,2.939
2014-11-01,2.636
2014-12-01,2.212
2015-01-01,1.852
2015-02-01,2.103
2015-03-01,2.221
2015-04-01,2.331
2015-05-01,2.544
2015-06-01,2.671
2015-07-01,2.511
2015-08-01,2.308
2015-09-01,2.013
2015-10-01,1.994
2015-11-01,1.892
2015-12-01,1.819
2016-01-01,1.683
2016-02-01,1.543
2016-03-01,1.83
2016-04-01,1.917
2016-05-01,2.029
2016-06-01,2.139
2016-07-01,2.015
2016-08-01,1.956
2016-09-01,1.921
2016-10-01,2.013
2016-11-01,1.977
2016-12-01,1.999
2017-01-01,2.125
2017-02-01,2.028
2017-03-01,2.098
2017-04-01,2.248
2017-05-01,2.163
2017-06-01,2.169
2017-07-01,2.086
2017-08-01,2.202
2017-09-01,2.5
2017-10-01,2.213
2017-11-01,2.265
2017-12-01,2.164
2018-01-01,2.228
2018-02-01,2.19
2018-03-01,2.288
2018-04-01,2.466
2018-05-01,2.677
2018-06-01,2.718
2018-07-01,2.578
2018-08-01,2.557
2018-09-01,2.59
2018-10-01,2.575
2018-11-01,2.222
2018-12-01,1.915
2019-01-01,1.847
2019-02-01,1.986
2019-03-01,2.287
2019-04-01,2.558
2019-05-01,2.558
2019-06-01,2.353
2019-07-01,2.503
2019-08-01,2.287
2019-09-01,2.3
2019-10-01,2.202
2019-11-01,2.237
2019-12-01,2.167
2020-01-01,2.185
2020-02-01,2.005
2020-03-01,1.87
2020-04-01,1.368
