"Date","APUS37B74714"
1978-01-01,0.595
1978-02-01,0.594
1978-03-01,0.593
1978-04-01,0.593
1978-05-01,0.597
1978-06-01,0.605
1978-07-01,0.612
1978-08-01,0.62
1978-09-01,0.631
1978-10-01,0.632
1978-11-01,0.637
1978-12-01,0.646
1979-01-01,0.662
1979-02-01,0.676
1979-03-01,0.695
1979-04-01,0.733
1979-05-01,0.776
1979-06-01,0.84
1979-07-01,0.893
1979-08-01,0.905
1979-09-01,0.943
1979-10-01,0.947
1979-11-01,0.961
1979-12-01,0.983
1980-01-01,1.056
1980-02-01,1.145
1980-03-01,1.192
1980-04-01,1.204
1980-05-01,1.206
1980-06-01,1.213
1980-07-01,1.218
1980-08-01,1.212
1980-09-01,1.196
1980-10-01,1.186
1980-11-01,1.18
1980-12-01,1.192
1981-01-01,1.231
1981-02-01,1.316
1981-03-01,1.354
1981-04-01,1.35
1981-05-01,1.34
1981-06-01,1.336
1981-07-01,1.317
1981-08-01,1.305
1981-09-01,1.305
1981-10-01,1.3
1981-11-01,1.3
1981-12-01,1.303
1982-01-01,1.288
1982-02-01,1.273
1982-03-01,1.21
1982-04-01,1.143
1982-05-01,1.166
1982-06-01,1.255
1982-07-01,1.25
1982-08-01,1.234
1982-09-01,1.203
1982-10-01,1.19
1982-11-01,1.174
1982-12-01,1.16
1983-01-01,1.135
1983-02-01,1.092
1983-03-01,1.051
1983-04-01,1.112
1983-05-01,1.147
1983-06-01,1.163
1983-07-01,1.169
1983-08-01,1.159
1983-09-01,1.158
1983-10-01,1.149
1983-11-01,1.135
1983-12-01,1.115
1984-01-01,1.097
1984-02-01,1.098
1984-03-01,1.099
1984-04-01,1.108
1984-05-01,1.109
1984-06-01,1.112
1984-07-01,1.102
1984-08-01,1.145
1984-09-01,1.146
1984-10-01,1.14
1984-11-01,1.126
1984-12-01,1.105
1985-01-01,1.053
1985-02-01,1.023
1985-03-01,1.046
1985-04-01,1.095
1985-05-01,1.123
1985-06-01,1.136
1985-07-01,1.132
1985-08-01,1.123
1985-09-01,1.108
1985-10-01,1.084
1985-11-01,1.089
1985-12-01,1.09
1986-01-01,1.082
1986-02-01,1.027
1986-03-01,0.868
1986-04-01,0.739
1986-05-01,0.744
1986-06-01,0.803
1986-07-01,0.752
1986-08-01,0.702
1986-09-01,0.725
1986-10-01,0.709
1986-11-01,0.697
1986-12-01,0.704
1987-01-01,0.806
1987-02-01,0.86
1987-03-01,0.852
1987-04-01,0.875
1987-05-01,0.883
1987-06-01,0.893
1987-07-01,0.905
1987-08-01,0.911
1987-09-01,0.916
1987-10-01,0.896
1987-11-01,0.884
1987-12-01,0.876
1988-01-01,0.859
1988-02-01,0.843
1988-03-01,0.829
1988-04-01,0.836
1988-05-01,0.859
1988-06-01,0.861
1988-07-01,0.879
1988-08-01,0.912
1988-09-01,0.904
1988-10-01,0.893
1988-11-01,0.889
1988-12-01,0.886
1989-01-01,0.872
1989-02-01,0.873
1989-03-01,0.876
1989-04-01,0.969
1989-05-01,1.022
1989-06-01,1.025
1989-07-01,1.017
1989-08-01,0.993
1989-09-01,0.974
