"Date","APUS49C72610"
2018-01-01,0.212
2018-02-01,0.212
2018-03-01,0.212
2018-04-01,0.211
2018-05-01,0.211
2018-06-01,0.197
2018-07-01,0.197
2018-08-01,0.197
2018-09-01,0.177
2018-10-01,0.211
2018-11-01,0.208
2018-12-01,0.208
2019-01-01,0.211
2019-02-01,0.211
2019-03-01,0.209
2019-04-01,0.21
2019-05-01,0.21
2019-06-01,0.192
2019-07-01,0.192
2019-08-01,0.186
2019-09-01,0.186
2019-10-01,0.211
2019-11-01,0.171
2019-12-01,0.171
2020-01-01,0.176
2020-02-01,0.176
2020-03-01,0.176
2020-04-01,0.175
2020-05-01,0.186
2020-06-01,0.179
2020-07-01,0.179
2020-08-01,0.179
2020-09-01,0.179
2020-10-01,0.196
2020-11-01,0.196
2020-12-01,0.196
2021-01-01,0.196
2021-02-01,0.211
2021-03-01,0.211
2021-04-01,0.214
2021-05-01,0.213
2021-06-01,0.204
2021-07-01,0.204
2021-08-01,0.205
2021-09-01,0.207
2021-10-01,0.238
2021-11-01,0.238
2021-12-01,0.238
2022-01-01,0.244
2022-02-01,0.244
2022-03-01,0.262
2022-04-01,0.253
2022-05-01,0.256
2022-06-01,0.241
2022-07-01,0.241
2022-08-01,0.241
2022-09-01,0.242
2022-10-01,0.264
2022-11-01,0.264
2022-12-01,0.264
2023-01-01,0.282
2023-02-01,0.284
2023-03-01,0.279
2023-04-01,0.275
2023-05-01,0.276
2023-06-01,0.275
2023-07-01,0.274
2023-08-01,0.274
2023-09-01,0.276
2023-10-01,0.295
2023-11-01,0.295
