"Date","APUS49C7471A"
2018-01-01,3.213
2018-02-01,3.373
2018-03-01,3.436
2018-04-01,3.566
2018-05-01,3.693
2018-06-01,3.587
2018-07-01,3.503
2018-08-01,3.424
2018-09-01,3.455
2018-10-01,3.689
2018-11-01,3.533
2018-12-01,3.269
2019-01-01,3.131
2019-02-01,3.128
2019-03-01,3.267
2019-04-01,3.764
2019-05-01,3.941
2019-06-01,3.667
2019-07-01,3.553
2019-08-01,3.416
2019-09-01,3.553
2019-10-01,4.001
2019-11-01,3.829
2019-12-01,3.517
2020-01-01,3.39
2020-02-01,3.367
2020-03-01,3.194
2020-04-01,2.682
2020-05-01,2.633
2020-06-01,2.864
2020-07-01,2.984
2020-08-01,3.047
2020-09-01,3.058
2020-10-01,3.014
2020-11-01,2.982
2020-12-01,2.991
2021-01-01,3.111
2021-02-01,3.328
2021-03-01,3.665
2021-04-01,3.781
2021-05-01,3.929
2021-06-01,4.235
2021-07-01,4.32
2021-08-01,4.366
2021-09-01,4.379
2021-10-01,4.459
2021-11-01,4.638
2021-12-01,4.68
2022-01-01,4.668
2022-02-01,4.748
2022-03-01,5.732
2022-04-01,5.847
2022-05-01,5.957
2022-06-01,6.321
2022-07-01,5.958
2022-08-01,5.355
2022-09-01,5.464
2022-10-01,6
2022-11-01,5.32
2022-12-01,4.489
2023-01-01,4.459
2023-02-01,4.674
2023-03-01,4.88
2023-04-01,4.894
2023-05-01,4.852
2023-06-01,4.883
2023-07-01,4.918
2023-08-01,5.211
2023-09-01,5.711
2023-10-01,5.695
2023-11-01,5.021
