"Date","APUS49E72611"
1978-11-01,20.874
1978-12-01,20.874
1979-01-01,20.874
1979-02-01,22.492
1979-03-01,22.492
1979-04-01,22.492
1979-05-01,22.492
1979-06-01,26.237
1979-07-01,30.943
1979-08-01,30.943
1979-09-01,30.943
1979-10-01,30.943
1979-11-01,30.943
1979-12-01,30.943
1980-01-01,29.639
1980-02-01,29.639
1980-03-01,29.639
1980-04-01,29.639
1980-05-01,29.639
1980-06-01,31.741
1980-07-01,35.931
1980-08-01,35.931
1980-09-01,35.931
1980-10-01,35.931
1980-11-01,31.493
1980-12-01,31.493
1981-01-01,36.049
1981-02-01,36.251
1981-03-01,36.251
1981-04-01,36.251
1981-05-01,43.075
1981-06-01,43.075
1981-07-01,43.075
1981-08-01,43.075
1981-09-01,43.075
1981-10-01,44.97
1981-11-01,38.312
1981-12-01,38.312
1982-01-01,41.471
1982-02-01,41.471
1982-03-01,41.471
1982-04-01,41.471
1982-05-01,66.509
1982-06-01,66.509
1982-07-01,66.509
1982-08-01,66.509
1982-09-01,66.489
1982-10-01,73.046
1982-11-01,51.259
1982-12-01,51.259
1983-01-01,56.156
1983-02-01,56.66
1983-03-01,56.66
1983-04-01,56.66
1983-05-01,75.087
1983-06-01,75.087
1983-07-01,86.722
1983-08-01,86.722
1983-09-01,86.722
1983-10-01,86.428
1983-11-01,75.796
1983-12-01,75.796
1984-01-01,78.513
1984-02-01,78.513
1984-03-01,77.583
1984-04-01,77.583
1984-05-01,87.353
1984-06-01,87.353
1984-07-01,87.393
1984-08-01,86.001
1984-09-01,85.923
1984-10-01,85.923
1984-11-01,78.261
1984-12-01,71.493
1985-01-01,47.163
1985-02-01,65.093
1985-03-01,65.093
1985-04-01,65.093
1985-05-01,80.918
1985-06-01,80.578
1985-07-01,80.918
1985-08-01,76.268
1985-09-01,NA
1985-10-01,76.268
1985-11-01,61.173
1985-12-01,61.173
1986-01-01,56.589
1986-02-01,56.589
1986-03-01,56.589
1986-04-01,56.589
1986-05-01,68.128
1986-06-01,68.128
1986-07-01,68.128
1986-08-01,68.128
1986-09-01,78.548
1986-10-01,78.548
1986-11-01,61.753
1986-12-01,61.753
