"Date","APUS49F74713"
1978-01-01,0.762
1978-02-01,0.767
1978-03-01,0.768
1978-04-01,0.771
1978-05-01,0.78
1978-06-01,0.793
1978-07-01,0.795
1978-08-01,0.809
1978-09-01,0.813
1978-10-01,0.812
1978-11-01,0.818
1978-12-01,0.821
1979-01-01,0.825
1979-02-01,0.839
1979-03-01,0.859
1979-04-01,0.899
1979-05-01,0.931
1979-06-01,0.97
1979-07-01,1.009
1979-08-01,1.064
1979-09-01,1.122
1979-10-01,1.131
1979-11-01,1.128
1979-12-01,1.175
1980-01-01,1.225
1980-02-01,1.32
1980-03-01,1.367
1980-04-01,1.387
1980-05-01,1.377
1980-06-01,1.383
1980-07-01,1.401
1980-08-01,1.43
1980-09-01,1.427
1980-10-01,1.427
1980-11-01,1.434
1980-12-01,1.441
1981-01-01,1.464
1981-02-01,1.547
1981-03-01,1.588
1981-04-01,1.596
1981-05-01,1.606
1981-06-01,1.619
1981-07-01,1.625
1981-08-01,1.627
1981-09-01,1.628
1981-10-01,1.628
1981-11-01,1.628
1981-12-01,1.621
1982-01-01,1.633
1982-02-01,1.628
1982-03-01,1.611
1982-04-01,1.552
1982-05-01,1.544
1982-06-01,1.556
1982-07-01,1.58
1982-08-01,1.58
1982-09-01,1.577
1982-10-01,1.574
1982-11-01,1.569
1982-12-01,1.566
1983-01-01,1.558
1983-02-01,1.517
1983-03-01,1.459
1983-04-01,1.494
1983-05-01,1.501
1983-06-01,1.506
1983-07-01,1.52
1983-08-01,1.537
1983-09-01,1.534
1983-10-01,1.534
1983-11-01,1.532
1983-12-01,1.53
