"Date","CORESTICKM679SFRBATL"
1967-03-01,2.228275524
1967-04-01,2.516627969
1967-05-01,2.481061362
1967-06-01,3.543354523
1967-07-01,3.704667322
1967-08-01,3.766230489
1967-09-01,3.463165208
1967-10-01,3.639157643
1967-11-01,3.924681707
1967-12-01,4.30997643
1968-01-01,4.791996643
1968-02-01,4.567160618
1968-03-01,5.300655092
1968-04-01,4.530759154
1968-05-01,4.134479797
1968-06-01,5.167050725
1968-07-01,6.118559429
1968-08-01,7.248181179
1968-09-01,5.072551452
1968-10-01,5.359130661
1968-11-01,5.737476209
1968-12-01,7.376334783
1969-01-01,7.071231807
1969-02-01,5.979718214
1969-03-01,6.977894705
1969-04-01,7.562488203
1969-05-01,8.251208192
1969-06-01,6.156277203
1969-07-01,5.643236202
1969-08-01,5.773796414
1969-09-01,6.896316877
1969-10-01,6.03310658
1969-11-01,5.822230998
1969-12-01,5.675442352
1970-01-01,7.286623473
1970-02-01,8.550392225
1970-03-01,9.433031508
1970-04-01,8.481957655
1970-05-01,7.82490314
1970-06-01,6.795520559
1970-07-01,6.403448557
1970-08-01,6.442207051
1970-09-01,6.616867116
1970-10-01,6.231487198
1970-11-01,6.703188276
1970-12-01,6.70441884
1971-01-01,7.068351173
1971-02-01,4.498327335
1971-03-01,2.094179498
1971-04-01,1.736079787
1971-05-01,2.781509071
1971-06-01,5.74579797
1971-07-01,5.843949155
1971-08-01,5.850698477
1971-09-01,4.343411067
1971-10-01,3.082944511
1971-11-01,2.815560639
1971-12-01,2.68821021
1972-01-01,4.405681444
1972-02-01,4.040726717
1972-03-01,3.561112522
1972-04-01,2.661191114
1972-05-01,2.845131116
1972-06-01,3.430887611
1972-07-01,3.786113968
1972-08-01,3.826987785
1972-09-01,2.873734896
1972-10-01,2.535378925
1972-11-01,2.420285326
1972-12-01,2.75254543
1973-01-01,2.414841678
1973-02-01,2.458861922
1973-03-01,2.681507583
1973-04-01,3.416642747
1973-05-01,4.027634108
1973-06-01,4.115695102
1973-07-01,3.713358343
1973-08-01,4.425337684
1973-09-01,6.30192828
1973-10-01,9.711774194
1973-11-01,8.952725582
1973-12-01,8.265785673
1974-01-01,6.710775585
1974-02-01,7.895967176
1974-03-01,8.704369059
1974-04-01,8.440690589
1974-05-01,9.803019253
1974-06-01,11.348608711
1974-07-01,13.459560176
1974-08-01,13.964606836
1974-09-01,14.271197278
1974-10-01,13.93110616
1974-11-01,12.504787943
1974-12-01,11.855759922
1975-01-01,10.882525338
1975-02-01,11.036806593
1975-03-01,9.002063096
1975-04-01,8.722854644
1975-05-01,6.444985599
1975-06-01,6.83475866
1975-07-01,5.77720105
1975-08-01,5.915733417
1975-09-01,6.606416693
1975-10-01,7.251460273
1975-11-01,9.226278172
1975-12-01,8.486711422
1976-01-01,9.248061203
1976-02-01,8.148613844
1976-03-01,7.635974788
1976-04-01,5.36485753
1976-05-01,4.839175698
1976-06-01,4.994071576
1976-07-01,6.73575328
1976-08-01,7.456441461
1976-09-01,7.416440337
1976-10-01,6.332655244
1976-11-01,6.121857993
1976-12-01,4.859926035
1977-01-01,5.820994374
1977-02-01,5.852538072
1977-03-01,7.205402825
1977-04-01,7.482146215
1977-05-01,7.586579836
1977-06-01,8.27216864
1977-07-01,7.946744599
1977-08-01,7.825956559
1977-09-01,7.226100956
1977-10-01,6.612377954
1977-11-01,6.788457675
1977-12-01,6.851446348
1978-01-01,7.546958234
1978-02-01,7.262387159
1978-03-01,7.48679882
1978-04-01,7.647412909
1978-05-01,8.804249841
1978-06-01,9.273523405
1978-07-01,9.978450674
1978-08-01,9.990806006
1978-09-01,10.855703973
1978-10-01,11.119741146
1978-11-01,10.927245022
1978-12-01,8.695335014
1979-01-01,7.631114423
1979-02-01,8.637654284
1979-03-01,9.946627515
1979-04-01,11.043469961
1979-05-01,10.851557523
1979-06-01,11.663719323
1979-07-01,12.34684242
1979-08-01,13.453433604
1979-09-01,13.769740856
1979-10-01,14.200802161
1979-11-01,14.969819805
1979-12-01,15.75190023
1980-01-01,16.4793412
1980-02-01,15.290829501
1980-03-01,16.318997703
1980-04-01,16.168546282
1980-05-01,16.900969328
1980-06-01,17.432262451
1980-07-01,9.98442061
1980-08-01,6.399732388
1980-09-01,3.620673407
1980-10-01,10.075174014
1980-11-01,13.373100268
1980-12-01,14.105900321
1981-01-01,12.13411439
1981-02-01,8.722789473
1981-03-01,6.847288638
1981-04-01,6.881068817
1981-05-01,10.204224162
1981-06-01,12.764167848
1981-07-01,16.212509678
1981-08-01,15.229049155
1981-09-01,15.530491977
1981-10-01,10.169888304
1981-11-01,8.199978478
1981-12-01,4.742313321
1982-01-01,5.057521699
1982-02-01,4.892065146
1982-03-01,3.1456618
1982-04-01,5.37809501
1982-05-01,8.274241984
1982-06-01,12.719402645
1982-07-01,11.185354334
1982-08-01,8.077919893
1982-09-01,3.682993435
1982-10-01,2.56831087
1982-11-01,0.269229791
1982-12-01,-1.002649895
1983-01-01,-0.022433396
1983-02-01,2.131370088
1983-03-01,4.481710588
1983-04-01,4.42049308
1983-05-01,3.879604161
1983-06-01,4.313392588
1983-07-01,3.611650834
1983-08-01,3.978403935
1983-09-01,4.087917504
1983-10-01,4.429952243
1983-11-01,5.038826651
1983-12-01,4.98096334
1984-01-01,5.489456309
1984-02-01,5.208338465
1984-03-01,5.238588591
1984-04-01,5.063798611
1984-05-01,4.611039033
1984-06-01,4.845981089
1984-07-01,4.608403588
1984-08-01,5.274828471
1984-09-01,5.498102467
1984-10-01,5.255766698
1984-11-01,4.783235016
1984-12-01,4.631241897
1985-01-01,3.983463021
1985-02-01,4.818851293
1985-03-01,4.874949669
1985-04-01,5.173890204
1985-05-01,5.272635546
1985-06-01,5.223954262
1985-07-01,5.386126171
1985-08-01,4.907893438
1985-09-01,4.420219259
1985-10-01,5.029910309
1985-11-01,5.602444167
1985-12-01,5.607456898
1986-01-01,5.598798559
1986-02-01,4.719012123
1986-03-01,5.672521858
1986-04-01,5.469440141
1986-05-01,4.935743821
1986-06-01,4.474910769
1986-07-01,3.812520961
1986-08-01,4.10133093
1986-09-01,4.10601773
1986-10-01,4.719558191
1986-11-01,4.610702002
1986-12-01,4.334318529
1987-01-01,3.934175441
1987-02-01,4.118308542
1987-03-01,4.140351647
1987-04-01,4.970775043
1987-05-01,4.839266294
1987-06-01,4.121043832
1987-07-01,3.052265021
1987-08-01,3.559957309
1987-09-01,4.569055532
1987-10-01,5.431425532
1987-11-01,4.746258538
1987-12-01,4.38053498
1988-01-01,4.095925743
1988-02-01,4.405620546
1988-03-01,4.738129161
1988-04-01,4.99013458
1988-05-01,5.075418566
1988-06-01,5.054991263
1988-07-01,4.336062548
1988-08-01,4.516952234
1988-09-01,4.751551185
1988-10-01,5.046226204
1988-11-01,5.011159933
1988-12-01,4.650675537
1989-01-01,4.656263732
1989-02-01,4.567390736
1989-03-01,4.584811711
1989-04-01,4.471334384
1989-05-01,4.910887144
1989-06-01,5.028714171
1989-07-01,5.449865363
1989-08-01,4.973241529
1989-09-01,4.474394277
1989-10-01,4.694803941
1989-11-01,4.793813642
1989-12-01,5.285083103
1990-01-01,5.068994982
1990-02-01,5.064347992
1990-03-01,6.052735993
1990-04-01,5.967079531
1990-05-01,5.907092278
1990-06-01,5.748349796
1990-07-01,6.418361971
1990-08-01,7.68228794
1990-09-01,6.713547763
1990-10-01,5.81983238
1990-11-01,4.191299605
1990-12-01,4.19183942
1991-01-01,5.154722857
1991-02-01,5.781895584
1991-03-01,5.347495197
1991-04-01,3.834181785
1991-05-01,3.389446487
1991-06-01,3.613764796
1991-07-01,4.146074591
1991-08-01,4.306745842
1991-09-01,4.717723991
1991-10-01,4.112216953
1991-11-01,4.016643509
1991-12-01,3.79684502
1992-01-01,4.187550426
1992-02-01,3.80205665
1992-03-01,3.837225916
1992-04-01,3.864634997
1992-05-01,3.627234367
1992-06-01,3.157494939
1992-07-01,2.981425545
1992-08-01,3.133516012
1992-09-01,2.667247515
1992-10-01,3.589984943
1992-11-01,4.036930318
1992-12-01,4.335988264
1993-01-01,3.755628691
1993-02-01,3.526984476
1993-03-01,3.259069844
1993-04-01,3.36329862
1993-05-01,3.510285564
1993-06-01,4.079901174
1993-07-01,3.040663311
1993-08-01,3.019257911
1993-09-01,2.955420678
1993-10-01,3.575064225
1993-11-01,3.725284682
1993-12-01,3.941109059
1994-01-01,3.55936404
1994-02-01,3.445059013
1994-03-01,3.342895143
1994-04-01,3.282103806
1994-05-01,2.765484144
1994-06-01,2.595551939
1994-07-01,2.569422443
1994-08-01,3.341995224
1994-09-01,3.193730318
1994-10-01,3.306707706
1994-11-01,3.01723456
1994-12-01,2.532934113
1995-01-01,3.482867815
1995-02-01,3.435460629
1995-03-01,4.426887031
1995-04-01,3.937372214
1995-05-01,3.676301285
1995-06-01,3.243737255
1995-07-01,2.884198015
1995-08-01,2.89516104
1995-09-01,3.278164782
1995-10-01,3.615530153
1995-11-01,3.574352555
1995-12-01,2.650201788
1996-01-01,2.74486113
1996-02-01,2.968730212
1996-03-01,3.434556662
1996-04-01,2.843410699
1996-05-01,2.823516104
1996-06-01,2.904960762
1996-07-01,3.211014517
1996-08-01,3.019947403
1996-09-01,3.319051322
1996-10-01,3.030648873
1996-11-01,3.162044079
1996-12-01,2.610577367
1997-01-01,2.615287861
1997-02-01,2.258759459
1997-03-01,2.640769795
1997-04-01,2.84352484
1997-05-01,3.094793867
1997-06-01,2.797202434
1997-07-01,2.568453988
1997-08-01,2.16317792
1997-09-01,2.188017317
1997-10-01,2.508582376
1997-11-01,2.745591259
1997-12-01,2.921857414
1998-01-01,2.825126424
1998-02-01,2.808091327
1998-03-01,2.825731423
1998-04-01,2.700332379
1998-05-01,2.76931655
1998-06-01,2.508781641
1998-07-01,2.420032145
1998-08-01,2.252673595
1998-09-01,2.159097728
1998-10-01,2.232972034
1998-11-01,2.297002391
1998-12-01,2.292386371
1999-01-01,2.2101295
1999-02-01,1.9798036
1999-03-01,2.0244268
1999-04-01,2.0799511
1999-05-01,2.1230397
1999-06-01,1.8502306
1999-07-01,1.9783912
1999-08-01,2.0287413
1999-09-01,2.1692497
1999-10-01,1.9875118
1999-11-01,2.5185938
1999-12-01,2.6853944
2000-01-01,3.3615686
2000-02-01,2.9123846
2000-03-01,3.2968125
2000-04-01,2.3775864
2000-05-01,2.8371745
2000-06-01,2.7131012
2000-07-01,3.1755332
2000-08-01,3.2747933
2000-09-01,2.9410397
2000-10-01,2.8122077
2000-11-01,2.5035611
2000-12-01,2.9852478
2001-01-01,3.1954027
2001-02-01,3.3440672
2001-03-01,3.2460481
2001-04-01,3.2204574
2001-05-01,3.2171391
2001-06-01,3.6765575
2001-07-01,3.6498582
2001-08-01,3.9946967
2001-09-01,3.6899049
2001-10-01,3.9097738
2001-11-01,3.8953769
2001-12-01,3.6900249
2002-01-01,3.4948749
2002-02-01,3.0511798
2002-03-01,2.8665305
2002-04-01,2.8584222
2002-05-01,2.9163511
2002-06-01,2.7621389
2002-07-01,2.8372721
2002-08-01,2.7679808
2002-09-01,2.8339355
2002-10-01,2.6025517
2002-11-01,2.6017667
2002-12-01,2.7447698
2003-01-01,2.8521898
2003-02-01,2.5329716
2003-03-01,2.1716825
2003-04-01,1.5509801
2003-05-01,1.4955539
2003-06-01,1.3427362
2003-07-01,1.9483261
2003-08-01,2.0357197
2003-09-01,2.4832549
2003-10-01,2.2974261
2003-11-01,2.0847818
2003-12-01,1.9106189
2004-01-01,2.0475771
2004-02-01,2.5793783
2004-03-01,2.8178348
2004-04-01,2.7395405
2004-05-01,2.2524603
2004-06-01,2.3083348
2004-07-01,1.972619
2004-08-01,2.1150472
2004-09-01,1.9266778
2004-10-01,2.1909006
2004-11-01,2.2585341
2004-12-01,2.2047262
2005-01-01,2.3620399
2005-02-01,2.5193561
2005-03-01,2.5458372
2005-04-01,2.4339481
2005-05-01,2.5395084
2005-06-01,2.12116
2005-07-01,2.2176269
2005-08-01,1.7422495
2005-09-01,2.4651878
2005-10-01,2.2877224
2005-11-01,2.9291784
2005-12-01,2.7449403
2006-01-01,2.8660153
2006-02-01,2.7902139
2006-03-01,2.9956538
2006-04-01,3.3555825
2006-05-01,3.6835273
2006-06-01,3.9378682
2006-07-01,3.8733592
2006-08-01,3.5002628
2006-09-01,3.1734206
2006-10-01,3.0723056
2006-11-01,2.6229898
2006-12-01,2.3955622
2007-01-01,2.2880691
2007-02-01,2.8432259
2007-03-01,2.9351151
2007-04-01,2.639866
2007-05-01,2.1712785
2007-06-01,2.0221798
2007-07-01,2.1408376
2007-08-01,2.2381577
2007-09-01,2.5847936
2007-10-01,2.946441
2007-11-01,3.3775115
2007-12-01,3.3132464
2008-01-01,3.2643594
2008-02-01,2.6838113
2008-03-01,2.8390726
2008-04-01,2.5522651
2008-05-01,2.8787391
2008-06-01,3.0150382
2008-07-01,3.2956996
2008-08-01,3.3998451
2008-09-01,3.1399397
2008-10-01,2.6068487
2008-11-01,2.1871238
2008-12-01,1.5357427
2009-01-01,1.7599519
2009-02-01,1.7798477
2009-03-01,2.13207
2009-04-01,1.8496676
2009-05-01,1.7969963
2009-06-01,1.5600879
2009-07-01,1.478413
2009-08-01,1.3186653
2009-09-01,1.2377413
2009-10-01,0.99812671
2009-11-01,0.59516993
2009-12-01,0.3775118
2010-01-01,0.38772771
2010-02-01,0.5141145
2010-03-01,0.55664978
2010-04-01,0.64317185
2010-05-01,0.77346942
2010-06-01,0.96970399
2010-07-01,0.97060236
2010-08-01,0.90021216
2010-09-01,0.7675708
2010-10-01,0.70041504
2010-11-01,1.1171559
2010-12-01,1.0552181
2011-01-01,1.5283863
2011-02-01,1.7072214
2011-03-01,1.9560116
2011-04-01,1.6658901
2011-05-01,1.3227359
2011-06-01,1.4213001
2011-07-01,1.8034616
2011-08-01,2.4861519
2011-09-01,2.4804504
2011-10-01,2.3697272
2011-11-01,1.8502044
2011-12-01,2.336933
2012-01-01,2.6277018
2012-02-01,2.4180441
2012-03-01,2.2637138
2012-04-01,1.9763294
2012-05-01,2.0057519
2012-06-01,1.8828461
2012-07-01,2.0741356
2012-08-01,2.4146792
2012-09-01,2.3970475
2012-10-01,2.1513408
2012-11-01,1.9464294
2012-12-01,1.8963098
2013-01-01,2.071458
2013-02-01,2.217877
2013-03-01,2.2243482
2013-04-01,1.4463834
2013-05-01,1.0575042
2013-06-01,0.99452977
2013-07-01,1.8038254
2013-08-01,2.4405021
2013-09-01,2.4525494
2013-10-01,2.1547766
2013-11-01,1.8618948
2013-12-01,1.8194045
2014-01-01,1.8835301
2014-02-01,1.801588
2014-03-01,2.0224653
2014-04-01,2.2592019
2014-05-01,2.4106908
2014-06-01,2.2800892
2014-07-01,2.1060975
2014-08-01,1.7771708
2014-09-01,1.6951902
2014-10-01,1.7759415
2014-11-01,2.0292787
2014-12-01,1.8876473
2015-01-01,1.8021894
2015-02-01,1.7123197
2015-03-01,2.1346127
2015-04-01,2.5702697
2015-05-01,2.7521044
2015-06-01,2.7445335
2015-07-01,2.4198866
2015-08-01,2.2300492
2015-09-01,2.352866
2015-10-01,2.594521
2015-11-01,2.9310051
2015-12-01,2.5437347
2016-01-01,2.2825198
2016-02-01,2.265478
2016-03-01,2.4867651
2016-04-01,2.855951
2016-05-01,2.8601575
2016-06-01,2.8930178
2016-07-01,2.5712169
2016-08-01,2.8359706
2016-09-01,2.6053709
2016-10-01,2.3293988
2016-11-01,2.1436561
2016-12-01,2.395308
2017-01-01,2.890701
2017-02-01,2.859896
2017-03-01,1.92213
2017-04-01,1.225068
2017-05-01,0.7978966
2017-06-01,1.634177
2017-07-01,2.148951
2017-08-01,2.570154
2017-09-01,2.477514
2017-10-01,2.514052
2017-11-01,2.244542
2017-12-01,2.470642
2018-01-01,2.783962
2018-02-01,2.927864
2018-03-01,2.898576
2018-04-01,2.527725
2018-05-01,2.438618
2018-06-01,2.366955
2018-07-01,2.253482
2018-08-01,2.122326
2018-09-01,2.113127
2018-10-01,2.096132
2018-11-01,2.419994
2018-12-01,2.480393
2019-01-01,2.665771
2019-02-01,2.526108
2019-03-01,2.63898
2019-04-01,2.617454
2019-05-01,2.521019
2019-06-01,2.455224
2019-07-01,2.46501
2019-08-01,3.051048
2019-09-01,2.852961
2019-10-01,3.186564
2019-11-01,2.975873
2019-12-01,3.039219
2020-01-01,2.920744
2020-02-01,2.70468
2020-03-01,2.244037
2020-04-01,0.3574909
2020-05-01,-0.3548596
2020-06-01,0.122884
2020-07-01,2.957057
2020-08-01,3.880376
2020-09-01,2.930562
2020-10-01,1.158309
2020-11-01,1.015291
2020-12-01,1.590158
2021-01-01,1.612664
2021-02-01,1.613079
2021-03-01,2.205383
2021-04-01,3.337331
2021-05-01,4.018685
2021-06-01,3.639737
2021-07-01,3.171196
2021-08-01,2.750886
2021-09-01,3.130589
2021-10-01,4.036564
2021-11-01,4.499277
2021-12-01,4.980263
2022-01-01,5.424658
2022-02-01,5.985087
2022-03-01,6.515947
2022-04-01,6.282504
2022-05-01,6.751753
2022-06-01,7.107719
2022-07-01,6.778134
2022-08-01,6.746698
