"Date","CP1100USM086NEST"
2001-12-01,68.04
2002-01-01,68.72
2002-02-01,69.27
2002-03-01,69.49
2002-04-01,69.54
2002-05-01,69.54
2002-06-01,69.79
2002-07-01,69.96
2002-08-01,70.25
2002-09-01,70.04
2002-10-01,70.14
2002-11-01,70.02
2002-12-01,69.86
2003-01-01,70.13
2003-02-01,70.55
2003-03-01,70.8
2003-04-01,70.78
2003-05-01,71.06
2003-06-01,71.26
2003-07-01,71.55
2003-08-01,71.71
2003-09-01,71.44
2003-10-01,71.76
2003-11-01,71.59
2003-12-01,71.62
2004-01-01,72.09
2004-02-01,72.44
2004-03-01,73.02
2004-04-01,73.25
2004-05-01,73.37
2004-06-01,73.53
2004-07-01,73.99
2004-08-01,74.14
2004-09-01,74.15
2004-10-01,74.38
2004-11-01,74.1
2004-12-01,74.02
2005-01-01,74.56
2005-02-01,75.13
2005-03-01,75.81
2005-04-01,75.83
2005-05-01,75.7
2005-06-01,75.98
2005-07-01,76.34
2005-08-01,76.44
2005-09-01,76.05
2005-10-01,76.58
2005-11-01,76.46
2005-12-01,76.43
2006-01-01,76.93
2006-02-01,77.49
2006-03-01,78.04
2006-04-01,78.19
2006-05-01,78.31
2006-06-01,78.57
2006-07-01,78.97
2006-08-01,79.07
2006-09-01,78.85
2006-10-01,79.09
2006-11-01,78.95
2006-12-01,78.99
2007-01-01,79.68
2007-02-01,80.25
2007-03-01,80.5
2007-04-01,80.9
2007-05-01,81.05
2007-06-01,81.55
2007-07-01,82.17
2007-08-01,82.32
2007-09-01,82.35
2007-10-01,82.45
2007-11-01,82.27
2007-12-01,82.21
2008-01-01,82.9
2008-02-01,83.41
2008-03-01,83.95
2008-04-01,83.99
2008-05-01,84.25
2008-06-01,84.78
2008-07-01,85.49
2008-08-01,85.54
2008-09-01,85.62
2008-10-01,85.83
2008-11-01,85.66
2008-12-01,85.63
2009-01-01,86.1
2009-02-01,86.44
2009-03-01,86.65
2009-04-01,86.9
2009-05-01,86.82
2009-06-01,87.02
2009-07-01,87.16
2009-08-01,87.17
2009-09-01,87.12
2009-10-01,87.21
2009-11-01,86.86
2009-12-01,86.77
2010-01-01,87.06
2010-02-01,87.34
2010-03-01,87.64
2010-04-01,87.84
2010-05-01,88.07
2010-06-01,88.49
2010-07-01,88.69
2010-08-01,88.67
2010-09-01,88.59
2010-10-01,88.5
2010-11-01,88.07
2010-12-01,88.06
2011-01-01,88.44
2011-02-01,88.8
2011-03-01,89.41
2011-04-01,89.69
