"Date","CPIEDUNS"
1993-01-01,84.3
1993-02-01,84.3
1993-03-01,84.4
1993-04-01,84.3
1993-05-01,84.5
1993-06-01,84.5
1993-07-01,84.8
1993-08-01,85.6
1993-09-01,87
1993-10-01,87.2
1993-11-01,87.3
1993-12-01,87.4
1994-01-01,87.5
1994-02-01,87.9
1994-03-01,87.8
1994-04-01,87.8
1994-05-01,87.9
1994-06-01,88.1
1994-07-01,88.2
1994-08-01,89
1994-09-01,90.2
1994-10-01,90.3
1994-11-01,90.3
1994-12-01,90.3
1995-01-01,91.3
1995-02-01,91.3
1995-03-01,91.2
1995-04-01,91.2
1995-05-01,91.1
1995-06-01,91.3
1995-07-01,91.5
1995-08-01,92.4
1995-09-01,93.7
1995-10-01,93.7
1995-11-01,93.7
1995-12-01,93.9
1996-01-01,94.1
1996-02-01,94.2
1996-03-01,94.4
1996-04-01,93.9
1996-05-01,94.4
1996-06-01,94.6
1996-07-01,94.7
1996-08-01,95.7
1996-09-01,96.8
1996-10-01,97
1996-11-01,97
1996-12-01,97.1
1997-01-01,97.4
1997-02-01,97.5
1997-03-01,97.5
1997-04-01,97.5
1997-05-01,97.6
1997-06-01,97.7
1997-07-01,97.9
1997-08-01,98.6
1997-09-01,99.7
1997-10-01,99.9
1997-11-01,100
1997-12-01,100
1998-01-01,99.9
1998-02-01,99.8
1998-03-01,99.9
1998-04-01,99.9
1998-05-01,100.1
1998-06-01,100.1
1998-07-01,100
1998-08-01,100.1
1998-09-01,100.9
1998-10-01,101
1998-11-01,101
1998-12-01,100.7
1999-01-01,100.9
1999-02-01,100.9
1999-03-01,100.8
1999-04-01,100.7
1999-05-01,100.4
1999-06-01,100.3
1999-07-01,100.4
1999-08-01,101.2
1999-09-01,101.9
1999-10-01,102.1
1999-11-01,102.2
1999-12-01,102.3
2000-01-01,102.7
2000-02-01,102.2
2000-03-01,102
2000-04-01,101.8
2000-05-01,101.8
2000-06-01,101.5
2000-07-01,102
2000-08-01,102.8
2000-09-01,102.9
2000-10-01,103.6
2000-11-01,103.2
2000-12-01,103.6
2001-01-01,103.9
2001-02-01,104
2001-03-01,104.3
2001-04-01,104.1
2001-05-01,104
2001-06-01,104.4
2001-07-01,104.8
2001-08-01,105.8
2001-09-01,106.6
2001-10-01,107.1
2001-11-01,107
2001-12-01,106.9
2002-01-01,107.2
2002-02-01,107.3
2002-03-01,106.6
2002-04-01,106.2
2002-05-01,106.6
2002-06-01,106.9
2002-07-01,107.6
2002-08-01,108.9
2002-09-01,109.5
2002-10-01,109.4
2002-11-01,109.3
2002-12-01,109.2
2003-01-01,109.7
2003-02-01,109.7
2003-03-01,109.4
2003-04-01,109
2003-05-01,108.6
2003-06-01,108.5
2003-07-01,108.9
2003-08-01,110.1
2003-09-01,110.9
2003-10-01,110.9
2003-11-01,110.8
2003-12-01,110.9
2004-01-01,111.1
2004-02-01,111.2
2004-03-01,111.1
2004-04-01,110.9
2004-05-01,110.6
2004-06-01,110.8
2004-07-01,110.9
2004-08-01,111.7
2004-09-01,112.9
2004-10-01,112.5
2004-11-01,112.7
2004-12-01,112.6
2005-01-01,112.7
2005-02-01,112.8
2005-03-01,112.7
2005-04-01,112.9
2005-05-01,112.7
2005-06-01,112.8
2005-07-01,112.9
2005-08-01,113.7
2005-09-01,115.3
2005-10-01,115.1
2005-11-01,115.3
2005-12-01,115.3
2006-01-01,115.7
2006-02-01,115.7
2006-03-01,115.6
2006-04-01,115.8
2006-05-01,115.7
2006-06-01,115.9
2006-07-01,116.3
2006-08-01,117.5
2006-09-01,118.4
2006-10-01,118.5
2006-11-01,118.1
2006-12-01,118
2007-01-01,117.815
2007-02-01,117.971
2007-03-01,118.231
2007-04-01,118.301
2007-05-01,118.787
2007-06-01,118.734
2007-07-01,119.025
2007-08-01,120.311
2007-09-01,121.273
2007-10-01,121.557
2007-11-01,121.409
2007-12-01,121.506
2008-01-01,121.762
2008-02-01,121.766
2008-03-01,121.832
2008-04-01,122.073
2008-05-01,122.348
2008-06-01,122.828
2008-07-01,123.445
2008-08-01,124.653
2008-09-01,125.505
2008-10-01,125.686
2008-11-01,125.758
2008-12-01,125.921
2009-01-01,126.151
2009-02-01,126.19
2009-03-01,126.187
2009-04-01,126.273
2009-05-01,126.467
2009-06-01,126.519
2009-07-01,126.914
2009-08-01,128.128
2009-09-01,129.035
2009-10-01,129.128
2009-11-01,128.845
2009-12-01,128.883
2010-01-01,129.072
2010-02-01,129.105
2010-03-01,129.236
2010-04-01,129.344
2010-05-01,129.27
2010-06-01,129.263
2010-07-01,129.586
2010-08-01,130.599
2010-09-01,131.154
2010-10-01,130.959
2010-11-01,130.894
2010-12-01,130.548
2011-01-01,130.665
2011-02-01,130.692
2011-03-01,130.682
2011-04-01,130.643
2011-05-01,130.6
2011-06-01,130.568
2011-07-01,130.859
2011-08-01,132.028
2011-09-01,132.627
2011-10-01,132.755
2011-11-01,132.75
2011-12-01,132.728
2012-01-01,133.067
2012-02-01,133.199
2012-03-01,133.235
2012-04-01,133.284
2012-05-01,133.47
2012-06-01,133.456
2012-07-01,133.546
2012-08-01,134.039
2012-09-01,134.639
2012-10-01,134.767
2012-11-01,134.736
2012-12-01,134.694
2013-01-01,135.225
2013-02-01,135.517
2013-03-01,135.625
2013-04-01,135.23
2013-05-01,135.204
2013-06-01,135.098
2013-07-01,135.334
2013-08-01,136.119
2013-09-01,136.723
2013-10-01,136.86
2013-11-01,136.844
2013-12-01,136.857
2014-01-01,137.005
2014-02-01,137.045
2014-03-01,137.125
2014-04-01,137.279
2014-05-01,137.244
2014-06-01,137.279
2014-07-01,137.499
2014-08-01,138.139
2014-09-01,138.474
2014-10-01,138.008
2014-11-01,137.708
2014-12-01,137.41
2015-01-01,137.604
2015-02-01,137.56
2015-03-01,137.564
2015-04-01,137.707
2015-05-01,137.4
2015-06-01,137.425
2015-07-01,137.6
2015-08-01,138.291
2015-09-01,139.092
2015-10-01,139.344
2015-11-01,139.527
2015-12-01,139.388
2016-01-01,139.481
2016-02-01,139.236
2016-03-01,139.279
2016-04-01,139.316
2016-05-01,138.971
2016-06-01,138.898
2016-07-01,138.79
2016-08-01,139.311
2016-09-01,139.176
2016-10-01,138.979
2016-11-01,139.086
2016-12-01,139.076
2017-01-01,139.041
2017-02-01,138.796
2017-03-01,136.234
2017-04-01,135.781
2017-05-01,135.563
2017-06-01,135.497
2017-07-01,135.388
2017-08-01,135.702
2017-09-01,136.189
2017-10-01,136.502
2017-11-01,136.717
2017-12-01,136.671
2018-01-01,136.635
2018-02-01,136.327
2018-03-01,136.029
2018-04-01,135.943
2018-05-01,136.261
2018-06-01,136.535
2018-07-01,136.77
2018-08-01,137.336
2018-09-01,137.868
2018-10-01,137.776
2018-11-01,136.981
2018-12-01,136.976
2019-01-01,137.055
2019-02-01,137.168
2019-03-01,137.082
2019-04-01,137.182
2019-05-01,137.199
2019-06-01,137.344
2019-07-01,137.595
2019-08-01,138.154
2019-09-01,138.409
2019-10-01,138.529
2019-11-01,138.92
2019-12-01,138.839
2020-01-01,139.132
2020-02-01,139.256
2020-03-01,139.199
2020-04-01,139.378
2020-05-01,139.34
2020-06-01,139.258
2020-07-01,140.794
2020-08-01,141.32
2020-09-01,141.369
2020-10-01,141.469
2020-11-01,141.534
2020-12-01,141.549
2021-01-01,141.556
2021-02-01,141.679
2021-03-01,141.289
2021-04-01,141.742
2021-05-01,142.002
2021-06-01,142.174
2021-07-01,142.386
2021-08-01,143.011
2021-09-01,143.807
2021-10-01,143.974
2021-11-01,143.884
2021-12-01,143.844
2022-01-01,143.876
2022-02-01,143.913
2022-03-01,143.475
2022-04-01,143.212
2022-05-01,143.108
2022-06-01,143.335
2022-07-01,143.15
2022-08-01,143.687
2022-09-01,144.089
2022-10-01,143.988
2022-11-01,144.852
2022-12-01,144.922
2023-01-01,145.336
2023-02-01,145.407
2023-03-01,145.481
2023-04-01,145.449
2023-05-01,145.205
2023-06-01,144.9
2023-07-01,144.919
2023-08-01,145.174
2023-09-01,145.598
2023-10-01,145.295
2023-11-01,144.743
