"Date","CUSR0000SANL11"
1989-01-01,107.4
1989-02-01,108.1
1989-03-01,109.2
1989-04-01,111.9
1989-05-01,113.2
1989-06-01,112.8
1989-07-01,112.5
1989-08-01,111.5
1989-09-01,111.6
1989-10-01,112.3
1989-11-01,111.9
1989-12-01,112.1
1990-01-01,115.1
1990-02-01,115.9
1990-03-01,116.5
1990-04-01,116.5
1990-05-01,116.3
1990-06-01,117.2
1990-07-01,117.3
1990-08-01,120.3
1990-09-01,123
1990-10-01,125.4
1990-11-01,125.4
1990-12-01,126.1
1991-01-01,124.6
1991-02-01,123.4
1991-03-01,122.2
1991-04-01,122.5
1991-05-01,123.1
1991-06-01,123
1991-07-01,122.7
1991-08-01,123.9
1991-09-01,123.8
1991-10-01,123.6
1991-11-01,124.4
1991-12-01,124.7
1992-01-01,124.3
1992-02-01,124.8
1992-03-01,125.4
1992-04-01,125.5
1992-05-01,126.4
1992-06-01,127.1
1992-07-01,127.5
1992-08-01,127.2
1992-09-01,127
1992-10-01,127.4
1992-11-01,127.4
1992-12-01,128
1993-01-01,128.6
1993-02-01,129.4
1993-03-01,129.3
1993-04-01,129.5
1993-05-01,128.8
1993-06-01,128.2
1993-07-01,127.7
1993-08-01,127.4
1993-09-01,126.5
1993-10-01,127.7
1993-11-01,127.6
1993-12-01,127.4
1994-01-01,126.9
1994-02-01,127.4
1994-03-01,127.6
1994-04-01,127.5
1994-05-01,127.4
1994-06-01,128
1994-07-01,128.7
1994-08-01,129.6
1994-09-01,130
1994-10-01,129.4
1994-11-01,129.4
1994-12-01,129.2
1995-01-01,128.9
1995-02-01,129
1995-03-01,129
1995-04-01,128.9
1995-05-01,129.6
1995-06-01,130
1995-07-01,129.9
1995-08-01,129.8
1995-09-01,129.7
1995-10-01,129.7
1995-11-01,129.4
1995-12-01,129.8
1996-01-01,131.3
1996-02-01,131.3
1996-03-01,132.5
1996-04-01,133.6
1996-05-01,134.2
1996-06-01,133.3
1996-07-01,133.1
1996-08-01,132
1996-09-01,132.6
1996-10-01,133.1
1996-11-01,134.2
1996-12-01,134.8
1997-01-01,135.3
1997-02-01,135.6
1997-03-01,135.1
1997-04-01,134.6
1997-05-01,133.8
1997-06-01,133.7
1997-07-01,133.7
1997-08-01,134.4
1997-09-01,134.9
1997-10-01,134.9
1997-11-01,134.9
1997-12-01,134.6
1998-01-01,133.6
1998-02-01,133.1
1998-03-01,132.3
1998-04-01,131.7
1998-05-01,132.1
1998-06-01,132.4
1998-07-01,132.6
1998-08-01,132.8
1998-09-01,131.8
1998-10-01,132.5
1998-11-01,132.5
1998-12-01,133.4
1999-01-01,133.9
1999-02-01,133.2
1999-03-01,133.7
1999-04-01,137.1
1999-05-01,136.4
1999-06-01,135.7
1999-07-01,137.4
1999-08-01,139
1999-09-01,139.6
1999-10-01,140.6
1999-11-01,141
1999-12-01,142.8
2000-01-01,143.4
2000-02-01,145.5
2000-03-01,149
2000-04-01,146.8
2000-05-01,144.6
2000-06-01,147.7
2000-07-01,148.3
2000-08-01,146.6
2000-09-01,148.4
2000-10-01,148.6
2000-11-01,150.3
2000-12-01,150
2001-01-01,149.7
2001-02-01,149.1
2001-03-01,147.8
2001-04-01,148.2
2001-05-01,151.1
2001-06-01,149.9
2001-07-01,147.2
2001-08-01,145.9
2001-09-01,147.5
2001-10-01,144.7
2001-11-01,143
2001-12-01,141.5
2002-01-01,141.6
2002-02-01,141.6
2002-03-01,143.6
2002-04-01,145.1
2002-05-01,144.3
2002-06-01,144.2
2002-07-01,144.9
2002-08-01,145.9
2002-09-01,145.2
2002-10-01,146.5
2002-11-01,149.1
2002-12-01,149.2
2003-01-01,150.6
2003-02-01,153.3
2003-03-01,153.1
2003-04-01,149
2003-05-01,145.8
2003-06-01,145.9
2003-07-01,147.3
2003-08-01,149.7
2003-09-01,151.2
2003-10-01,149.3
2003-11-01,150.1
2003-12-01,150.8
2004-01-01,153.6
2004-02-01,154.4
2004-03-01,154.9
2004-04-01,153.4
2004-05-01,155.8
2004-06-01,157.6
2004-07-01,157
2004-08-01,156.9
2004-09-01,156.1
2004-10-01,161.2
2004-11-01,163.3
2004-12-01,162.1
2005-01-01,159.9
2005-02-01,162.1
2005-03-01,163.4
2005-04-01,164
2005-05-01,161.6
2005-06-01,161.7
2005-07-01,166.7
2005-08-01,172.8
2005-09-01,184.9
2005-10-01,181.1
2005-11-01,171.4
2005-12-01,170.5
2006-01-01,174.1
2006-02-01,173.3
2006-03-01,173.1
2006-04-01,177.1
2006-05-01,179
2006-06-01,179.5
2006-07-01,183.6
2006-08-01,186
2006-09-01,178.2
2006-10-01,170.8
2006-11-01,170.2
2006-12-01,174.9
2007-01-01,173.631
2007-02-01,174.973
2007-03-01,178.279
2007-04-01,179.488
2007-05-01,183.008
2007-06-01,183.055
2007-07-01,183.492
2007-08-01,181.749
2007-09-01,184.152
2007-10-01,184.881
2007-11-01,191.458
2007-12-01,192.527
2008-01-01,193.564
2008-02-01,194.436
2008-03-01,195.69
2008-04-01,195.491
2008-05-01,200.183
2008-06-01,209.015
2008-07-01,212.653
2008-08-01,208.122
2008-09-01,207.967
2008-10-01,196.622
2008-11-01,175.02
2008-12-01,165.062
2009-01-01,166.418
2009-02-01,170.971
2009-03-01,168.867
2009-04-01,169.415
2009-05-01,171.409
2009-06-01,181.48
2009-07-01,181.552
2009-08-01,184.967
2009-09-01,186.46
2009-10-01,187.401
2009-11-01,189.945
2009-12-01,189.78
2010-01-01,191.231
2010-02-01,189.52
2010-03-01,188.663
2010-04-01,187.806
2010-05-01,186.735
2010-06-01,185.879
2010-07-01,187.109
2010-08-01,188.095
2010-09-01,188.702
2010-10-01,192.636
2010-11-01,194.43
2010-12-01,198.739
2011-01-01,200.12
2011-02-01,201.191
2011-03-01,205.264
2011-04-01,209.646
2011-05-01,211.674
2011-06-01,209.271
2011-07-01,209.703
2011-08-01,210.555
2011-09-01,211.056
2011-10-01,210.469
2011-11-01,211.618
2011-12-01,209.979
2012-01-01,211.495
2012-02-01,213.821
2012-03-01,215.765
2012-04-01,216.385
2012-05-01,212.12
2012-06-01,208.755
2012-07-01,207.699
2012-08-01,213.62
2012-09-01,217.959
2012-10-01,219.484
2012-11-01,215.003
2012-12-01,212.71
2013-01-01,212.72
2013-02-01,218.208
2013-03-01,213.667
2013-04-01,210.102
2013-05-01,209.818
2013-06-01,211.167
2013-07-01,211.709
2013-08-01,212.89
2013-09-01,211.228
2013-10-01,210.575
2013-11-01,210.588
2013-12-01,212.687
2014-01-01,213.712
2014-02-01,213.147
2014-03-01,211.95
2014-04-01,213.528
2014-05-01,212.885
2014-06-01,212.892
2014-07-01,212.891
