"Date","CUSR0000SASL2RS"
1985-01-01,111.3
1985-02-01,111.4
1985-03-01,112.2
1985-04-01,112.6
1985-05-01,113
1985-06-01,113.4
1985-07-01,113.8
1985-08-01,114.1
1985-09-01,114.5
1985-10-01,114.9
1985-11-01,115.4
1985-12-01,115.8
1986-01-01,116.4
1986-02-01,116.9
1986-03-01,117.4
1986-04-01,117.8
1986-05-01,118
1986-06-01,118.8
1986-07-01,119.1
1986-08-01,119.4
1986-09-01,119.7
1986-10-01,119.9
1986-11-01,120.2
1986-12-01,120.6
1987-01-01,121
1987-02-01,121.2
1987-03-01,121.6
1987-04-01,122
1987-05-01,122.4
1987-06-01,122.8
1987-07-01,123.3
1987-08-01,123.8
1987-09-01,124.3
1987-10-01,124.5
1987-11-01,124.9
1987-12-01,125.1
1988-01-01,125.4
1988-02-01,125.9
1988-03-01,126.2
1988-04-01,126.8
1988-05-01,127.4
1988-06-01,128
1988-07-01,128.5
1988-08-01,129.1
1988-09-01,129.8
1988-10-01,130.4
1988-11-01,130.9
1988-12-01,131.6
1989-01-01,132.1
1989-02-01,132.6
1989-03-01,133.2
1989-04-01,133.8
1989-05-01,134.3
1989-06-01,134.9
1989-07-01,135.5
1989-08-01,136.1
1989-09-01,136.5
1989-10-01,136.9
1989-11-01,137.5
1989-12-01,138.2
1990-01-01,138.9
1990-02-01,139.7
1990-03-01,140.3
1990-04-01,140.9
1990-05-01,141.6
1990-06-01,142.3
1990-07-01,142.8
1990-08-01,143.7
1990-09-01,144.5
1990-10-01,145.3
1990-11-01,146.2
1990-12-01,146.7
1991-01-01,147.8
1991-02-01,148.7
1991-03-01,149
1991-04-01,149.1
1991-05-01,149.8
1991-06-01,150.3
1991-07-01,151.2
1991-08-01,151.8
1991-09-01,152.6
1991-10-01,153
1991-11-01,153.5
1991-12-01,154.1
1992-01-01,154.4
1992-02-01,155
1992-03-01,155.5
1992-04-01,156.3
1992-05-01,156.8
1992-06-01,157.1
1992-07-01,157.7
1992-08-01,158.2
1992-09-01,158.7
1992-10-01,159.6
1992-11-01,160.5
1992-12-01,160.9
