"Date","CUSR0000SEGA"
1986-01-01,121.2
1986-02-01,121.8
1986-03-01,122.4
1986-04-01,123.2
1986-05-01,123.7
1986-06-01,124
1986-07-01,125
1986-08-01,125.8
1986-09-01,126.6
1986-10-01,127.1
1986-11-01,127.7
1986-12-01,128.3
1987-01-01,129
1987-02-01,130
1987-03-01,130.9
1987-04-01,131.7
1987-05-01,132.4
1987-06-01,133
1987-07-01,134
1987-08-01,134.6
1987-09-01,135.8
1987-10-01,136.6
1987-11-01,137.4
1987-12-01,138.3
1988-01-01,140.1
1988-02-01,141.4
1988-03-01,142.3
1988-04-01,143
1988-05-01,143.8
1988-06-01,144.2
1988-07-01,146.4
1988-08-01,148
1988-09-01,148.8
1988-10-01,149.7
1988-11-01,150.7
1988-12-01,151
1989-01-01,156.1
1989-02-01,157.4
1989-03-01,158.6
1989-04-01,159.5
1989-05-01,161.3
1989-06-01,164.3
1989-07-01,166.5
1989-08-01,168.1
1989-09-01,168.5
1989-10-01,169.9
1989-11-01,170.4
1989-12-01,173.1
1990-01-01,173.1
1990-02-01,173.7
1990-03-01,174.5
1990-04-01,175.5
1990-05-01,176.4
1990-06-01,180.4
1990-07-01,184.9
1990-08-01,185.4
1990-09-01,186.4
1990-10-01,187.5
1990-11-01,189.4
1990-12-01,191.7
1991-01-01,194.8
1991-02-01,195.5
1991-03-01,197.1
1991-04-01,199
1991-05-01,199
1991-06-01,202.6
1991-07-01,203
1991-08-01,204.5
1991-09-01,206.5
1991-10-01,207.7
1991-11-01,210.7
1991-12-01,212.5
1992-01-01,211.4
1992-02-01,212.5
1992-03-01,213.4
1992-04-01,214.7
1992-05-01,219.3
1992-06-01,218.4
1992-07-01,220.2
1992-08-01,221
1992-09-01,224.7
1992-10-01,227.1
1992-11-01,225.5
1992-12-01,229.9
1993-01-01,233.2
1993-02-01,234.7
1993-03-01,236.2
1993-04-01,237.4
1993-05-01,237.2
1993-06-01,235.4
1993-07-01,235.7
1993-08-01,227.5
1993-09-01,215.7
1993-10-01,215.2
1993-11-01,215.2
1993-12-01,216.3
1994-01-01,217.1
1994-02-01,216.9
1994-03-01,217.7
1994-04-01,218.1
1994-05-01,219.3
1994-06-01,220.7
1994-07-01,221.5
1994-08-01,221.8
1994-09-01,220.9
1994-10-01,221.6
1994-11-01,221.6
1994-12-01,222.7
1995-01-01,222.2
1995-02-01,222.7
1995-03-01,222.5
1995-04-01,223
1995-05-01,225.3
1995-06-01,226.4
1995-07-01,226.2
1995-08-01,227.4
1995-09-01,228.2
1995-10-01,228
1995-11-01,228.9
1995-12-01,228.1
1996-01-01,229.3
1996-02-01,229.8
1996-03-01,230.8
1996-04-01,230.5
1996-05-01,233.1
1996-06-01,232.9
1996-07-01,233.3
1996-08-01,233.4
1996-09-01,234.1
1996-10-01,235.3
1996-11-01,236.2
1996-12-01,234.3
1997-01-01,236.4
1997-02-01,237.4
1997-03-01,238.2
1997-04-01,243.2
1997-05-01,243.8
1997-06-01,241.3
1997-07-01,242
1997-08-01,243.4
1997-09-01,246.5
1997-10-01,250.2
1997-11-01,250.7
1997-12-01,251.2
1998-01-01,253.8
1998-02-01,261.2
1998-03-01,254.1
1998-04-01,263.5
1998-05-01,270
1998-06-01,266.9
1998-07-01,273.2
1998-08-01,273.7
1998-09-01,283.5
1998-10-01,284.9
1998-11-01,281.3
1998-12-01,331.2
1999-01-01,354.2
1999-02-01,348.7
1999-03-01,335.9
1999-04-01,349.9
1999-05-01,345.5
1999-06-01,343.2
1999-07-01,356
1999-08-01,350.1
1999-09-01,373.8
1999-10-01,373.3
1999-11-01,369.8
1999-12-01,369.1
2000-01-01,375.1
2000-02-01,383
2000-03-01,387.3
2000-04-01,404.4
2000-05-01,393.5
2000-06-01,388.5
2000-07-01,400.7
2000-08-01,394.1
