"Date","CUSR0000SEGD"
1990-01-01,153.1
1990-02-01,153.6
1990-03-01,155.1
1990-04-01,156
1990-05-01,158
1990-06-01,158.4
1990-07-01,159.2
1990-08-01,159.8
1990-09-01,160.7
1990-10-01,161.7
1990-11-01,162.5
1990-12-01,162.9
1991-01-01,163.6
1991-02-01,164.6
1991-03-01,166.4
1991-04-01,167.4
1991-05-01,167.8
1991-06-01,168
1991-07-01,169.2
1991-08-01,170.4
1991-09-01,171.2
1991-10-01,171.8
1991-11-01,172.5
1991-12-01,173.4
1992-01-01,174.7
1992-02-01,175.5
1992-03-01,175.8
1992-04-01,176
1992-05-01,176.2
1992-06-01,176.7
1992-07-01,177.3
1992-08-01,178.2
1992-09-01,178.9
1992-10-01,179.5
1992-11-01,180.4
1992-12-01,180.8
1993-01-01,181.3
1993-02-01,182
1993-03-01,182.3
1993-04-01,183
1993-05-01,185.3
1993-06-01,186
1993-07-01,186.9
1993-08-01,187.5
1993-09-01,188.1
1993-10-01,189.5
1993-11-01,190.2
1993-12-01,191.3
1994-01-01,191.5
1994-02-01,191.8
1994-03-01,192.3
1994-04-01,195
1994-05-01,195.1
1994-06-01,195.8
1994-07-01,196.3
1994-08-01,196.9
1994-09-01,197.5
1994-10-01,198.8
1994-11-01,199.9
1994-12-01,200.3
1995-01-01,200.9
1995-02-01,203.6
1995-03-01,203.3
1995-04-01,203.9
1995-05-01,204.4
1995-06-01,204.6
1995-07-01,205.6
1995-08-01,206.1
1995-09-01,208.5
1995-10-01,209.2
1995-11-01,209.9
1995-12-01,210.9
1996-01-01,211.9
1996-02-01,212.6
1996-03-01,213.3
1996-04-01,214
1996-05-01,214.7
1996-06-01,215.3
1996-07-01,216.1
1996-08-01,216.7
1996-09-01,217.3
1996-10-01,217.5
1996-11-01,218.4
1996-12-01,219.1
1997-01-01,219.5
1997-02-01,221.4
1997-03-01,223.3
1997-04-01,223.6
1997-05-01,224.6
1997-06-01,226.3
1997-07-01,227
1997-08-01,228.6
1997-09-01,228.6
1997-10-01,229.1
1997-11-01,229.9
1997-12-01,230.8
1998-01-01,231.3
1998-02-01,231.7
1998-03-01,232.4
1998-04-01,233
1998-05-01,233.6
1998-06-01,234.5
1998-07-01,235.1
1998-08-01,235.7
1998-09-01,236.4
1998-10-01,237.1
1998-11-01,237.7
1998-12-01,238.6
1999-01-01,239.2
1999-02-01,240.2
1999-03-01,240.6
1999-04-01,241
1999-05-01,241.8
1999-06-01,242.3
1999-07-01,242.9
1999-08-01,243.8
1999-09-01,244.7
1999-10-01,245.7
1999-11-01,246.5
1999-12-01,247.4
2000-01-01,247.8
2000-02-01,248.5
2000-03-01,248.9
2000-04-01,250.6
2000-05-01,251.4
2000-06-01,252
2000-07-01,252.9
2000-08-01,253.5
2000-09-01,254.1
2000-10-01,255.2
2000-11-01,256.1
2000-12-01,256.5
2001-01-01,257.5
2001-02-01,258.2
2001-03-01,258.9
2001-04-01,259.9
2001-05-01,260.7
2001-06-01,261.8
2001-07-01,263.2
2001-08-01,265.4
2001-09-01,266.5
2001-10-01,267.5
2001-11-01,268.4
2001-12-01,269.5
2002-01-01,270.6
2002-02-01,271.4
2002-03-01,272.3
2002-04-01,272.9
2002-05-01,273.8
2002-06-01,274.6
2002-07-01,275
2002-08-01,275.4
2002-09-01,275.3
2002-10-01,276.3
2002-11-01,277
2002-12-01,277.8
2003-01-01,278.3
2003-02-01,280
2003-03-01,280.7
2003-04-01,281.6
2003-05-01,282.2
2003-06-01,283.7
2003-07-01,284
2003-08-01,284.4
2003-09-01,285.4
2003-10-01,286.2
2003-11-01,287.4
2003-12-01,288
2004-01-01,289.1
2004-02-01,290.1
2004-03-01,290.9
2004-04-01,292.2
2004-05-01,292.5
2004-06-01,293.2
2004-07-01,294.4
2004-08-01,295.4
2004-09-01,296
2004-10-01,296.7
2004-11-01,297.4
2004-12-01,298.7
2005-01-01,298.9
2005-02-01,299.6
2005-03-01,300.2
2005-04-01,301
2005-05-01,302.1
2005-06-01,302.3
2005-07-01,304
2005-08-01,304.4
2005-09-01,304.6
2005-10-01,305.3
2005-11-01,306.4
2005-12-01,307.5
2006-01-01,308.5
2006-02-01,309.3
2006-03-01,310.6
2006-04-01,310.8
2006-05-01,311.7
2006-06-01,312.7
2006-07-01,313.2
2006-08-01,314.6
2006-09-01,316.1
2006-10-01,317.7
2006-11-01,318.6
2006-12-01,319.6
2007-01-01,320.379
2007-02-01,320.842
2007-03-01,321.241
2007-04-01,322.883
2007-05-01,323.957
2007-06-01,324.654
2007-07-01,324.966
2007-08-01,325.734
2007-09-01,327.35
2007-10-01,327.95
2007-11-01,328.885
2007-12-01,330.785
2008-01-01,332.566
2008-02-01,334.095
2008-03-01,335.706
2008-04-01,337.223
2008-05-01,339.117
2008-06-01,339.787
2008-07-01,340.421
2008-08-01,341.201
2008-09-01,342.797
2008-10-01,342.821
2008-11-01,340.33
2008-12-01,340.649
2009-01-01,341.178
2009-02-01,341.573
2009-03-01,341.918
2009-04-01,342.233
2009-05-01,342.441
2009-06-01,343.566
2009-07-01,344.517
2009-08-01,345.059
2009-09-01,345.004
2009-10-01,347.548
2009-11-01,348.817
2009-12-01,349.693
2010-01-01,350.233
2010-02-01,351.151
2010-03-01,352.338
2010-04-01,352.391
2010-05-01,352.985
2010-06-01,353.342
2010-07-01,354.502
2010-08-01,355.121
2010-09-01,355.722
2010-10-01,356.241
2010-11-01,357.065
2010-12-01,357.526
2011-01-01,358.276
2011-02-01,358.991
2011-03-01,359.437
2011-04-01,360.765
2011-05-01,361.451
2011-06-01,361.961
2011-07-01,362.759
2011-08-01,364.044
2011-09-01,365.148
2011-10-01,365.615
2011-11-01,367.03
2011-12-01,368.94
2012-01-01,367.934
2012-02-01,367.968
2012-03-01,368.877
2012-04-01,370.423
2012-05-01,371.655
2012-06-01,373.246
2012-07-01,374.084
2012-08-01,375.059
2012-09-01,375.109
2012-10-01,375.994
2012-11-01,376.37
2012-12-01,375.951
2013-01-01,377.815
2013-02-01,379.959
2013-03-01,379.947
2013-04-01,380.862
2013-05-01,381.502
2013-06-01,381.672
2013-07-01,381.932
2013-08-01,382.746
2013-09-01,383.315
2013-10-01,383.747
2013-11-01,384.015
2013-12-01,385.469
2014-01-01,386.302
2014-02-01,387.835
2014-03-01,388.631
2014-04-01,388.736
2014-05-01,388.803
2014-06-01,388.015
2014-07-01,389.438
2014-08-01,390.09
2014-09-01,390.561
2014-10-01,391.615
2014-11-01,392.792
2014-12-01,393.547
2015-01-01,395.992
2015-02-01,395.338
2015-03-01,395.768
2015-04-01,396.381
2015-05-01,397.224
2015-06-01,398.535
2015-07-01,399.009
2015-08-01,400.2
2015-09-01,401.834
2015-10-01,403.204
2015-11-01,404.087
2015-12-01,404.289
2016-01-01,403.709
2016-02-01,404.395
2016-03-01,405.997
2016-04-01,407.019
2016-05-01,410.007
2016-06-01,412.499
2016-07-01,415.087
2016-08-01,415.041
2016-09-01,416.947
2016-10-01,416.621
2016-11-01,416.587
2016-12-01,417.622
2017-01-01,419.268
2017-02-01,419.936
2017-03-01,422.278
2017-04-01,422.836
2017-05-01,422.764
2017-06-01,424.852
2017-07-01,425.931
2017-08-01,425.575
2017-09-01,425.519
2017-10-01,425.643
2017-11-01,426.179
2017-12-01,426.741
2018-01-01,428.192
2018-02-01,430.405
2018-03-01,434.048
2018-04-01,440.076
2018-05-01,440.358
2018-06-01,440.634
2018-07-01,441.092
2018-08-01,441.857
2018-09-01,442.57
2018-10-01,444.485
2018-11-01,446.727
2018-12-01,446.678
2019-01-01,445.705
2019-02-01,448.936
2019-03-01,446.68
2019-04-01,445.511
2019-05-01,447.689
2019-06-01,447.923
2019-07-01,449.868
2019-08-01,449.945
2019-09-01,450.439
2019-10-01,450.882
2019-11-01,450.613
2019-12-01,452.586
2020-01-01,455.094
2020-02-01,456.285
2020-03-01,457.608
2020-04-01,456.797
2020-05-01,456.946
2020-06-01,457.128
2020-07-01,456.784
2020-08-01,457.32
2020-09-01,458.345
2020-10-01,456.58
2020-11-01,453.714
2020-12-01,457.446
2021-01-01,452.841
2021-02-01,455.705
2021-03-01,461.258
2021-04-01,461.446
2021-05-01,462.325
2021-06-01,462.991
2021-07-01,465.255
2021-08-01,466.928
2021-09-01,469.066
2021-10-01,474.208
2021-11-01,474.401
2021-12-01,477.817
2022-01-01,479.831
2022-02-01,485.806
2022-03-01,490.67
2022-04-01,493.539
2022-05-01,492.985
2022-06-01,495.391
2022-07-01,497.991
2022-08-01,498.352
2022-09-01,499.652
2022-10-01,501.987
2022-11-01,504.201
2022-12-01,502.035
2023-01-01,505.919
2023-02-01,512.826
2023-03-01,516.389
2023-04-01,528.701
2023-05-01,532.363
2023-06-01,533.084
2023-07-01,530.282
2023-08-01,535.122
2023-09-01,540.99
2023-10-01,541.691
2023-11-01,543.156
