"Date","CUSR0000SEGD03"
2004-01-01,117.6
2004-02-01,117.8
2004-03-01,118.1
2004-04-01,118.5
2004-05-01,118.6
2004-06-01,118.7
2004-07-01,119
2004-08-01,119.2
2004-09-01,119.6
2004-10-01,120
2004-11-01,120.2
2004-12-01,121
2005-01-01,120.9
2005-02-01,120.9
2005-03-01,121.1
2005-04-01,121.1
2005-05-01,121.2
2005-06-01,121.6
2005-07-01,121.9
2005-08-01,122.1
2005-09-01,122.2
2005-10-01,122.3
2005-11-01,122.6
2005-12-01,123.2
2006-01-01,123.6
2006-02-01,124.2
2006-03-01,124.6
2006-04-01,124.7
2006-05-01,124.7
2006-06-01,125.1
2006-07-01,125.5
2006-08-01,125.9
2006-09-01,126.2
2006-10-01,126.6
2006-11-01,127
2006-12-01,127.3
2007-01-01,127.59
2007-02-01,127.988
2007-03-01,127.279
2007-04-01,129.02
2007-05-01,129.168
2007-06-01,129.34
2007-07-01,129.576
2007-08-01,129.79
2007-09-01,130.341
2007-10-01,130.788
2007-11-01,131.106
2007-12-01,131.193
2008-01-01,131.199
2008-02-01,131.989
2008-03-01,132.519
2008-04-01,133.645
2008-05-01,134.992
2008-06-01,135.432
2008-07-01,136.294
2008-08-01,136.785
2008-09-01,137.177
2008-10-01,137.124
2008-11-01,137.319
2008-12-01,137.122
2009-01-01,137.142
2009-02-01,137.395
2009-03-01,137.827
2009-04-01,138.706
2009-05-01,138.891
2009-06-01,139.065
2009-07-01,139.217
2009-08-01,140.078
2009-09-01,139.921
2009-10-01,139.985
2009-11-01,140.161
2009-12-01,140.34
2010-01-01,140.695
2010-02-01,140.958
2010-03-01,141.409
2010-04-01,141.843
2010-05-01,141.861
2010-06-01,142.268
2010-07-01,142.414
2010-08-01,142.477
2010-09-01,142.687
2010-10-01,142.873
2010-11-01,143.295
2010-12-01,143.423
2011-01-01,143.505
2011-02-01,143.596
2011-03-01,143.468
2011-04-01,143.783
2011-05-01,143.99
2011-06-01,144.013
2011-07-01,144.09
2011-08-01,144.424
2011-09-01,144.871
2011-10-01,145.002
2011-11-01,145.293
2011-12-01,145.339
2012-01-01,145.357
2012-02-01,145.685
2012-03-01,145.714
2012-04-01,145.889
2012-05-01,146.286
2012-06-01,146.56
2012-07-01,146.854
2012-08-01,147.53
2012-09-01,147.855
2012-10-01,148.014
2012-11-01,148.224
2012-12-01,148.52
2013-01-01,149.498
2013-02-01,149.033
2013-03-01,149.116
2013-04-01,149.276
2013-05-01,149.277
2013-06-01,149.304
2013-07-01,149.149
2013-08-01,149.297
2013-09-01,149.5
2013-10-01,149.688
2013-11-01,149.837
2013-12-01,150.331
2014-01-01,150.574
2014-02-01,151.187
2014-03-01,151.473
2014-04-01,151.765
2014-05-01,151.835
2014-06-01,151.892
2014-07-01,151.795
2014-08-01,152.721
2014-09-01,152.867
2014-10-01,153.29
2014-11-01,153.597
2014-12-01,153.625
2015-01-01,153.905
2015-02-01,153.806
2015-03-01,153.911
2015-04-01,154.069
2015-05-01,154.897
2015-06-01,156.189
2015-07-01,155.944
2015-08-01,156.161
2015-09-01,156.474
2015-10-01,157.509
2015-11-01,157.872
2015-12-01,158.222
2016-01-01,158.521
2016-02-01,158.868
2016-03-01,159.134
2016-04-01,159.526
2016-05-01,159.643
2016-06-01,160.622
2016-07-01,161.149
2016-08-01,161.357
2016-09-01,161.669
2016-10-01,161.293
2016-11-01,161.467
2016-12-01,162.291
2017-01-01,162.355
2017-02-01,162.656
2017-03-01,163.473
2017-04-01,164.202
2017-05-01,164.417
2017-06-01,164.995
2017-07-01,165.68
2017-08-01,165.555
2017-09-01,165.685
2017-10-01,165.723
2017-11-01,165.884
2017-12-01,165.998
2018-01-01,166.494
2018-02-01,167.238
2018-03-01,168.002
2018-04-01,168.845
2018-05-01,168.658
2018-06-01,169.145
2018-07-01,169.268
2018-08-01,169.86
2018-09-01,170.689
2018-10-01,171.696
2018-11-01,171.582
2018-12-01,171.983
2019-01-01,172.213
2019-02-01,172.911
2019-03-01,174.213
2019-04-01,174.748
2019-05-01,175.187
2019-06-01,175.869
2019-07-01,176.177
2019-08-01,176.628
2019-09-01,177.497
2019-10-01,177.734
2019-11-01,177.883
2019-12-01,178.513
2020-01-01,179.047
2020-02-01,179.794
2020-03-01,179.985
2020-04-01,179.856
2020-05-01,179.586
2020-06-01,179.705
2020-07-01,179.81
2020-08-01,180.018
2020-09-01,180.839
2020-10-01,180.578
2020-11-01,181.128
2020-12-01,181.813
2021-01-01,183.159
2021-02-01,183.249
2021-03-01,183.077
2021-04-01,183.798
2021-05-01,184.51
2021-06-01,185.87
2021-07-01,187.672
2021-08-01,191.405
2021-09-01,191.766
2021-10-01,193.065
2021-11-01,194.799
2021-12-01,197.17
2022-01-01,198.762
2022-02-01,200.587
2022-03-01,201.936
2022-04-01,202.76
2022-05-01,203.217
2022-06-01,204.889
2022-07-01,206.522
2022-08-01,206.62
2022-09-01,205.279
2022-10-01,206.952
2022-11-01,210.261
2022-12-01,211.187
2023-01-01,212.302
2023-02-01,214.178
2023-03-01,214.712
2023-04-01,215.774
2023-05-01,217.996
2023-06-01,217.129
2023-07-01,217.47
2023-08-01,218.748
2023-09-01,219.015
2023-10-01,219.691
2023-11-01,221.196
