"Date","CUSR0000SEHF01"
1952-01-01,27.5
1952-02-01,27.5
1952-03-01,27.5
1952-04-01,27.5
1952-05-01,27.5
1952-06-01,27.5
1952-07-01,27.5
1952-08-01,27.8
1952-09-01,27.8
1952-10-01,27.8
1952-11-01,27.9
1952-12-01,28
1953-01-01,28.1
1953-02-01,28
1953-03-01,28
1953-04-01,28.1
1953-05-01,28.1
1953-06-01,28
1953-07-01,27.9
1953-08-01,27.9
1953-09-01,27.9
1953-10-01,28
1953-11-01,28
1953-12-01,27.9
1954-01-01,27.9
1954-02-01,28
1954-03-01,28
1954-04-01,28.1
1954-05-01,28
1954-06-01,28.1
1954-07-01,28.2
1954-08-01,28.2
1954-09-01,28.2
1954-10-01,28.2
1954-11-01,28.3
1954-12-01,28.3
1955-01-01,28.4
1955-02-01,28.4
1955-03-01,28.4
1955-04-01,28.4
1955-05-01,28.5
1955-06-01,28.5
1955-07-01,28.5
1955-08-01,28.5
1955-09-01,28.5
1955-10-01,28.5
1955-11-01,28.5
1955-12-01,28.5
1956-01-01,28.6
1956-02-01,28.5
1956-03-01,28.6
1956-04-01,28.6
1956-05-01,28.6
1956-06-01,28.6
1956-07-01,28.6
1956-08-01,28.6
1956-09-01,28.6
1956-10-01,28.5
1956-11-01,28.5
1956-12-01,28.6
1957-01-01,28.6
1957-02-01,28.7
1957-03-01,28.7
1957-04-01,28.7
1957-05-01,28.7
1957-06-01,28.7
1957-07-01,28.7
1957-08-01,28.7
1957-09-01,28.7
1957-10-01,28.8
1957-11-01,28.8
1957-12-01,28.8
1958-01-01,28.9
1958-02-01,28.9
1958-03-01,28.9
1958-04-01,28.9
1958-05-01,29.1
1958-06-01,29.1
1958-07-01,29.1
1958-08-01,29.2
1958-09-01,29.2
1958-10-01,29.2
1958-11-01,29.2
1958-12-01,29.2
1959-01-01,29.2
1959-02-01,29.2
1959-03-01,29.2
1959-04-01,29.2
1959-05-01,29.4
1959-06-01,29.6
1959-07-01,29.6
1959-08-01,29.6
1959-09-01,29.7
1959-10-01,29.7
1959-11-01,29.7
1959-12-01,29.8
1960-01-01,29.8
1960-02-01,29.8
1960-03-01,29.9
1960-04-01,29.9
1960-05-01,29.9
1960-06-01,29.8
1960-07-01,29.9
1960-08-01,29.9
1960-09-01,29.9
1960-10-01,29.9
1960-11-01,29.9
1960-12-01,29.9
1961-01-01,29.9
1961-02-01,29.9
1961-03-01,30
1961-04-01,30
1961-05-01,30
1961-06-01,29.9
1961-07-01,29.9
1961-08-01,29.9
1961-09-01,29.9
1961-10-01,29.9
1961-11-01,29.9
1961-12-01,29.9
1962-01-01,29.9
1962-02-01,29.9
1962-03-01,29.9
1962-04-01,29.9
1962-05-01,29.9
1962-06-01,29.9
1962-07-01,30
1962-08-01,30
1962-09-01,30
1962-10-01,30
1962-11-01,30
1962-12-01,30
1963-01-01,30
1963-02-01,30
1963-03-01,29.9
1963-04-01,30
1963-05-01,30
1963-06-01,30
1963-07-01,30
1963-08-01,29.9
1963-09-01,29.9
1963-10-01,29.9
1963-11-01,29.9
1963-12-01,29.9
1964-01-01,29.9
1964-02-01,29.9
1964-03-01,29.9
1964-04-01,29.8
1964-05-01,29.8
1964-06-01,29.8
1964-07-01,29.7
1964-08-01,29.8
1964-09-01,29.7
1964-10-01,29.7
1964-11-01,29.7
1964-12-01,29.7
1965-01-01,29.7
1965-02-01,29.7
1965-03-01,29.7
1965-04-01,29.7
1965-05-01,29.7
1965-06-01,29.7
1965-07-01,29.7
1965-08-01,29.6
