"Date","CUSR0000SERE01"
1978-01-01,73.1
1978-02-01,74.3
1978-03-01,74.6
1978-04-01,75.1
1978-05-01,75.5
1978-06-01,75.2
1978-07-01,75.7
1978-08-01,75.3
1978-09-01,75.8
1978-10-01,76.7
1978-11-01,77.3
1978-12-01,77.6
1979-01-01,78.3
1979-02-01,78.4
1979-03-01,78.7
1979-04-01,78.9
1979-05-01,78.9
1979-06-01,79.3
1979-07-01,79.7
1979-08-01,80.1
1979-09-01,80.8
1979-10-01,81.1
1979-11-01,81.5
1979-12-01,82.2
1980-01-01,82.6
1980-02-01,83.4
1980-03-01,84.2
1980-04-01,85.2
1980-05-01,85.9
1980-06-01,86.8
1980-07-01,86.7
1980-08-01,87.7
1980-09-01,88.8
1980-10-01,88.6
1980-11-01,89
1980-12-01,89.6
1981-01-01,90.1
1981-02-01,91.1
1981-03-01,91.4
1981-04-01,91.7
1981-05-01,92.5
1981-06-01,93
1981-07-01,93.3
1981-08-01,94.2
1981-09-01,94.7
1981-10-01,94.9
1981-11-01,95.5
1981-12-01,96
1982-01-01,96.5
1982-02-01,96.5
1982-03-01,97.1
1982-04-01,97.5
1982-05-01,98
1982-06-01,98.8
1982-07-01,100
1982-08-01,99.3
1982-09-01,99.7
1982-10-01,99.9
1982-11-01,99.7
1982-12-01,99.9
1983-01-01,99.1
1983-02-01,100.1
1983-03-01,100.6
1983-04-01,100.4
1983-05-01,100.4
1983-06-01,100.4
1983-07-01,100.7
1983-08-01,100.7
1983-09-01,99.9
1983-10-01,100.4
1983-11-01,99.9
1983-12-01,99.9
1984-01-01,100.1
1984-02-01,100.4
1984-03-01,101.3
1984-04-01,101.8
1984-05-01,101.8
1984-06-01,101.5
1984-07-01,101.8
1984-08-01,101.3
1984-09-01,101.1
1984-10-01,101
1984-11-01,101
1984-12-01,101.7
1985-01-01,100.7
1985-02-01,100.7
1985-03-01,100.4
1985-04-01,101.2
1985-05-01,101.4
1985-06-01,101.7
1985-07-01,101.2
1985-08-01,101
1985-09-01,102.5
1985-10-01,102.5
1985-11-01,102.7
1985-12-01,101.2
1986-01-01,102.4
1986-02-01,102.7
1986-03-01,102.1
1986-04-01,102
1986-05-01,102.6
1986-06-01,103
1986-07-01,102.2
1986-08-01,102
1986-09-01,101.4
1986-10-01,102.8
1986-11-01,102.9
1986-12-01,103.3
1987-01-01,103.3
1987-02-01,101.8
1987-03-01,103.7
1987-04-01,104.1
1987-05-01,105.5
1987-06-01,105.3
1987-07-01,105.2
1987-08-01,105.3
1987-09-01,103.8
1987-10-01,104.4
1987-11-01,107.1
1987-12-01,108
1988-01-01,108
1988-02-01,107.4
1988-03-01,108.4
1988-04-01,109.8
1988-05-01,110.7
1988-06-01,110.6
1988-07-01,111.6
1988-08-01,111.9
1988-09-01,112.1
1988-10-01,111.9
1988-11-01,112.4
1988-12-01,112.4
1989-01-01,113.1
1989-02-01,113.9
1989-03-01,114.7
1989-04-01,115
1989-05-01,114.9
1989-06-01,115.6
1989-07-01,115.8
1989-08-01,115.7
1989-09-01,116.7
1989-10-01,116.6
1989-11-01,116.3
1989-12-01,115.1
1990-01-01,115.7
1990-02-01,116.7
1990-03-01,117.2
1990-04-01,117.5
1990-05-01,117.6
1990-06-01,117.2
1990-07-01,117.9
1990-08-01,118.3
1990-09-01,118.2
1990-10-01,118.4
1990-11-01,118
1990-12-01,116.8
1991-01-01,117.5
1991-02-01,118.2
1991-03-01,117.9
1991-04-01,118.3
1991-05-01,118.7
1991-06-01,118.8
1991-07-01,117.7
1991-08-01,118.5
1991-09-01,118.5
1991-10-01,118.4
1991-11-01,118.3
1991-12-01,118.9
1992-01-01,118.7
1992-02-01,118.4
1992-03-01,118.5
1992-04-01,119.2
1992-05-01,119.7
1992-06-01,120.1
1992-07-01,120.7
1992-08-01,121
1992-09-01,121
1992-10-01,121.1
1992-11-01,121.8
1992-12-01,122.1
1993-01-01,122.5
1993-02-01,122.4
1993-03-01,122.3
1993-04-01,121.9
1993-05-01,121.3
1993-06-01,120.9
1993-07-01,120.6
1993-08-01,120.7
1993-09-01,121.4
1993-10-01,122.4
1993-11-01,122.5
1993-12-01,123.7
1994-01-01,123.5
1994-02-01,122.9
1994-03-01,124.2
1994-04-01,123.5
1994-05-01,123.3
1994-06-01,123.9
1994-07-01,124.6
1994-08-01,124.3
1994-09-01,124.2
1994-10-01,124
1994-11-01,124
1994-12-01,122.2
1995-01-01,123.7
1995-02-01,122.9
1995-03-01,122.5
