"Date","CUSR0000SERF03"
1989-01-01,110.3
1989-02-01,110.9
1989-03-01,111.3
1989-04-01,112.5
1989-05-01,112.8
1989-06-01,113.7
1989-07-01,114.7
1989-08-01,117.2
1989-09-01,117.1
1989-10-01,117.4
1989-11-01,118.2
1989-12-01,119.5
1990-01-01,119.8
1990-02-01,120.9
1990-03-01,121.8
1990-04-01,122
1990-05-01,122.3
1990-06-01,122.7
1990-07-01,122.8
1990-08-01,122.8
1990-09-01,123.5
1990-10-01,124.1
1990-11-01,124.5
1990-12-01,125.3
1991-01-01,126.6
1991-02-01,126.8
1991-03-01,127.4
1991-04-01,128
1991-05-01,128.1
1991-06-01,129.1
1991-07-01,131.9
1991-08-01,132.2
1991-09-01,132.6
1991-10-01,133.2
1991-11-01,132.2
1991-12-01,132.4
1992-01-01,132.4
1992-02-01,132.6
1992-03-01,133.1
1992-04-01,133.7
1992-05-01,134.7
1992-06-01,134.9
1992-07-01,135.3
1992-08-01,135.6
1992-09-01,135.9
1992-10-01,136.8
1992-11-01,139
1992-12-01,139.2
1993-01-01,139.8
1993-02-01,140.4
1993-03-01,140.6
1993-04-01,141.2
1993-05-01,141.6
1993-06-01,141.8
1993-07-01,141.6
1993-08-01,141.9
1993-09-01,142.5
1993-10-01,143
1993-11-01,143.6
1993-12-01,144.7
1994-01-01,145.4
1994-02-01,148.4
1994-03-01,148.7
1994-04-01,147.5
1994-05-01,147.8
1994-06-01,148.2
1994-07-01,149.2
1994-08-01,150.2
1994-09-01,150.8
1994-10-01,151.6
1994-11-01,152
1994-12-01,151.7
1995-01-01,151.9
1995-02-01,152.3
1995-03-01,152.9
1995-04-01,154
1995-05-01,154.4
1995-06-01,154.8
1995-07-01,155.3
1995-08-01,155.6
1995-09-01,155.4
1995-10-01,155.1
1995-11-01,155.7
1995-12-01,156.2
1996-01-01,156.4
1996-02-01,156.5
1996-03-01,157.8
1996-04-01,158.3
1996-05-01,159.1
1996-06-01,160.3
1996-07-01,160.6
1996-08-01,161.1
1996-09-01,162.8
1996-10-01,163.8
1996-11-01,164.6
1996-12-01,165.4
1997-01-01,165.3
1997-02-01,166.3
1997-03-01,166.3
1997-04-01,166.4
1997-05-01,167.3
1997-06-01,169.7
1997-07-01,169.8
1997-08-01,170.3
1997-09-01,169.3
1997-10-01,170.1
1997-11-01,171.1
1997-12-01,173.8
1998-01-01,173.3
1998-02-01,173.5
1998-03-01,174.2
1998-04-01,174.7
1998-05-01,175.2
1998-06-01,175.2
1998-07-01,175.9
1998-08-01,176.4
1998-09-01,178.4
1998-10-01,178.3
1998-11-01,178.3
1998-12-01,178.3
1999-01-01,180.9
1999-02-01,180.9
1999-03-01,181.8
1999-04-01,182.7
1999-05-01,183.7
1999-06-01,183.2
1999-07-01,184.1
1999-08-01,185.7
1999-09-01,185.3
1999-10-01,185.8
1999-11-01,186.4
1999-12-01,186.6
2000-01-01,187.1
2000-02-01,187.2
2000-03-01,187.7
2000-04-01,188.5
2000-05-01,187.2
2000-06-01,187.5
2000-07-01,187.9
2000-08-01,188.2
