"Date","CUSR0000SETB01"
1967-01-01,26.3
1967-02-01,26.2
1967-03-01,26.1
1967-04-01,26.4
1967-05-01,26.4
1967-06-01,26.4
1967-07-01,26.4
1967-08-01,26.4
1967-09-01,26.7
1967-10-01,26.4
1967-11-01,26.8
1967-12-01,26.4
1968-01-01,26.8
1968-02-01,26.9
1968-03-01,26.8
1968-04-01,26.5
1968-05-01,26.6
1968-06-01,26.7
1968-07-01,26.8
1968-08-01,27
1968-09-01,26.9
1968-10-01,26.9
1968-11-01,27.1
1968-12-01,26.9
1969-01-01,27.1
1969-02-01,27.2
1969-03-01,27.7
1969-04-01,27.9
1969-05-01,27.8
1969-06-01,28
1969-07-01,27.8
1969-08-01,27.8
1969-09-01,27.7
1969-10-01,27.8
1969-11-01,27.5
1969-12-01,27.7
1970-01-01,27.6
1970-02-01,27.8
1970-03-01,27.2
1970-04-01,28.3
1970-05-01,28.1
1970-06-01,27.8
1970-07-01,28
1970-08-01,27.5
1970-09-01,27.7
1970-10-01,28.1
1970-11-01,28.2
1970-12-01,28.4
1971-01-01,28.5
1971-02-01,28.2
1971-03-01,27.9
1971-04-01,27.5
1971-05-01,27.5
1971-06-01,27.7
1971-07-01,27.3
1971-08-01,28.4
1971-09-01,28.6
1971-10-01,28.7
1971-11-01,28.4
1971-12-01,28.5
1972-01-01,28.3
1972-02-01,28.1
1972-03-01,28.1
1972-04-01,27.8
1972-05-01,28
1972-06-01,27.8
1972-07-01,28
1972-08-01,28.4
1972-09-01,29
1972-10-01,29.1
1972-11-01,29.3
1972-12-01,29.3
1973-01-01,29.4
1973-02-01,29.6
1973-03-01,29.7
1973-04-01,30.2
1973-05-01,30.4
1973-06-01,31.1
1973-07-01,31
1973-08-01,31
1973-09-01,30.8
1973-10-01,32.2
1973-11-01,33.7
1973-12-01,35.2
1974-01-01,37.2
1974-02-01,39.3
1974-03-01,42.2
1974-04-01,42.8
1974-05-01,43.6
1974-06-01,43.7
1974-07-01,43.7
1974-08-01,43.5
1974-09-01,43.3
1974-10-01,42.6
1974-11-01,42.4
1974-12-01,42.5
1975-01-01,42.8
1975-02-01,42.8
1975-03-01,43
1975-04-01,43
1975-05-01,43.5
1975-06-01,44.5
1975-07-01,46.1
1975-08-01,46.6
1975-09-01,47
1975-10-01,47.4
1975-11-01,47.4
1975-12-01,47.2
1976-01-01,47.1
1976-02-01,46.8
1976-03-01,46.3
1976-04-01,45.8
1976-05-01,46.1
1976-06-01,46.7
1976-07-01,46.8
1976-08-01,46.9
1976-09-01,47.2
1976-10-01,47.8
1976-11-01,48.2
1976-12-01,48.3
1977-01-01,48.5
1977-02-01,49.2
1977-03-01,49.7
1977-04-01,49.7
1977-05-01,50.1
1977-06-01,49.8
1977-07-01,49.4
1977-08-01,49.4
1977-09-01,49.6
1977-10-01,50.1
1977-11-01,50.5
1977-12-01,50.9
1978-01-01,50.9
1978-02-01,50.6
1978-03-01,50.8
1978-04-01,50.5
1978-05-01,50.5
1978-06-01,50.7
1978-07-01,51.1
1978-08-01,51.8
1978-09-01,52.6
1978-10-01,53.5
1978-11-01,54.4
1978-12-01,55.4
1979-01-01,56
1979-02-01,56.4
1979-03-01,59.1
1979-04-01,62.2
1979-05-01,65.3
1979-06-01,69.1
1979-07-01,72.7
1979-08-01,76
1979-09-01,78.8
1979-10-01,80.4
1979-11-01,81.8
1979-12-01,83.9
1980-01-01,89.8
1980-02-01,94.3
1980-03-01,99.7
1980-04-01,98.7
1980-05-01,98.7
1980-06-01,98.2
1980-07-01,97.9
1980-08-01,97.8
1980-09-01,97.8
1980-10-01,98.6
1980-11-01,98.8
1980-12-01,99.3
1981-01-01,103.6
1981-02-01,110.1
1981-03-01,113
1981-04-01,110.6
1981-05-01,109
1981-06-01,107.8
1981-07-01,107.2
1981-08-01,107.2
1981-09-01,107.7
1981-10-01,108.4
1981-11-01,109
1981-12-01,108.6
1982-01-01,108.2
1982-02-01,106.1
1982-03-01,103.6
1982-04-01,97.2
1982-05-01,97.8
1982-06-01,102.8
1982-07-01,104.3
1982-08-01,104.1
1982-09-01,103.3
1982-10-01,103.2
1982-11-01,102.9
1982-12-01,100.3
1983-01-01,99.1
1983-02-01,95.8
1983-03-01,94.2
1983-04-01,98.3
1983-05-01,100.5
1983-06-01,101.1
1983-07-01,101.4
1983-08-01,102.1
1983-09-01,101.3
1983-10-01,100.7
1983-11-01,99.6
1983-12-01,98.7
1984-01-01,99
1984-02-01,99.4
1984-03-01,100.2
1984-04-01,99.8
1984-05-01,99.4
1984-06-01,98.2
1984-07-01,96.3
1984-08-01,95.1
1984-09-01,95.9
1984-10-01,97.3
1984-11-01,96.9
1984-12-01,95.9
1985-01-01,96.3
1985-02-01,96.6
1985-03-01,98.1
1985-04-01,99.7
1985-05-01,99.3
1985-06-01,99.7
1985-07-01,100
1985-08-01,98.5
1985-09-01,98.2
