"Date","CUUR0000SEED"
1997-12-01,100
1998-01-01,99.9
1998-02-01,100
1998-03-01,100.4
1998-04-01,100.5
1998-05-01,101.1
1998-06-01,101.4
1998-07-01,101.5
1998-08-01,100.4
1998-09-01,100.7
1998-10-01,100.7
1998-11-01,101.1
1998-12-01,100.3
1999-01-01,100.7
1999-02-01,100.4
1999-03-01,100.2
1999-04-01,100
1999-05-01,99.6
1999-06-01,99.7
1999-07-01,99.5
1999-08-01,99.8
1999-09-01,99.6
1999-10-01,99.8
1999-11-01,100.6
1999-12-01,100.7
2000-01-01,100.9
2000-02-01,99.4
2000-03-01,98.9
2000-04-01,98.6
2000-05-01,98.5
2000-06-01,97.2
2000-07-01,98.2
2000-08-01,98.9
2000-09-01,97
2000-10-01,98.3
2000-11-01,97.5
2000-12-01,98.4
2001-01-01,98.8
2001-02-01,98.7
2001-03-01,99.4
2001-04-01,99
2001-05-01,98.7
2001-06-01,99
2001-07-01,99.6
2001-08-01,99.6
2001-09-01,99.2
2001-10-01,99.9
2001-11-01,99.6
2001-12-01,99.7
2002-01-01,100.3
2002-02-01,100.3
2002-03-01,99.1
2002-04-01,98.2
2002-05-01,99.3
2002-06-01,99.2
2002-07-01,99.5
2002-08-01,100.6
2002-09-01,100.1
2002-10-01,99.9
2002-11-01,99.8
2002-12-01,99.9
2003-01-01,100.4
2003-02-01,100.5
2003-03-01,99.7
2003-04-01,98.7
2003-05-01,98.1
2003-06-01,97.5
2003-07-01,98.1
2003-08-01,97.8
2003-09-01,97.4
2003-10-01,97.1
2003-11-01,97.2
2003-12-01,97.2
2004-01-01,97
2004-02-01,97.1
2004-03-01,96.7
2004-04-01,96.5
2004-05-01,95.9
2004-06-01,95.8
2004-07-01,95.6
2004-08-01,95
2004-09-01,95.3
2004-10-01,94.6
2004-11-01,94.9
2004-12-01,94.8
2005-01-01,94.8
2005-02-01,95.1
2005-03-01,95
2005-04-01,95.3
2005-05-01,94.8
2005-06-01,94.6
2005-07-01,94.4
2005-08-01,94.1
2005-09-01,95.1
2005-10-01,94.6
2005-11-01,95.2
2005-12-01,95.2
2006-01-01,95.2
2006-02-01,95.2
2006-03-01,95
2006-04-01,95.4
2006-05-01,95.2
2006-06-01,95.4
2006-07-01,95.6
2006-08-01,95.9
2006-09-01,96.1
2006-10-01,96.8
2006-11-01,96.5
2006-12-01,96.8
