"Date","CUUR0000SEGD"
1977-12-01,53.9
1978-01-01,53.9
1978-02-01,54.6
1978-03-01,55
1978-04-01,55.2
1978-05-01,55.6
1978-06-01,55.9
1978-07-01,56.3
1978-08-01,57
1978-09-01,57.5
1978-10-01,57.8
1978-11-01,58.1
1978-12-01,58.4
1979-01-01,58.9
1979-02-01,59.2
1979-03-01,59.6
1979-04-01,59.8
1979-05-01,60.5
1979-06-01,60.6
1979-07-01,60.9
1979-08-01,61.8
1979-09-01,62
1979-10-01,62.4
1979-11-01,62.6
1979-12-01,63.2
1980-01-01,64.7
1980-02-01,67
1980-03-01,67.3
1980-04-01,67.9
1980-05-01,68.8
1980-06-01,69.3
1980-07-01,69.7
1980-08-01,70.4
1980-09-01,70.3
1980-10-01,71.3
1980-11-01,71.6
1980-12-01,71.9
1981-01-01,73.1
1981-02-01,73.8
1981-03-01,74.7
1981-04-01,76.4
1981-05-01,77.3
1981-06-01,78.8
1981-07-01,79.7
1981-08-01,80.1
1981-09-01,80.8
1981-10-01,82
1981-11-01,82.3
1981-12-01,82.6
1982-01-01,83.1
1982-02-01,84.1
1982-03-01,84.8
1982-04-01,86.7
1982-05-01,88.1
1982-06-01,88.6
1982-07-01,89.4
1982-08-01,90.2
1982-09-01,91.2
1982-10-01,92.6
1982-11-01,93.8
1982-12-01,94.5
1983-01-01,95.9
1983-02-01,96.7
1983-03-01,97.6
1983-04-01,98.6
1983-05-01,99.7
1983-06-01,100.2
1983-07-01,101.2
1983-08-01,102.2
1983-09-01,103.7
1983-10-01,104.2
1983-11-01,104.8
1983-12-01,106
1984-01-01,107
1984-02-01,107.5
1984-03-01,108.4
1984-04-01,108.8
1984-05-01,109.6
1984-06-01,110
1984-07-01,110.4
1984-08-01,111.2
1984-09-01,111.7
1984-10-01,112.3
1984-11-01,112.5
1984-12-01,112.8
1985-01-01,113.5
1985-02-01,114.5
1985-03-01,115.7
1985-04-01,116.6
1985-05-01,116.9
1985-06-01,117.5
1985-07-01,118
1985-08-01,118.5
1985-09-01,118.8
1985-10-01,119.3
1985-11-01,119.5
1985-12-01,119.7
1986-01-01,120.3
1986-02-01,121
1986-03-01,121.2
1986-04-01,122.6
1986-05-01,123.7
1986-06-01,124.6
1986-07-01,125.7
1986-08-01,126.8
1986-09-01,127.5
1986-10-01,128.2
1986-11-01,129.3
1986-12-01,130.4
1987-01-01,130.9
1987-02-01,131.8
1987-03-01,132.3
1987-04-01,132.8
1987-05-01,133.1
1987-06-01,133.6
1987-07-01,134.2
1987-08-01,134.9
1987-09-01,135.1
1987-10-01,135.5
1987-11-01,136
1987-12-01,136.2
1988-01-01,136.7
1988-02-01,137.8
1988-03-01,138.6
1988-04-01,138.9
1988-05-01,139.6
1988-06-01,140.4
1988-07-01,141
1988-08-01,141.2
1988-09-01,141.5
1988-10-01,142
1988-11-01,142.4
1988-12-01,143.1
1989-01-01,144.4
1989-02-01,145
1989-03-01,145.3
1989-04-01,146.1
1989-05-01,146.9
1989-06-01,148.4
1989-07-01,148.8
1989-08-01,149.5
1989-09-01,150.2
1989-10-01,150.4
1989-11-01,150.4
1989-12-01,151.4
1990-01-01,152.6
1990-02-01,153.5
1990-03-01,155.5
1990-04-01,156.2
1990-05-01,158.4
1990-06-01,158.9
1990-07-01,159.6
1990-08-01,160
1990-09-01,160.7
1990-10-01,161.5
1990-11-01,161.9
1990-12-01,162
1991-01-01,163.2
1991-02-01,164.6
1991-03-01,166.9
1991-04-01,167.7
1991-05-01,168.3
1991-06-01,168.5
1991-07-01,169.5
1991-08-01,170.5
1991-09-01,171
1991-10-01,171.6
1991-11-01,171.9
1991-12-01,172.4
1992-01-01,174.3
1992-02-01,175.5
1992-03-01,176.4
1992-04-01,176.5
1992-05-01,176.8
1992-06-01,177.1
1992-07-01,177.5
1992-08-01,178.2
1992-09-01,178.6
1992-10-01,179.4
1992-11-01,179.9
1992-12-01,179.8
1993-01-01,181
1993-02-01,182.1
1993-03-01,182.8
1993-04-01,183.4
1993-05-01,185.9
1993-06-01,186.3
1993-07-01,187
1993-08-01,187.5
1993-09-01,187.8
1993-10-01,189.4
1993-11-01,189.8
1993-12-01,190.3
1994-01-01,191.2
1994-02-01,191.9
1994-03-01,192.7
1994-04-01,195.5
1994-05-01,195.6
1994-06-01,196.1
