"Date","CUUR0000SEHG"
1997-12-01,100
1998-01-01,100.2
1998-02-01,100.7
1998-03-01,100.9
1998-04-01,101.1
1998-05-01,101.3
1998-06-01,101.5
1998-07-01,102
1998-08-01,102.2
1998-09-01,102.3
1998-10-01,102.4
1998-11-01,102.4
1998-12-01,102.7
1999-01-01,103
1999-02-01,103.2
1999-03-01,103.4
1999-04-01,103.6
1999-05-01,103.7
1999-06-01,103.8
1999-07-01,104.1
1999-08-01,104.4
1999-09-01,104.5
1999-10-01,104.6
1999-11-01,104.7
1999-12-01,104.7
2000-01-01,105.2
2000-02-01,105.5
2000-03-01,105.8
2000-04-01,105.9
2000-05-01,106.2
2000-06-01,106.3
2000-07-01,106.7
2000-08-01,107
2000-09-01,107.2
2000-10-01,107.2
2000-11-01,107.6
2000-12-01,107.9
2001-01-01,108.1
2001-02-01,108.4
2001-03-01,108.7
2001-04-01,108.8
2001-05-01,109.1
2001-06-01,109.1
2001-07-01,109.5
2001-08-01,110.2
2001-09-01,110.4
2001-10-01,110.6
2001-11-01,110.7
2001-12-01,111
2002-01-01,111.6
2002-02-01,111.8
2002-03-01,112.3
2002-04-01,112.6
2002-05-01,112.7
2002-06-01,112.6
2002-07-01,113
2002-08-01,113.5
2002-09-01,113.6
2002-10-01,113.9
2002-11-01,114.3
2002-12-01,114.6
2003-01-01,114.8
2003-02-01,115
2003-03-01,115.9
2003-04-01,116.1
2003-05-01,116.4
2003-06-01,116.4
2003-07-01,117
2003-08-01,118
2003-09-01,118.3
2003-10-01,118.8
2003-11-01,119.4
2003-12-01,119.8
2004-01-01,120.6
2004-02-01,121.8
2004-03-01,122.2
2004-04-01,122.3
2004-05-01,123.3
2004-06-01,123.6
2004-07-01,124.4
2004-08-01,125.3
2004-09-01,125.7
2004-10-01,126
2004-11-01,126.2
2004-12-01,126.3
2005-01-01,127.6
2005-02-01,128.5
2005-03-01,128.9
2005-04-01,129.1
2005-05-01,129.5
2005-06-01,129.9
2005-07-01,130.7
2005-08-01,131.2
2005-09-01,131.4
2005-10-01,131.9
2005-11-01,132.5
2005-12-01,132.9
2006-01-01,134
2006-02-01,135
2006-03-01,135.1
2006-04-01,135.4
2006-05-01,135.7
2006-06-01,136.2
2006-07-01,137.1
2006-08-01,137.8
2006-09-01,138.2
2006-10-01,138.6
2006-11-01,139
2006-12-01,139.3
2007-01-01,140.634
2007-02-01,141.349
2007-03-01,141.806
2007-04-01,142.184
2007-05-01,142.552
2007-06-01,142.805
2007-07-01,144.181
2007-08-01,144.972
2007-09-01,145.246
2007-10-01,145.488
2007-11-01,146.376
2007-12-01,146.878
2008-01-01,148.277
2008-02-01,149.057
2008-03-01,149.315
2008-04-01,149.536
2008-05-01,150.069
2008-06-01,150.554
2008-07-01,152.063
2008-08-01,154.134
2008-09-01,154.264
2008-10-01,155.557
2008-11-01,156.193
2008-12-01,156.39
2009-01-01,157.275
2009-02-01,157.638
2009-03-01,158.052
2009-04-01,158.698
2009-05-01,159.517
2009-06-01,159.831
2009-07-01,161.403
2009-08-01,163.136
2009-09-01,163.429
2009-10-01,164.591
2009-11-01,164.962
2009-12-01,165.204
2010-01-01,166.857
2010-02-01,168.078
2010-03-01,168.521
2010-04-01,169.116
2010-05-01,169.825
2010-06-01,169.745
2010-07-01,171.156
2010-08-01,172.491
2010-09-01,172.833
2010-10-01,173.36
2010-11-01,174.094
2010-12-01,174.543
2011-01-01,175.754
2011-02-01,177.194
2011-03-01,177.694
2011-04-01,178.033
2011-05-01,178.521
2011-06-01,178.64
2011-07-01,179.82
2011-08-01,180.762
2011-09-01,181.569
2011-10-01,181.916
2011-11-01,182.254
2011-12-01,182.758
2012-01-01,183.984
2012-02-01,185.499
2012-03-01,186.28
2012-04-01,187.473
2012-05-01,187.788
2012-06-01,188.489
2012-07-01,189.75
2012-08-01,191.927
2012-09-01,191.833
2012-10-01,192.37
2012-11-01,192.921
2012-12-01,193.237
2013-01-01,194.553
2013-02-01,195.505
2013-03-01,195.981
2013-04-01,196.319
2013-05-01,196.727
2013-06-01,196.989
2013-07-01,198.173
2013-08-01,198.736
2013-09-01,198.804
2013-10-01,199.759
2013-11-01,200.004
2013-12-01,200.203
2014-01-01,201.169
2014-02-01,202.149
2014-03-01,202.657
2014-04-01,203.084
2014-05-01,203.124
2014-06-01,203.396
2014-07-01,205.022
2014-08-01,206.171
2014-09-01,206.363
2014-10-01,207.633
2014-11-01,208.562
2014-12-01,209.414
2015-01-01,210.243
2015-02-01,211.397
2015-03-01,211.738
2015-04-01,212.153
2015-05-01,212.542
2015-06-01,212.863
2015-07-01,213.873
2015-08-01,215.844
2015-09-01,216.173
2015-10-01,216.38
2015-11-01,217.004
2015-12-01,217.386
2016-01-01,218.37
2016-02-01,219.036
