"Date","CUUR0100SA0LE"
1977-12-01,65.1
1978-01-01,NA
1978-02-01,65.8
1978-03-01,NA
1978-04-01,66.8
1978-05-01,NA
1978-06-01,68.1
1978-07-01,NA
1978-08-01,68.8
1978-09-01,NA
1978-10-01,69.6
1978-11-01,NA
1978-12-01,70.3
1979-01-01,NA
1979-02-01,71.6
1979-03-01,NA
1979-04-01,72.4
1979-05-01,NA
1979-06-01,73.3
1979-07-01,NA
1979-08-01,74.1
1979-09-01,NA
1979-10-01,75.4
1979-11-01,NA
1979-12-01,76.6
1980-01-01,NA
1980-02-01,77.8
1980-03-01,NA
1980-04-01,79.7
1980-05-01,NA
1980-06-01,81.2
1980-07-01,NA
1980-08-01,82.9
1980-09-01,NA
1980-10-01,84.2
1980-11-01,NA
1980-12-01,85.6
1981-01-01,NA
1981-02-01,86.6
1981-03-01,NA
1981-04-01,87.5
1981-05-01,NA
1981-06-01,89.1
1981-07-01,NA
1981-08-01,91.3
1981-09-01,NA
1981-10-01,92.5
1981-11-01,NA
1981-12-01,93
1982-01-01,NA
1982-02-01,92.8
1982-03-01,NA
1982-04-01,93
1982-05-01,NA
1982-06-01,95.9
1982-07-01,NA
1982-08-01,96
1982-09-01,NA
1982-10-01,97.2
1982-11-01,NA
1982-12-01,97.1
1983-01-01,NA
1983-02-01,98
1983-03-01,NA
1983-04-01,99.1
1983-05-01,NA
1983-06-01,99.5
1983-07-01,NA
1983-08-01,100.2
1983-09-01,NA
1983-10-01,101.4
1983-11-01,NA
1983-12-01,102
1984-01-01,NA
1984-02-01,103.2
1984-03-01,NA
1984-04-01,104.2
1984-05-01,NA
1984-06-01,104.6
1984-07-01,NA
1984-08-01,105.8
1984-09-01,NA
1984-10-01,106.6
1984-11-01,NA
1984-12-01,107
1985-01-01,NA
1985-02-01,108
1985-03-01,NA
1985-04-01,108.9
1985-05-01,NA
1985-06-01,109.2
1985-07-01,NA
1985-08-01,109.8
1985-09-01,NA
1985-10-01,110.9
1985-11-01,NA
1985-12-01,111.8
1986-01-01,NA
1986-02-01,112.6
1986-03-01,NA
1986-04-01,113.6
1986-05-01,NA
1986-06-01,113.9
1986-07-01,NA
1986-08-01,115.2
1986-09-01,NA
1986-10-01,116.5
1986-11-01,NA
1986-12-01,117
1987-01-01,117.7
1987-02-01,117.9
1987-03-01,118.5
1987-04-01,119.3
1987-05-01,119.7
1987-06-01,119.9
1987-07-01,120.1
1987-08-01,120.9
1987-09-01,121.7
1987-10-01,122.6
1987-11-01,122.7
1987-12-01,122.9
1988-01-01,123.6
1988-02-01,123.8
1988-03-01,124.5
1988-04-01,125.4
1988-05-01,125.7
1988-06-01,126.2
1988-07-01,126.6
1988-08-01,127.4
1988-09-01,129
1988-10-01,129.5
1988-11-01,129.8
1988-12-01,129.8
1989-01-01,130.6
1989-02-01,131
1989-03-01,132.1
1989-04-01,132.5
1989-05-01,133.3
1989-06-01,133.3
1989-07-01,133.8
1989-08-01,134.1
1989-09-01,135.2
1989-10-01,136.1
1989-11-01,136.6
1989-12-01,136.6
1990-01-01,137.7
1990-02-01,138.3
1990-03-01,139.5
1990-04-01,140
1990-05-01,140.3
1990-06-01,140.3
1990-07-01,141.5
1990-08-01,142.6
1990-09-01,143.3
1990-10-01,143.8
1990-11-01,143.9
1990-12-01,144
1991-01-01,145.7
1991-02-01,146.5
1991-03-01,147
1991-04-01,147.3
1991-05-01,147.5
1991-06-01,147.7
1991-07-01,148.2
1991-08-01,148.6
1991-09-01,149.3
1991-10-01,149.6
1991-11-01,150.1
1991-12-01,150.4
1992-01-01,150.9
1992-02-01,151.5
1992-03-01,152.6
1992-04-01,152.7
1992-05-01,152.7
1992-06-01,153
1992-07-01,153.5
1992-08-01,154.3
1992-09-01,154.6
1992-10-01,155.3
1992-11-01,155.2
1992-12-01,155
1993-01-01,156
1993-02-01,156.9
1993-03-01,157.6
1993-04-01,157.8
1993-05-01,157.5
1993-06-01,157.7
1993-07-01,157.9
1993-08-01,158.4
1993-09-01,158.6
1993-10-01,159.3
1993-11-01,159.4
1993-12-01,159.5
1994-01-01,160.1
1994-02-01,160.9
1994-03-01,161.3
1994-04-01,161.4
1994-05-01,161.3
1994-06-01,161.7
1994-07-01,162
1994-08-01,162.7
1994-09-01,162.8
1994-10-01,163.4
1994-11-01,163.6
1994-12-01,163.2
1995-01-01,164.2
1995-02-01,164.8
1995-03-01,165.3
1995-04-01,165.6
1995-05-01,165.8
1995-06-01,165.9
1995-07-01,166.3
1995-08-01,166.9
1995-09-01,167.4
1995-10-01,168
1995-11-01,168.1
1995-12-01,168
1996-01-01,168.8
1996-02-01,169.6
1996-03-01,170.3
1996-04-01,170
1996-05-01,170.1
1996-06-01,170.2
1996-07-01,170.7
1996-08-01,171.4
1996-09-01,172
1996-10-01,172.7
1996-11-01,172.7
1996-12-01,172.7
1997-01-01,173.2
1997-02-01,174
1997-03-01,174.6
1997-04-01,174.6
1997-05-01,174.5
1997-06-01,174.6
1997-07-01,175.3
1997-08-01,175.5
1997-09-01,176
1997-10-01,176.6
1997-11-01,176.3
1997-12-01,176.3
1998-01-01,177
1998-02-01,177.6
1998-03-01,178.1
1998-04-01,178.2
1998-05-01,178.3
1998-06-01,178.3
1998-07-01,178.7
1998-08-01,179.4
1998-09-01,179.7
1998-10-01,180.6
1998-11-01,180.4
1998-12-01,180.5
1999-01-01,180.9
1999-02-01,181.1
1999-03-01,181.6
1999-04-01,182.1
1999-05-01,182.1
1999-06-01,182.2
1999-07-01,182.5
1999-08-01,183
1999-09-01,183.5
1999-10-01,184.2
1999-11-01,184.1
1999-12-01,183.9
2000-01-01,184.6
2000-02-01,185.3
2000-03-01,186.2
2000-04-01,186.4
2000-05-01,186.5
2000-06-01,186.4
2000-07-01,186.9
2000-08-01,187.4
2000-09-01,188
2000-10-01,188.7
2000-11-01,188.6
2000-12-01,188.4
2001-01-01,189.2
2001-02-01,189.9
2001-03-01,191.3
2001-04-01,191.5
2001-05-01,191.5
2001-06-01,192
2001-07-01,192.2
2001-08-01,192.8
2001-09-01,193
2001-10-01,193.7
2001-11-01,194.2
2001-12-01,193.9
2002-01-01,194.8
2002-02-01,196.1
2002-03-01,196.8
2002-04-01,197.1
2002-05-01,197
2002-06-01,197
2002-07-01,197.5
2002-08-01,198.5
2002-09-01,198.7
2002-10-01,199.2
2002-11-01,199.1
2002-12-01,198.6
2003-01-01,199
2003-02-01,199.7
2003-03-01,200.4
2003-04-01,200.5
2003-05-01,201
2003-06-01,201.1
2003-07-01,201.9
2003-08-01,202.5
2003-09-01,202.6
2003-10-01,203.6
2003-11-01,203.5
2003-12-01,203.3
2004-01-01,204
2004-02-01,204.6
2004-03-01,206.5
2004-04-01,207.3
2004-05-01,207.3
2004-06-01,207.7
2004-07-01,208
2004-08-01,208
2004-09-01,208.5
2004-10-01,209.6
2004-11-01,209.3
2004-12-01,208.8
2005-01-01,209.7
2005-02-01,210.5
2005-03-01,212.8
2005-04-01,212.9
2005-05-01,212.4
2005-06-01,212.1
2005-07-01,213.2
2005-08-01,213.4
2005-09-01,212.9
2005-10-01,214.5
2005-11-01,214.4
2005-12-01,213.7
2006-01-01,214.6
2006-02-01,215.9
2006-03-01,217.4
2006-04-01,218.1
2006-05-01,218.5
2006-06-01,219.2
2006-07-01,219.9
2006-08-01,220.5
2006-09-01,220
2006-10-01,220.8
2006-11-01,220.1
2006-12-01,220
2007-01-01,220.527
2007-02-01,221.756
2007-03-01,222.343
2007-04-01,222.913
2007-05-01,223.265
2007-06-01,223.825
2007-07-01,224.55
2007-08-01,224.824
2007-09-01,225.007
2007-10-01,225.587
2007-11-01,225.546
2007-12-01,225.391
2008-01-01,226.046
2008-02-01,227.18
2008-03-01,228.382
2008-04-01,228.803
2008-05-01,229.145
2008-06-01,229.918
2008-07-01,231.345
2008-08-01,231.869
2008-09-01,232.476
2008-10-01,232.687
2008-11-01,232.094
