"Date","CUUR0300SA0L2"
1977-12-01,64.3
1978-01-01,NA
1978-02-01,65.1
1978-03-01,NA
1978-04-01,66.2
1978-05-01,NA
1978-06-01,67.5
1978-07-01,NA
1978-08-01,68.4
1978-09-01,NA
1978-10-01,69
1978-11-01,NA
1978-12-01,69.6
1979-01-01,NA
1979-02-01,71
1979-03-01,NA
1979-04-01,72.6
1979-05-01,NA
1979-06-01,74.2
1979-07-01,NA
1979-08-01,75.3
1979-09-01,NA
1979-10-01,76.3
1979-11-01,NA
1979-12-01,77.3
1980-01-01,NA
1980-02-01,79.5
1980-03-01,NA
1980-04-01,81.1
1980-05-01,NA
1980-06-01,82.2
1980-07-01,NA
1980-08-01,83.6
1980-09-01,NA
1980-10-01,85
1980-11-01,NA
1980-12-01,86.1
1981-01-01,NA
1981-02-01,88.1
1981-03-01,NA
1981-04-01,89.4
1981-05-01,NA
1981-06-01,90.5
1981-07-01,NA
1981-08-01,91.7
1981-09-01,NA
1981-10-01,92.7
1981-11-01,NA
1981-12-01,93.4
1982-01-01,NA
1982-02-01,94.1
1982-03-01,NA
1982-04-01,94.3
1982-05-01,NA
1982-06-01,96.2
1982-07-01,NA
1982-08-01,96.9
1982-09-01,NA
1982-10-01,97.7
1982-11-01,NA
1982-12-01,98
1983-01-01,NA
1983-02-01,98
1983-03-01,NA
1983-04-01,99
1983-05-01,NA
1983-06-01,99.8
1983-07-01,NA
1983-08-01,100.4
1983-09-01,NA
1983-10-01,101.5
1983-11-01,NA
1983-12-01,101.6
1984-01-01,NA
1984-02-01,102.7
1984-03-01,NA
1984-04-01,103.3
1984-05-01,NA
1984-06-01,104
1984-07-01,NA
1984-08-01,104.7
1984-09-01,NA
1984-10-01,105.5
1984-11-01,NA
1984-12-01,105.5
1985-01-01,NA
1985-02-01,106
1985-03-01,NA
1985-04-01,106.9
1985-05-01,NA
1985-06-01,107.4
1985-07-01,NA
1985-08-01,107.6
1985-09-01,NA
1985-10-01,108.3
1985-11-01,NA
1985-12-01,108.8
1986-01-01,NA
1986-02-01,108.9
1986-03-01,NA
1986-04-01,107.3
1986-05-01,NA
1986-06-01,108.1
1986-07-01,NA
1986-08-01,108.3
1986-09-01,NA
1986-10-01,108.9
1986-11-01,NA
1986-12-01,109.2
1987-01-01,109.8
1987-02-01,110.3
1987-03-01,110.7
1987-04-01,111.2
1987-05-01,111.7
1987-06-01,112.1
1987-07-01,112.5
1987-08-01,112.8
1987-09-01,113.3
1987-10-01,113.8
1987-11-01,114.1
1987-12-01,113.9
1988-01-01,113.9
1988-02-01,114.1
1988-03-01,114.6
1988-04-01,115.3
1988-05-01,115.6
1988-06-01,116.2
1988-07-01,116.7
1988-08-01,117.1
1988-09-01,118
1988-10-01,118.7
1988-11-01,118.8
1988-12-01,118.8
1989-01-01,119.2
1989-02-01,119.6
1989-03-01,120.2
1989-04-01,121.4
1989-05-01,122.1
1989-06-01,122.4
1989-07-01,122.5
1989-08-01,122.4
1989-09-01,123
1989-10-01,123.6
1989-11-01,123.7
1989-12-01,123.9
1990-01-01,125.3
1990-02-01,126.2
1990-03-01,126.7
1990-04-01,126.9
1990-05-01,127.2
1990-06-01,127.7
1990-07-01,128.2
1990-08-01,129.1
1990-09-01,130.5
1990-10-01,131.8
1990-11-01,132.1
1990-12-01,131.9
1991-01-01,132.4
1991-02-01,132.8
1991-03-01,132.9
1991-04-01,133.2
1991-05-01,133.6
1991-06-01,133.9
1991-07-01,133.8
1991-08-01,134.2
1991-09-01,134.8
1991-10-01,135
1991-11-01,135.2
1991-12-01,135.2
1992-01-01,135.2
1992-02-01,135.8
1992-03-01,136.4
1992-04-01,136.7
1992-05-01,137.1
1992-06-01,137.5
1992-07-01,137.6
1992-08-01,137.6
1992-09-01,138.2
1992-10-01,138.7
1992-11-01,139
1992-12-01,138.7
1993-01-01,139.1
1993-02-01,139.6
1993-03-01,140.4
1993-04-01,141
1993-05-01,141.6
1993-06-01,141.6
1993-07-01,141.4
1993-08-01,141.9
1993-09-01,142.3
1993-10-01,143
1993-11-01,143.2
1993-12-01,143
1994-01-01,143
1994-02-01,143.3
1994-03-01,144
1994-04-01,144.2
1994-05-01,144.7
1994-06-01,145.1
1994-07-01,145.4
1994-08-01,145.8
1994-09-01,146.3
1994-10-01,146.4
1994-11-01,146.4
1994-12-01,146.5
1995-01-01,146.9
1995-02-01,147.5
1995-03-01,148.1
1995-04-01,148.6
1995-05-01,149
1995-06-01,149.2
1995-07-01,149.1
1995-08-01,149.7
1995-09-01,149.9
1995-10-01,150.5
1995-11-01,150.4
1995-12-01,150.2
1996-01-01,150.9
1996-02-01,151.1
1996-03-01,152
1996-04-01,153.1
1996-05-01,153.3
1996-06-01,153.8
1996-07-01,153.5
1996-08-01,153.6
1996-09-01,154.3
1996-10-01,154.7
1996-11-01,154.9
1996-12-01,154.9
1997-01-01,155.4
1997-02-01,155.6
1997-03-01,155.9
1997-04-01,156.2
1997-05-01,156.2
1997-06-01,156.3
1997-07-01,156
1997-08-01,156.3
1997-09-01,156.8
1997-10-01,157.1
1997-11-01,157
1997-12-01,156.3
1998-01-01,156.4
1998-02-01,156.2
1998-03-01,156.4
1998-04-01,156.8
1998-05-01,157.1
1998-06-01,157.4
1998-07-01,157.4
1998-08-01,157.6
1998-09-01,157.5
1998-10-01,157.9
1998-11-01,157.6
1998-12-01,157.6
1999-01-01,157.7
1999-02-01,157.7
1999-03-01,158.1
1999-04-01,159.3
1999-05-01,159.6
1999-06-01,159.5
1999-07-01,159.9
1999-08-01,160.3
1999-09-01,161.4
1999-10-01,161.9
1999-11-01,161.8
1999-12-01,162
2000-01-01,162.1
2000-02-01,162.9
2000-03-01,164.6
2000-04-01,165
2000-05-01,164.9
2000-06-01,165.8
2000-07-01,166.2
2000-08-01,166.1
2000-09-01,166.8
2000-10-01,166.8
2000-11-01,166.9
2000-12-01,166.8
2001-01-01,167.5
2001-02-01,168.4
2001-03-01,168.6
2001-04-01,169.6
2001-05-01,169.9
2001-06-01,170.2
2001-07-01,169.3
2001-08-01,169
2001-09-01,170.2
2001-10-01,169.5
2001-11-01,168.5
2001-12-01,167.5
2002-01-01,167.6
2002-02-01,167.7
2002-03-01,168.8
2002-04-01,170.2
2002-05-01,170
2002-06-01,170.3
2002-07-01,170.2
2002-08-01,170.4
2002-09-01,171
2002-10-01,171.7
2002-11-01,171.7
2002-12-01,171.1
2003-01-01,171.7
2003-02-01,173.2
2003-03-01,174.4
2003-04-01,174.1
2003-05-01,173.2
2003-06-01,173.6
2003-07-01,173.5
2003-08-01,174.3
2003-09-01,175
2003-10-01,174.5
2003-11-01,173.9
2003-12-01,173.8
2004-01-01,174.6
2004-02-01,175.4
2004-03-01,176.5
2004-04-01,177.4
2004-05-01,178.7
2004-06-01,179.7
2004-07-01,179
2004-08-01,179.1
2004-09-01,179.5
2004-10-01,180.6
2004-11-01,180.7
2004-12-01,180.1
2005-01-01,180.1
2005-02-01,181
2005-03-01,182.4
2005-04-01,184.3
2005-05-01,184.1
2005-06-01,184.5
2005-07-01,185.2
2005-08-01,186.6
2005-09-01,190.7
2005-10-01,191.2
2005-11-01,188.6
2005-12-01,187.5
2006-01-01,189.2
2006-02-01,188.9
2006-03-01,189.8
2006-04-01,192.4
2006-05-01,193.2
2006-06-01,193.7
2006-07-01,194.2
2006-08-01,194.3
2006-09-01,192.5
2006-10-01,190.5
2006-11-01,189.8
2006-12-01,190.6
2007-01-01,190.232
2007-02-01,191.02
2007-03-01,193.274
2007-04-01,195.373
2007-05-01,197.065
2007-06-01,197.691
2007-07-01,197.267
2007-08-01,196.573
2007-09-01,197.574
2007-10-01,197.954
2007-11-01,199.751
2007-12-01,199.66
2008-01-01,200.657
2008-02-01,201.069
2008-03-01,202.967
2008-04-01,204.883
2008-05-01,207.436
2008-06-01,210.269
2008-07-01,211.446
2008-08-01,210.109
2008-09-01,210.487
2008-10-01,206.856
2008-11-01,200.361
2008-12-01,197.547
2009-01-01,198.118
2009-02-01,199.526
2009-03-01,200.094
2009-04-01,200.969
2009-05-01,201.822
2009-06-01,204.53
2009-07-01,203.988
