"Date","CUUR0300SAS"
1977-12-01,57.3
1978-01-01,NA
1978-02-01,58.3
1978-03-01,NA
1978-04-01,59.1
1978-05-01,NA
1978-06-01,60.3
1978-07-01,NA
1978-08-01,61.5
1978-09-01,NA
1978-10-01,62.6
1978-11-01,NA
1978-12-01,63.4
1979-01-01,NA
1979-02-01,64.4
1979-03-01,NA
1979-04-01,65.4
1979-05-01,NA
1979-06-01,67.2
1979-07-01,NA
1979-08-01,68.7
1979-09-01,NA
1979-10-01,70.4
1979-11-01,NA
1979-12-01,71.8
1980-01-01,NA
1980-02-01,74.1
1980-03-01,NA
1980-04-01,76.7
1980-05-01,NA
1980-06-01,79.2
1980-07-01,NA
1980-08-01,78.5
1980-09-01,NA
1980-10-01,79.8
1980-11-01,NA
1980-12-01,81.6
1981-01-01,NA
1981-02-01,83.8
1981-03-01,NA
1981-04-01,85.4
1981-05-01,NA
1981-06-01,87.8
1981-07-01,NA
1981-08-01,90.1
1981-09-01,NA
1981-10-01,91.8
1981-11-01,NA
1981-12-01,93.6
1982-01-01,NA
1982-02-01,94.8
1982-03-01,NA
1982-04-01,94.4
1982-05-01,NA
1982-06-01,96.6
1982-07-01,NA
1982-08-01,97.7
1982-09-01,NA
1982-10-01,98.3
1982-11-01,NA
1982-12-01,97.3
1983-01-01,NA
1983-02-01,98.2
1983-03-01,NA
1983-04-01,98.5
1983-05-01,NA
1983-06-01,99.4
1983-07-01,NA
1983-08-01,100
1983-09-01,NA
1983-10-01,101.1
1983-11-01,NA
1983-12-01,101.2
1984-01-01,NA
1984-02-01,102.2
1984-03-01,NA
1984-04-01,103.1
1984-05-01,NA
1984-06-01,103.8
1984-07-01,NA
1984-08-01,104.8
1984-09-01,NA
1984-10-01,105.7
1984-11-01,NA
1984-12-01,106.2
1985-01-01,NA
1985-02-01,106.8
1985-03-01,NA
1985-04-01,107.1
1985-05-01,NA
1985-06-01,108.5
1985-07-01,NA
1985-08-01,109.5
1985-09-01,NA
1985-10-01,110.5
1985-11-01,NA
1985-12-01,110.7
1986-01-01,NA
1986-02-01,111.7
1986-03-01,NA
1986-04-01,112.6
1986-05-01,NA
1986-06-01,113.6
1986-07-01,NA
1986-08-01,114
1986-09-01,NA
1986-10-01,114.8
1986-11-01,NA
1986-12-01,115
1987-01-01,115.5
1987-02-01,115.6
1987-03-01,116
1987-04-01,116.2
1987-05-01,116.3
1987-06-01,116.9
1987-07-01,117.5
1987-08-01,117.8
1987-09-01,118.3
1987-10-01,118.5
1987-11-01,118.8
1987-12-01,118.8
1988-01-01,119.3
1988-02-01,119.5
1988-03-01,119.8
1988-04-01,120.1
1988-05-01,120.2
1988-06-01,121
1988-07-01,121.6
1988-08-01,121.9
1988-09-01,122.4
1988-10-01,122.8
1988-11-01,122.9
1988-12-01,123.4
1989-01-01,124
1989-02-01,124.3
1989-03-01,124.7
1989-04-01,125.1
1989-05-01,125.4
1989-06-01,126.4
1989-07-01,127
1989-08-01,127.7
1989-09-01,127.8
1989-10-01,128.1
1989-11-01,128.4
1989-12-01,128.9
1990-01-01,129.6
1990-02-01,130.3
1990-03-01,130.8
1990-04-01,131.3
1990-05-01,131.9
1990-06-01,133.2
1990-07-01,134.2
1990-08-01,135.1
1990-09-01,135.4
1990-10-01,135.9
1990-11-01,136.1
1990-12-01,136.3
1991-01-01,137.3
1991-02-01,138
1991-03-01,138
1991-04-01,138.1
1991-05-01,138.4
1991-06-01,139
1991-07-01,140
1991-08-01,140.5
1991-09-01,140.8
1991-10-01,141.3
1991-11-01,141.4
1991-12-01,141.6
1992-01-01,142
1992-02-01,142.5
1992-03-01,142.9
1992-04-01,143.3
1992-05-01,143.8
1992-06-01,144.7
1992-07-01,145.2
1992-08-01,145.6
1992-09-01,145.5
1992-10-01,146.2
1992-11-01,146.5
1992-12-01,146.8
1993-01-01,147.6
1993-02-01,148.1
1993-03-01,148.7
1993-04-01,149.1
1993-05-01,149.6
1993-06-01,150.5
1993-07-01,151.3
1993-08-01,152.2
1993-09-01,152.2
1993-10-01,152.3
1993-11-01,152.3
1993-12-01,152.5
1994-01-01,153.1
1994-02-01,153.8
1994-03-01,154.4
1994-04-01,154.6
1994-05-01,155.2
1994-06-01,156
1994-07-01,156.4
1994-08-01,156.9
1994-09-01,157.1
1994-10-01,157.4
1994-11-01,157.3
1994-12-01,157.5
1995-01-01,158.6
1995-02-01,159.5
1995-03-01,160.2
1995-04-01,160.4
1995-05-01,160.8
1995-06-01,161.8
1995-07-01,162.4
1995-08-01,163.2
1995-09-01,163
1995-10-01,163.9
1995-11-01,163.6
1995-12-01,163.6
1996-01-01,164.5
1996-02-01,165.3
1996-03-01,166.3
1996-04-01,166.6
1996-05-01,167
1996-06-01,168.1
1996-07-01,168.6
1996-08-01,168.9
1996-09-01,169.1
1996-10-01,169.3
1996-11-01,169.1
1996-12-01,169
1997-01-01,170
1997-02-01,170.7
1997-03-01,171.4
1997-04-01,171.5
1997-05-01,171.6
1997-06-01,172.8
1997-07-01,173.3
1997-08-01,173.4
1997-09-01,173.6
1997-10-01,173.9
1997-11-01,173.8
1997-12-01,173.2
1998-01-01,174
1998-02-01,174.7
1998-03-01,175.2
1998-04-01,175.6
1998-05-01,175.9
1998-06-01,176.8
1998-07-01,177.4
1998-08-01,177.7
1998-09-01,177.7
1998-10-01,177.7
1998-11-01,177.4
1998-12-01,177.4
1999-01-01,178
1999-02-01,178.5
1999-03-01,179.3
1999-04-01,179.6
1999-05-01,179.5
1999-06-01,180.5
1999-07-01,181.2
1999-08-01,181.6
1999-09-01,181.5
1999-10-01,181.5
1999-11-01,181.4
1999-12-01,181.3
2000-01-01,182.2
2000-02-01,182.9
2000-03-01,184.1
2000-04-01,184.2
2000-05-01,184.5
2000-06-01,186
2000-07-01,186.8
2000-08-01,187.5
2000-09-01,187.6
2000-10-01,187.7
2000-11-01,187.4
2000-12-01,187.5
2001-01-01,189.2
2001-02-01,190.2
2001-03-01,191.1
2001-04-01,191.2
2001-05-01,191.7
2001-06-01,193.4
2001-07-01,193.9
2001-08-01,194.3
2001-09-01,194
2001-10-01,193.6
2001-11-01,193.4
2001-12-01,193.4
2002-01-01,193.9
2002-02-01,194.5
2002-03-01,195.4
2002-04-01,195.5
2002-05-01,196.2
2002-06-01,197.6
2002-07-01,198.4
2002-08-01,198.9
2002-09-01,198.8
2002-10-01,199.1
2002-11-01,199.3
2002-12-01,199.5
2003-01-01,200.1
2003-02-01,201.3
2003-03-01,202.3
2003-04-01,202.9
2003-05-01,203.3
2003-06-01,204.5
2003-07-01,205.1
2003-08-01,205.6
2003-09-01,205.7
2003-10-01,205.5
2003-11-01,204.9
2003-12-01,204.9
2004-01-01,205.5
2004-02-01,206.3
2004-03-01,206.9
2004-04-01,207.7
2004-05-01,208.4
2004-06-01,210.1
2004-07-01,210.7
2004-08-01,211
2004-09-01,210.6
2004-10-01,210.5
2004-11-01,210.7
2004-12-01,210.9
2005-01-01,211.7
2005-02-01,212.7
2005-03-01,213.5
2005-04-01,214.1
2005-05-01,215
2005-06-01,216.8
2005-07-01,217.6
2005-08-01,217.8
2005-09-01,218
2005-10-01,218.6
2005-11-01,219.8
