"Date","CUUR0300SEHF01"
1977-12-01,54.4
1978-01-01,54.9
1978-02-01,56.1
1978-03-01,57.1
1978-04-01,57.5
1978-05-01,58.6
1978-06-01,60.9
1978-07-01,63.1
1978-08-01,63.2
1978-09-01,63.3
1978-10-01,60.8
1978-11-01,58.1
1978-12-01,57
1979-01-01,58.7
1979-02-01,59.8
1979-03-01,61.1
1979-04-01,61
1979-05-01,61.8
1979-06-01,66.1
1979-07-01,67.3
1979-08-01,68.1
1979-09-01,68.2
1979-10-01,68.3
1979-11-01,64.8
1979-12-01,65.4
1980-01-01,65.5
1980-02-01,67.6
1980-03-01,68.4
1980-04-01,70.3
1980-05-01,71.1
1980-06-01,75
1980-07-01,77.5
1980-08-01,77.3
1980-09-01,77.2
1980-10-01,77.3
1980-11-01,74.9
1980-12-01,74.6
1981-01-01,76.5
1981-02-01,77.8
1981-03-01,79.5
1981-04-01,81.5
1981-05-01,85.1
1981-06-01,89
1981-07-01,91.5
1981-08-01,92.9
1981-09-01,92.2
1981-10-01,90.6
1981-11-01,88.1
1981-12-01,88.5
1982-01-01,88.9
1982-02-01,89.9
1982-03-01,92.2
1982-04-01,91.7
1982-05-01,94.7
1982-06-01,97.4
1982-07-01,98.6
1982-08-01,100.7
1982-09-01,100.2
1982-10-01,98.9
1982-11-01,96.1
1982-12-01,95.5
1983-01-01,94.8
1983-02-01,95.5
1983-03-01,95.5
1983-04-01,95.8
1983-05-01,99.1
1983-06-01,101.9
1983-07-01,103.7
1983-08-01,102.8
1983-09-01,103.1
1983-10-01,103.5
1983-11-01,99.9
1983-12-01,99.1
1984-01-01,99.4
1984-02-01,100.1
1984-03-01,100.4
1984-04-01,101.7
1984-05-01,104.7
1984-06-01,108.6
1984-07-01,110.1
1984-08-01,110.8
1984-09-01,110.6
1984-10-01,107.6
1984-11-01,104.1
1984-12-01,102.2
1985-01-01,102
1985-02-01,103.9
1985-03-01,104.5
1985-04-01,105.1
1985-05-01,108
1985-06-01,111.2
1985-07-01,111.1
1985-08-01,111.5
1985-09-01,111.4
1985-10-01,110.6
1985-11-01,105.4
1985-12-01,105.8
1986-01-01,106.3
1986-02-01,107.2
1986-03-01,106.3
1986-04-01,105
1986-05-01,104.1
