"Date","CUUR0300SETA01"
1977-12-01,74.5
1978-01-01,NA
1978-02-01,74.8
1978-03-01,NA
1978-04-01,74.8
1978-05-01,NA
1978-06-01,75.5
1978-07-01,NA
1978-08-01,75.4
1978-09-01,NA
1978-10-01,76.2
1978-11-01,NA
1978-12-01,78.6
1979-01-01,NA
1979-02-01,79.7
1979-03-01,NA
1979-04-01,80.6
1979-05-01,NA
1979-06-01,81.5
1979-07-01,NA
1979-08-01,81.6
1979-09-01,NA
1979-10-01,81.7
1979-11-01,NA
1979-12-01,83.7
1980-01-01,NA
1980-02-01,85.6
1980-03-01,NA
1980-04-01,86.2
1980-05-01,NA
1980-06-01,86.9
1980-07-01,NA
1980-08-01,88.5
1980-09-01,NA
1980-10-01,88.8
1980-11-01,NA
1980-12-01,89.9
1981-01-01,NA
1981-02-01,90.4
1981-03-01,NA
1981-04-01,90.8
1981-05-01,NA
1981-06-01,94
1981-07-01,NA
1981-08-01,93.8
1981-09-01,NA
1981-10-01,94
1981-11-01,NA
1981-12-01,96.4
1982-01-01,NA
1982-02-01,95.8
1982-03-01,NA
1982-04-01,96.1
1982-05-01,NA
1982-06-01,97.2
1982-07-01,NA
1982-08-01,97.4
1982-09-01,NA
1982-10-01,97.4
1982-11-01,NA
1982-12-01,98.4
1983-01-01,NA
1983-02-01,99.3
1983-03-01,NA
1983-04-01,99.2
1983-05-01,NA
1983-06-01,99.6
1983-07-01,NA
1983-08-01,99.6
1983-09-01,NA
1983-10-01,100.8
1983-11-01,NA
1983-12-01,102.1
1984-01-01,NA
1984-02-01,102.3
1984-03-01,NA
1984-04-01,102.5
1984-05-01,NA
1984-06-01,102.7
1984-07-01,NA
1984-08-01,102.9
1984-09-01,NA
1984-10-01,103.9
1984-11-01,NA
1984-12-01,105.2
1985-01-01,NA
1985-02-01,106.3
1985-03-01,NA
1985-04-01,106.6
1985-05-01,NA
1985-06-01,106.8
1985-07-01,NA
1985-08-01,106.9
1985-09-01,NA
1985-10-01,107.3
1985-11-01,NA
1985-12-01,109.2
1986-01-01,NA
1986-02-01,109.9
1986-03-01,NA
1986-04-01,110.3
1986-05-01,NA
1986-06-01,111.6
1986-07-01,NA
1986-08-01,112.2
1986-09-01,NA
1986-10-01,112.9
1986-11-01,NA
1986-12-01,115.4
1987-01-01,115.9
1987-02-01,115.2
1987-03-01,114.6
1987-04-01,114.9
1987-05-01,115.2
1987-06-01,115.6
1987-07-01,116.1
1987-08-01,115.7
1987-09-01,115.6
1987-10-01,116.7
1987-11-01,118.1
1987-12-01,118.7
1988-01-01,118.2
1988-02-01,118.1
1988-03-01,117.9
1988-04-01,117.8
1988-05-01,118.1
1988-06-01,118.3
1988-07-01,118.2
1988-08-01,118
1988-09-01,118.3
1988-10-01,119
1988-11-01,120.7
1988-12-01,121.6
1989-01-01,121.8
1989-02-01,122
1989-03-01,121.8
1989-04-01,121.4
1989-05-01,121.4
1989-06-01,121.2
1989-07-01,120.9
1989-08-01,120.2
1989-09-01,119.9
1989-10-01,121.2
1989-11-01,122.9
1989-12-01,124.2
1990-01-01,125.1
1990-02-01,124.9
1990-03-01,124.3
1990-04-01,123.8
1990-05-01,124
1990-06-01,123.6
1990-07-01,123
1990-08-01,122.8
1990-09-01,122.8
1990-10-01,124.4
1990-11-01,126.2
1990-12-01,127.4
1991-01-01,128.8
1991-02-01,129.2
1991-03-01,129.2
1991-04-01,129.3
1991-05-01,129.2
1991-06-01,129
1991-07-01,128.5
1991-08-01,128.1
1991-09-01,128
1991-10-01,128.5
1991-11-01,130.5
1991-12-01,131.9
1992-01-01,132.1
1992-02-01,132.4
1992-03-01,132.3
1992-04-01,132.5
1992-05-01,132.8
1992-06-01,132.6
1992-07-01,132.6
1992-08-01,132.3
1992-09-01,132.3
1992-10-01,133.1
1992-11-01,134.6
1992-12-01,135.6
1993-01-01,135.8
1993-02-01,135.7
1993-03-01,135.9
1993-04-01,136.1
1993-05-01,136.3
1993-06-01,136.2
1993-07-01,136.1
1993-08-01,136.1
1993-09-01,136
1993-10-01,137.3
1993-11-01,138.8
1993-12-01,139.6
1994-01-01,140
1994-02-01,140.5
1994-03-01,140.6
1994-04-01,140.6
1994-05-01,141.1
1994-06-01,141
1994-07-01,141.2
1994-08-01,141.1
1994-09-01,141
1994-10-01,142.2
1994-11-01,143.4
1994-12-01,143.9
1995-01-01,144.5
1995-02-01,144.6
1995-03-01,144.5
1995-04-01,145.2
1995-05-01,145.4
1995-06-01,145
1995-07-01,144.6
1995-08-01,144.3
1995-09-01,144.4
1995-10-01,145.2
1995-11-01,146.3
1995-12-01,147
1996-01-01,147.2
1996-02-01,147.3
1996-03-01,147.3
1996-04-01,147.3
1996-05-01,147.2
1996-06-01,147.4
1996-07-01,147
1996-08-01,146.6
1996-09-01,146.3
1996-10-01,147
1996-11-01,148.1
1996-12-01,148.8
1997-01-01,149.2
1997-02-01,148.9
1997-03-01,148.9
1997-04-01,148.7
1997-05-01,148
1997-06-01,147.4
1997-07-01,147.1
1997-08-01,146.6
1997-09-01,146.4
1997-10-01,146.5
1997-11-01,146.9
1997-12-01,147.1
1998-01-01,147.6
1998-02-01,147.7
1998-03-01,147.6
1998-04-01,147.8
1998-05-01,147.1
1998-06-01,146.3
1998-07-01,146.5
1998-08-01,146.5
1998-09-01,145.9
1998-10-01,146
1998-11-01,146.7
1998-12-01,147.7
1999-01-01,148.1
1999-02-01,147.6
1999-03-01,147.3
1999-04-01,147
1999-05-01,146.4
1999-06-01,146
1999-07-01,145.5
1999-08-01,144.8
1999-09-01,145.1
1999-10-01,145.7
1999-11-01,146.6
1999-12-01,147
2000-01-01,146.6
2000-02-01,146.2
