"Date","CUUR0400SAEC"
2009-12-01,100
2010-01-01,99.709
2010-02-01,99.613
2010-03-01,98.981
2010-04-01,98.638
2010-05-01,97.81
2010-06-01,97.824
2010-07-01,97.312
2010-08-01,97.43
2010-09-01,97.777
2010-10-01,98.1
2010-11-01,97.498
2010-12-01,97.038
2011-01-01,96.467
2011-02-01,97.085
2011-03-01,96.724
2011-04-01,97.054
2011-05-01,96.671
2011-06-01,95.41
2011-07-01,95.037
2011-08-01,93.034
2011-09-01,93.227
2011-10-01,92.892
2011-11-01,92.631
2011-12-01,90.684
2012-01-01,91.281
2012-02-01,92.132
2012-03-01,91.734
2012-04-01,90.674
2012-05-01,91.048
2012-06-01,91.374
2012-07-01,91.447
2012-08-01,90.663
2012-09-01,90.843
2012-10-01,89.495
2012-11-01,89.406
2012-12-01,89.347
2013-01-01,89.608
2013-02-01,89.239
2013-03-01,89.38
2013-04-01,88.961
2013-05-01,88.636
2013-06-01,87.948
2013-07-01,86.662
2013-08-01,85.994
2013-09-01,85.956
2013-10-01,84.623
2013-11-01,84.485
2013-12-01,85.407
2014-01-01,84.497
2014-02-01,84.087
2014-03-01,84.346
2014-04-01,84.142
2014-05-01,83.632
2014-06-01,83.265
2014-07-01,83.101
2014-08-01,82.667
2014-09-01,82.334
2014-10-01,82.963
2014-11-01,82.123
2014-12-01,81.482
2015-01-01,82.107
2015-02-01,82.253
2015-03-01,81.921
2015-04-01,82.135
2015-05-01,82.124
2015-06-01,81.251
2015-07-01,80.535
2015-08-01,80.293
2015-09-01,80.394
2015-10-01,80.644
2015-11-01,80.012
2015-12-01,79.16
2016-01-01,78.794
2016-02-01,79.171
2016-03-01,78.662
2016-04-01,78.825
2016-05-01,78.335
2016-06-01,77.86
2016-07-01,77.714
2016-08-01,77.37
2016-09-01,76.78
2016-10-01,76.985
2016-11-01,78.055
2016-12-01,77.523
2017-01-01,77.784
2017-02-01,78.468
2017-03-01,78.117
2017-04-01,77.163
2017-05-01,77.088
2017-06-01,77.592
2017-07-01,78.808
2017-08-01,77.439
2017-09-01,76.721
2017-10-01,77.199
2017-11-01,78.008
2017-12-01,76.18
2018-01-01,76.184
2018-02-01,75.786
2018-03-01,75.756
2018-04-01,76.383
2018-05-01,76.232
2018-06-01,75.219
2018-07-01,74.08
2018-08-01,73.84
2018-09-01,74.039
2018-10-01,71.784
2018-11-01,69.977
2018-12-01,72.449
2019-01-01,70.586
2019-02-01,71.097
2019-03-01,70.809
2019-04-01,69.622
2019-05-01,69.595
2019-06-01,68.97
2019-07-01,70.347
2019-08-01,71.982
2019-09-01,70.553
2019-10-01,68.881
2019-11-01,70.069
2019-12-01,68.124
2020-01-01,66.712
2020-02-01,67.132
2020-03-01,68.257
2020-04-01,68.46
2020-05-01,68.396
2020-06-01,69.078
2020-07-01,69.591
2020-08-01,69.091
2020-09-01,68.082
2020-10-01,68.558
2020-11-01,71.445
2020-12-01,70.683
2021-01-01,68.796
2021-02-01,69.662
2021-03-01,66.159
2021-04-01,67.513
2021-05-01,68.459
2021-06-01,68.134
2021-07-01,68.77
2021-08-01,67.526
2021-09-01,67.885
2021-10-01,64.265
2021-11-01,64.135
2021-12-01,62.578
2022-01-01,62.642
2022-02-01,63.887
2022-03-01,63.225
2022-04-01,62.639
2022-05-01,61.869
2022-06-01,62.418
2022-07-01,62.775
2022-08-01,62.851
2022-09-01,61.887
2022-10-01,60.491
2022-11-01,59.166
2022-12-01,58.377
2023-01-01,58.041
2023-02-01,57.68
2023-03-01,57.309
2023-04-01,58.063
2023-05-01,57.972
2023-06-01,58.393
2023-07-01,57.874
2023-08-01,56.95
2023-09-01,57.703
2023-10-01,57.155
2023-11-01,54.812
