"Date","CUUR0400SEMC"
1977-12-01,60.2
1978-01-01,NA
1978-02-01,61.1
1978-03-01,NA
1978-04-01,61.7
1978-05-01,NA
1978-06-01,62.8
1978-07-01,NA
1978-08-01,63.8
1978-09-01,NA
1978-10-01,64.7
1978-11-01,NA
1978-12-01,65.5
1979-01-01,NA
1979-02-01,66.7
1979-03-01,NA
1979-04-01,67.3
1979-05-01,NA
1979-06-01,68.5
1979-07-01,NA
1979-08-01,69.9
1979-09-01,NA
1979-10-01,71.1
1979-11-01,NA
1979-12-01,72.4
1980-01-01,NA
1980-02-01,74.5
1980-03-01,NA
1980-04-01,77
1980-05-01,NA
1980-06-01,77.9
1980-07-01,NA
1980-08-01,78.4
1980-09-01,NA
1980-10-01,79.5
1980-11-01,NA
1980-12-01,80.5
1981-01-01,NA
1981-02-01,81.7
1981-03-01,NA
1981-04-01,82.6
1981-05-01,NA
1981-06-01,83.8
1981-07-01,NA
1981-08-01,88.8
1981-09-01,NA
1981-10-01,89.9
1981-11-01,NA
1981-12-01,91.2
1982-01-01,NA
1982-02-01,92.2
1982-03-01,NA
1982-04-01,93.6
1982-05-01,NA
1982-06-01,95.1
1982-07-01,NA
1982-08-01,96
1982-09-01,NA
1982-10-01,95.8
1982-11-01,NA
1982-12-01,96.5
1983-01-01,NA
1983-02-01,98
1983-03-01,NA
1983-04-01,98.6
1983-05-01,NA
1983-06-01,100
1983-07-01,NA
1983-08-01,100.9
1983-09-01,NA
1983-10-01,101.5
1983-11-01,NA
1983-12-01,102
1984-01-01,NA
1984-02-01,103.9
1984-03-01,NA
1984-04-01,104.5
1984-05-01,NA
1984-06-01,105.3
1984-07-01,NA
1984-08-01,106
1984-09-01,NA
1984-10-01,107
1984-11-01,NA
1984-12-01,107.4
1985-01-01,NA
1985-02-01,109.4
1985-03-01,NA
1985-04-01,110.4
1985-05-01,NA
1985-06-01,111.1
1985-07-01,NA
1985-08-01,112.7
1985-09-01,NA
1985-10-01,113.6
1985-11-01,NA
1985-12-01,114.8
1986-01-01,NA
1986-02-01,115.9
1986-03-01,NA
1986-04-01,117
1986-05-01,NA
