"Date","CUURA000SAGS"
2009-12-01,100
2010-01-01,100.257
2010-02-01,100.3
2010-03-01,100.566
2010-04-01,101.047
2010-05-01,101.204
2010-06-01,101.191
2010-07-01,101.284
2010-08-01,101.429
2010-09-01,101.517
2010-10-01,101.517
2010-11-01,101.683
2010-12-01,101.73
2011-01-01,101.962
2011-02-01,102.152
2011-03-01,102.236
2011-04-01,102.577
2011-05-01,102.656
2011-06-01,102.753
2011-07-01,102.868
2011-08-01,103.303
2011-09-01,103.398
2011-10-01,103.636
2011-11-01,104.059
2011-12-01,104.159
2012-01-01,104.108
2012-02-01,104.122
2012-03-01,104.325
2012-04-01,104.746
2012-05-01,104.921
2012-06-01,105.269
2012-07-01,105.56
2012-08-01,105.857
2012-09-01,105.876
2012-10-01,106.141
2012-11-01,106.153
2012-12-01,106.3
2013-01-01,106.565
2013-02-01,107.112
2013-03-01,107.107
2013-04-01,107.609
2013-05-01,107.586
2013-06-01,107.707
2013-07-01,107.823
2013-08-01,108.088
2013-09-01,108.145
2013-10-01,108.085
2013-11-01,108.29
2013-12-01,108.476
2014-01-01,108.537
2014-02-01,108.955
2014-03-01,109.323
2014-04-01,109.238
2014-05-01,109.247
2014-06-01,109.114
2014-07-01,109.387
2014-08-01,109.701
2014-09-01,109.656
2014-10-01,110.068
2014-11-01,110.313
2014-12-01,110.381
2015-01-01,110.594
2015-02-01,109.957
2015-03-01,110.317
2015-04-01,110.543
2015-05-01,111.043
2015-06-01,112.461
2015-07-01,112.415
2015-08-01,112.655
2015-09-01,112.952
2015-10-01,113.324
2015-11-01,113.547
2015-12-01,113.326
2016-01-01,113.409
2016-02-01,113.568
2016-03-01,113.917
2016-04-01,114.274
2016-05-01,114.461
2016-06-01,114.835
2016-07-01,115.303
2016-08-01,115.374
2016-09-01,115.523
2016-10-01,115.474
2016-11-01,115.679
2016-12-01,115.873
2017-01-01,116.498
2017-02-01,116.739
2017-03-01,117.214
2017-04-01,117.241
2017-05-01,117.245
2017-06-01,117.733
2017-07-01,118.094
2017-08-01,118.342
2017-09-01,118.102
2017-10-01,118.191
2017-11-01,118.053
2017-12-01,118.325
2018-01-01,118.823
2018-02-01,120.238
2018-03-01,120.458
2018-04-01,120.784
2018-05-01,121.048
2018-06-01,121.854
2018-07-01,121.85
2018-08-01,122.082
2018-09-01,122.345
2018-10-01,122.832
2018-11-01,123.181
2018-12-01,123.496
2019-01-01,123.572
2019-02-01,124.268
2019-03-01,124.6
2019-04-01,124.659
2019-05-01,124.842
2019-06-01,125.109
2019-07-01,125.504
2019-08-01,125.598
2019-09-01,125.616
2019-10-01,125.723
2019-11-01,126.006
2019-12-01,125.974
2020-01-01,126.43
2020-02-01,126.906
2020-03-01,127.342
2020-04-01,127.367
2020-05-01,127.318
2020-06-01,128.09
2020-07-01,128.791
2020-08-01,128.524
2020-09-01,129.045
2020-10-01,128.862
2020-11-01,127.988
2020-12-01,129.835
2021-01-01,129.141
2021-02-01,130.064
2021-03-01,131.635
2021-04-01,131.527
2021-05-01,131.891
2021-06-01,132.384
2021-07-01,133.57
2021-08-01,133.616
2021-09-01,134.159
2021-10-01,135.083
2021-11-01,135.031
2021-12-01,136.654
2022-01-01,137.263
2022-02-01,139.118
2022-03-01,139.279
2022-04-01,140.309
2022-05-01,140.287
2022-06-01,141.568
2022-07-01,142.066
2022-08-01,141.887
2022-09-01,142.685
2022-10-01,143.118
2022-11-01,143.522
2022-12-01,142.849
2023-01-01,144.08
2023-02-01,146.659
2023-03-01,147.712
2023-04-01,150.529
2023-05-01,151.79
2023-06-01,152.056
2023-07-01,150.974
2023-08-01,152.042
2023-09-01,152.925
2023-10-01,153.053
2023-11-01,153.589
