"Date","CUURA000SANL11"
1986-12-01,100
1987-01-01,100.8
1987-02-01,102.4
1987-03-01,104.4
1987-04-01,106.1
1987-05-01,106
1987-06-01,105.8
1987-07-01,105.4
1987-08-01,107.1
1987-09-01,108.9
1987-10-01,109.4
1987-11-01,109.6
1987-12-01,108
1988-01-01,107.2
1988-02-01,107
1988-03-01,108.7
1988-04-01,110.1
1988-05-01,110.2
1988-06-01,109.5
1988-07-01,109.4
1988-08-01,109.9
1988-09-01,112.4
1988-10-01,113.1
1988-11-01,112.8
1988-12-01,112
1989-01-01,111.4
1989-02-01,111.9
1989-03-01,114.4
1989-04-01,117.9
1989-05-01,118.9
1989-06-01,117.7
1989-07-01,116.7
1989-08-01,116.4
1989-09-01,117.8
1989-10-01,118.7
1989-11-01,118.1
1989-12-01,116.8
1990-01-01,118.3
1990-02-01,119.7
1990-03-01,121.6
1990-04-01,123
1990-05-01,123
1990-06-01,122.8
1990-07-01,122.1
1990-08-01,125
1990-09-01,129.8
1990-10-01,132.9
1990-11-01,132.8
1990-12-01,131.7
1991-01-01,129
1991-02-01,127.8
1991-03-01,127.3
1991-04-01,128.4
1991-05-01,129.3
1991-06-01,128.4
1991-07-01,127.2
1991-08-01,128.6
1991-09-01,130.7
1991-10-01,131.2
1991-11-01,131.9
1991-12-01,130.2
1992-01-01,128.8
1992-02-01,129.7
1992-03-01,130.9
1992-04-01,131.2
1992-05-01,132.8
1992-06-01,132.8
1992-07-01,132.7
1992-08-01,133
1992-09-01,134.2
1992-10-01,135.1
1992-11-01,134.9
1992-12-01,133.2
1993-01-01,133.2
1993-02-01,135.2
1993-03-01,136.4
1993-04-01,137.1
1993-05-01,136.2
1993-06-01,134.6
1993-07-01,133.1
1993-08-01,133.9
1993-09-01,133.8
1993-10-01,134.9
1993-11-01,134.8
1993-12-01,132.4
1994-01-01,131.3
1994-02-01,132.7
1994-03-01,134.9
1994-04-01,135.2
1994-05-01,135.4
1994-06-01,135.1
1994-07-01,134.5
1994-08-01,135.3
1994-09-01,136.5
1994-10-01,136.5
1994-11-01,136.2
1994-12-01,133.9
1995-01-01,133.5
1995-02-01,134.2
1995-03-01,135.8
1995-04-01,136.3
1995-05-01,136.8
1995-06-01,136.2
1995-07-01,134.9
1995-08-01,135.4
1995-09-01,136
1995-10-01,136.3
1995-11-01,135.4
1995-12-01,134.1
1996-01-01,135.4
1996-02-01,135.9
1996-03-01,138.7
1996-04-01,140.8
1996-05-01,141.6
1996-06-01,139.5
1996-07-01,137.8
1996-08-01,136.8
1996-09-01,138.3
1996-10-01,139
1996-11-01,139.3
1996-12-01,138.1
1997-01-01,138.6
1997-02-01,139.7
1997-03-01,140.3
1997-04-01,141.1
1997-05-01,140.8
1997-06-01,139.3
1997-07-01,138
1997-08-01,139.1
1997-09-01,141
1997-10-01,141.1
1997-11-01,140.1
1997-12-01,138.4
1998-01-01,136.9
1998-02-01,137.4
1998-03-01,137.6
1998-04-01,138.6
1998-05-01,139.4
1998-06-01,138.2
1998-07-01,136.9
1998-08-01,137.5
1998-09-01,138
1998-10-01,138.7
1998-11-01,138
1998-12-01,136.7
1999-01-01,136.6
1999-02-01,136.7
1999-03-01,138.2
1999-04-01,143.9
1999-05-01,143.2
1999-06-01,141.5
1999-07-01,141.4
1999-08-01,143.2
1999-09-01,146.1
1999-10-01,147.2
1999-11-01,146.2
1999-12-01,145.3
2000-01-01,144.8
2000-02-01,148.5
2000-03-01,153.4
2000-04-01,153.6
2000-05-01,152.6
2000-06-01,153.9
2000-07-01,152.3
2000-08-01,151
2000-09-01,155.1
2000-10-01,155.3
2000-11-01,155
2000-12-01,151.8
2001-01-01,150.8
2001-02-01,152
2001-03-01,152.6
2001-04-01,155.5
2001-05-01,158.3
2001-06-01,156.2
2001-07-01,151.5
2001-08-01,149.6
2001-09-01,154.1
2001-10-01,150.8
2001-11-01,146.8
2001-12-01,142
2002-01-01,141.5
2002-02-01,144.2
2002-03-01,148.4
2002-04-01,152.9
2002-05-01,152.1
2002-06-01,150
2002-07-01,148.4
2002-08-01,150.3
2002-09-01,152.1
2002-10-01,152.7
2002-11-01,152
2002-12-01,149.1
2003-01-01,150.1
2003-02-01,155.9
2003-03-01,159.1
2003-04-01,156.6
2003-05-01,153.3
2003-06-01,151.6
2003-07-01,150.6
2003-08-01,154.1
2003-09-01,158.6
2003-10-01,156.1
2003-11-01,153.2
2003-12-01,150.1
2004-01-01,151.3
2004-02-01,155.1
2004-03-01,159.3
2004-04-01,161
2004-05-01,164.8
2004-06-01,164.2
2004-07-01,160.3
2004-08-01,160.2
2004-09-01,162.1
2004-10-01,166.7
2004-11-01,166.1
2004-12-01,160.9
2005-01-01,158.6
2005-02-01,162.8
2005-03-01,168.2
2005-04-01,173.1
2005-05-01,171.5
2005-06-01,168.7
2005-07-01,170.7
2005-08-01,176.7
2005-09-01,189.4
2005-10-01,186.4
2005-11-01,175.5
2005-12-01,169.8
2006-01-01,172.3
2006-02-01,173
2006-03-01,177.2
2006-04-01,185.7
2006-05-01,190.1
2006-06-01,187.8
2006-07-01,187.5
2006-08-01,188.7
2006-09-01,182.9
2006-10-01,175.9
2006-11-01,173.9
2006-12-01,174.8
2007-01-01,172.778
2007-02-01,174.898
2007-03-01,183.216
2007-04-01,188.745
2007-05-01,194.07
2007-06-01,190.589
2007-07-01,186.762
2007-08-01,183.665
2007-09-01,186.711
2007-10-01,187.514
2007-11-01,193.365
2007-12-01,191.315
2008-01-01,190.926
2008-02-01,191.956
2008-03-01,199.494
2008-04-01,204.108
2008-05-01,210.942
2008-06-01,216.676
2008-07-01,216.513
2008-08-01,210.926
2008-09-01,210.179
2008-10-01,198.384
2008-11-01,176.487
2008-12-01,163.966
2009-01-01,165.06
2009-02-01,170.56
2009-03-01,172.999
2009-04-01,176.241
2009-05-01,179.979
2009-06-01,186.896
2009-07-01,184.149
2009-08-01,187.434
2009-09-01,189.124
2009-10-01,188.681
2009-11-01,190.306
2009-12-01,187.945
2010-01-01,189.525
2010-02-01,189.015
2010-03-01,193.061
2010-04-01,194.716
2010-05-01,194.532
2010-06-01,190.663
2010-07-01,189.612
2010-08-01,190.718
2010-09-01,191.793
2010-10-01,194.215
2010-11-01,195.09
2010-12-01,196.357
2011-01-01,199.013
2011-02-01,201.79
2011-03-01,211.36
2011-04-01,217.353
2011-05-01,220.146
2011-06-01,214.774
2011-07-01,212.011
2011-08-01,213.092
2011-09-01,214.659
2011-10-01,211.949
2011-11-01,211.265
2011-12-01,206.207
2012-01-01,208.729
2012-02-01,213.561
2012-03-01,221.808
2012-04-01,223.165
2012-05-01,220.253
2012-06-01,214.095
2012-07-01,210.849
2012-08-01,217.314
2012-09-01,222.679
2012-10-01,222.122
2012-11-01,214.752
2012-12-01,209.202
2013-01-01,209.338
2013-02-01,217.718
2013-03-01,219.386
2013-04-01,216.782
2013-05-01,217.108
2013-06-01,216.683
2013-07-01,215.539
2013-08-01,215.635
2013-09-01,216.367
2013-10-01,212.515
2013-11-01,209.297
2013-12-01,208.851
2014-01-01,209.902
2014-02-01,211.953
2014-03-01,216.864
2014-04-01,219.193
2014-05-01,219.263
2014-06-01,218.951
2014-07-01,216.67
2014-08-01,213.877
2014-09-01,214.335
2014-10-01,209.978
2014-11-01,202.407
2014-12-01,193.502
2015-01-01,184.26
2015-02-01,188.061
2015-03-01,195.44
2015-04-01,194.452
2015-05-01,199.905
2015-06-01,199.701
2015-07-01,199.192
2015-08-01,197.397
2015-09-01,193.36
2015-10-01,190.811
2015-11-01,187.479
2015-12-01,183.087
2016-01-01,181.563
2016-02-01,178.704
2016-03-01,183.089
2016-04-01,186.908
2016-05-01,189.508
2016-06-01,190.736
2016-07-01,187.407
2016-08-01,187.158
2016-09-01,190.094
2016-10-01,191.162
2016-11-01,188.75
2016-12-01,187.708
2017-01-01,190.877
2017-02-01,191.536
2017-03-01,192.783
2017-04-01,195.042
2017-05-01,193.6
2017-06-01,192.179
2017-07-01,190.396
2017-08-01,192.612
2017-09-01,199.853
2017-10-01,197.376
2017-11-01,197.26
2017-12-01,193.358
2018-01-01,196.599
2018-02-01,200.075
2018-03-01,200.18
2018-04-01,204.169
2018-05-01,207.371
2018-06-01,206.153
2018-07-01,204.246
2018-08-01,204.393
2018-09-01,206.74
2018-10-01,208.155
2018-11-01,201.018
2018-12-01,193.518
2019-01-01,191.587
2019-02-01,194.09
2019-03-01,199.143
2019-04-01,205.746
2019-05-01,207.462
2019-06-01,202.756
2019-07-01,202.757
2019-08-01,201.124
2019-09-01,202.143
2019-10-01,203.718
2019-11-01,201.079
2019-12-01,197.181
2020-01-01,198.369
2020-02-01,198.122
2020-03-01,193.878
2020-04-01,182.867
2020-05-01,180.954
2020-06-01,184.733
2020-07-01,187.651
2020-08-01,188.842
2020-09-01,190.367
2020-10-01,188.702
2020-11-01,186.537
2020-12-01,186.886
2021-01-01,192.209
2021-02-01,196.206
2021-03-01,202.933
2021-04-01,204.067
2021-05-01,207.282
2021-06-01,208.425
2021-07-01,209.571
2021-08-01,211.319
2021-09-01,212.929
2021-10-01,215.94
2021-11-01,217.786
2021-12-01,216.666
2022-01-01,219.205
2022-02-01,225.173
2022-03-01,240.985
2022-04-01,239.862
2022-05-01,247.452
2022-06-01,256.398
2022-07-01,248.191
2022-08-01,239.241
2022-09-01,236.14
2022-10-01,238.909
2022-11-01,234.068
2022-12-01,223.269
2023-01-01,227.548
2023-02-01,230.919
2023-03-01,232.7
2023-04-01,235.146
2023-05-01,234.754
2023-06-01,234.512
2023-07-01,234.366
2023-08-01,240.292
2023-09-01,241.917
2023-10-01,238.446
2023-11-01,230.279
