"Date","CUURA000SEHA"
1986-12-01,100
1987-01-01,100.4
1987-02-01,100.9
1987-03-01,101
1987-04-01,101.3
1987-05-01,101.7
1987-06-01,101.7
1987-07-01,102.3
1987-08-01,102.9
1987-09-01,103.4
1987-10-01,103.9
1987-11-01,104
1987-12-01,104.7
1988-01-01,105.1
1988-02-01,105.2
1988-03-01,105.3
1988-04-01,105.5
1988-05-01,106
1988-06-01,106.3
1988-07-01,106.7
1988-08-01,107.2
1988-09-01,107.7
1988-10-01,108
1988-11-01,108.4
1988-12-01,108.7
1989-01-01,109.1
1989-02-01,109.4
1989-03-01,109.7
1989-04-01,110
1989-05-01,110.4
1989-06-01,110.9
1989-07-01,111.5
1989-08-01,111.8
1989-09-01,112.4
1989-10-01,113.1
1989-11-01,113.4
1989-12-01,113.7
1990-01-01,114
1990-02-01,114.2
1990-03-01,114.7
1990-04-01,115.4
1990-05-01,115.6
1990-06-01,116.2
1990-07-01,116.7
1990-08-01,117.1
1990-09-01,117.5
1990-10-01,118
1990-11-01,118.3
1990-12-01,118.6
1991-01-01,118.7
1991-02-01,118.9
1991-03-01,119.3
1991-04-01,119.6
1991-05-01,120.1
1991-06-01,120.4
1991-07-01,120.9
1991-08-01,120.8
1991-09-01,121.4
1991-10-01,121.4
1991-11-01,121.6
1991-12-01,121.8
1992-01-01,122.1
1992-02-01,122.3
1992-03-01,123
1992-04-01,122.9
1992-05-01,123
1992-06-01,123.1
1992-07-01,123.3
1992-08-01,123.3
1992-09-01,123.4
1992-10-01,124
1992-11-01,124.4
1992-12-01,124.5
1993-01-01,124.6
1993-02-01,124.8
1993-03-01,124.8
1993-04-01,125.2
1993-05-01,125.5
1993-06-01,125.8
1993-07-01,126
1993-08-01,126
1993-09-01,126
1993-10-01,126.3
1993-11-01,126.5
1993-12-01,126.8
1994-01-01,127
1994-02-01,127.4
1994-03-01,127.8
1994-04-01,127.8
1994-05-01,127.8
1994-06-01,128
1994-07-01,128.2
1994-08-01,128.8
1994-09-01,129
1994-10-01,129.1
1994-11-01,129.2
1994-12-01,129.5
1995-01-01,129.7
1995-02-01,130
1995-03-01,130.2
1995-04-01,130.5
1995-05-01,130.7
1995-06-01,130.9
1995-07-01,131.1
1995-08-01,131.4
1995-09-01,131.6
1995-10-01,131.9
1995-11-01,132.1
1995-12-01,132.5
1996-01-01,132.7
1996-02-01,133.1
1996-03-01,133.2
1996-04-01,133.4
1996-05-01,133.7
1996-06-01,134.1
1996-07-01,134.6
1996-08-01,134.9
1996-09-01,135.2
1996-10-01,135.5
1996-11-01,135.9
1996-12-01,136.1
1997-01-01,136.5
1997-02-01,136.8
1997-03-01,137.1
1997-04-01,137.5
1997-05-01,137.9
1997-06-01,138.4
1997-07-01,138.7
1997-08-01,139.2
1997-09-01,139.7
1997-10-01,140.1
1997-11-01,140.5
1997-12-01,140.9
1998-01-01,141.3
1998-02-01,141.7
1998-03-01,142.1
1998-04-01,142.5
1998-05-01,143
1998-06-01,143.6
1998-07-01,144.1
1998-08-01,144.6
1998-09-01,145.1
1998-10-01,145.7
1998-11-01,146.2
1998-12-01,146.6
1999-01-01,147
1999-02-01,147.4
1999-03-01,147.7
1999-04-01,148.1
1999-05-01,148.4
1999-06-01,148.8
1999-07-01,149.2
1999-08-01,149.7
1999-09-01,150.1
1999-10-01,150.6
1999-11-01,151.6
1999-12-01,152.1
2000-01-01,152.9
2000-02-01,153.3
2000-03-01,153.8
2000-04-01,154.1
2000-05-01,154.5
2000-06-01,155
2000-07-01,155.7
2000-08-01,156.4
2000-09-01,157
2000-10-01,157.8
2000-11-01,158.5
2000-12-01,159.2
2001-01-01,159.8
2001-02-01,160.5
2001-03-01,161.2
2001-04-01,161.9
2001-05-01,162.7
2001-06-01,163.4
2001-07-01,164.1
2001-08-01,164.7
2001-09-01,165.6
2001-10-01,166.3
2001-11-01,167
2001-12-01,167.9
2002-01-01,168.5
2002-02-01,169.3
2002-03-01,169.7
2002-04-01,170.1
2002-05-01,170.4
2002-06-01,170.9
2002-07-01,171.3
2002-08-01,171.7
2002-09-01,172.2
2002-10-01,172.8
2002-11-01,173.3
2002-12-01,173.8
2003-01-01,174.5
2003-02-01,174.9
2003-03-01,175.2
2003-04-01,175.6
2003-05-01,175.9
2003-06-01,176.2
2003-07-01,176.7
2003-08-01,177.2
2003-09-01,177.6
2003-10-01,177.9
2003-11-01,178.4
2003-12-01,178.7
2004-01-01,179.1
2004-02-01,179.5
2004-03-01,179.9
2004-04-01,180.3
2004-05-01,180.8
2004-06-01,181.3
2004-07-01,181.6
2004-08-01,182.2
2004-09-01,182.8
2004-10-01,183
2004-11-01,183.3
2004-12-01,183.9
2005-01-01,184.6
2005-02-01,185
2005-03-01,185.5
2005-04-01,186
2005-05-01,186.4
2005-06-01,186.9
