"Date","CUURA000SEHC01"
1986-12-01,100
1987-01-01,100
1987-02-01,100.8
1987-03-01,101.2
1987-04-01,101.8
1987-05-01,102.4
1987-06-01,102.5
1987-07-01,102.6
1987-08-01,103.7
1987-09-01,104.1
1987-10-01,105.2
1987-11-01,105.6
1987-12-01,106.2
1988-01-01,106.6
1988-02-01,107
1988-03-01,106.8
1988-04-01,107.1
1988-05-01,107.8
1988-06-01,108
1988-07-01,108.6
1988-08-01,109.5
1988-09-01,109.9
1988-10-01,110.3
1988-11-01,111
1988-12-01,111.3
1989-01-01,111.6
1989-02-01,111.9
1989-03-01,112.3
1989-04-01,112.4
1989-05-01,113
1989-06-01,113.4
1989-07-01,114.2
1989-08-01,114.8
1989-09-01,116.1
1989-10-01,116.5
1989-11-01,117
1989-12-01,117.1
1990-01-01,117.6
1990-02-01,117.7
1990-03-01,118.8
1990-04-01,119.4
1990-05-01,119.5
1990-06-01,120
1990-07-01,121.1
1990-08-01,121.9
1990-09-01,122.2
1990-10-01,122.7
1990-11-01,122.6
1990-12-01,122.8
1991-01-01,122.8
1991-02-01,123
1991-03-01,123.4
1991-04-01,123.7
1991-05-01,124.4
1991-06-01,125.1
1991-07-01,125.6
1991-08-01,125.7
1991-09-01,126.3
1991-10-01,126.4
1991-11-01,126.9
1991-12-01,127.2
1992-01-01,127.5
1992-02-01,127.6
1992-03-01,128.3
1992-04-01,128.3
1992-05-01,128.4
1992-06-01,128.9
1992-07-01,129.3
1992-08-01,129.8
1992-09-01,129.8
1992-10-01,130.3
1992-11-01,130.5
1992-12-01,130.7
1993-01-01,131.3
1993-02-01,131.7
1993-03-01,131.8
1993-04-01,132
1993-05-01,131.8
1993-06-01,132.2
1993-07-01,132.3
1993-08-01,132.8
1993-09-01,133.2
1993-10-01,133.5
1993-11-01,133.7
1993-12-01,134.1
1994-01-01,134.3
1994-02-01,135
1994-03-01,135.3
1994-04-01,135.5
1994-05-01,135.7
1994-06-01,135.9
1994-07-01,136.3
1994-08-01,136.9
1994-09-01,137.4
1994-10-01,137.7
1994-11-01,137.8
1994-12-01,137.9
1995-01-01,138.3
1995-02-01,138.6
1995-03-01,138.8
1995-04-01,139.1
1995-05-01,139.4
1995-06-01,139.7
1995-07-01,140
1995-08-01,140.4
1995-09-01,140.9
1995-10-01,141.3
1995-11-01,141.7
1995-12-01,142
1996-01-01,142.4
1996-02-01,142.5
1996-03-01,142.8
1996-04-01,142.8
1996-05-01,143.1
1996-06-01,143.4
1996-07-01,143.8
1996-08-01,144.2
1996-09-01,144.5
1996-10-01,144.9
1996-11-01,145.3
1996-12-01,145.5
1997-01-01,145.8
1997-02-01,146.1
1997-03-01,146.4
1997-04-01,146.8
1997-05-01,147.2
1997-06-01,147.6
1997-07-01,148.1
1997-08-01,148.6
1997-09-01,149.1
1997-10-01,149.6
1997-11-01,150.1
1997-12-01,150.4
1998-01-01,150.9
1998-02-01,151.3
1998-03-01,151.7
1998-04-01,152.1
1998-05-01,152.6
1998-06-01,153.2
1998-07-01,153.7
1998-08-01,154.2
1998-09-01,154.7
1998-10-01,155.3
1998-11-01,155.8
1998-12-01,156.2
1999-01-01,156.5
1999-02-01,156.8
1999-03-01,157
1999-04-01,157.4
1999-05-01,157.7
1999-06-01,158.1
1999-07-01,158.5
1999-08-01,158.9
1999-09-01,159.3
1999-10-01,159.7
1999-11-01,160.3
1999-12-01,160.7
2000-01-01,161.5
2000-02-01,161.9
2000-03-01,162.2
2000-04-01,162.5
2000-05-01,163
2000-06-01,163.5
2000-07-01,163.9
2000-08-01,164.5
2000-09-01,165.1
2000-10-01,165.8
2000-11-01,166.4
2000-12-01,167
2001-01-01,167.5
2001-02-01,168
2001-03-01,168.8
2001-04-01,169.4
2001-05-01,170.1
2001-06-01,170.9
2001-07-01,171.6
2001-08-01,172.6
2001-09-01,173.4
2001-10-01,174.3
2001-11-01,175.3
2001-12-01,176.2
2002-01-01,176.9
2002-02-01,177.5
2002-03-01,178
2002-04-01,178.6
2002-05-01,178.9
2002-06-01,179.5
2002-07-01,180.1
2002-08-01,180.6
2002-09-01,181.4
2002-10-01,182
2002-11-01,182.4
2002-12-01,182.9
2003-01-01,183.5
2003-02-01,183.7
2003-03-01,183.8
2003-04-01,183.8
2003-05-01,184.1
2003-06-01,184
2003-07-01,184.6
2003-08-01,185.1
2003-09-01,185.6
2003-10-01,186.2
2003-11-01,186.6
2003-12-01,186.9
2004-01-01,187.1
2004-02-01,187.2
2004-03-01,187.7
2004-04-01,188.2
2004-05-01,188.6
2004-06-01,188.9
2004-07-01,189.2
2004-08-01,189.7
2004-09-01,190
2004-10-01,190.3
2004-11-01,190.6
2004-12-01,191.1
2005-01-01,191.6
2005-02-01,192.2
2005-03-01,192.5
2005-04-01,192.8
2005-05-01,193
2005-06-01,193.3
2005-07-01,193.6
2005-08-01,194
2005-09-01,194.6
2005-10-01,194.9
2005-11-01,195.3
2005-12-01,195.8
2006-01-01,196.2
