"Date","CUURA000SS4501A"
1997-12-01,100
1998-01-01,100.2
1998-02-01,99.9
1998-03-01,99.9
1998-04-01,99.8
1998-05-01,99.2
1998-06-01,98.7
1998-07-01,98.7
1998-08-01,98.6
1998-09-01,98.3
1998-10-01,98.7
1998-11-01,99.3
1998-12-01,99.5
1999-01-01,99.6
1999-02-01,99.2
1999-03-01,98.9
1999-04-01,98.8
1999-05-01,98.6
1999-06-01,98.3
1999-07-01,97.9
1999-08-01,97.4
1999-09-01,97.6
1999-10-01,98.2
1999-11-01,98.8
1999-12-01,99.1
2000-01-01,98.9
2000-02-01,98.7
2000-03-01,99
2000-04-01,99
2000-05-01,98.9
2000-06-01,98.6
2000-07-01,98.3
2000-08-01,97.9
2000-09-01,97.7
2000-10-01,97.8
2000-11-01,98.4
2000-12-01,99
2001-01-01,99.1
2001-02-01,98.6
2001-03-01,98.3
2001-04-01,98.2
2001-05-01,98
2001-06-01,97.4
2001-07-01,97.2
2001-08-01,96.8
2001-09-01,96.7
2001-10-01,97.3
2001-11-01,98.1
2001-12-01,98.7
2002-01-01,98.1
2002-02-01,97.2
2002-03-01,96.9
2002-04-01,96.7
2002-05-01,96.3
2002-06-01,95.9
2002-07-01,95.5
2002-08-01,95
2002-09-01,95.4
2002-10-01,95.9
2002-11-01,96.6
2002-12-01,97
2003-01-01,96.4
2003-02-01,96
2003-03-01,96.2
2003-04-01,95.7
2003-05-01,95.1
2003-06-01,94.4
2003-07-01,94.2
2003-08-01,94.3
2003-09-01,93.9
2003-10-01,94.1
2003-11-01,94.7
2003-12-01,95
2004-01-01,95
2004-02-01,95.3
2004-03-01,95.1
2004-04-01,94.9
2004-05-01,94.7
2004-06-01,94.4
2004-07-01,93.5
2004-08-01,92.9
2004-09-01,92.9
2004-10-01,93.7
2004-11-01,95
2004-12-01,95.3
2005-01-01,96
2005-02-01,96.3
2005-03-01,95.6
2005-04-01,95.3
2005-05-01,95.2
2005-06-01,94.8
2005-07-01,93.4
2005-08-01,92.3
2005-09-01,93.1
2005-10-01,94.2
2005-11-01,94.7
2005-12-01,94.9
2006-01-01,95.6
2006-02-01,95.6
2006-03-01,95.1
2006-04-01,94.6
2006-05-01,94.4
2006-06-01,94.1
2006-07-01,93.7
2006-08-01,93.4
2006-09-01,93.5
2006-10-01,93.9
2006-11-01,94
2006-12-01,94.1
2007-01-01,94.543
2007-02-01,94.264
2007-03-01,94.253
2007-04-01,94.055
2007-05-01,93.415
2007-06-01,93.204
2007-07-01,92.862
2007-08-01,92.783
2007-09-01,92.657
2007-10-01,93.14
2007-11-01,93.933
2007-12-01,94.177
2008-01-01,94.209
2008-02-01,93.692
2008-03-01,93.415
2008-04-01,92.78
2008-05-01,92.447
2008-06-01,92.329
2008-07-01,92.207
2008-08-01,91.64
2008-09-01,90.695
2008-10-01,90.729
2008-11-01,91.193
2008-12-01,90.909
2009-01-01,91.829
2009-02-01,91.919
2009-03-01,92.152
2009-04-01,92.5
2009-05-01,92.716
2009-06-01,92.836
2009-07-01,92.909
2009-08-01,91.822
2009-09-01,92.57
2009-10-01,93.938
2009-11-01,95.089
2009-12-01,95.112
2010-01-01,94.84
2010-02-01,94.999
2010-03-01,94.917
2010-04-01,94.468
2010-05-01,94.165
2010-06-01,94.048
2010-07-01,94.138
2010-08-01,94.037
2010-09-01,94.177
2010-10-01,94.481
2010-11-01,94.782
2010-12-01,94.894
2011-01-01,95.214
2011-02-01,96.15
2011-03-01,96.323
2011-04-01,96.79
2011-05-01,97.639
2011-06-01,98.168
2011-07-01,98.176
2011-08-01,97.868
2011-09-01,97.835
2011-10-01,98.026
2011-11-01,98.129
2011-12-01,98.288
2012-01-01,98.555
2012-02-01,98.897
2012-03-01,98.839
2012-04-01,99.046
2012-05-01,98.836
2012-06-01,98.791
2012-07-01,98.591
2012-08-01,98.357
2012-09-01,98.277
2012-10-01,98.636
2012-11-01,99.126
2012-12-01,99.365
2013-01-01,100.066
2013-02-01,100.1
2013-03-01,100.096
2013-04-01,100.17
2013-05-01,99.934
2013-06-01,99.736
2013-07-01,99.539
2013-08-01,99.373
2013-09-01,99.375
2013-10-01,99.511
2013-11-01,99.706
2013-12-01,99.856
2014-01-01,100.229
2014-02-01,100.542
2014-03-01,100.579
2014-04-01,100.826
2014-05-01,100.789
2014-06-01,100.388
2014-07-01,100.249
2014-08-01,99.755
2014-09-01,99.81
2014-10-01,100.201
2014-11-01,100.292
2014-12-01,100.366
2015-01-01,100.452
2015-02-01,101.085
2015-03-01,101.07
2015-04-01,100.844
2015-05-01,100.736
2015-06-01,100.739
2015-07-01,100.248
2015-08-01,99.678
2015-09-01,99.612
2015-10-01,99.894
2015-11-01,99.977
2015-12-01,99.874
2016-01-01,100.296
2016-02-01,100.69
