"Date","CUURA103SASL2RS"
1982-11-01,100
1982-12-01,NA
1983-01-01,100.5
1983-02-01,NA
1983-03-01,101.2
1983-04-01,NA
1983-05-01,101.4
1983-06-01,NA
1983-07-01,101.9
1983-08-01,NA
1983-09-01,102.2
1983-10-01,NA
1983-11-01,103.7
1983-12-01,NA
1984-01-01,105.4
1984-02-01,NA
1984-03-01,107.9
1984-04-01,NA
1984-05-01,108
1984-06-01,NA
1984-07-01,110.3
1984-08-01,NA
1984-09-01,111.4
1984-10-01,NA
1984-11-01,111.1
1984-12-01,NA
1985-01-01,111.4
1985-02-01,NA
1985-03-01,114.4
1985-04-01,NA
1985-05-01,114
1985-06-01,NA
1985-07-01,114.6
1985-08-01,NA
1985-09-01,117.3
1985-10-01,NA
1985-11-01,118.7
1985-12-01,NA
1986-01-01,120.3
1986-02-01,NA
1986-03-01,121.5
1986-04-01,NA
1986-05-01,121.7
1986-06-01,NA
1986-07-01,122.2
1986-08-01,NA
1986-09-01,123.4
1986-10-01,NA
1986-11-01,123.3
1986-12-01,NA
1987-01-01,124.1
1987-02-01,NA
1987-03-01,124.6
1987-04-01,NA
1987-05-01,124.4
1987-06-01,NA
1987-07-01,125
1987-08-01,NA
1987-09-01,127.7
1987-10-01,NA
1987-11-01,129.9
1987-12-01,NA
1988-01-01,130.5
1988-02-01,NA
1988-03-01,132.7
1988-04-01,NA
1988-05-01,132.8
1988-06-01,NA
1988-07-01,135
1988-08-01,NA
1988-09-01,138.1
1988-10-01,NA
1988-11-01,140.8
1988-12-01,NA
1989-01-01,142.8
1989-02-01,NA
1989-03-01,145.3
1989-04-01,NA
1989-05-01,147.2
1989-06-01,NA
1989-07-01,145.9
1989-08-01,NA
1989-09-01,147.5
1989-10-01,NA
1989-11-01,150.1
1989-12-01,NA
1990-01-01,152.2
1990-02-01,NA
1990-03-01,154.5
1990-04-01,NA
1990-05-01,154.5
1990-06-01,NA
1990-07-01,156.9
1990-08-01,NA
1990-09-01,159.5
1990-10-01,NA
1990-11-01,164.8
1990-12-01,NA
1991-01-01,166
1991-02-01,NA
1991-03-01,167.5
1991-04-01,NA
1991-05-01,165.4
1991-06-01,NA
1991-07-01,170.1
1991-08-01,NA
1991-09-01,170.6
1991-10-01,NA
1991-11-01,174.1
1991-12-01,NA
1992-01-01,174.7
1992-02-01,NA
1992-03-01,177.1
1992-04-01,NA
1992-05-01,175.4
1992-06-01,NA
1992-07-01,177.1
1992-08-01,NA
1992-09-01,177.9
1992-10-01,NA
1992-11-01,183
1992-12-01,NA
1993-01-01,184.9
1993-02-01,NA
1993-03-01,186
1993-04-01,NA
1993-05-01,183.5
1993-06-01,NA
1993-07-01,185.4
1993-08-01,NA
1993-09-01,186.3
1993-10-01,NA
1993-11-01,192.2
1993-12-01,NA
1994-01-01,191.5
1994-02-01,NA
1994-03-01,192.6
1994-04-01,NA
1994-05-01,188.9
1994-06-01,NA
1994-07-01,189.8
1994-08-01,NA
1994-09-01,191.7
1994-10-01,NA
1994-11-01,196
1994-12-01,NA
1995-01-01,196.6
1995-02-01,NA
1995-03-01,197.5
1995-04-01,NA
1995-05-01,194.6
1995-06-01,NA
1995-07-01,194.6
1995-08-01,NA
1995-09-01,195.8
1995-10-01,NA
1995-11-01,201.1
1995-12-01,NA
1996-01-01,201.5
1996-02-01,NA
1996-03-01,201.2
1996-04-01,NA
1996-05-01,197.7
1996-06-01,NA
1996-07-01,198.3
1996-08-01,NA
1996-09-01,199.9
1996-10-01,NA
1996-11-01,205.7
1996-12-01,NA
1997-01-01,207
1997-02-01,NA
1997-03-01,208.1
1997-04-01,NA
1997-05-01,204.9
1997-06-01,NA
1997-07-01,206.1
1997-08-01,NA
1997-09-01,207
1997-10-01,NA
1997-11-01,210.9
1997-12-01,NA
1998-01-01,213.1
1998-02-01,NA
1998-03-01,211.5
1998-04-01,NA
1998-05-01,210.3
1998-06-01,NA
1998-07-01,210.9
1998-08-01,NA
1998-09-01,211.2
1998-10-01,NA
1998-11-01,215.3
1998-12-01,NA
1999-01-01,216.5
1999-02-01,NA
1999-03-01,217.8
1999-04-01,NA
1999-05-01,214.6
1999-06-01,NA
1999-07-01,215.3
1999-08-01,NA
1999-09-01,215.5
1999-10-01,NA
1999-11-01,220
1999-12-01,NA
2000-01-01,222.7
2000-02-01,NA
2000-03-01,223.1
2000-04-01,NA
2000-05-01,221.8
2000-06-01,NA
2000-07-01,225.5
2000-08-01,NA
2000-09-01,227.9
2000-10-01,NA
2000-11-01,231.9
2000-12-01,NA
2001-01-01,236.3
2001-02-01,NA
2001-03-01,241.2
2001-04-01,NA
2001-05-01,237.6
2001-06-01,NA
2001-07-01,241.3
2001-08-01,NA
2001-09-01,242
2001-10-01,NA
2001-11-01,242.1
2001-12-01,NA
2002-01-01,239.5
2002-02-01,NA
2002-03-01,239.8
2002-04-01,NA
2002-05-01,238.1
2002-06-01,NA
2002-07-01,240.8
2002-08-01,NA
2002-09-01,243.2
2002-10-01,NA
2002-11-01,246.5
2002-12-01,NA
2003-01-01,248.2
2003-02-01,NA
2003-03-01,252.9
2003-04-01,NA
2003-05-01,253.5
2003-06-01,NA
2003-07-01,255.5
2003-08-01,NA
2003-09-01,259.9
2003-10-01,NA
2003-11-01,257
2003-12-01,NA
2004-01-01,259.8
2004-02-01,NA
2004-03-01,261.4
2004-04-01,NA
2004-05-01,258.6
2004-06-01,NA
2004-07-01,260.6
2004-08-01,NA
2004-09-01,260.4
2004-10-01,NA
2004-11-01,267.3
2004-12-01,NA
2005-01-01,269
2005-02-01,NA
2005-03-01,272.2
2005-04-01,NA
2005-05-01,270.1
2005-06-01,NA
2005-07-01,272.5
2005-08-01,NA
2005-09-01,277.8
2005-10-01,NA
2005-11-01,284.4
2005-12-01,NA
2006-01-01,288.3
2006-02-01,NA
2006-03-01,287.9
2006-04-01,NA
2006-05-01,284.9
2006-06-01,NA
2006-07-01,287.9
2006-08-01,NA
2006-09-01,287.5
2006-10-01,NA
2006-11-01,293.2
2006-12-01,NA
2007-01-01,295.598
2007-02-01,NA
2007-03-01,294.43
2007-04-01,NA
2007-05-01,289.179
2007-06-01,NA
2007-07-01,290.002
2007-08-01,NA
2007-09-01,291.796
2007-10-01,NA
2007-11-01,301.38
2007-12-01,NA
2008-01-01,303.001
2008-02-01,NA
2008-03-01,306.212
2008-04-01,NA
2008-05-01,305.954
2008-06-01,NA
2008-07-01,314.408
2008-08-01,NA
2008-09-01,310.838
2008-10-01,NA
2008-11-01,315.099
2008-12-01,NA
2009-01-01,318.213
2009-02-01,NA
2009-03-01,316.228
2009-04-01,NA
2009-05-01,307.716
2009-06-01,NA
2009-07-01,307.806
2009-08-01,NA
2009-09-01,309.998
2009-10-01,NA
2009-11-01,316.451
2009-12-01,NA
2010-01-01,318.104
2010-02-01,NA
2010-03-01,320.653
2010-04-01,NA
2010-05-01,318.891
2010-06-01,NA
2010-07-01,318.527
2010-08-01,NA
2010-09-01,316.85
2010-10-01,NA
2010-11-01,323.091
2010-12-01,NA
2011-01-01,324.501
2011-02-01,NA
2011-03-01,325.788
2011-04-01,NA
2011-05-01,323.634
2011-06-01,NA
2011-07-01,322.754
2011-08-01,NA
2011-09-01,324.551
2011-10-01,NA
2011-11-01,324.985
2011-12-01,NA
2012-01-01,327.715
2012-02-01,NA
2012-03-01,326.684
2012-04-01,NA
2012-05-01,321.638
2012-06-01,NA
2012-07-01,321.836
2012-08-01,NA
2012-09-01,327.194
2012-10-01,NA
2012-11-01,332.553
2012-12-01,NA
2013-01-01,335.232
2013-02-01,NA
2013-03-01,334.341
2013-04-01,NA
2013-05-01,333.352
2013-06-01,NA
2013-07-01,334.663
2013-08-01,NA
2013-09-01,335.828
2013-10-01,NA
2013-11-01,341.012
2013-12-01,NA
2014-01-01,340.218
2014-02-01,NA
2014-03-01,342.803
2014-04-01,NA
2014-05-01,338.758
2014-06-01,NA
2014-07-01,340.834
2014-08-01,NA
2014-09-01,340.084
2014-10-01,NA
2014-11-01,350.181
2014-12-01,NA
2015-01-01,353.013
2015-02-01,NA
2015-03-01,351.835
2015-04-01,NA
2015-05-01,347.274
2015-06-01,NA
2015-07-01,344.764
2015-08-01,NA
2015-09-01,345.711
2015-10-01,NA
2015-11-01,358.192
2015-12-01,NA
2016-01-01,357.947
2016-02-01,NA
2016-03-01,358.819
2016-04-01,NA
2016-05-01,358.203
2016-06-01,NA
2016-07-01,358.627
2016-08-01,NA
2016-09-01,360.59
2016-10-01,NA
2016-11-01,364.697
2016-12-01,NA
2017-01-01,371.192
2017-02-01,NA
2017-03-01,371.673
2017-04-01,NA
2017-05-01,371.639
2017-06-01,NA
2017-07-01,372.233
2017-08-01,NA
2017-09-01,373.85
2017-10-01,NA
2017-11-01,380.314
2017-12-01,NA
2018-01-01,381.151
2018-02-01,NA
2018-03-01,386.058
2018-04-01,NA
2018-05-01,380.963
2018-06-01,NA
2018-07-01,383.731
2018-08-01,NA
2018-09-01,384.591
2018-10-01,NA
2018-11-01,391.396
2018-12-01,NA
2019-01-01,392.542
2019-02-01,NA
2019-03-01,393.382
2019-04-01,NA
2019-05-01,391.216
2019-06-01,NA
2019-07-01,389.934
2019-08-01,NA
2019-09-01,391.224
2019-10-01,NA
2019-11-01,399.799
2019-12-01,NA
2020-01-01,401.88
2020-02-01,NA
2020-03-01,401.738
2020-04-01,NA
2020-05-01,391.275
2020-06-01,NA
2020-07-01,391.109
2020-08-01,NA
2020-09-01,389.959
2020-10-01,NA
2020-11-01,397.989
2020-12-01,NA
2021-01-01,399.069
2021-02-01,NA
2021-03-01,399.915
2021-04-01,NA
2021-05-01,400.335
2021-06-01,NA
2021-07-01,399.686
2021-08-01,NA
