"Date","CUURA103SAT"
1947-01-01,16.2
1947-02-01,16.2
1947-03-01,16.3
1947-04-01,16.3
1947-05-01,16.3
1947-06-01,16.4
1947-07-01,16.4
1947-08-01,16.5
1947-09-01,16.6
1947-10-01,16.6
1947-11-01,16.6
1947-12-01,16.6
1948-01-01,16.7
1948-02-01,16.8
1948-03-01,16.8
1948-04-01,16.8
1948-05-01,16.8
1948-06-01,16.8
1948-07-01,16.9
1948-08-01,17.1
1948-09-01,17.1
1948-10-01,17.1
1948-11-01,17.1
1948-12-01,17.1
1949-01-01,17.1
1949-02-01,17.2
1949-03-01,17.2
1949-04-01,17.3
1949-05-01,17.3
1949-06-01,17.3
1949-07-01,17.3
1949-08-01,20.4
1949-09-01,20.4
1949-10-01,20.4
1949-11-01,20.4
1949-12-01,20.5
1950-01-01,20.5
1950-02-01,20.4
1950-03-01,20.4
1950-04-01,20.4
1950-05-01,20.5
1950-06-01,20.5
1950-07-01,20.6
1950-08-01,20.6
1950-09-01,20.7
1950-10-01,20.7
1950-11-01,20.7
1950-12-01,20.8
1951-01-01,20.8
1951-02-01,20.8
1951-03-01,20.8
1951-04-01,20.8
1951-05-01,20.8
1951-06-01,20.8
1951-07-01,20.8
1951-08-01,21.6
1951-09-01,21.6
1951-10-01,21.8
1951-11-01,21.9
1951-12-01,21.9
1952-01-01,22
1952-02-01,22.3
1952-03-01,22.3
1952-04-01,22.3
1952-05-01,22.3
1952-06-01,22.3
1952-07-01,23
1952-08-01,23
1952-09-01,23.1
1952-10-01,23.1
1952-11-01,23.1
1952-12-01,23.1
1953-01-01,23.2
1953-02-01,NA
1953-03-01,NA
1953-04-01,23.5
1953-05-01,NA
1953-06-01,NA
1953-07-01,23.7
1953-08-01,NA
1953-09-01,NA
1953-10-01,23.7
1953-11-01,NA
1953-12-01,NA
1954-01-01,23.4
1954-02-01,NA
1954-03-01,NA
1954-04-01,24.4
1954-05-01,NA
1954-06-01,NA
1954-07-01,23.7
1954-08-01,NA
1954-09-01,NA
1954-10-01,23
1954-11-01,NA
1954-12-01,NA
1955-01-01,23.2
1955-02-01,NA
1955-03-01,NA
1955-04-01,23.2
1955-05-01,NA
1955-06-01,NA
1955-07-01,22.9
1955-08-01,NA
1955-09-01,NA
1955-10-01,23.5
1955-11-01,NA
1955-12-01,NA
1956-01-01,23.5
1956-02-01,NA
1956-03-01,NA
1956-04-01,23.6
1956-05-01,NA
1956-06-01,NA
1956-07-01,23.5
1956-08-01,NA
1956-09-01,NA
1956-10-01,25.1
1956-11-01,NA
1956-12-01,NA
1957-01-01,24.7
1957-02-01,NA
1957-03-01,NA
1957-04-01,24.9
1957-05-01,NA
1957-06-01,NA
1957-07-01,25
1957-08-01,NA
1957-09-01,NA
1957-10-01,25.2
1957-11-01,NA
1957-12-01,NA
1958-01-01,25.4
1958-02-01,NA
1958-03-01,NA
1958-04-01,25.9
1958-05-01,NA
1958-06-01,NA
1958-07-01,25.8
1958-08-01,NA
1958-09-01,NA
1958-10-01,25.7
1958-11-01,NA
1958-12-01,NA
1959-01-01,26.5
1959-02-01,NA
1959-03-01,NA
1959-04-01,26.4
1959-05-01,NA
1959-06-01,NA
1959-07-01,26.4
1959-08-01,NA
1959-09-01,NA
1959-10-01,26.4
1959-11-01,NA
1959-12-01,NA
1960-01-01,25.7
1960-02-01,NA
1960-03-01,NA
1960-04-01,25.7
1960-05-01,NA
1960-06-01,NA
1960-07-01,25.9
1960-08-01,NA
1960-09-01,NA
1960-10-01,25.9
1960-11-01,NA
1960-12-01,NA
1961-01-01,25.6
1961-02-01,NA
1961-03-01,NA
1961-04-01,26
1961-05-01,NA
1961-06-01,NA
1961-07-01,26.4
1961-08-01,NA
1961-09-01,NA
1961-10-01,26.2
1961-11-01,NA
1961-12-01,NA
1962-01-01,28.1
1962-02-01,NA
1962-03-01,NA
1962-04-01,28.3
1962-05-01,NA
1962-06-01,NA
1962-07-01,28
1962-08-01,NA
1962-09-01,NA
1962-10-01,28.3
1962-11-01,NA
1962-12-01,NA
1963-01-01,28
1963-02-01,NA
1963-03-01,NA
1963-04-01,28.3
1963-05-01,NA
1963-06-01,NA
1963-07-01,28.5
1963-08-01,NA
1963-09-01,NA
1963-10-01,28.3
1963-11-01,NA
1963-12-01,NA
1964-01-01,28.4
1964-02-01,NA
1964-03-01,NA
1964-04-01,28.3
1964-05-01,NA
1964-06-01,NA
1964-07-01,28.6
1964-08-01,NA
1964-09-01,NA
1964-10-01,28.3
1964-11-01,NA
1964-12-01,NA
1965-01-01,28.9
1965-02-01,NA
1965-03-01,NA
1965-04-01,29
1965-05-01,NA
1965-06-01,NA
1965-07-01,29.2
1965-08-01,NA
1965-09-01,NA
1965-10-01,29.5
1965-11-01,NA
1965-12-01,NA
1966-01-01,29.3
1966-02-01,NA
1966-03-01,NA
1966-04-01,29.9
1966-05-01,NA
1966-06-01,NA
1966-07-01,30.1
1966-08-01,NA
1966-09-01,NA
1966-10-01,30.1
1966-11-01,NA
1966-12-01,NA
1967-01-01,30.1
1967-02-01,NA
1967-03-01,NA
1967-04-01,30.4
1967-05-01,NA
1967-06-01,NA
1967-07-01,30.7
1967-08-01,NA
1967-09-01,NA
1967-10-01,30.9
1967-11-01,NA
1967-12-01,NA
1968-01-01,31.2
1968-02-01,NA
1968-03-01,NA
1968-04-01,31.5
1968-05-01,NA
1968-06-01,NA
1968-07-01,31.5
1968-08-01,NA
1968-09-01,NA
1968-10-01,31.7
1968-11-01,NA
1968-12-01,NA
1969-01-01,32.9
1969-02-01,NA
1969-03-01,NA
1969-04-01,33.6
1969-05-01,NA
1969-06-01,NA
1969-07-01,33.6
1969-08-01,NA
1969-09-01,NA
1969-10-01,33.6
1969-11-01,NA
1969-12-01,NA
1970-01-01,33.7
1970-02-01,NA
1970-03-01,NA
1970-04-01,34
1970-05-01,NA
1970-06-01,NA
1970-07-01,34.5
1970-08-01,NA
1970-09-01,NA
1970-10-01,36.3
1970-11-01,NA
1970-12-01,NA
1971-01-01,36.6
1971-02-01,NA
1971-03-01,NA
1971-04-01,36.2
1971-05-01,NA
1971-06-01,NA
1971-07-01,36.9
1971-08-01,NA
1971-09-01,NA
1971-10-01,36.7
1971-11-01,NA
1971-12-01,NA
1972-01-01,36.5
1972-02-01,NA
1972-03-01,NA
1972-04-01,36.3
1972-05-01,NA
1972-06-01,NA
1972-07-01,36.5
1972-08-01,NA
1972-09-01,NA
1972-10-01,37
1972-11-01,NA
1972-12-01,NA
1973-01-01,37
1973-02-01,NA
1973-03-01,NA
1973-04-01,37.1
1973-05-01,NA
1973-06-01,NA
1973-07-01,37.8
1973-08-01,NA
1973-09-01,NA
1973-10-01,37.8
1973-11-01,NA
1973-12-01,NA
1974-01-01,38.6
1974-02-01,NA
1974-03-01,NA
1974-04-01,39.8
1974-05-01,NA
1974-06-01,NA
1974-07-01,42
1974-08-01,NA
1974-09-01,NA
1974-10-01,42.3
1974-11-01,NA
1974-12-01,NA
1975-01-01,42.8
1975-02-01,NA
1975-03-01,NA
1975-04-01,45.1
1975-05-01,NA
1975-06-01,NA
1975-07-01,47
1975-08-01,NA
1975-09-01,NA
1975-10-01,47.6
1975-11-01,NA
1975-12-01,NA
1976-01-01,57.8
1976-02-01,NA
1976-03-01,NA
1976-04-01,58.1
1976-05-01,NA
1976-06-01,NA
1976-07-01,59.8
1976-08-01,NA
1976-09-01,NA
1976-10-01,60.2
1976-11-01,NA
1976-12-01,NA
1977-01-01,62.2
1977-02-01,NA
1977-03-01,NA
1977-04-01,63.3
1977-05-01,NA
1977-06-01,NA
1977-07-01,63.9
1977-08-01,NA
1977-09-01,NA
1977-10-01,63.6
1977-11-01,NA
1977-12-01,NA
1978-01-01,63.7
1978-02-01,NA
1978-03-01,61.2
1978-04-01,NA
1978-05-01,62.2
1978-06-01,NA
1978-07-01,63.3
1978-08-01,NA
1978-09-01,63.6
1978-10-01,NA
1978-11-01,64.2
1978-12-01,NA
1979-01-01,63.6
1979-02-01,NA
1979-03-01,64.8
1979-04-01,NA
1979-05-01,68
1979-06-01,NA
1979-07-01,70.9
1979-08-01,NA
1979-09-01,72.1
1979-10-01,NA
1979-11-01,74
1979-12-01,NA
1980-01-01,76.6
1980-02-01,NA
1980-03-01,80.5
1980-04-01,NA
1980-05-01,81.8
1980-06-01,NA
1980-07-01,83.5
1980-08-01,NA
1980-09-01,84.7
1980-10-01,NA
1980-11-01,86.3
1980-12-01,NA
1981-01-01,87.6
1981-02-01,NA
1981-03-01,91.3
1981-04-01,NA
1981-05-01,94
1981-06-01,NA
1981-07-01,94.5
1981-08-01,NA
1981-09-01,96.6
1981-10-01,NA
1981-11-01,98
1981-12-01,NA
1982-01-01,97.6
1982-02-01,NA
1982-03-01,97
1982-04-01,NA
1982-05-01,96.1
1982-06-01,NA
1982-07-01,99.3
1982-08-01,NA
1982-09-01,99.8
1982-10-01,NA
1982-11-01,99.7
1982-12-01,NA
1983-01-01,98.7
1983-02-01,NA
1983-03-01,97.2
1983-04-01,NA
1983-05-01,98.5
1983-06-01,NA
1983-07-01,99.6
1983-08-01,NA
1983-09-01,100.1
1983-10-01,NA
1983-11-01,100.5
1983-12-01,NA
1984-01-01,100.7
1984-02-01,NA
1984-03-01,101.8
1984-04-01,NA
1984-05-01,102.9
1984-06-01,NA
1984-07-01,103
1984-08-01,NA
1984-09-01,103
1984-10-01,NA
1984-11-01,103.1
1984-12-01,NA
1985-01-01,102.9
1985-02-01,NA
1985-03-01,104.3
1985-04-01,NA
1985-05-01,105.4
1985-06-01,NA
1985-07-01,105.7
1985-08-01,NA
1985-09-01,105.7
1985-10-01,NA
1985-11-01,106.8
1985-12-01,NA
1986-01-01,106.9
1986-02-01,NA
1986-03-01,103.8
1986-04-01,NA
1986-05-01,100.5
1986-06-01,NA
1986-07-01,100.5
1986-08-01,NA
1986-09-01,99.4
1986-10-01,NA
1986-11-01,100.1
1986-12-01,NA
1987-01-01,101.4
1987-02-01,NA
1987-03-01,100.6
1987-04-01,NA
1987-05-01,101.8
1987-06-01,NA
1987-07-01,103.4
1987-08-01,NA
1987-09-01,104.9
1987-10-01,NA
1987-11-01,106.8
1987-12-01,NA
1988-01-01,106.1
1988-02-01,NA
1988-03-01,105.5
1988-04-01,NA
1988-05-01,106.2
1988-06-01,NA
1988-07-01,107.9
1988-08-01,NA
1988-09-01,109.6
1988-10-01,NA
1988-11-01,112.8
1988-12-01,NA
1989-01-01,112.5
1989-02-01,NA
1989-03-01,113.5
1989-04-01,NA
1989-05-01,115.8
1989-06-01,NA
1989-07-01,112.6
1989-08-01,NA
1989-09-01,112.6
1989-10-01,NA
1989-11-01,114.6
1989-12-01,NA
1990-01-01,115.7
1990-02-01,NA
1990-03-01,116.1
1990-04-01,NA
1990-05-01,117.1
1990-06-01,NA
1990-07-01,117.3
1990-08-01,NA
1990-09-01,122.3
1990-10-01,NA
1990-11-01,127.4
1990-12-01,NA
1991-01-01,125.3
1991-02-01,NA
1991-03-01,123
1991-04-01,NA
1991-05-01,124.3
1991-06-01,NA
1991-07-01,125.7
1991-08-01,NA
1991-09-01,126.2
1991-10-01,NA
1991-11-01,127.8
1991-12-01,NA
1992-01-01,127.2
1992-02-01,NA
1992-03-01,128.6
1992-04-01,NA
1992-05-01,129.1
1992-06-01,NA
1992-07-01,129.9
1992-08-01,NA
1992-09-01,128.9
1992-10-01,NA
1992-11-01,129.8
1992-12-01,NA
1993-01-01,131.9
1993-02-01,NA
1993-03-01,132.4
1993-04-01,NA
