"Date","CUURA311SA0"
1996-11-01,100
1996-12-01,NA
1997-01-01,100.4
1997-02-01,NA
1997-03-01,100.8
1997-04-01,NA
1997-05-01,100.5
1997-06-01,NA
1997-07-01,101.1
1997-08-01,NA
1997-09-01,101.4
1997-10-01,NA
1997-11-01,100.5
1997-12-01,NA
1998-01-01,101
1998-02-01,NA
1998-03-01,101.6
1998-04-01,NA
1998-05-01,101.5
1998-06-01,NA
1998-07-01,102.8
1998-08-01,NA
1998-09-01,102.9
1998-10-01,NA
1998-11-01,102.4
1998-12-01,NA
1999-01-01,102.8
1999-02-01,NA
1999-03-01,103.2
1999-04-01,NA
1999-05-01,103.6
1999-06-01,NA
1999-07-01,104.6
1999-08-01,NA
1999-09-01,105.4
1999-10-01,NA
1999-11-01,105
1999-12-01,NA
2000-01-01,105.4
2000-02-01,NA
2000-03-01,107.1
2000-04-01,NA
2000-05-01,106.7
2000-06-01,NA
2000-07-01,108.4
2000-08-01,NA
2000-09-01,108.7
2000-10-01,NA
2000-11-01,108.5
2000-12-01,NA
2001-01-01,108.9
2001-02-01,NA
2001-03-01,109.7
2001-04-01,NA
2001-05-01,110.1
2001-06-01,NA
2001-07-01,110.8
2001-08-01,NA
2001-09-01,111.7
2001-10-01,NA
2001-11-01,110.9
2001-12-01,NA
2002-01-01,110.9
2002-02-01,NA
2002-03-01,111.9
2002-04-01,NA
2002-05-01,112.8
2002-06-01,NA
2002-07-01,113.4
2002-08-01,NA
2002-09-01,114
2002-10-01,NA
2002-11-01,114
2002-12-01,NA
2003-01-01,114.6
2003-02-01,NA
2003-03-01,115.9
2003-04-01,NA
2003-05-01,115.7
2003-06-01,NA
2003-07-01,116.8
2003-08-01,NA
2003-09-01,117.2
2003-10-01,NA
2003-11-01,116.7
2003-12-01,NA
2004-01-01,117.1
2004-02-01,NA
2004-03-01,118.1
2004-04-01,NA
2004-05-01,118.9
2004-06-01,NA
2004-07-01,120.2
2004-08-01,NA
2004-09-01,120.8
2004-10-01,NA
2004-11-01,120.9
2004-12-01,NA
2005-01-01,121.3
2005-02-01,NA
2005-03-01,122.7
2005-04-01,NA
2005-05-01,123.6
2005-06-01,NA
2005-07-01,125
2005-08-01,NA
2005-09-01,126.7
2005-10-01,NA
2005-11-01,125.4
2005-12-01,NA
2006-01-01,126.3
2006-02-01,NA
2006-03-01,126.8
2006-04-01,NA
2006-05-01,128.8
2006-06-01,NA
2006-07-01,130.7
2006-08-01,NA
2006-09-01,130.2
2006-10-01,NA
2006-11-01,129.3
2006-12-01,NA
2007-01-01,129.956
2007-02-01,NA
2007-03-01,131.945
2007-04-01,NA
2007-05-01,132.982
2007-06-01,NA
2007-07-01,134.442
2007-08-01,NA
2007-09-01,134.678
2007-10-01,NA
2007-11-01,135.151
2007-12-01,NA
2008-01-01,136.293
2008-02-01,NA
2008-03-01,138.09
2008-04-01,NA
2008-05-01,139.649
2008-06-01,NA
2008-07-01,142.065
2008-08-01,NA
2008-09-01,142.036
2008-10-01,NA
2008-11-01,138.547
2008-12-01,NA
2009-01-01,137.598
2009-02-01,NA
2009-03-01,138.62
2009-04-01,NA
2009-05-01,139.311
2009-06-01,NA
2009-07-01,140.81
2009-08-01,NA
2009-09-01,140.945
2009-10-01,NA
2009-11-01,140.718
2009-12-01,NA
2010-01-01,141.124
2010-02-01,NA
2010-03-01,141.741
2010-04-01,NA
2010-05-01,142.025
2010-06-01,NA
2010-07-01,141.966
2010-08-01,NA
2010-09-01,142.738
2010-10-01,NA
2010-11-01,142.915
2010-12-01,NA
2011-01-01,144.327
2011-02-01,NA
2011-03-01,146.044
2011-04-01,NA
2011-05-01,147.554
2011-06-01,NA
2011-07-01,147.747
2011-08-01,NA
2011-09-01,147.658
2011-10-01,NA
2011-11-01,147.565
2011-12-01,NA
2012-01-01,148.163
2012-02-01,NA
2012-03-01,150.074
2012-04-01,NA
2012-05-01,150.155
2012-06-01,NA
2012-07-01,149.838
2012-08-01,NA
2012-09-01,151.732
2012-10-01,NA
2012-11-01,150.646
2012-12-01,NA
2013-01-01,150.845
2013-02-01,NA
2013-03-01,152.188
2013-04-01,NA
2013-05-01,151.908
2013-06-01,NA
2013-07-01,152.657
2013-08-01,NA
2013-09-01,153.532
2013-10-01,NA
2013-11-01,153.16
2013-12-01,NA
2014-01-01,153.7
2014-02-01,NA
2014-03-01,154.6
2014-04-01,NA
2014-05-01,155.198
2014-06-01,NA
2014-07-01,155.22
2014-08-01,NA
2014-09-01,155.522
2014-10-01,NA
2014-11-01,154.926
2014-12-01,NA
2015-01-01,153.376
2015-02-01,NA
2015-03-01,154.984
2015-04-01,NA
2015-05-01,155.88
2015-06-01,NA
2015-07-01,155.546
2015-08-01,NA
2015-09-01,156.278
2015-10-01,NA
2015-11-01,155.82
2015-12-01,NA
2016-01-01,155.519
2016-02-01,NA
2016-03-01,156.493
2016-04-01,NA
2016-05-01,157.77
2016-06-01,NA
2016-07-01,157.674
2016-08-01,NA
2016-09-01,157.572
2016-10-01,NA
2016-11-01,157.706
2016-12-01,NA
2017-01-01,158.086
2017-02-01,NA
2017-03-01,158.558
2017-04-01,NA
2017-05-01,158.844
2017-06-01,NA
2017-07-01,158.85
2017-08-01,NA
2017-09-01,160.293
2017-10-01,NA
2017-11-01,160.157
