"Date","CUURA318SAH"
1976-01-01,51.2
1976-02-01,NA
1976-03-01,NA
1976-04-01,52
1976-05-01,NA
1976-06-01,NA
1976-07-01,52.9
1976-08-01,NA
1976-09-01,NA
1976-10-01,54.7
1976-11-01,NA
1976-12-01,NA
1977-01-01,55.3
1977-02-01,NA
1977-03-01,NA
1977-04-01,56.7
1977-05-01,NA
1977-06-01,NA
1977-07-01,57.8
1977-08-01,NA
1977-09-01,NA
1977-10-01,58.2
1977-11-01,NA
1977-12-01,NA
1978-01-01,60
1978-02-01,NA
1978-03-01,NA
1978-04-01,62.3
1978-05-01,NA
1978-06-01,64.2
1978-07-01,NA
1978-08-01,66
1978-09-01,NA
1978-10-01,66.9
1978-11-01,NA
1978-12-01,69
1979-01-01,NA
1979-02-01,70
1979-03-01,NA
1979-04-01,70.5
1979-05-01,NA
1979-06-01,73.5
1979-07-01,NA
1979-08-01,75.3
1979-09-01,NA
1979-10-01,76.7
1979-11-01,NA
1979-12-01,78.1
1980-01-01,NA
1980-02-01,79.2
1980-03-01,NA
1980-04-01,80.8
1980-05-01,NA
1980-06-01,84.1
1980-07-01,NA
1980-08-01,84
1980-09-01,NA
1980-10-01,84.8
1980-11-01,NA
1980-12-01,85.4
1981-01-01,NA
1981-02-01,86.7
1981-03-01,NA
1981-04-01,88.7
1981-05-01,NA
1981-06-01,91.8
1981-07-01,NA
1981-08-01,92.4
1981-09-01,NA
1981-10-01,94.6
1981-11-01,NA
1981-12-01,95.8
1982-01-01,NA
1982-02-01,96.4
1982-03-01,NA
1982-04-01,97.6
1982-05-01,NA
1982-06-01,100.8
1982-07-01,NA
1982-08-01,102.8
1982-09-01,NA
1982-10-01,101.5
1982-11-01,NA
1982-12-01,100.9
1983-01-01,NA
1983-02-01,99.7
1983-03-01,NA
1983-04-01,98.3
1983-05-01,NA
1983-06-01,101.2
1983-07-01,NA
1983-08-01,102.2
1983-09-01,NA
1983-10-01,101.4
1983-11-01,NA
1983-12-01,98.8
1984-01-01,NA
1984-02-01,98.4
1984-03-01,NA
1984-04-01,99.1
1984-05-01,NA
1984-06-01,101.7
1984-07-01,NA
1984-08-01,100.1
1984-09-01,NA
1984-10-01,101
1984-11-01,NA
1984-12-01,99.2
1985-01-01,NA
1985-02-01,100
1985-03-01,NA
1985-04-01,100
1985-05-01,NA
1985-06-01,101.1
1985-07-01,NA
1985-08-01,101
1985-09-01,NA
1985-10-01,100.4
1985-11-01,NA
1985-12-01,98.4
1986-01-01,NA
1986-02-01,99.2
1986-03-01,NA
1986-04-01,97.6
1986-05-01,NA
1986-06-01,98.9
1986-07-01,NA
1986-08-01,98.9
1986-09-01,NA
1986-10-01,98.3
1986-11-01,NA
1986-12-01,95.2
1987-01-01,NA
1987-02-01,94.8
1987-03-01,NA
1987-04-01,98.3
1987-05-01,NA
1987-06-01,97.5
1987-07-01,NA
1987-08-01,97.9
1987-09-01,NA
1987-10-01,97.5
1987-11-01,NA
1987-12-01,95.9
1988-01-01,NA
1988-02-01,96.6
1988-03-01,NA
1988-04-01,97.7
1988-05-01,NA
1988-06-01,98.8
1988-07-01,NA
1988-08-01,98.8
1988-09-01,NA
1988-10-01,98
1988-11-01,NA
1988-12-01,99.3
1989-01-01,NA
1989-02-01,100
1989-03-01,NA
1989-04-01,99
1989-05-01,NA
1989-06-01,100.6
1989-07-01,NA
1989-08-01,101.7
1989-09-01,NA
1989-10-01,101.8
1989-11-01,NA
1989-12-01,100.4
1990-01-01,NA
1990-02-01,103.1
1990-03-01,NA
1990-04-01,102.8
1990-05-01,NA
1990-06-01,104.7
1990-07-01,NA
1990-08-01,106.6
1990-09-01,NA
1990-10-01,107.2
1990-11-01,NA
1990-12-01,105.8
1991-01-01,NA
1991-02-01,107.6
1991-03-01,NA
1991-04-01,108
1991-05-01,NA
1991-06-01,110.2
1991-07-01,NA
1991-08-01,109.8
1991-09-01,NA
1991-10-01,111.4
1991-11-01,NA
1991-12-01,111
1992-01-01,NA
1992-02-01,109.9
1992-03-01,NA
1992-04-01,112.7
1992-05-01,NA
1992-06-01,114.6
1992-07-01,NA
1992-08-01,113.9
1992-09-01,NA
1992-10-01,115.4
1992-11-01,NA
1992-12-01,113.3
1993-01-01,NA
1993-02-01,114.7
1993-03-01,NA
1993-04-01,114.7
1993-05-01,NA
1993-06-01,117.5
1993-07-01,NA
1993-08-01,117.2
1993-09-01,NA
1993-10-01,119
1993-11-01,NA
1993-12-01,119.3
1994-01-01,NA
1994-02-01,119.9
1994-03-01,NA
1994-04-01,119
1994-05-01,NA
1994-06-01,119.9
1994-07-01,NA
1994-08-01,122.7
1994-09-01,NA
1994-10-01,121.7
1994-11-01,NA
1994-12-01,119.5
1995-01-01,NA
1995-02-01,122.3
1995-03-01,NA
1995-04-01,116.5
1995-05-01,NA
1995-06-01,121.5
1995-07-01,NA
1995-08-01,122.2
1995-09-01,NA
1995-10-01,123.7
1995-11-01,NA
1995-12-01,120.6
1996-01-01,NA
1996-02-01,122.8
1996-03-01,NA
1996-04-01,123.4
1996-05-01,NA
1996-06-01,124.2
1996-07-01,NA
1996-08-01,124.8
1996-09-01,NA
1996-10-01,125.7
1996-11-01,NA
1996-12-01,123
1997-01-01,NA
1997-02-01,124.9
1997-03-01,NA
1997-04-01,126
1997-05-01,NA
1997-06-01,125.7
1997-07-01,NA
1997-08-01,126.4
1997-09-01,NA
1997-10-01,128.5
1997-11-01,NA
1997-12-01,126
1998-01-01,NA
1998-02-01,127.4
1998-03-01,NA
1998-04-01,127.8
1998-05-01,NA
1998-06-01,130
1998-07-01,NA
1998-08-01,131.2
1998-09-01,NA
1998-10-01,132.9
1998-11-01,NA
1998-12-01,129.2
1999-01-01,NA
1999-02-01,130.6
1999-03-01,NA
1999-04-01,131.3
1999-05-01,NA
1999-06-01,132.8
1999-07-01,NA
1999-08-01,132.5
1999-09-01,NA
1999-10-01,134.1
1999-11-01,NA
1999-12-01,132
2000-01-01,NA
2000-02-01,134.7
2000-03-01,NA
2000-04-01,134.5
2000-05-01,NA
2000-06-01,136.7
2000-07-01,NA
2000-08-01,137.5
2000-09-01,NA
2000-10-01,141.8
2000-11-01,NA
2000-12-01,140
2001-01-01,NA
2001-02-01,144.1
2001-03-01,NA
2001-04-01,144.2
2001-05-01,NA
2001-06-01,145.1
2001-07-01,NA
2001-08-01,144.3
2001-09-01,NA
2001-10-01,144.5
2001-11-01,NA
2001-12-01,143.2
2002-01-01,NA
2002-02-01,142.3
2002-03-01,NA
2002-04-01,143.4
2002-05-01,NA
2002-06-01,144.5
2002-07-01,NA
2002-08-01,147.4
2002-09-01,NA
2002-10-01,150.1
2002-11-01,NA
2002-12-01,144.7
2003-01-01,NA
2003-02-01,150.1
2003-03-01,NA
2003-04-01,148
2003-05-01,NA
2003-06-01,151.2
2003-07-01,NA
2003-08-01,152.8
2003-09-01,NA
2003-10-01,155.5
2003-11-01,NA
2003-12-01,151.4
2004-01-01,NA
2004-02-01,157.9
2004-03-01,NA
2004-04-01,158.8
2004-05-01,NA
2004-06-01,155.8
2004-07-01,NA
2004-08-01,156.3
2004-09-01,NA
2004-10-01,160.2
2004-11-01,NA
2004-12-01,158.1
2005-01-01,NA
2005-02-01,164.4
2005-03-01,NA
2005-04-01,161.9
2005-05-01,NA
2005-06-01,161.5
2005-07-01,NA
2005-08-01,161.4
2005-09-01,NA
2005-10-01,165.3
2005-11-01,NA
2005-12-01,167.3
2006-01-01,NA
2006-02-01,168.7
2006-03-01,NA
2006-04-01,167.9
2006-05-01,NA
2006-06-01,170.1
2006-07-01,NA
