"Date","CUURA320SA0L2"
1977-11-01,64.3
1977-12-01,NA
1978-01-01,64.7
1978-02-01,NA
1978-03-01,65.7
1978-04-01,NA
1978-05-01,66.3
1978-06-01,NA
1978-07-01,67.6
1978-08-01,NA
1978-09-01,68.4
1978-10-01,NA
1978-11-01,69.3
1978-12-01,NA
1979-01-01,70.1
1979-02-01,NA
1979-03-01,71.6
1979-04-01,NA
1979-05-01,72.9
1979-06-01,NA
1979-07-01,74.7
1979-08-01,NA
1979-09-01,75.7
1979-10-01,NA
1979-11-01,76.3
1979-12-01,NA
1980-01-01,77.7
1980-02-01,NA
1980-03-01,79.7
1980-04-01,NA
1980-05-01,80.7
1980-06-01,NA
1980-07-01,81.9
1980-08-01,NA
1980-09-01,83.2
1980-10-01,NA
1980-11-01,83.8
1980-12-01,NA
1981-01-01,85.3
1981-02-01,NA
1981-03-01,87.3
1981-04-01,NA
1981-05-01,88.7
1981-06-01,NA
1981-07-01,89.9
1981-08-01,NA
1981-09-01,91.6
1981-10-01,NA
1981-11-01,92.5
1981-12-01,NA
1982-01-01,93.8
1982-02-01,NA
1982-03-01,94.2
1982-04-01,NA
1982-05-01,94.8
1982-06-01,NA
1982-07-01,96.3
1982-08-01,NA
1982-09-01,96.8
1982-10-01,NA
1982-11-01,97.2
1982-12-01,NA
1983-01-01,97.8
1983-02-01,NA
1983-03-01,98.3
1983-04-01,NA
1983-05-01,99
1983-06-01,NA
1983-07-01,99.7
1983-08-01,NA
1983-09-01,101.1
1983-10-01,NA
1983-11-01,102.2
1983-12-01,NA
1984-01-01,103
1984-02-01,NA
1984-03-01,103.5
1984-04-01,NA
1984-05-01,104
1984-06-01,NA
1984-07-01,104.7
1984-08-01,NA
1984-09-01,105.1
1984-10-01,NA
1984-11-01,105.5
1984-12-01,NA
1985-01-01,105.5
1985-02-01,NA
1985-03-01,106.9
1985-04-01,NA
1985-05-01,107.3
1985-06-01,NA
1985-07-01,107.5
1985-08-01,NA
1985-09-01,108.1
1985-10-01,NA
1985-11-01,108.7
1985-12-01,NA
1986-01-01,109.5
1986-02-01,NA
1986-03-01,108.9
1986-04-01,NA
1986-05-01,107.8
1986-06-01,NA
1986-07-01,106.3
1986-08-01,NA
1986-09-01,108.6
1986-10-01,NA
1986-11-01,110
1986-12-01,NA
1987-01-01,110.6
1987-02-01,NA
1987-03-01,111.7
1987-04-01,NA
1987-05-01,112.5
1987-06-01,NA
1987-07-01,113.4
1987-08-01,NA
1987-09-01,113.6
1987-10-01,NA
1987-11-01,115.1
1987-12-01,NA
1988-01-01,116
1988-02-01,NA
1988-03-01,117.1
1988-04-01,NA
1988-05-01,117.3
1988-06-01,NA
1988-07-01,118.1
1988-08-01,NA
1988-09-01,120.1
1988-10-01,NA
1988-11-01,119.6
1988-12-01,NA
1989-01-01,121.2
1989-02-01,NA
1989-03-01,121
1989-04-01,NA
1989-05-01,122.3
1989-06-01,NA
1989-07-01,123
1989-08-01,NA
1989-09-01,124.3
1989-10-01,NA
1989-11-01,124.5
1989-12-01,NA
1990-01-01,126.8
1990-02-01,NA
1990-03-01,127.7
1990-04-01,NA
1990-05-01,128.2
1990-06-01,NA
1990-07-01,129.6
1990-08-01,NA
1990-09-01,131.5
1990-10-01,NA
1990-11-01,133.7
1990-12-01,NA
1991-01-01,134.2
1991-02-01,NA
1991-03-01,134.4
1991-04-01,NA
1991-05-01,133.9
1991-06-01,NA
1991-07-01,133.7
1991-08-01,NA
1991-09-01,134
1991-10-01,NA
1991-11-01,135.2
1991-12-01,NA
1992-01-01,135.3
1992-02-01,NA
1992-03-01,136
1992-04-01,NA
1992-05-01,135.3
1992-06-01,NA
1992-07-01,135.1
1992-08-01,NA
1992-09-01,136.6
1992-10-01,NA
1992-11-01,137.7
1992-12-01,NA
1993-01-01,139.5
1993-02-01,NA
1993-03-01,140.5
1993-04-01,NA
1993-05-01,140.8
1993-06-01,NA
1993-07-01,140.3
1993-08-01,NA
1993-09-01,140.2
1993-10-01,NA
1993-11-01,141
1993-12-01,NA
1994-01-01,141.6
1994-02-01,NA
1994-03-01,144.3
1994-04-01,NA
1994-05-01,143.6
1994-06-01,NA
1994-07-01,143.6
1994-08-01,NA
1994-09-01,144.8
1994-10-01,NA
1994-11-01,144.7
1994-12-01,NA
1995-01-01,147.5
1995-02-01,NA
1995-03-01,148.9
1995-04-01,NA
1995-05-01,149
1995-06-01,NA
1995-07-01,148.3
1995-08-01,NA
1995-09-01,148.5
1995-10-01,NA
1995-11-01,150
1995-12-01,NA
1996-01-01,151.7
1996-02-01,NA
1996-03-01,151.7
1996-04-01,NA
1996-05-01,152.6
1996-06-01,NA
1996-07-01,152.4
