"Date","CUURA320SATCLTB"
2009-12-01,100
2010-01-01,NA
2010-02-01,100.45
2010-03-01,NA
2010-04-01,100.554
2010-05-01,NA
2010-06-01,100.771
2010-07-01,NA
2010-08-01,101.311
2010-09-01,NA
2010-10-01,99.534
2010-11-01,NA
2010-12-01,99.921
2011-01-01,NA
2011-02-01,102.386
2011-03-01,NA
2011-04-01,103.521
2011-05-01,NA
2011-06-01,105.038
2011-07-01,NA
2011-08-01,107.229
2011-09-01,NA
2011-10-01,106.237
2011-11-01,NA
2011-12-01,105.537
2012-01-01,NA
2012-02-01,105.499
2012-03-01,NA
2012-04-01,106.411
2012-05-01,NA
2012-06-01,107.22
2012-07-01,NA
2012-08-01,106.798
2012-09-01,NA
2012-10-01,106.203
2012-11-01,NA
2012-12-01,106.678
2013-01-01,NA
2013-02-01,108.514
2013-03-01,NA
2013-04-01,108.867
2013-05-01,NA
2013-06-01,109.123
2013-07-01,NA
2013-08-01,108.86
2013-09-01,NA
2013-10-01,108.323
2013-11-01,NA
2013-12-01,107.555
2014-01-01,NA
2014-02-01,109.27
2014-03-01,NA
2014-04-01,109.66
2014-05-01,NA
2014-06-01,109.373
2014-07-01,NA
2014-08-01,109.548
2014-09-01,NA
2014-10-01,107.302
2014-11-01,NA
2014-12-01,105.763
2015-01-01,NA
2015-02-01,106.571
2015-03-01,NA
2015-04-01,107.931
2015-05-01,NA
2015-06-01,109.046
2015-07-01,NA
2015-08-01,107.693
2015-09-01,NA
2015-10-01,106.341
2015-11-01,NA
2015-12-01,106.427
2016-01-01,NA
2016-02-01,110.039
2016-03-01,NA
2016-04-01,107.913
2016-05-01,NA
2016-06-01,107.821
2016-07-01,NA
2016-08-01,107.922
2016-09-01,NA
2016-10-01,108.886
2016-11-01,NA
2016-12-01,111.177
2017-01-01,NA
2017-02-01,110.83
2017-03-01,NA
2017-04-01,110.542
2017-05-01,NA
2017-06-01,109.749
2017-07-01,NA
2017-08-01,109.356
2017-09-01,NA
2017-10-01,107.965
2017-11-01,NA
2017-12-01,109.72
2018-01-01,NA
2018-02-01,110.78
2018-03-01,NA
2018-04-01,110.216
2018-05-01,NA
2018-06-01,110.517
2018-07-01,NA
2018-08-01,110.444
2018-09-01,NA
2018-10-01,110.171
2018-11-01,NA
2018-12-01,112.698
2019-01-01,NA
2019-02-01,113.301
2019-03-01,NA
2019-04-01,113.451
2019-05-01,NA
2019-06-01,112.238
2019-07-01,NA
2019-08-01,113.118
2019-09-01,NA
2019-10-01,111.987
2019-11-01,NA
2019-12-01,113.08
2020-01-01,NA
2020-02-01,112.603
2020-03-01,NA
2020-04-01,113.339
2020-05-01,NA
2020-06-01,112.562
2020-07-01,NA
2020-08-01,116.508
2020-09-01,NA
2020-10-01,118.53
2020-11-01,NA
2020-12-01,116.447
2021-01-01,NA
2021-02-01,115.909
2021-03-01,NA
2021-04-01,122.827
2021-05-01,NA
2021-06-01,134.979
2021-07-01,NA
2021-08-01,140.278
2021-09-01,NA
2021-10-01,139.576
2021-11-01,NA
2021-12-01,146.235
2022-01-01,NA
2022-02-01,147.914
2022-03-01,NA
2022-04-01,146.708
2022-05-01,NA
2022-06-01,149.932
2022-07-01,NA
2022-08-01,150.127
2022-09-01,NA
2022-10-01,145.868
2022-11-01,NA
2022-12-01,142.807
2023-01-01,NA
2023-02-01,141.342
2023-03-01,NA
2023-04-01,144.549
2023-05-01,NA
2023-06-01,147.577
2023-07-01,NA
2023-08-01,146.289
2023-09-01,NA
2023-10-01,142.277
