"Date","CUURA320SEHC"
1982-11-01,100
1982-12-01,NA
1983-01-01,101.2
1983-02-01,NA
1983-03-01,102.7
1983-04-01,NA
1983-05-01,101.3
1983-06-01,NA
1983-07-01,102.6
1983-08-01,NA
1983-09-01,104.2
1983-10-01,NA
1983-11-01,103.4
1983-12-01,NA
1984-01-01,103.2
1984-02-01,NA
1984-03-01,103.1
1984-04-01,NA
1984-05-01,104
1984-06-01,NA
1984-07-01,103.4
1984-08-01,NA
1984-09-01,104.1
1984-10-01,NA
1984-11-01,104
1984-12-01,NA
1985-01-01,104.5
1985-02-01,NA
1985-03-01,104
1985-04-01,NA
1985-05-01,105.2
1985-06-01,NA
1985-07-01,105.6
1985-08-01,NA
1985-09-01,109.9
1985-10-01,NA
1985-11-01,108.6
1985-12-01,NA
1986-01-01,107.4
1986-02-01,NA
1986-03-01,109.5
1986-04-01,NA
1986-05-01,108.9
1986-06-01,NA
1986-07-01,108.3
1986-08-01,NA
1986-09-01,109.7
1986-10-01,NA
1986-11-01,109.2
1986-12-01,109.3
1987-01-01,111
1987-02-01,111.2
1987-03-01,110.8
1987-04-01,110.3
1987-05-01,109.5
1987-06-01,109.6
1987-07-01,110.4
1987-08-01,111.4
1987-09-01,112.3
1987-10-01,112.5
1987-11-01,113.3
1987-12-01,112.7
1988-01-01,113.1
1988-02-01,113.1
1988-03-01,111.8
1988-04-01,114.4
1988-05-01,116.2
1988-06-01,114.8
1988-07-01,116.6
1988-08-01,115.4
1988-09-01,117.8
1988-10-01,117.4
1988-11-01,117.6
1988-12-01,117.5
1989-01-01,118.4
1989-02-01,119.5
1989-03-01,117.5
1989-04-01,118.4
1989-05-01,119.1
1989-06-01,119.7
1989-07-01,120.3
1989-08-01,124.1
1989-09-01,121.9
1989-10-01,122.5
1989-11-01,121.4
1989-12-01,120.9
1990-01-01,120.4
1990-02-01,121.5
1990-03-01,119.8
1990-04-01,123.5
1990-05-01,123.9
1990-06-01,123.7
1990-07-01,129.8
1990-08-01,127.8
1990-09-01,129.2
1990-10-01,127.7
1990-11-01,127.5
1990-12-01,127.7
1991-01-01,127.1
1991-02-01,126.6
1991-03-01,127.8
1991-04-01,128.5
1991-05-01,129.1
1991-06-01,129
1991-07-01,129.3
1991-08-01,128.8
1991-09-01,129.3
1991-10-01,129.2
1991-11-01,131.1
1991-12-01,130.7
1992-01-01,131.6
1992-02-01,131.7
1992-03-01,132.3
1992-04-01,131.5
1992-05-01,131.4
1992-06-01,131.8
1992-07-01,132.4
1992-08-01,132.4
1992-09-01,131.6
1992-10-01,131.9
1992-11-01,133.7
1992-12-01,133.6
1993-01-01,134.6
1993-02-01,136.1
1993-03-01,137
1993-04-01,139
1993-05-01,137
1993-06-01,136.8
1993-07-01,137.8
1993-08-01,139.4
1993-09-01,139.2
1993-10-01,139.6
1993-11-01,139.5
1993-12-01,140.7
1994-01-01,141.4
1994-02-01,141.5
1994-03-01,142.2
1994-04-01,144.3
1994-05-01,145.5
1994-06-01,147.1
1994-07-01,145.9
1994-08-01,144.9
1994-09-01,146.5
1994-10-01,145.1
1994-11-01,146.7
1994-12-01,147.8
1995-01-01,148.3
1995-02-01,148.6
1995-03-01,148.7
1995-04-01,148.8
1995-05-01,150
1995-06-01,150.2
1995-07-01,150.8
1995-08-01,152.1
1995-09-01,152.6
1995-10-01,153.5
1995-11-01,153.6
1995-12-01,154.2
1996-01-01,154.8
1996-02-01,154.7
1996-03-01,154.6
1996-04-01,155
1996-05-01,155.3
1996-06-01,155.4
1996-07-01,155
1996-08-01,155.4
1996-09-01,155.9
1996-10-01,156.6
1996-11-01,157
1996-12-01,157.2
1997-01-01,157.3
1997-02-01,157.3
1997-03-01,157.7
1997-04-01,158.1
1997-05-01,158.6
1997-06-01,159.2
1997-07-01,159.8
1997-08-01,160.2
1997-09-01,160.7
1997-10-01,160.8
1997-11-01,161.1
1997-12-01,161.2
1998-01-01,161.5
1998-02-01,161.9
1998-03-01,162.6
1998-04-01,162.6
1998-05-01,162.3
1998-06-01,162.4
1998-07-01,162.6
1998-08-01,162.8
1998-09-01,162.7
1998-10-01,163
1998-11-01,163.3
1998-12-01,163.9
1999-01-01,163.5
1999-02-01,163.6
1999-03-01,163.9
1999-04-01,164.1
1999-05-01,164.4
1999-06-01,164.5
1999-07-01,164.7
1999-08-01,164.5
1999-09-01,165.8
1999-10-01,165.9
1999-11-01,166.1
1999-12-01,166.5
2000-01-01,166.9
2000-02-01,167.2
2000-03-01,167.3
2000-04-01,167.9
2000-05-01,167.9
2000-06-01,170
2000-07-01,170.2
2000-08-01,170.5
2000-09-01,171.1
2000-10-01,171.3
2000-11-01,171.8
2000-12-01,171.5
2001-01-01,171.8
2001-02-01,172.6
2001-03-01,172.9
2001-04-01,173.4
2001-05-01,173.7
2001-06-01,174.4
2001-07-01,175.2
2001-08-01,175.3
2001-09-01,176.3
2001-10-01,176.9
2001-11-01,177.8
2001-12-01,178.3
2002-01-01,177.8
2002-02-01,178.5
2002-03-01,179.3
2002-04-01,179.9
2002-05-01,181.1
2002-06-01,181.6
2002-07-01,183.1
2002-08-01,183.2
2002-09-01,184.5
2002-10-01,185.3
2002-11-01,186.1
2002-12-01,186.1
2003-01-01,186.2
2003-02-01,186.9
2003-03-01,187.1
2003-04-01,187.1
2003-05-01,187.3
2003-06-01,187.8
2003-07-01,188.1
2003-08-01,188.4
2003-09-01,188.4
2003-10-01,189.3
2003-11-01,190
2003-12-01,190.9
2004-01-01,190.9
2004-02-01,190.9
2004-03-01,191.4
2004-04-01,192
2004-05-01,192.7
2004-06-01,193.3
2004-07-01,194.2
2004-08-01,194.5
2004-09-01,195.1
2004-10-01,195.9
2004-11-01,198.5
2004-12-01,199.6
2005-01-01,201.4
2005-02-01,202.7
2005-03-01,204.2
2005-04-01,205.5
2005-05-01,205.9
2005-06-01,206
2005-07-01,208.1
2005-08-01,209.9
2005-09-01,210.7
2005-10-01,212.2
2005-11-01,213.6
2005-12-01,214.6
2006-01-01,215.4
2006-02-01,216.8
2006-03-01,217.9
2006-04-01,218.6
2006-05-01,218.9
2006-06-01,220.7
2006-07-01,222.5
2006-08-01,222.8
2006-09-01,224.5
2006-10-01,226.2
2006-11-01,227.4
2006-12-01,228.8
2007-01-01,230.089
2007-02-01,231.892
2007-03-01,233.931
2007-04-01,235.869
2007-05-01,237.924
2007-06-01,239.21
2007-07-01,240.723
2007-08-01,242.761
2007-09-01,244.021
2007-10-01,244.749
2007-11-01,246.193
2007-12-01,246.376
2008-01-01,246.487
2008-02-01,247.122
2008-03-01,248.645
2008-04-01,248.637
2008-05-01,250.177
2008-06-01,251.471
2008-07-01,251.861
2008-08-01,251.635
2008-09-01,252.402
2008-10-01,252.485
2008-11-01,253.563
2008-12-01,253.857
2009-01-01,255.827
2009-02-01,255.616
2009-03-01,255.109
2009-04-01,254.767
2009-05-01,254.108
2009-06-01,252.935
2009-07-01,251.965
2009-08-01,251.891
2009-09-01,251.831
2009-10-01,251.363
2009-11-01,249.773
2009-12-01,250.158
2010-01-01,250.382
2010-02-01,250.423
2010-03-01,249.912
2010-04-01,250.667
2010-05-01,250.835
2010-06-01,251.973
2010-07-01,251.822
2010-08-01,251.932
2010-09-01,252.214
2010-10-01,251.88
2010-11-01,252.247
2010-12-01,254.054
2011-01-01,253.417
2011-02-01,253.16
2011-03-01,252.709
2011-04-01,253.077
2011-05-01,253.642
2011-06-01,252.626
2011-07-01,252.508
2011-08-01,253.251
2011-09-01,253.258
2011-10-01,253.737
2011-11-01,253.911
2011-12-01,254.722
2012-01-01,255.135
2012-02-01,255.389
2012-03-01,256.402
2012-04-01,256.653
2012-05-01,257.143
2012-06-01,257.915
2012-07-01,258.935
2012-08-01,259.939
2012-09-01,260.116
2012-10-01,261.587
2012-11-01,261.023
2012-12-01,261.348
2013-01-01,261.425
2013-02-01,261.681
2013-03-01,261.78
2013-04-01,262.84
2013-05-01,263.631
2013-06-01,263.472
2013-07-01,263.732
2013-08-01,263.665
2013-09-01,265.654
2013-10-01,265.947
2013-11-01,266.992
2013-12-01,267.176
2014-01-01,267.916
2014-02-01,268.718
2014-03-01,269.379
2014-04-01,269.382
2014-05-01,269.895
2014-06-01,270.483
2014-07-01,271.458
2014-08-01,271.631
2014-09-01,272.084
2014-10-01,272.84
2014-11-01,274.977
2014-12-01,275.6
2015-01-01,276.317
2015-02-01,277.545
2015-03-01,278.886
2015-04-01,279.234
2015-05-01,278.712
2015-06-01,279.564
2015-07-01,280.656
2015-08-01,282.045
2015-09-01,282.978
2015-10-01,284.463
2015-11-01,285.767
2015-12-01,286.81
2016-01-01,287.554
2016-02-01,288.367
2016-03-01,289.66
2016-04-01,291.265
2016-05-01,290.791
2016-06-01,290.861
2016-07-01,291.925
2016-08-01,293.439
2016-09-01,294.07
2016-10-01,295.788
2016-11-01,298.328
2016-12-01,299.267
2017-01-01,299.891
2017-02-01,300.651
2017-03-01,302.029
2017-04-01,302.708
2017-05-01,303.373
2017-06-01,304.134
2017-07-01,305.85
2017-08-01,307.725
2017-09-01,308.381
2017-10-01,310.195
2017-11-01,310.98
2017-12-01,311.484
2018-01-01,312.048
2018-02-01,312.622
2018-03-01,312.995
2018-04-01,313.349
2018-05-01,313.901
2018-06-01,316.622
2018-07-01,317.475
2018-08-01,318.199
2018-09-01,318.855
2018-10-01,321.697
2018-11-01,323.465
2018-12-01,324.128
2019-01-01,325.324
2019-02-01,327.215
2019-03-01,328.62
2019-04-01,329.259
2019-05-01,330.159
2019-06-01,331.758
2019-07-01,332.912
2019-08-01,333.109
2019-09-01,333.442
2019-10-01,333.849
2019-11-01,333.201
2019-12-01,332.369
2020-01-01,333.128
