"Date","CUURA422SAF"
1975-12-01,60.2
1976-01-01,NA
1976-02-01,NA
1976-03-01,59.1
1976-04-01,NA
1976-05-01,NA
1976-06-01,59.3
1976-07-01,NA
1976-08-01,NA
1976-09-01,59.7
1976-10-01,NA
1976-11-01,NA
1976-12-01,60
1977-01-01,NA
1977-02-01,NA
1977-03-01,62.5
1977-04-01,NA
1977-05-01,NA
1977-06-01,64.6
1977-07-01,NA
1977-08-01,NA
1977-09-01,65
1977-10-01,NA
1977-11-01,NA
1977-12-01,65.9
1978-01-01,NA
1978-02-01,67.3
1978-03-01,NA
1978-04-01,69.1
1978-05-01,NA
1978-06-01,71.4
1978-07-01,NA
1978-08-01,72.3
1978-09-01,NA
1978-10-01,72.9
1978-11-01,NA
1978-12-01,73
1979-01-01,NA
1979-02-01,76.5
1979-03-01,NA
1979-04-01,78.8
1979-05-01,NA
1979-06-01,79.6
1979-07-01,NA
1979-08-01,79.8
1979-09-01,NA
1979-10-01,81.3
1979-11-01,NA
1979-12-01,81.9
1980-01-01,NA
1980-02-01,82.5
1980-03-01,NA
1980-04-01,83.7
1980-05-01,NA
1980-06-01,84.2
1980-07-01,NA
1980-08-01,85.9
1980-09-01,NA
1980-10-01,87.7
1980-11-01,NA
1980-12-01,89.3
1981-01-01,NA
1981-02-01,90.1
1981-03-01,NA
1981-04-01,91
1981-05-01,NA
1981-06-01,90.1
1981-07-01,NA
1981-08-01,92.7
1981-09-01,NA
1981-10-01,91.9
1981-11-01,NA
1981-12-01,92.3
1982-01-01,NA
1982-02-01,95.8
1982-03-01,NA
1982-04-01,96.2
1982-05-01,NA
1982-06-01,97.5
1982-07-01,NA
1982-08-01,97.8
1982-09-01,NA
1982-10-01,99
1982-11-01,NA
1982-12-01,97.7
1983-01-01,NA
1983-02-01,98.3
1983-03-01,NA
1983-04-01,100.1
1983-05-01,NA
1983-06-01,98.9
1983-07-01,NA
1983-08-01,98.9
1983-09-01,NA
1983-10-01,99.4
1983-11-01,NA
1983-12-01,100.7
1984-01-01,NA
1984-02-01,102.7
1984-03-01,NA
1984-04-01,103.2
1984-05-01,NA
1984-06-01,103.4
1984-07-01,NA
1984-08-01,103.9
1984-09-01,NA
1984-10-01,104.6
1984-11-01,NA
1984-12-01,105.3
1985-01-01,NA
1985-02-01,106.1
1985-03-01,NA
1985-04-01,105.8
1985-05-01,NA
1985-06-01,105.3
1985-07-01,NA
1985-08-01,106
1985-09-01,NA
1985-10-01,105.3
1985-11-01,NA
1985-12-01,107.2
1986-01-01,NA
1986-02-01,107.9
1986-03-01,NA
1986-04-01,108.8
1986-05-01,NA
1986-06-01,109.1
1986-07-01,NA
1986-08-01,110.5
1986-09-01,NA
1986-10-01,111
1986-11-01,NA
1986-12-01,110.7
1987-01-01,112.5
1987-02-01,111.9
1987-03-01,112.5
1987-04-01,113.5
1987-05-01,113.5
1987-06-01,114
1987-07-01,114.1
1987-08-01,114.2
1987-09-01,114
1987-10-01,114
1987-11-01,114.1
1987-12-01,115.8
1988-01-01,117.3
1988-02-01,116.6
1988-03-01,117.8
1988-04-01,118.5
1988-05-01,119.4
1988-06-01,119.9
1988-07-01,121.2
1988-08-01,121.6
1988-09-01,122.8
1988-10-01,122.8
1988-11-01,122.6
1988-12-01,124.3
1989-01-01,126.1
1989-02-01,126.8
1989-03-01,126.9
1989-04-01,127
1989-05-01,128.2
1989-06-01,127.8
1989-07-01,127.4
1989-08-01,128.2
1989-09-01,129
1989-10-01,130
1989-11-01,130.5
1989-12-01,131
1990-01-01,132.8
1990-02-01,133.2
1990-03-01,133
1990-04-01,133.6
1990-05-01,133
1990-06-01,133.7
1990-07-01,135.1
1990-08-01,134.9
1990-09-01,135.7
1990-10-01,136.5
1990-11-01,137.2
1990-12-01,137.1
1991-01-01,140
1991-02-01,139.1
1991-03-01,140
1991-04-01,140.1
1991-05-01,139.8
1991-06-01,140.2
1991-07-01,139.3
1991-08-01,139.1
1991-09-01,139.8
1991-10-01,140.1
1991-11-01,142.4
