"Date","CUURA422SEHF01"
1971-05-01,39.7
1971-06-01,39.7
1971-07-01,39.7
1971-08-01,40
1971-09-01,40
1971-10-01,40
1971-11-01,40
1971-12-01,40.1
1972-01-01,40.1
1972-02-01,40.1
1972-03-01,40.3
1972-04-01,40.3
1972-05-01,40.3
1972-06-01,40.3
1972-07-01,40.3
1972-08-01,40.3
1972-09-01,40.3
1972-10-01,40.3
1972-11-01,40.3
1972-12-01,40.3
1973-01-01,40.3
1973-02-01,40.3
1973-03-01,40.3
1973-04-01,42.1
1973-05-01,42.1
1973-06-01,42.1
1973-07-01,42.1
1973-08-01,42.8
1973-09-01,42.8
1973-10-01,43.7
1973-11-01,43.7
1973-12-01,43.7
1974-01-01,45.6
1974-02-01,45.6
1974-03-01,45.6
1974-04-01,47.5
1974-05-01,47.5
1974-06-01,47.5
1974-07-01,47.5
1974-08-01,47.5
1974-09-01,47.5
1974-10-01,47.5
1974-11-01,47.5
1974-12-01,47.5
1975-01-01,49.6
1975-02-01,49.6
1975-03-01,49.6
1975-04-01,49.6
1975-05-01,49.6
1975-06-01,49.6
1975-07-01,49.6
1975-08-01,49.6
1975-09-01,49.6
1975-10-01,49
1975-11-01,49
1975-12-01,49
1976-01-01,49
1976-02-01,49
1976-03-01,49
1976-04-01,49
1976-05-01,49
1976-06-01,48.9
1976-07-01,48.9
1976-08-01,48.9
1976-09-01,49.9
1976-10-01,49.9
1976-11-01,49.9
1976-12-01,49.9
1977-01-01,52.1
1977-02-01,52.1
1977-03-01,52.1
1977-04-01,54
1977-05-01,54
1977-06-01,54
1977-07-01,54
1977-08-01,55.6
1977-09-01,55.6
1977-10-01,55.6
1977-11-01,55.7
1977-12-01,55.7
1978-01-01,55.7
1978-02-01,55.7
1978-03-01,55.6
1978-04-01,54.2
1978-05-01,53.8
1978-06-01,53.6
1978-07-01,53.4
1978-08-01,53.3
1978-09-01,50.8
1978-10-01,49.1
1978-11-01,47.7
1978-12-01,47.7
1979-01-01,47.7
1979-02-01,47.7
1979-03-01,45.8
1979-04-01,45.8
1979-05-01,46.3
1979-06-01,46.3
1979-07-01,46.3
1979-08-01,46.3
1979-09-01,46.3
1979-10-01,49.8
1979-11-01,49.8
1979-12-01,49.9
1980-01-01,53.3
1980-02-01,62.6
1980-03-01,62.6
1980-04-01,63.3
1980-05-01,88.2
1980-06-01,88.8
1980-07-01,88.8
1980-08-01,88.8
1980-09-01,88.8
1980-10-01,82.2
1980-11-01,81.9
1980-12-01,81.9
1981-01-01,81.9
1981-02-01,81.1
1981-03-01,80.9
1981-04-01,80.9
1981-05-01,81
1981-06-01,81
1981-07-01,90.5
1981-08-01,90.5
1981-09-01,90.5
1981-10-01,90.5
1981-11-01,114.2
1981-12-01,114.2
1982-01-01,127
1982-02-01,127
1982-03-01,123.8
1982-04-01,123.8
1982-05-01,104
1982-06-01,104
1982-07-01,104
1982-08-01,104
1982-09-01,100.6
1982-10-01,100.6
1982-11-01,100.6
1982-12-01,100.6
1983-01-01,92.5
1983-02-01,93.3
1983-03-01,92.3
1983-04-01,93
1983-05-01,93
1983-06-01,87.5
1983-07-01,87.5
1983-08-01,87.5
1983-09-01,88.2
1983-10-01,88.3
1983-11-01,88.5
1983-12-01,88.5
1984-01-01,94
1984-02-01,94.6
1984-03-01,94.6
1984-04-01,94.9
1984-05-01,94.8
1984-06-01,94.1
1984-07-01,94.2
1984-08-01,108.1
1984-09-01,108.1
1984-10-01,107.2
1984-11-01,107.6
1984-12-01,107.6
1985-01-01,112.9
1985-02-01,113.1
1985-03-01,113.1
1985-04-01,119.1
1985-05-01,119.2
1985-06-01,120.4
1985-07-01,120.7
1985-08-01,120.7
1985-09-01,114.3
1985-10-01,114.6
1985-11-01,113.4
1985-12-01,113.4
1986-01-01,119
1986-02-01,119
1986-03-01,119
1986-04-01,118.8
1986-05-01,118.8
1986-06-01,115.5
1986-07-01,115.5
1986-08-01,115.5
1986-09-01,112.8
1986-10-01,112.8
1986-11-01,110.5
1986-12-01,110.5
1987-01-01,113.6
1987-02-01,113.6
1987-03-01,113.6
1987-04-01,115
1987-05-01,116.4
1987-06-01,116.4
1987-07-01,117.1
1987-08-01,117.1
1987-09-01,117.1
1987-10-01,117.1
1987-11-01,114.9
1987-12-01,114.9
1988-01-01,124.9
1988-02-01,124.9
1988-03-01,124.9
1988-04-01,124.9
1988-05-01,130.7
1988-06-01,130.7
1988-07-01,130.7
1988-08-01,130.7
1988-09-01,130.7
1988-10-01,130.7
1988-11-01,126.9
1988-12-01,126.9
1989-01-01,141.5
1989-02-01,141.5
1989-03-01,141.5
1989-04-01,141.5
1989-05-01,143.7
1989-06-01,143.7
1989-07-01,143.6
1989-08-01,143.6
1989-09-01,143.6
1989-10-01,143.6
1989-11-01,140.4
1989-12-01,140.4
1990-01-01,151.4
1990-02-01,151.4
1990-03-01,151.4
1990-04-01,151.4
1990-05-01,154.2
1990-06-01,154.2
1990-07-01,154.2
1990-08-01,154.2
1990-09-01,154.2
1990-10-01,154.2
1990-11-01,151.4
1990-12-01,151.4
1991-01-01,169.6
1991-02-01,169.6
1991-03-01,169.6
1991-04-01,169.6
1991-05-01,172
1991-06-01,172
1991-07-01,172
1991-08-01,172
1991-09-01,172.2
1991-10-01,172.2
1991-11-01,170
1991-12-01,170
1992-01-01,172.7
1992-02-01,172.7
1992-03-01,172.7
1992-04-01,172.7
1992-05-01,174.2
1992-06-01,174.2
1992-07-01,171.6
1992-08-01,174.2
1992-09-01,174.2
1992-10-01,174.2
1992-11-01,172.5
1992-12-01,172.5
1993-01-01,179.6
1993-02-01,180.6
1993-03-01,180.6
1993-04-01,180.6
1993-05-01,181.7
1993-06-01,181.7
1993-07-01,181.1
1993-08-01,180.5
1993-09-01,181.1
1993-10-01,181.2
1993-11-01,180.3
1993-12-01,180.3
1994-01-01,180.3
1994-02-01,180.3
1994-03-01,179.7
1994-04-01,179.5
1994-05-01,180.6
1994-06-01,180.7
1994-07-01,180.7
1994-08-01,180.7
1994-09-01,180.7
1994-10-01,180.8
1994-11-01,179.9
1994-12-01,179.8
1995-01-01,179.8
1995-02-01,179.8
1995-03-01,179.8
1995-04-01,179.8
1995-05-01,180.9
1995-06-01,180.9
1995-07-01,180.9
1995-08-01,180.9
1995-09-01,180.9
1995-10-01,180.9
1995-11-01,179.9
1995-12-01,179.9
1996-01-01,174.7
1996-02-01,174.7
1996-03-01,174.7
1996-04-01,175.1
1996-05-01,176
1996-06-01,176
1996-07-01,176
1996-08-01,176
1996-09-01,176
1996-10-01,176
1996-11-01,175
1996-12-01,175
1997-01-01,175
1997-02-01,175
1997-03-01,175
1997-04-01,168.4
1997-05-01,176
1997-06-01,176
1997-07-01,176
1997-08-01,176
1997-09-01,176
1997-10-01,175.9
1997-11-01,175
1997-12-01,175
1998-01-01,158
1998-02-01,141.6
1998-03-01,158
1998-04-01,158
1998-05-01,158.9
1998-06-01,158.9
1998-07-01,158.9
1998-08-01,158.9
1998-09-01,158.9
1998-10-01,148.7
1998-11-01,158
1998-12-01,158
1999-01-01,158
1999-02-01,158
1999-03-01,158
1999-04-01,158
1999-05-01,158.9
1999-06-01,158.9
1999-07-01,158.9
1999-08-01,158.9
1999-09-01,158.9
1999-10-01,158.9
1999-11-01,158
1999-12-01,158
2000-01-01,158
2000-02-01,158
2000-03-01,158
2000-04-01,158
2000-05-01,158.8
2000-06-01,158.9
2000-07-01,158.9
2000-08-01,158.9
2000-09-01,158.9
2000-10-01,158.9
2000-11-01,158
2000-12-01,158
2001-01-01,171.7
2001-02-01,171.7
2001-03-01,171.7
2001-04-01,171.7
2001-05-01,172.4
2001-06-01,233.8
2001-07-01,233.7
2001-08-01,233.7
2001-09-01,233.7
2001-10-01,233.7
2001-11-01,223.3
2001-12-01,223.3
2002-01-01,223.3
2002-02-01,223.3
2002-03-01,223.3
2002-04-01,223.6
2002-05-01,225
2002-06-01,225
2002-07-01,225
2002-08-01,225
2002-09-01,225
2002-10-01,225
2002-11-01,214.2
2002-12-01,214.2
2003-01-01,214.2
2003-02-01,214.2
2003-03-01,214.2
2003-04-01,214.2
2003-05-01,224
2003-06-01,224
2003-07-01,224
2003-08-01,224.2
2003-09-01,224.2
2003-10-01,224.2
2003-11-01,213.3
2003-12-01,213.3
2004-01-01,213.3
2004-02-01,213.3
2004-03-01,201
