"Date","CUURA426SAC"
1966-12-01,37.5
1967-01-01,NA
1967-02-01,NA
1967-03-01,37.4
1967-04-01,NA
1967-05-01,NA
1967-06-01,37.7
1967-07-01,NA
1967-08-01,NA
1967-09-01,38.1
1967-10-01,NA
1967-11-01,NA
1967-12-01,38.4
1968-01-01,NA
1968-02-01,NA
1968-03-01,38.6
1968-04-01,NA
1968-05-01,NA
1968-06-01,38.8
1968-07-01,NA
1968-08-01,NA
1968-09-01,39.1
1968-10-01,NA
1968-11-01,NA
1968-12-01,39.6
1969-01-01,NA
1969-02-01,NA
1969-03-01,40
1969-04-01,NA
1969-05-01,NA
1969-06-01,40.3
1969-07-01,NA
1969-08-01,NA
1969-09-01,40.7
1969-10-01,NA
1969-11-01,NA
1969-12-01,41.2
1970-01-01,NA
1970-02-01,NA
1970-03-01,41.8
1970-04-01,NA
1970-05-01,NA
1970-06-01,42.1
1970-07-01,NA
1970-08-01,NA
1970-09-01,42.3
1970-10-01,NA
1970-11-01,NA
1970-12-01,42.4
1971-01-01,NA
1971-02-01,NA
1971-03-01,42.9
1971-04-01,NA
1971-05-01,NA
1971-06-01,43.2
1971-07-01,NA
1971-08-01,NA
1971-09-01,44.3
1971-10-01,NA
1971-11-01,NA
1971-12-01,44.3
1972-01-01,NA
1972-02-01,NA
1972-03-01,44.8
1972-04-01,NA
1972-05-01,NA
1972-06-01,44.6
1972-07-01,NA
1972-08-01,NA
1972-09-01,44.9
1972-10-01,NA
1972-11-01,NA
1972-12-01,45.4
1973-01-01,NA
1973-02-01,NA
1973-03-01,46
1973-04-01,NA
1973-05-01,NA
1973-06-01,46.8
1973-07-01,NA
1973-08-01,NA
1973-09-01,47.7
1973-10-01,NA
1973-11-01,NA
1973-12-01,49.2
1974-01-01,NA
1974-02-01,NA
1974-03-01,51.5
1974-04-01,NA
1974-05-01,NA
1974-06-01,52.6
1974-07-01,NA
1974-08-01,NA
1974-09-01,54.3
1974-10-01,NA
1974-11-01,NA
1974-12-01,55.7
1975-01-01,NA
1975-02-01,NA
1975-03-01,57
1975-04-01,NA
1975-05-01,NA
1975-06-01,58
1975-07-01,NA
1975-08-01,NA
1975-09-01,59.2
1975-10-01,NA
1975-11-01,NA
1975-12-01,59.8
1976-01-01,NA
1976-02-01,NA
1976-03-01,60.1
1976-04-01,NA
1976-05-01,NA
1976-06-01,60.5
1976-07-01,NA
1976-08-01,NA
1976-09-01,60.9
1976-10-01,NA
1976-11-01,NA
1976-12-01,61.6
1977-01-01,NA
1977-02-01,NA
1977-03-01,62.6
1977-04-01,NA
1977-05-01,NA
1977-06-01,63.3
1977-07-01,NA
1977-08-01,NA
1977-09-01,64
1977-10-01,NA
1977-11-01,NA
1977-12-01,64.7
1978-01-01,NA
1978-02-01,65.6
1978-03-01,NA
1978-04-01,66.8
1978-05-01,NA
1978-06-01,67.9
1978-07-01,NA
1978-08-01,68.5
1978-09-01,NA
1978-10-01,69.5
1978-11-01,NA
1978-12-01,70.6
1979-01-01,NA
1979-02-01,72.4
1979-03-01,NA
1979-04-01,74.4
1979-05-01,NA
1979-06-01,76.5
1979-07-01,NA
1979-08-01,77.3
1979-09-01,NA
1979-10-01,78.9
1979-11-01,NA
1979-12-01,80.4
1980-01-01,NA
1980-02-01,82.5
1980-03-01,NA
1980-04-01,83.7
1980-05-01,NA
1980-06-01,84.6
1980-07-01,NA
1980-08-01,86.2
1980-09-01,NA
1980-10-01,87.5
1980-11-01,NA
1980-12-01,88.2
1981-01-01,NA
1981-02-01,90.4
1981-03-01,NA
1981-04-01,91.4
1981-05-01,NA
1981-06-01,91.8
1981-07-01,NA
1981-08-01,93
1981-09-01,NA
1981-10-01,94
1981-11-01,NA
1981-12-01,94.2
1982-01-01,NA
1982-02-01,95.9
1982-03-01,NA
1982-04-01,96.2
1982-05-01,NA
1982-06-01,96.8
1982-07-01,NA
1982-08-01,98.2
1982-09-01,NA
1982-10-01,99
1982-11-01,NA
1982-12-01,98.5
1983-01-01,NA
1983-02-01,98.8
1983-03-01,NA
1983-04-01,99.5
1983-05-01,NA
1983-06-01,99.2
1983-07-01,NA
1983-08-01,100.4
1983-09-01,NA
1983-10-01,100.8
1983-11-01,NA
1983-12-01,100.6
1984-01-01,NA
1984-02-01,101.8
1984-03-01,NA
1984-04-01,102.2
1984-05-01,NA
1984-06-01,103
1984-07-01,NA
1984-08-01,103.4
1984-09-01,NA
1984-10-01,103.7
1984-11-01,NA
1984-12-01,104.9
1985-01-01,NA
1985-02-01,105.5
1985-03-01,NA
1985-04-01,105.7
1985-05-01,NA
1985-06-01,105.3
1985-07-01,NA
1985-08-01,105.7
1985-09-01,NA
1985-10-01,105.8
1985-11-01,NA
1985-12-01,106.5
1986-01-01,NA
1986-02-01,106.6
1986-03-01,NA
1986-04-01,105.4
1986-05-01,NA
1986-06-01,105.9
1986-07-01,NA
1986-08-01,106.1
1986-09-01,NA
1986-10-01,106.3
1986-11-01,NA
1986-12-01,106.9
