"Date","CUURA427SAS"
1976-01-01,58.3
1976-02-01,NA
1976-03-01,NA
1976-04-01,59.9
1976-05-01,NA
1976-06-01,NA
1976-07-01,61.5
1976-08-01,NA
1976-09-01,NA
1976-10-01,63
1976-11-01,NA
1976-12-01,NA
1977-01-01,63.8
1977-02-01,NA
1977-03-01,NA
1977-04-01,65.1
1977-05-01,NA
1977-06-01,NA
1977-07-01,67
1977-08-01,NA
1977-09-01,NA
1977-10-01,67.5
1977-11-01,NA
1977-12-01,NA
1978-01-01,68.4
1978-02-01,NA
1978-03-01,68.8
1978-04-01,NA
1978-05-01,69.4
1978-06-01,NA
1978-07-01,72
1978-08-01,NA
1978-09-01,74.4
1978-10-01,NA
1978-11-01,74.3
1978-12-01,NA
1979-01-01,75.4
1979-02-01,NA
1979-03-01,76
1979-04-01,NA
1979-05-01,76.9
1979-06-01,NA
1979-07-01,78
1979-08-01,NA
1979-09-01,79.7
1979-10-01,NA
1979-11-01,78.3
1979-12-01,NA
1980-01-01,81.2
1980-02-01,NA
1980-03-01,83.4
1980-04-01,NA
1980-05-01,84.7
1980-06-01,NA
1980-07-01,84.6
1980-08-01,NA
1980-09-01,84.7
1980-10-01,NA
1980-11-01,87.8
1980-12-01,NA
1981-01-01,90.8
1981-02-01,NA
1981-03-01,90.2
1981-04-01,NA
1981-05-01,92
1981-06-01,NA
1981-07-01,92.4
1981-08-01,NA
1981-09-01,93.6
1981-10-01,NA
1981-11-01,95.5
1981-12-01,NA
1982-01-01,94.8
1982-02-01,NA
1982-03-01,98.1
1982-04-01,NA
1982-05-01,99.7
1982-06-01,NA
1982-07-01,97.8
1982-08-01,NA
1982-09-01,97.7
1982-10-01,NA
1982-11-01,94.2
1982-12-01,NA
1983-01-01,94.7
1983-02-01,NA
1983-03-01,97.2
1983-04-01,NA
1983-05-01,98.2
1983-06-01,NA
1983-07-01,99.5
1983-08-01,NA
1983-09-01,100
1983-10-01,NA
1983-11-01,100.7
1983-12-01,NA
1984-01-01,102.1
1984-02-01,NA
1984-03-01,103.3
1984-04-01,NA
1984-05-01,104.1
1984-06-01,NA
1984-07-01,104.4
1984-08-01,NA
1984-09-01,105.2
1984-10-01,NA
1984-11-01,105.5
1984-12-01,NA
1985-01-01,106
1985-02-01,NA
1985-03-01,106
1985-04-01,NA
1985-05-01,104.9
1985-06-01,NA
1985-07-01,107.6
1985-08-01,NA
1985-09-01,107.2
1985-10-01,NA
1985-11-01,107.8
1985-12-01,NA
1986-01-01,107.7
1986-02-01,NA
1986-03-01,109.8
1986-04-01,NA
1986-05-01,109.7
1986-06-01,NA
1986-07-01,108.3
1986-08-01,NA
1986-09-01,108.3
1986-10-01,NA
1986-11-01,109.1
1986-12-01,108.6
