"Date","CUURD000SEMC"
1977-12-01,59.4
1978-01-01,NA
1978-02-01,60.6
1978-03-01,NA
1978-04-01,61.6
1978-05-01,NA
1978-06-01,63.4
1978-07-01,NA
1978-08-01,63.8
1978-09-01,NA
1978-10-01,64.3
1978-11-01,NA
1978-12-01,65
1979-01-01,NA
1979-02-01,66.7
1979-03-01,NA
1979-04-01,67.6
1979-05-01,NA
1979-06-01,68.6
1979-07-01,NA
1979-08-01,69.7
1979-09-01,NA
1979-10-01,70.7
1979-11-01,NA
1979-12-01,71.6
1980-01-01,NA
1980-02-01,74.8
1980-03-01,NA
1980-04-01,76.1
1980-05-01,NA
1980-06-01,77.8
1980-07-01,NA
1980-08-01,79.6
1980-09-01,NA
1980-10-01,81.9
1980-11-01,NA
1980-12-01,82.2
1981-01-01,NA
1981-02-01,84.4
1981-03-01,NA
1981-04-01,85.9
1981-05-01,NA
1981-06-01,87.2
1981-07-01,NA
1981-08-01,88
1981-09-01,NA
1981-10-01,88.3
1981-11-01,NA
1981-12-01,89.1
1982-01-01,NA
1982-02-01,90.9
1982-03-01,NA
1982-04-01,92.9
1982-05-01,NA
1982-06-01,93.8
1982-07-01,NA
1982-08-01,94.2
1982-09-01,NA
1982-10-01,95.1
1982-11-01,NA
1982-12-01,96
1983-01-01,NA
1983-02-01,98.1
1983-03-01,NA
1983-04-01,99
1983-05-01,NA
1983-06-01,100.2
1983-07-01,NA
1983-08-01,100.9
1983-09-01,NA
1983-10-01,101.9
1983-11-01,NA
1983-12-01,102.6
1984-01-01,NA
1984-02-01,104.9
1984-03-01,NA
1984-04-01,105.4
1984-05-01,NA
1984-06-01,106
1984-07-01,NA
1984-08-01,106.5
1984-09-01,NA
1984-10-01,107.9
1984-11-01,NA
1984-12-01,108.5
1985-01-01,NA
1985-02-01,109.1
1985-03-01,NA
1985-04-01,110.1
1985-05-01,NA
1985-06-01,111.3
1985-07-01,NA
1985-08-01,112.2
1985-09-01,NA
1985-10-01,113.6
1985-11-01,NA
1985-12-01,114.5
1986-01-01,NA
1986-02-01,115.7
1986-03-01,NA
1986-04-01,117.8
1986-05-01,NA
1986-06-01,119.1
1986-07-01,NA
1986-08-01,119.9
1986-09-01,NA
1986-10-01,121.3
1986-11-01,NA
1986-12-01,123.8
1987-01-01,124.4
1987-02-01,126.1
1987-03-01,127.5
1987-04-01,128.8
1987-05-01,129
1987-06-01,129.8
1987-07-01,130.4
1987-08-01,130.7
1987-09-01,130.7
1987-10-01,131
1987-11-01,131.4
1987-12-01,131.7
1988-01-01,132.9
1988-02-01,133.6
1988-03-01,134.5
1988-04-01,135.7
1988-05-01,135.8
1988-06-01,137
1988-07-01,137.3
1988-08-01,137.8
1988-09-01,138.4
1988-10-01,138.5
1988-11-01,138.8
1988-12-01,138.5
1989-01-01,140.6
1989-02-01,141.6
1989-03-01,143.3
1989-04-01,144.2
1989-05-01,144.4
1989-06-01,146
1989-07-01,147.2
1989-08-01,147.6
1989-09-01,148.2
1989-10-01,148.4
1989-11-01,149.5
1989-12-01,150.1
1990-01-01,151.3
1990-02-01,152.4
1990-03-01,154
1990-04-01,157.5
1990-05-01,157.9
1990-06-01,158.3
1990-07-01,160.4
1990-08-01,161.3
1990-09-01,161.8
1990-10-01,161.2
1990-11-01,161.2
1990-12-01,161.4
1991-01-01,162.2
1991-02-01,163.1
1991-03-01,163.4
1991-04-01,164.5
1991-05-01,164.9
1991-06-01,165.7
1991-07-01,165.5
1991-08-01,166.7
1991-09-01,168.2
1991-10-01,169
1991-11-01,168.3
1991-12-01,169.2
1992-01-01,170.4
1992-02-01,173
1992-03-01,175.1
1992-04-01,175.5
1992-05-01,175.7
1992-06-01,176.3
1992-07-01,176.7
1992-08-01,177.7
1992-09-01,178.3
1992-10-01,178.6
1992-11-01,179.2
1992-12-01,180.8
1993-01-01,182.2
1993-02-01,183.9
1993-03-01,184.2
1993-04-01,184.1
1993-05-01,185.1
1993-06-01,185.8
1993-07-01,185.9
1993-08-01,186.8
1993-09-01,186.8
1993-10-01,187.6
1993-11-01,188.7
1993-12-01,188.8
1994-01-01,190.1
1994-02-01,193.2
1994-03-01,193.7
1994-04-01,195.4
1994-05-01,196
1994-06-01,196.2
1994-07-01,197.7
1994-08-01,198.6
1994-09-01,199.4
1994-10-01,199.7
1994-11-01,199.9
1994-12-01,201.8
1995-01-01,203.6
1995-02-01,205.8
1995-03-01,206.4
1995-04-01,207
1995-05-01,207.2
1995-06-01,207.7
1995-07-01,208.1
1995-08-01,208.6
1995-09-01,208.5
1995-10-01,209.3
1995-11-01,209.8
1995-12-01,209.9
