"Date","CUURX000SEHC01"
1997-12-01,100
1998-01-01,100.2
1998-02-01,100.3
1998-03-01,100.5
1998-04-01,100.7
1998-05-01,100.7
1998-06-01,101
1998-07-01,101.3
1998-08-01,101.5
1998-09-01,101.9
1998-10-01,102.1
1998-11-01,102.4
1998-12-01,102.6
1999-01-01,102.6
1999-02-01,102.7
1999-03-01,102.8
1999-04-01,102.9
1999-05-01,103
1999-06-01,103.1
1999-07-01,103.2
1999-08-01,103.4
1999-09-01,103.6
1999-10-01,103.7
1999-11-01,104
1999-12-01,104.1
2000-01-01,104.6
2000-02-01,104.7
2000-03-01,104.8
2000-04-01,105
2000-05-01,105.1
2000-06-01,105.3
2000-07-01,105.4
2000-08-01,105.7
2000-09-01,105.9
2000-10-01,106.1
2000-11-01,106.4
2000-12-01,106.6
2001-01-01,107
2001-02-01,107.1
2001-03-01,107.3
2001-04-01,107.6
2001-05-01,107.8
2001-06-01,108
2001-07-01,108.2
2001-08-01,108.5
2001-09-01,108.9
2001-10-01,109.2
2001-11-01,109.6
2001-12-01,109.9
2002-01-01,110.1
2002-02-01,110.3
2002-03-01,110.5
2002-04-01,110.7
2002-05-01,110.9
2002-06-01,111
2002-07-01,111.2
2002-08-01,111.5
2002-09-01,111.8
2002-10-01,112
2002-11-01,112.3
2002-12-01,112.6
2003-01-01,112.8
2003-02-01,112.9
2003-03-01,113
2003-04-01,113
2003-05-01,113.1
2003-06-01,113.1
2003-07-01,113.3
2003-08-01,113.6
2003-09-01,113.8
2003-10-01,114.2
2003-11-01,114.5
2003-12-01,114.6
2004-01-01,114.9
2004-02-01,115.2
2004-03-01,115.4
2004-04-01,115.6
2004-05-01,115.9
2004-06-01,116.2
2004-07-01,116.4
2004-08-01,116.7
2004-09-01,116.9
2004-10-01,117.1
2004-11-01,117.3
2004-12-01,117.5
2005-01-01,117.7
2005-02-01,117.8
2005-03-01,118
2005-04-01,118.1
2005-05-01,118.4
2005-06-01,118.6
2005-07-01,118.9
2005-08-01,119.2
2005-09-01,119.3
2005-10-01,119.6
2005-11-01,119.9
2005-12-01,120.3
2006-01-01,120.7
2006-02-01,121
2006-03-01,121.1
2006-04-01,121.4
2006-05-01,122
2006-06-01,122.4
2006-07-01,122.7
2006-08-01,123.3
2006-09-01,123.7
2006-10-01,124
2006-11-01,124.4
2006-12-01,124.8
2007-01-01,125.016
2007-02-01,125.329
2007-03-01,125.613
2007-04-01,125.858
2007-05-01,125.906
2007-06-01,126.238
2007-07-01,126.422
2007-08-01,126.618
2007-09-01,126.959
2007-10-01,127.384
2007-11-01,127.896
2007-12-01,128.202
2008-01-01,128.574
2008-02-01,128.774
2008-03-01,128.998
2008-04-01,129.253
2008-05-01,129.112
2008-06-01,129.249
2008-07-01,129.486
2008-08-01,129.658
2008-09-01,129.819
2008-10-01,129.874
2008-11-01,130.331
2008-12-01,130.518
2009-01-01,130.88
2009-02-01,131.12
2009-03-01,131.252
2009-04-01,131.556
2009-05-01,131.694
2009-06-01,131.706
2009-07-01,131.574
2009-08-01,131.728
2009-09-01,131.74
2009-10-01,131.82
2009-11-01,131.854
2009-12-01,131.942
2010-01-01,131.745
2010-02-01,131.548
2010-03-01,131.521
2010-04-01,131.518
2010-05-01,131.33
2010-06-01,131.24
2010-07-01,131.337
2010-08-01,131.332
2010-09-01,131.671
2010-10-01,131.793
2010-11-01,132.093
2010-12-01,132.296
2011-01-01,132.525
2011-02-01,132.768
2011-03-01,132.82
2011-04-01,132.916
2011-05-01,132.961
2011-06-01,133.264
2011-07-01,133.447
2011-08-01,133.822
2011-09-01,133.994
2011-10-01,134.281
2011-11-01,134.547
2011-12-01,134.819
2012-01-01,135.115
2012-02-01,135.126
2012-03-01,135.3
2012-04-01,135.508
2012-05-01,135.439
2012-06-01,135.397
2012-07-01,135.641
2012-08-01,135.941
2012-09-01,136.223
2012-10-01,136.488
2012-11-01,136.799
2012-12-01,137.006
2013-01-01,137.205
2013-02-01,137.411
2013-03-01,137.537
2013-04-01,137.789
2013-05-01,138.044
2013-06-01,138.326
2013-07-01,138.575
2013-08-01,138.968
2013-09-01,139.121
2013-10-01,139.437
2013-11-01,139.871
2013-12-01,140.252
2014-01-01,140.488
2014-02-01,140.786
2014-03-01,141.164
2014-04-01,141.275
2014-05-01,141.527
2014-06-01,141.631
2014-07-01,141.889
2014-08-01,142.098
2014-09-01,142.265
2014-10-01,142.578
2014-11-01,142.747
2014-12-01,142.903
2015-01-01,143.095
2015-02-01,143.363
2015-03-01,143.628
2015-04-01,143.957
2015-05-01,144.143
2015-06-01,144.522
2015-07-01,144.901
2015-08-01,145.298
2015-09-01,145.527
2015-10-01,145.791
2015-11-01,146.075
2015-12-01,146.3
2016-01-01,146.499
2016-02-01,146.562
2016-03-01,146.794
