"Date","CUURX100SAT"
1997-12-01,100
1998-01-01,99.7
1998-02-01,98.1
1998-03-01,97.5
1998-04-01,97.6
1998-05-01,97.7
1998-06-01,97.8
1998-07-01,97.7
1998-08-01,97.4
1998-09-01,97.1
1998-10-01,97.2
1998-11-01,97.4
1998-12-01,96.9
1999-01-01,96.8
1999-02-01,96.4
1999-03-01,96.7
1999-04-01,98.9
1999-05-01,99.1
1999-06-01,98.8
1999-07-01,99.6
1999-08-01,100.6
1999-09-01,101.5
1999-10-01,102.4
1999-11-01,102.6
1999-12-01,102.9
2000-01-01,102.8
2000-02-01,103.6
2000-03-01,106
2000-04-01,105.6
2000-05-01,105.5
2000-06-01,107.1
2000-07-01,107.3
2000-08-01,105.7
2000-09-01,106
2000-10-01,106.2
2000-11-01,106.5
2000-12-01,106.5
2001-01-01,106.1
2001-02-01,106.2
2001-03-01,105.1
2001-04-01,106.5
2001-05-01,108.6
2001-06-01,108.2
2001-07-01,105.9
2001-08-01,104.4
2001-09-01,104.5
2001-10-01,103.7
2001-11-01,103.2
2001-12-01,102.1
2002-01-01,102.1
2002-02-01,101.9
2002-03-01,103
2002-04-01,105.4
2002-05-01,105.7
2002-06-01,105.2
2002-07-01,105.6
2002-08-01,105.9
2002-09-01,106.1
2002-10-01,106.7
2002-11-01,107.3
2002-12-01,107
2003-01-01,107.9
2003-02-01,109.7
2003-03-01,110.2
2003-04-01,108.9
2003-05-01,107.6
2003-06-01,107.4
2003-07-01,107.6
2003-08-01,108.1
2003-09-01,109.8
2003-10-01,108.5
2003-11-01,108.1
2003-12-01,107.7
2004-01-01,109.1
2004-02-01,110.2
2004-03-01,111.2
2004-04-01,111.7
2004-05-01,113.8
2004-06-01,114.7
2004-07-01,113.2
2004-08-01,112.6
2004-09-01,113.3
2004-10-01,115.8
2004-11-01,116.1
2004-12-01,114.7
2005-01-01,113.7
2005-02-01,114.6
2005-03-01,115.9
2005-04-01,118.6
2005-05-01,118.2
2005-06-01,118.2
2005-07-01,120.1
2005-08-01,121.9
2005-09-01,130
2005-10-01,127.1
2005-11-01,122
2005-12-01,121
2006-01-01,123.5
2006-02-01,122.7
2006-03-01,122.8
2006-04-01,128.5
2006-05-01,130.3
2006-06-01,129.3
2006-07-01,130.7
2006-08-01,130.9
2006-09-01,126.4
2006-10-01,122.3
2006-11-01,121.1
2006-12-01,122.4
2007-01-01,122.002
2007-02-01,121.312
2007-03-01,125.431
2007-04-01,128.102
2007-05-01,130.291
2007-06-01,130.804
2007-07-01,130.066
2007-08-01,128.189
2007-09-01,127.182
2007-10-01,128.358
2007-11-01,132.414
2007-12-01,132.904
2008-01-01,133.578
2008-02-01,132.459
2008-03-01,134.603
2008-04-01,137.26
2008-05-01,141.961
2008-06-01,146.424
2008-07-01,147.019
2008-08-01,143.155
2008-09-01,140.762
2008-10-01,134.947
2008-11-01,124.007
2008-12-01,117.428
2009-01-01,117.188
2009-02-01,119.066
2009-03-01,119.037
2009-04-01,120.506
2009-05-01,122.726
2009-06-01,127.243
2009-07-01,127.46
2009-08-01,128.605
2009-09-01,127.965
2009-10-01,128.243
2009-11-01,131.974
2009-12-01,131.986
2010-01-01,133.153
2010-02-01,132.847
2010-03-01,133.703
2010-04-01,134.518
2010-05-01,135.366
2010-06-01,133.521
2010-07-01,133.797
2010-08-01,134.396
2010-09-01,133.003
2010-10-01,134.431
2010-11-01,136.028
2010-12-01,138.06
2011-01-01,139.331
2011-02-01,140.627
2011-03-01,144.827
2011-04-01,148.123
2011-05-01,150.528
2011-06-01,149.08
2011-07-01,148.445
2011-08-01,148.87
2011-09-01,148.031
2011-10-01,146.471
2011-11-01,146.163
2011-12-01,144.837
2012-01-01,145.915
2012-02-01,147.935
2012-03-01,150.963
2012-04-01,153.529
2012-05-01,152.17
2012-06-01,149.051
2012-07-01,147.956
2012-08-01,149.948
2012-09-01,152.071
2012-10-01,152.317
2012-11-01,149.552
2012-12-01,148.099
2013-01-01,147.85
2013-02-01,150.965
2013-03-01,151.402
2013-04-01,149.63
2013-05-01,148.806
2013-06-01,149.278
2013-07-01,150.209
2013-08-01,151.261
2013-09-01,149.575
2013-10-01,147.405
2013-11-01,146.855
2013-12-01,147.903
2014-01-01,148.303
2014-02-01,148.615
2014-03-01,150.006
2014-04-01,151.243
2014-05-01,152.765
2014-06-01,152.596
2014-07-01,152.321
2014-08-01,149.866
2014-09-01,148.472
2014-10-01,146.606
2014-11-01,142.562
2014-12-01,138.607
2015-01-01,132.94
2015-02-01,132.608
