"Date","CUURX200SA0L1E"
1997-12-01,100
1998-01-01,100.4
1998-02-01,100.9
1998-03-01,101
1998-04-01,101.3
1998-05-01,101.6
1998-06-01,101.4
1998-07-01,101.4
1998-08-01,101.3
1998-09-01,101.8
1998-10-01,102
1998-11-01,102.2
1998-12-01,102.2
1999-01-01,102.3
1999-02-01,102.5
1999-03-01,102.7
1999-04-01,103.1
1999-05-01,103
1999-06-01,102.8
1999-07-01,102.9
1999-08-01,102.8
1999-09-01,103.5
1999-10-01,104
1999-11-01,104.3
1999-12-01,104
2000-01-01,104
2000-02-01,104.2
2000-03-01,104.7
2000-04-01,105.2
2000-05-01,105.1
2000-06-01,105
2000-07-01,105
2000-08-01,104.9
2000-09-01,105.6
2000-10-01,106
2000-11-01,106.2
2000-12-01,106.1
2001-01-01,106.3
2001-02-01,106.7
2001-03-01,107.2
2001-04-01,107.3
2001-05-01,107.6
2001-06-01,107.5
2001-07-01,107.4
2001-08-01,107.5
2001-09-01,108.1
2001-10-01,108.5
2001-11-01,108.9
2001-12-01,108.6
2002-01-01,108.4
2002-02-01,108.5
2002-03-01,108.9
2002-04-01,109.1
2002-05-01,109.2
2002-06-01,109.3
2002-07-01,109.4
2002-08-01,109.5
2002-09-01,109.6
2002-10-01,110
2002-11-01,109.9
2002-12-01,109.7
2003-01-01,109.9
2003-02-01,110
2003-03-01,110.4
2003-04-01,110.8
2003-05-01,110.6
2003-06-01,110.2
2003-07-01,110.2
2003-08-01,110.3
2003-09-01,110.5
2003-10-01,111
2003-11-01,111
2003-12-01,110.7
2004-01-01,110.9
2004-02-01,111.3
2004-03-01,112
2004-04-01,112.3
2004-05-01,112.3
2004-06-01,112.2
2004-07-01,112
2004-08-01,112
2004-09-01,112.6
2004-10-01,113
2004-11-01,113.5
2004-12-01,113.4
2005-01-01,113.3
2005-02-01,113.8
2005-03-01,114.2
2005-04-01,114.5
2005-05-01,114.3
2005-06-01,114.2
2005-07-01,114.4
2005-08-01,114.4
2005-09-01,115.1
2005-10-01,115.4
2005-11-01,115.3
2005-12-01,115
2006-01-01,114.9
2006-02-01,115.4
2006-03-01,115.9
2006-04-01,116.3
2006-05-01,116.5
2006-06-01,116.4
2006-07-01,116.1
2006-08-01,116.1
2006-09-01,116.5
2006-10-01,117.2
2006-11-01,117.4
2006-12-01,117.1
2007-01-01,116.951
2007-02-01,117.51
2007-03-01,118.106
2007-04-01,118.226
2007-05-01,118.359
2007-06-01,118.31
2007-07-01,118.43
2007-08-01,118.663
2007-09-01,118.849
2007-10-01,119.374
2007-11-01,119.515
2007-12-01,119.501
2008-01-01,119.891
2008-02-01,119.999
2008-03-01,120.6
2008-04-01,121.22
2008-05-01,121.085
2008-06-01,121.092
2008-07-01,121.219
2008-08-01,121.369
2008-09-01,121.621
2008-10-01,121.945
2008-11-01,121.726
2008-12-01,121.581
2009-01-01,121.698
2009-02-01,122.346
2009-03-01,122.81
2009-04-01,123.284
2009-05-01,123.035
2009-06-01,123.072
2009-07-01,123.454
2009-08-01,123.721
2009-09-01,124.246
2009-10-01,124.544
2009-11-01,124.41
2009-12-01,124.311
2010-01-01,124.227
2010-02-01,124.635
2010-03-01,125.015
2010-04-01,125.254
2010-05-01,125.448
2010-06-01,125.49
2010-07-01,125.573
2010-08-01,125.707
2010-09-01,125.768
2010-10-01,125.952
2010-11-01,125.707
2010-12-01,125.476
2011-01-01,125.764
2011-02-01,126.223
2011-03-01,126.543
2011-04-01,126.866
2011-05-01,127.079
2011-06-01,127.706
2011-07-01,127.975
2011-08-01,127.994
2011-09-01,128.105
2011-10-01,128.322
2011-11-01,128.21
2011-12-01,128.193
2012-01-01,128.385
2012-02-01,128.805
2012-03-01,129.501
2012-04-01,130.029
2012-05-01,130.311
2012-06-01,130.343
2012-07-01,130.472
2012-08-01,130.633
2012-09-01,130.709
2012-10-01,130.914
2012-11-01,131.08
2012-12-01,131.058
2013-01-01,131.047
2013-02-01,131.359
2013-03-01,131.812
2013-04-01,131.988
2013-05-01,131.986
2013-06-01,131.96
2013-07-01,131.927
2013-08-01,132.1
2013-09-01,132.707
2013-10-01,133.033
2013-11-01,132.805
2013-12-01,132.502
2014-01-01,132.504
2014-02-01,133.22
2014-03-01,133.847
2014-04-01,134.378
2014-05-01,134.51
2014-06-01,134.552
2014-07-01,134.669
2014-08-01,134.637
2014-09-01,135.189
2014-10-01,135.27
2014-11-01,135.053
2014-12-01,134.895
2015-01-01,135.131
2015-02-01,135.529
2015-03-01,136.238
2015-04-01,136.495
2015-05-01,136.568
2015-06-01,136.745
2015-07-01,136.575
2015-08-01,136.322
2015-09-01,136.876
2015-10-01,137.141
2015-11-01,136.936
2015-12-01,136.819
2016-01-01,137.049
2016-02-01,137.773
2016-03-01,138.29
2016-04-01,138.655
2016-05-01,138.827
2016-06-01,138.832
2016-07-01,138.702
2016-08-01,138.901
2016-09-01,139.138
2016-10-01,139.489
2016-11-01,139.139
2016-12-01,138.986
2017-01-01,139.609
2017-02-01,140.21
2017-03-01,140.15
2017-04-01,140.491
2017-05-01,140.375
2017-06-01,140.083
2017-07-01,140.138
2017-08-01,140.293
2017-09-01,140.475
2017-10-01,140.762
2017-11-01,140.231
2017-12-01,140.082
2018-01-01,140.848
2018-02-01,141.391
2018-03-01,141.867
2018-04-01,142.061
2018-05-01,142.189
2018-06-01,142.116
2018-07-01,142.209
2018-08-01,142.37
2018-09-01,142.463
2018-10-01,142.934
2018-11-01,143.103
2018-12-01,142.965
2019-01-01,143.486
2019-02-01,144.236
2019-03-01,144.598
2019-04-01,144.786
2019-05-01,144.732
2019-06-01,144.867
2019-07-01,145.024
2019-08-01,145.343
2019-09-01,145.662
2019-10-01,145.911
2019-11-01,145.964
2019-12-01,145.723
2020-01-01,146.344
2020-02-01,147.246
2020-03-01,147.142
2020-04-01,146.415
