"Date","CUURX400SA0"
1996-12-01,100
1997-01-01,100.4
1997-02-01,100.8
1997-03-01,101.2
1997-04-01,101.4
1997-05-01,101.5
1997-06-01,101.3
1997-07-01,101.3
1997-08-01,101.5
1997-09-01,101.8
1997-10-01,102.1
1997-11-01,102.4
1997-12-01,102
1998-01-01,102.3
1998-02-01,102.3
1998-03-01,102.3
1998-04-01,102.2
1998-05-01,102.4
1998-06-01,102.3
1998-07-01,102.3
1998-08-01,102.5
1998-09-01,102.7
1998-10-01,103
1998-11-01,103.5
1998-12-01,103.4
1999-01-01,103.6
1999-02-01,103.8
1999-03-01,104.1
1999-04-01,105.1
1999-05-01,104.8
1999-06-01,104.5
1999-07-01,104.9
1999-08-01,105.2
1999-09-01,105.2
1999-10-01,105.5
1999-11-01,105.5
1999-12-01,105.7
2000-01-01,105.7
2000-02-01,106.2
2000-03-01,107.1
2000-04-01,107.2
2000-05-01,107.3
2000-06-01,107.7
2000-07-01,108.1
2000-08-01,108.3
2000-09-01,108.8
2000-10-01,109
2000-11-01,109.2
2000-12-01,108.9
2001-01-01,109.8
2001-02-01,110.1
2001-03-01,110.7
2001-04-01,110.6
2001-05-01,111.1
2001-06-01,111.2
2001-07-01,111.4
2001-08-01,111.2
2001-09-01,111.7
2001-10-01,112.1
2001-11-01,112
2001-12-01,111.6
2002-01-01,111.9
2002-02-01,112.4
2002-03-01,112.8
2002-04-01,113.7
2002-05-01,112.5
2002-06-01,112.2
2002-07-01,112.5
2002-08-01,113
2002-09-01,113.1
2002-10-01,113.3
2002-11-01,113.1
2002-12-01,113.1
2003-01-01,113.8
2003-02-01,114.5
2003-03-01,115.4
2003-04-01,114.9
2003-05-01,114.7
2003-06-01,114.4
2003-07-01,115.1
2003-08-01,115.5
2003-09-01,115.6
2003-10-01,115.5
2003-11-01,114.9
2003-12-01,115.2
2004-01-01,116
2004-02-01,117
2004-03-01,117.9
2004-04-01,117.8
2004-05-01,118.2
2004-06-01,117.9
2004-07-01,117.9
2004-08-01,118.1
2004-09-01,118.4
2004-10-01,119.2
2004-11-01,119.3
2004-12-01,119
2005-01-01,119.5
2005-02-01,119.6
2005-03-01,120.4
2005-04-01,121.4
2005-05-01,121.3
2005-06-01,121.1
2005-07-01,121.3
2005-08-01,122
2005-09-01,123.1
2005-10-01,123.6
2005-11-01,122.8
2005-12-01,121.8
2006-01-01,122.9
2006-02-01,123.7
2006-03-01,124.2
2006-04-01,124.9
2006-05-01,125.7
2006-06-01,125.6
2006-07-01,125.6
2006-08-01,126.2
2006-09-01,125.9
2006-10-01,125.5
2006-11-01,125.1
2006-12-01,125
2007-01-01,126.244
2007-02-01,126.805
2007-03-01,127.848
2007-04-01,128.843
2007-05-01,129.129
2007-06-01,129.262
2007-07-01,129.067
2007-08-01,128.939
2007-09-01,129.064
2007-10-01,129.866
2007-11-01,130.581
2007-12-01,130.481
2008-01-01,131.328
2008-02-01,131.538
2008-03-01,132.896
2008-04-01,133.694
2008-05-01,134.023
2008-06-01,135.283
2008-07-01,136.021
2008-08-01,135.207
2008-09-01,134.834
2008-10-01,133.795
2008-11-01,131.44
2008-12-01,129.725
2009-01-01,130.682
2009-02-01,131.636
2009-03-01,131.775
2009-04-01,131.912
2009-05-01,131.99
2009-06-01,132.952
2009-07-01,132.774
2009-08-01,132.756
2009-09-01,133.128
2009-10-01,133.618
2009-11-01,133.335
2009-12-01,133.132
2010-01-01,133.366
2010-02-01,133.513
2010-03-01,133.863
2010-04-01,134.133
2010-05-01,133.889
