"Date","CWSR0000SA0L5"
1957-01-01,28.5
1957-02-01,28.6
1957-03-01,28.6
1957-04-01,28.7
1957-05-01,28.8
1957-06-01,28.9
1957-07-01,29
1957-08-01,29.1
1957-09-01,29.1
1957-10-01,29.1
1957-11-01,29.2
1957-12-01,29.2
1958-01-01,29.4
1958-02-01,29.5
1958-03-01,29.7
1958-04-01,29.7
1958-05-01,29.8
1958-06-01,29.7
1958-07-01,29.7
1958-08-01,29.7
1958-09-01,29.7
1958-10-01,29.7
1958-11-01,29.7
1958-12-01,29.7
1959-01-01,29.8
1959-02-01,29.7
1959-03-01,29.7
1959-04-01,29.7
1959-05-01,29.8
1959-06-01,29.9
1959-07-01,29.9
1959-08-01,29.9
1959-09-01,30
1959-10-01,30.1
1959-11-01,30.1
1959-12-01,30.1
1960-01-01,30.1
1960-02-01,30.1
1960-03-01,30.1
1960-04-01,30.2
1960-05-01,30.3
1960-06-01,30.3
1960-07-01,30.3
1960-08-01,30.4
1960-09-01,30.4
1960-10-01,30.5
1960-11-01,30.5
1960-12-01,30.6
1961-01-01,30.5
1961-02-01,30.6
1961-03-01,30.6
1961-04-01,30.5
1961-05-01,30.5
1961-06-01,30.6
1961-07-01,30.6
1961-08-01,30.6
1961-09-01,30.7
1961-10-01,30.7
1961-11-01,30.7
1961-12-01,30.7
1962-01-01,30.7
1962-02-01,30.8
1962-03-01,30.9
1962-04-01,30.9
1962-05-01,30.9
1962-06-01,30.9
1962-07-01,30.9
1962-08-01,31
1962-09-01,31.1
1962-10-01,31.1
1962-11-01,31.1
1962-12-01,31.1
1963-01-01,31.1
1963-02-01,31.2
1963-03-01,31.2
1963-04-01,31.2
1963-05-01,31.2
1963-06-01,31.3
1963-07-01,31.4
1963-08-01,31.4
1963-09-01,31.4
1963-10-01,31.4
1963-11-01,31.5
1963-12-01,31.5
1964-01-01,31.6
1964-02-01,31.6
1964-03-01,31.6
1964-04-01,31.6
1964-05-01,31.6
1964-06-01,31.6
1964-07-01,31.7
1964-08-01,31.7
1964-09-01,31.7
1964-10-01,31.8
1964-11-01,31.8
1964-12-01,31.9
1965-01-01,31.9
1965-02-01,31.9
1965-03-01,32
1965-04-01,32
1965-05-01,32.1
1965-06-01,32.2
1965-07-01,32.2
1965-08-01,32.2
1965-09-01,32.2
1965-10-01,32.3
1965-11-01,32.4
1965-12-01,32.5
1966-01-01,32.5
1966-02-01,32.7
1966-03-01,32.8
1966-04-01,33
1966-05-01,33
1966-06-01,33
1966-07-01,33.1
1966-08-01,33.3
1966-09-01,33.3
1966-10-01,33.5
1966-11-01,33.5
1966-12-01,33.5
1967-01-01,33.5
1967-02-01,33.6
1967-03-01,33.6
1967-04-01,33.6
1967-05-01,33.7
1967-06-01,33.8
1967-07-01,33.9
1967-08-01,34
1967-09-01,34.1
1967-10-01,34.3
1967-11-01,34.4
1967-12-01,34.5
1968-01-01,34.6
1968-02-01,34.7
1968-03-01,34.8
1968-04-01,34.9
1968-05-01,35
1968-06-01,35.2
1968-07-01,35.3
1968-08-01,35.5
1968-09-01,35.6
1968-10-01,35.8
1968-11-01,35.9
1968-12-01,36
1969-01-01,36.1
1969-02-01,36.3
1969-03-01,36.6
1969-04-01,36.8
1969-05-01,36.9
1969-06-01,37.1
1969-07-01,37.2
1969-08-01,37.4
1969-09-01,37.6
1969-10-01,37.8
1969-11-01,38
1969-12-01,38.2
1970-01-01,38.4
1970-02-01,38.6
1970-03-01,38.8
1970-04-01,39
1970-05-01,39.1
1970-06-01,39.3
1970-07-01,39.4
1970-08-01,39.5
1970-09-01,39.7
1970-10-01,39.9
1970-11-01,40.1
1970-12-01,40.3
1971-01-01,40.4
1971-02-01,40.4
1971-03-01,40.5
1971-04-01,40.6
1971-05-01,40.8
1971-06-01,41
1971-07-01,41.1
1971-08-01,41.2
1971-09-01,41.2
1971-10-01,41.3
1971-11-01,41.4
1971-12-01,41.6
1972-01-01,41.7
1972-02-01,41.9
1972-03-01,41.9
1972-04-01,42
1972-05-01,42.1
1972-06-01,42.2
1972-07-01,42.4
1972-08-01,42.4
1972-09-01,42.6
1972-10-01,42.7
1972-11-01,42.9
1972-12-01,43
1973-01-01,43.2
1973-02-01,43.5
1973-03-01,43.9
1973-04-01,44.2
1973-05-01,44.5
1973-06-01,44.8
1973-07-01,44.8
1973-08-01,45.7
1973-09-01,45.8
1973-10-01,46.2
1973-11-01,46.6
1973-12-01,46.9
1974-01-01,47.4
1974-02-01,48.1
1974-03-01,48.5
1974-04-01,48.8
1974-05-01,49.3
1974-06-01,49.7
1974-07-01,50
1974-08-01,50.7
1974-09-01,51.3
1974-10-01,51.8
1974-11-01,52.3
1974-12-01,52.7
1975-01-01,53
1975-02-01,53.3
1975-03-01,53.5
1975-04-01,53.6
1975-05-01,53.8
1975-06-01,54.2
1975-07-01,54.7
1975-08-01,54.9
1975-09-01,55.2
1975-10-01,55.6
1975-11-01,56
1975-12-01,56.3
1976-01-01,56.5
1976-02-01,56.6
1976-03-01,56.6
1976-04-01,56.8
1976-05-01,57
1976-06-01,57.2
1976-07-01,57.5
1976-08-01,57.8
1976-09-01,58.1
1976-10-01,58.4
1976-11-01,58.6
1976-12-01,58.9
1977-01-01,59.2
1977-02-01,59.8
1977-03-01,60.1
1977-04-01,60.5
1977-05-01,60.7
1977-06-01,61
1977-07-01,61.3
1977-08-01,61.5
1977-09-01,61.8
1977-10-01,62.1
1977-11-01,62.5
1977-12-01,62.8
1978-01-01,63.1
1978-02-01,63.4
1978-03-01,63.9
1978-04-01,64.3
1978-05-01,64.9
1978-06-01,65.5
1978-07-01,66
1978-08-01,66.3
1978-09-01,66.9
1978-10-01,67.5
1978-11-01,68
1978-12-01,68.4
1979-01-01,69
1979-02-01,69.8
1979-03-01,70.5
1979-04-01,71.3
1979-05-01,72.1
1979-06-01,72.9
1979-07-01,73.7
1979-08-01,74.4
1979-09-01,75.2
1979-10-01,75.9
1979-11-01,76.7
1979-12-01,77.6
1980-01-01,78.8
1980-02-01,79.7
1980-03-01,80.9
1980-04-01,81.7
1980-05-01,82.5
1980-06-01,83.3
1980-07-01,83.4
1980-08-01,84
1980-09-01,84.7
1980-10-01,85.6
1980-11-01,86.5
1980-12-01,87.3
1981-01-01,88.1
1981-02-01,88.9
1981-03-01,89.5
1981-04-01,89.9
1981-05-01,90.5
1981-06-01,91.3
1981-07-01,92.4
1981-08-01,93
1981-09-01,93.8
1981-10-01,94.1
1981-11-01,94.5
1981-12-01,94.8
1982-01-01,95.1
1982-02-01,95.3
1982-03-01,95.2
1982-04-01,95.5
1982-05-01,96.3
1982-06-01,97.5
1982-07-01,98
1982-08-01,98.2
1982-09-01,98.2
1982-10-01,98.5
1982-11-01,98.5
1982-12-01,98.1
1983-01-01,98.1
1983-02-01,98.2
1983-03-01,98.5
1983-04-01,99.1
1983-05-01,99.4
1983-06-01,99.6
1983-07-01,99.9
1983-08-01,100.4
1983-09-01,100.6
1983-10-01,100.9
1983-11-01,101.1
1983-12-01,101.1
1984-01-01,101.6
1984-02-01,101.8
1984-03-01,101.8
1984-04-01,102
1984-05-01,102.3
1984-06-01,102.5
1984-07-01,102.9
1984-08-01,103.8
1984-09-01,104.3
1984-10-01,104.4
1984-11-01,104.5
1984-12-01,104.6
1985-01-01,104.9
1985-02-01,105.4
1985-03-01,105.8
1985-04-01,106.1
1985-05-01,106.3
1985-06-01,106.6
1985-07-01,106.7
1985-08-01,106.8
1985-09-01,107
1985-10-01,107.3
1985-11-01,107.9
1985-12-01,108.3
1986-01-01,108.6
1986-02-01,108.2
1986-03-01,107.5
1986-04-01,106.9
1986-05-01,107.1
1986-06-01,107.6
1986-07-01,107.5
1986-08-01,107.6
1986-09-01,108
1986-10-01,108
1986-11-01,108.3
1986-12-01,108.5
1987-01-01,109.3
1987-02-01,109.8
1987-03-01,110.1
1987-04-01,110.6
1987-05-01,110.9
1987-06-01,111.4
1987-07-01,111.6
1987-08-01,112.2
1987-09-01,112.5
1987-10-01,112.9
1987-11-01,113.1
1987-12-01,113.3
1988-01-01,113.6
1988-02-01,113.8
1988-03-01,114.1
1988-04-01,114.7
1988-05-01,115
1988-06-01,115.5
1988-07-01,116.1
1988-08-01,116.5
1988-09-01,117
1988-10-01,117.4
1988-11-01,117.7
1988-12-01,118.1
1989-01-01,118.6
1989-02-01,119
1989-03-01,119.6
1989-04-01,120.6
1989-05-01,121.2
1989-06-01,121.4
1989-07-01,121.8
1989-08-01,121.8
1989-09-01,122
1989-10-01,122.5
1989-11-01,122.9
1989-12-01,123.3
1990-01-01,124.5
1990-02-01,125
1990-03-01,125.5
1990-04-01,125.7
1990-05-01,125.8
1990-06-01,126.5
1990-07-01,127
1990-08-01,128.1
1990-09-01,129.1
1990-10-01,130
1990-11-01,130.3
1990-12-01,130.7
1991-01-01,131.1
1991-02-01,131
1991-03-01,131
1991-04-01,131.3
1991-05-01,131.8
1991-06-01,132
1991-07-01,132.2
1991-08-01,132.5
1991-09-01,132.8
1991-10-01,133
1991-11-01,133.5
1991-12-01,133.9
1992-01-01,133.9
1992-02-01,134.1
1992-03-01,134.6
1992-04-01,134.8
1992-05-01,135.1
1992-06-01,135.5
1992-07-01,135.9
1992-08-01,136.2
1992-09-01,136.4
1992-10-01,136.9
1992-11-01,137.2
1992-12-01,137.5
1993-01-01,137.8
1993-02-01,138.1
1993-03-01,138.3
1993-04-01,138.7
1993-05-01,139
1993-06-01,139.2
1993-07-01,139.2
1993-08-01,139.5
1993-09-01,139.6
1993-10-01,140.3
1993-11-01,140.5
1993-12-01,140.7
1994-01-01,140.8
1994-02-01,141.1
1994-03-01,141.3
1994-04-01,141.5
1994-05-01,141.8
1994-06-01,142.3
1994-07-01,142.8
1994-08-01,143.4
1994-09-01,143.6
1994-10-01,143.7
1994-11-01,144.1
1994-12-01,144.4
1995-01-01,144.7
1995-02-01,145.1
1995-03-01,145.4
1995-04-01,145.9
1995-05-01,146.2
1995-06-01,146.5
1995-07-01,146.6
1995-08-01,146.8
1995-09-01,147
1995-10-01,147.4
1995-11-01,147.5
1995-12-01,147.9
1996-01-01,148.5
1996-02-01,148.9
1996-03-01,149.4
1996-04-01,150
1996-05-01,150.3
1996-06-01,150.5
1996-07-01,150.8
1996-08-01,151
1996-09-01,151.4
1996-10-01,151.8
1996-11-01,152.4
1996-12-01,152.8
1997-01-01,153.1
1997-02-01,153.4
1997-03-01,153.4
1997-04-01,153.4
1997-05-01,153.3
1997-06-01,153.7
1997-07-01,153.8
1997-08-01,154.2
1997-09-01,154.6
1997-10-01,154.8
1997-11-01,154.9
1997-12-01,154.9
1998-01-01,155
1998-02-01,155
1998-03-01,154.9
1998-04-01,155.1
1998-05-01,155.5
1998-06-01,155.7
1998-07-01,156
1998-08-01,156.2
1998-09-01,156.2
1998-10-01,156.6
1998-11-01,156.8
1998-12-01,157.2
1999-01-01,157.4
1999-02-01,157.3
1999-03-01,157.4
1999-04-01,158.4
1999-05-01,158.6
1999-06-01,158.6
1999-07-01,159.3
1999-08-01,159.8
1999-09-01,160.6
1999-10-01,160.8
1999-11-01,161
1999-12-01,161.5
2000-01-01,162
2000-02-01,162.6
2000-03-01,163.7
2000-04-01,163.5
2000-05-01,163.8
2000-06-01,164.8
2000-07-01,165.3
2000-08-01,165
2000-09-01,166.1
2000-10-01,166.3
2000-11-01,166.6
2000-12-01,166.9
2001-01-01,167.9
2001-02-01,168.2
2001-03-01,168.2
2001-04-01,168.6
2001-05-01,169.6
2001-06-01,169.8
2001-07-01,169.4
2001-08-01,169.3
2001-09-01,170.2
2001-10-01,169.4
2001-11-01,169.1
2001-12-01,168.8
2002-01-01,169
2002-02-01,169.3
2002-03-01,169.8
2002-04-01,170.7
2002-05-01,170.7
2002-06-01,170.9
2002-07-01,171.3
2002-08-01,171.7
2002-09-01,172
2002-10-01,172.3
2002-11-01,172.6
2002-12-01,172.8
2003-01-01,173.7
2003-02-01,174.7
2003-03-01,175.1
2003-04-01,174.2
2003-05-01,173.6
2003-06-01,173.8
2003-07-01,174.4
2003-08-01,175.2
2003-09-01,175.8
2003-10-01,175.4
2003-11-01,175.4
2003-12-01,175.8
2004-01-01,176.7
2004-02-01,177.1
2004-03-01,177.5
2004-04-01,177.5
2004-05-01,178.4
2004-06-01,179.1
2004-07-01,179.2
2004-08-01,179.3
2004-09-01,179.9
2004-10-01,181
2004-11-01,182
2004-12-01,182
2005-01-01,181.7
2005-02-01,182.5
2005-03-01,183
2005-04-01,183.7
2005-05-01,183.5
2005-06-01,183.6
2005-07-01,184.9
2005-08-01,186.4
2005-09-01,189.5
2005-10-01,189.6
2005-11-01,188
2005-12-01,188
2006-01-01,189.4
2006-02-01,189.3
2006-03-01,189.5
2006-04-01,190.6
2006-05-01,191.1
2006-06-01,191.6
2006-07-01,192.8
2006-08-01,193.7
2006-09-01,192.4
2006-10-01,191.1
2006-11-01,191.2
2006-12-01,192.4
2007-01-01,192.549
2007-02-01,193.296
2007-03-01,194.56
2007-04-01,195.184
2007-05-01,196.143
2007-06-01,196.498
2007-07-01,196.834
2007-08-01,196.779
2007-09-01,197.733
2007-10-01,198.342
2007-11-01,200.148
2007-12-01,200.752
2008-01-01,201.539
2008-02-01,202.065
2008-03-01,202.781
2008-04-01,203.341
2008-05-01,204.713
2008-06-01,207.327
2008-07-01,209.053
2008-08-01,208.535
2008-09-01,208.706
2008-10-01,206.247
2008-11-01,201.354
2008-12-01,199.165
2009-01-01,199.789
2009-02-01,200.566
2009-03-01,200.295
2009-04-01,200.575
2009-05-01,200.987
2009-06-01,203.202
2009-07-01,203.143
2009-08-01,203.987
2009-09-01,204.417
2009-10-01,205.095
2009-11-01,205.985
2009-12-01,206.114
2010-01-01,206.387
2010-02-01,206.103
2010-03-01,206.166
2010-04-01,206.209
2010-05-01,206.035
2010-06-01,205.849
2010-07-01,206.33
2010-08-01,206.63
2010-09-01,206.967
2010-10-01,207.821
2010-11-01,208.39
2010-12-01,209.374
2011-01-01,210.224
2011-02-01,210.957
2011-03-01,212.281
2011-04-01,213.513
2011-05-01,214.298
2011-06-01,214.141
2011-07-01,214.71
2011-08-01,215.419
2011-09-01,216.012
2011-10-01,216.055
2011-11-01,216.483
2011-12-01,216.366
2012-01-01,216.953
2012-02-01,217.562
2012-03-01,218.083
2012-04-01,218.412
2012-05-01,217.68
2012-06-01,217.234
2012-07-01,217.115
2012-08-01,218.634
2012-09-01,219.896
2012-10-01,220.592
2012-11-01,220.011
2012-12-01,219.805
2013-01-01,220.232
2013-02-01,221.776
2013-03-01,220.838
2013-04-01,220.19
2013-05-01,220.334
2013-06-01,220.875
2013-07-01,221.227
2013-08-01,221.748
2013-09-01,221.7
2013-10-01,221.844
2013-11-01,222.315
2013-12-01,222.963
2014-01-01,223.578
2014-02-01,223.794
2014-03-01,224.176
2014-04-01,224.62
2014-05-01,224.947
2014-06-01,225.227
2014-07-01,225.367
2014-08-01,225.26
2014-09-01,225.18
2014-10-01,224.926
2014-11-01,224.237
2014-12-01,223.041
2015-01-01,220.998
2015-02-01,221.791
2015-03-01,222.435
2015-04-01,222.511
2015-05-01,223.421
2015-06-01,224.142
2015-07-01,224.43
2015-08-01,224.387
2015-09-01,223.452
2015-10-01,223.512
2015-11-01,223.686
2015-12-01,223.257
2016-01-01,222.961
2016-02-01,222.248
2016-03-01,223.177
2016-04-01,224.114
2016-05-01,224.656
2016-06-01,225.299
2016-07-01,224.899
2016-08-01,225.097
2016-09-01,225.803
2016-10-01,226.405
2016-11-01,226.627
2016-12-01,227.292
2017-01-01,228.349
2017-02-01,228.588
2017-03-01,228.394
2017-04-01,228.633
2017-05-01,228.372
2017-06-01,228.454
2017-07-01,228.412
2017-08-01,229.462
2017-09-01,230.971
2017-10-01,231.043
2017-11-01,231.917
2017-12-01,232.415
2018-01-01,233.512
2018-02-01,234.176
2018-03-01,233.97
2018-04-01,234.69
2018-05-01,235.234
2018-06-01,235.443
2018-07-01,235.682
2018-08-01,236.265
2018-09-01,236.7
2018-10-01,237.397
2018-11-01,236.925
2018-12-01,236.748
2019-01-01,236.511
2019-02-01,237.161
2019-03-01,238.043
2019-04-01,239.201
2019-05-01,239.078
2019-06-01,238.72
2019-07-01,239.283
2019-08-01,239.49
2019-09-01,239.865
2019-10-01,240.517
2019-11-01,240.937
2019-12-01,241.813
2020-01-01,242.075
2020-02-01,242.105
2020-03-01,240.748
2020-04-01,238.398
2020-05-01,238.032
2020-06-01,239.214
2020-07-01,240.773
2020-08-01,242.103
2020-09-01,242.84
2020-10-01,243.181
2020-11-01,243.671
2020-12-01,245.041
2021-01-01,245.732
2021-02-01,246.858
2021-03-01,248.25
2021-04-01,250.172
2021-05-01,252.202
2021-06-01,254.705
2021-07-01,255.972
2021-08-01,257.172
2021-09-01,258.408
2021-10-01,261.087
2021-11-01,263.451
2021-12-01,265.815
2022-01-01,267.523
2022-02-01,269.67
2022-03-01,272.723
2022-04-01,273.539
2022-05-01,276.285
2022-06-01,280.194
2022-07-01,279.664
2022-08-01,279.897
2022-09-01,280.732
2022-10-01,282.295
2022-11-01,282.864
2022-12-01,282.867
2023-01-01,284.596
2023-02-01,285.687
2023-03-01,285.754
2023-04-01,287.081
2023-05-01,287.205
2023-06-01,287.821
2023-07-01,288.365
2023-08-01,290.76
2023-09-01,291.93
2023-10-01,291.88
2023-11-01,291.878
