"Date","CWSR0000SAG"
1967-01-01,34.8
1967-02-01,34.8
1967-03-01,34.9
1967-04-01,34.9
1967-05-01,35
1967-06-01,35.1
1967-07-01,35.3
1967-08-01,35.6
1967-09-01,35.8
1967-10-01,35.9
1967-11-01,36.2
1967-12-01,36.3
1968-01-01,36.4
1968-02-01,36.4
1968-03-01,36.8
1968-04-01,36.9
1968-05-01,36.9
1968-06-01,37.2
1968-07-01,37.3
1968-08-01,37.5
1968-09-01,37.6
1968-10-01,37.7
1968-11-01,37.9
1968-12-01,38
1969-01-01,38.1
1969-02-01,38.2
1969-03-01,38.3
1969-04-01,38.5
1969-05-01,38.6
1969-06-01,38.8
1969-07-01,39.2
1969-08-01,39.4
1969-09-01,39.7
1969-10-01,39.8
1969-11-01,40
1969-12-01,40.1
1970-01-01,40.3
1970-02-01,40.4
1970-03-01,40.5
1970-04-01,40.8
1970-05-01,41
1970-06-01,41.3
1970-07-01,41.5
1970-08-01,41.8
1970-09-01,41.9
1970-10-01,42
1970-11-01,42.2
1970-12-01,42.3
1971-01-01,42.6
1971-02-01,42.6
1971-03-01,42.7
1971-04-01,42.8
1971-05-01,42.9
1971-06-01,43
1971-07-01,43.4
1971-08-01,43.6
1971-09-01,43.9
1971-10-01,43.9
1971-11-01,44
1971-12-01,44.1
1972-01-01,44.3
1972-02-01,44.5
1972-03-01,44.7
1972-04-01,44.9
1972-05-01,45
1972-06-01,45.2
1972-07-01,45.2
1972-08-01,45.3
1972-09-01,45.5
1972-10-01,45.5
1972-11-01,45.6
1972-12-01,45.7
1973-01-01,45.7
1973-02-01,45.9
1973-03-01,46.2
1973-04-01,46.5
1973-05-01,46.7
1973-06-01,46.8
1973-07-01,47
1973-08-01,47.2
1973-09-01,47.3
1973-10-01,47.5
1973-11-01,47.7
1973-12-01,47.9
1974-01-01,48.1
1974-02-01,48.3
1974-03-01,48.6
1974-04-01,48.9
1974-05-01,49.3
1974-06-01,49.9
1974-07-01,50.5
1974-08-01,50.9
1974-09-01,51.3
1974-10-01,51.8
1974-11-01,52.3
1974-12-01,52.8
1975-01-01,53.2
1975-02-01,53.5
1975-03-01,53.8
1975-04-01,54
1975-05-01,54.2
1975-06-01,54.3
1975-07-01,54.5
1975-08-01,54.7
1975-09-01,54.8
1975-10-01,55.1
1975-11-01,55.3
1975-12-01,55.8
1976-01-01,56.1
1976-02-01,56.6
1976-03-01,56.7
1976-04-01,57
1976-05-01,57.2
1976-06-01,57.4
1976-07-01,57.6
1976-08-01,57.9
1976-09-01,58
1976-10-01,58.3
1976-11-01,58.8
1976-12-01,59
1977-01-01,59.5
1977-02-01,59.6
1977-03-01,59.9
1977-04-01,60.1
1977-05-01,60.4
1977-06-01,60.7
1977-07-01,61
1977-08-01,61.2
1977-09-01,61.5
1977-10-01,62
1977-11-01,62.5
1977-12-01,62.8
1978-01-01,63
1978-02-01,63.3
1978-03-01,63.6
1978-04-01,63.8
1978-05-01,64.1
1978-06-01,64.4
1978-07-01,65.4
1978-08-01,65.6
1978-09-01,65.9
1978-10-01,66.1
1978-11-01,66.4
1978-12-01,66.5
1979-01-01,67.2
1979-02-01,67.8
1979-03-01,68.2
1979-04-01,68.4
1979-05-01,68.8
1979-06-01,69.1
1979-07-01,69.5
1979-08-01,70.3
1979-09-01,70.6
1979-10-01,70.8
1979-11-01,71.2
1979-12-01,71.7
1980-01-01,72.7
1980-02-01,73.4
1980-03-01,73.7
1980-04-01,74.2
1980-05-01,74.8
1980-06-01,75.5
1980-07-01,75.8
1980-08-01,76.3
1980-09-01,77
1980-10-01,77.4
1980-11-01,77.9
1980-12-01,78.7
1981-01-01,79.3
1981-02-01,79.8
1981-03-01,80.3
1981-04-01,80.8
1981-05-01,81.8
1981-06-01,82.3
1981-07-01,82.8
1981-08-01,83.3
1981-09-01,84.2
1981-10-01,84.9
1981-11-01,85.4
1981-12-01,85.9
1982-01-01,86.5
1982-02-01,87.4
1982-03-01,88.3
1982-04-01,89
1982-05-01,89.6
1982-06-01,90.1
1982-07-01,90.7
1982-08-01,91.2
1982-09-01,92.4
1982-10-01,94.1
1982-11-01,95.4
1982-12-01,96.7
1983-01-01,98.1
1983-02-01,98.9
1983-03-01,99.2
1983-04-01,99.8
1983-05-01,100.1
1983-06-01,100.6
1983-07-01,102
1983-08-01,102.8
1983-09-01,102.7
1983-10-01,103.5
1983-11-01,104.1
1983-12-01,104.5
1984-01-01,105.3
1984-02-01,105.7
1984-03-01,106.1
1984-04-01,106.5
1984-05-01,106.8
1984-06-01,107.4
1984-07-01,108.4
1984-08-01,108.8
1984-09-01,109.3
1984-10-01,109.7
1984-11-01,110.1
1984-12-01,110.3
1985-01-01,111.4
1985-02-01,112.1
1985-03-01,112.4
1985-04-01,112.8
1985-05-01,113.1
1985-06-01,113.5
1985-07-01,114.5
1985-08-01,114.8
1985-09-01,115.6
1985-10-01,116.1
1985-11-01,116.4
1985-12-01,117.1
1986-01-01,118.2
1986-02-01,118.8
1986-03-01,119.2
1986-04-01,119.5
1986-05-01,119.9
1986-06-01,120.1
1986-07-01,121.3
