"Date","CWSR0000SAH3"
1967-01-01,42.2
1967-02-01,42.3
1967-03-01,42.3
1967-04-01,42.4
1967-05-01,42.4
1967-06-01,42.5
1967-07-01,42.6
1967-08-01,42.7
1967-09-01,42.8
1967-10-01,42.9
1967-11-01,43
1967-12-01,43.2
1968-01-01,43.5
1968-02-01,43.6
1968-03-01,43.8
1968-04-01,43.9
1968-05-01,44
1968-06-01,44.1
1968-07-01,44.3
1968-08-01,44.4
1968-09-01,44.6
1968-10-01,44.6
1968-11-01,44.9
1968-12-01,45
1969-01-01,45.1
1969-02-01,45.2
1969-03-01,45.4
1969-04-01,45.5
1969-05-01,45.7
1969-06-01,45.8
1969-07-01,46
1969-08-01,46.1
1969-09-01,46.2
1969-10-01,46.4
1969-11-01,46.4
1969-12-01,46.6
1970-01-01,46.7
1970-02-01,46.9
1970-03-01,47.1
1970-04-01,47.2
1970-05-01,47.3
1970-06-01,47.4
1970-07-01,47.5
1970-08-01,47.7
1970-09-01,47.8
1970-10-01,47.9
1970-11-01,48.1
1970-12-01,48.3
1971-01-01,48.4
1971-02-01,48.5
1971-03-01,48.6
1971-04-01,48.8
1971-05-01,49.2
1971-06-01,49.4
1971-07-01,49.5
1971-08-01,49.7
1971-09-01,49.7
1971-10-01,49.8
1971-11-01,49.8
1971-12-01,49.8
1972-01-01,49.9
1972-02-01,49.9
1972-03-01,50.1
1972-04-01,50.1
1972-05-01,50.3
1972-06-01,50.3
1972-07-01,50.4
1972-08-01,50.5
1972-09-01,50.6
1972-10-01,50.7
1972-11-01,50.7
1972-12-01,50.9
1973-01-01,50.9
1973-02-01,51
1973-03-01,51.1
1973-04-01,51.3
1973-05-01,51.4
1973-06-01,51.7
1973-07-01,51.8
1973-08-01,52
1973-09-01,52.2
1973-10-01,52.4
1973-11-01,52.7
1973-12-01,52.9
1974-01-01,53.4
1974-02-01,53.8
1974-03-01,54.7
1974-04-01,55.2
1974-05-01,56.2
1974-06-01,57
1974-07-01,57.9
1974-08-01,58.9
1974-09-01,59.9
1974-10-01,60.7
1974-11-01,61.5
1974-12-01,62
1975-01-01,62.5
1975-02-01,63
1975-03-01,63.3
1975-04-01,63.7
1975-05-01,64
1975-06-01,64.2
1975-07-01,64.5
1975-08-01,64.7
1975-09-01,65
1975-10-01,65.3
1975-11-01,65.5
1975-12-01,65.7
1976-01-01,66.6
1976-02-01,67
1976-03-01,67.4
1976-04-01,67.6
1976-05-01,67.8
1976-06-01,68
1976-07-01,68.3
1976-08-01,68.5
1976-09-01,68.8
1976-10-01,69.1
1976-11-01,69.4
1976-12-01,69.6
1977-01-01,69.8
1977-02-01,70.2
1977-03-01,70.3
1977-04-01,70.5
1977-05-01,70.8
1977-06-01,71.2
1977-07-01,71.5
1977-08-01,71.8
1977-09-01,72.1
1977-10-01,72.3
1977-11-01,72.6
1977-12-01,72.9
1978-01-01,73.2
1978-02-01,73.3
1978-03-01,73.8
1978-04-01,74.2
1978-05-01,74.5
1978-06-01,75.2
1978-07-01,75.6
1978-08-01,75.9
1978-09-01,76.3
1978-10-01,76.9
1978-11-01,77.5
1978-12-01,78
1979-01-01,78.4
1979-02-01,78.8
1979-03-01,79.2
1979-04-01,79.5
1979-05-01,79.9
1979-06-01,80.2
1979-07-01,80.6
1979-08-01,81
1979-09-01,81.2
1979-10-01,81.8
1979-11-01,82.4
1979-12-01,82.7
1980-01-01,83.2
1980-02-01,83.9
1980-03-01,84.7
1980-04-01,85.2
1980-05-01,85.7
1980-06-01,86.2
1980-07-01,86.7
1980-08-01,87.2
1980-09-01,87.8
1980-10-01,88.2
1980-11-01,88.7
1980-12-01,89.2
1981-01-01,89.5
1981-02-01,90.3
1981-03-01,90.8
1981-04-01,91.6
1981-05-01,92
1981-06-01,92.6
1981-07-01,93.3
1981-08-01,93.9
1981-09-01,94.4
1981-10-01,94.7
1981-11-01,95.4
1981-12-01,95.6
1982-01-01,96.1
1982-02-01,96.6
1982-03-01,96.9
1982-04-01,97.2
1982-05-01,97.6
1982-06-01,97.9
