"Date","CWSR0000SAR"
1993-01-01,90.3
1993-02-01,90.5
1993-03-01,90.9
1993-04-01,91.1
1993-05-01,90.7
1993-06-01,91.1
1993-07-01,91.1
1993-08-01,91.4
1993-09-01,91.8
1993-10-01,92.2
1993-11-01,92.4
1993-12-01,92.4
1994-01-01,92.7
1994-02-01,92.8
1994-03-01,93.1
1994-04-01,93
1994-05-01,93.1
1994-06-01,93
1994-07-01,93
1994-08-01,93
1994-09-01,93.1
1994-10-01,93.2
1994-11-01,93.6
1994-12-01,93.4
1995-01-01,93.9
1995-02-01,94.1
1995-03-01,94.2
1995-04-01,94.6
1995-05-01,94.8
1995-06-01,94.4
1995-07-01,94.6
1995-08-01,94.8
1995-09-01,95.2
1995-10-01,95.3
1995-11-01,95.7
1995-12-01,95.8
1996-01-01,96.2
1996-02-01,96.9
1996-03-01,97
1996-04-01,97.2
1996-05-01,97.3
1996-06-01,97.5
1996-07-01,97.6
1996-08-01,97.8
1996-09-01,98
1996-10-01,98.3
1996-11-01,98.6
1996-12-01,98.7
1997-01-01,98.9
1997-02-01,99.2
1997-03-01,99.5
1997-04-01,99.4
1997-05-01,99.5
1997-06-01,99.9
1997-07-01,99.9
1997-08-01,100.2
1997-09-01,100.2
1997-10-01,100.2
1997-11-01,100.2
1997-12-01,100.2
1998-01-01,100.4
1998-02-01,100.6
1998-03-01,100.9
1998-04-01,100.9
1998-05-01,100.8
1998-06-01,100.9
1998-07-01,100.8
1998-08-01,100.9
1998-09-01,101.1
1998-10-01,100.9
1998-11-01,101
1998-12-01,101
1999-01-01,101.3
1999-02-01,101.2
1999-03-01,101.2
1999-04-01,101.2
1999-05-01,101.4
1999-06-01,101.5
1999-07-01,101.5
1999-08-01,101.4
1999-09-01,101
1999-10-01,101.2
1999-11-01,101.2
1999-12-01,101.4
2000-01-01,101.5
2000-02-01,101.5
2000-03-01,101.9
2000-04-01,101.8
2000-05-01,102.2
2000-06-01,102.5
2000-07-01,102.6
2000-08-01,102.8
2000-09-01,102.8
2000-10-01,102.9
2000-11-01,102.9
2000-12-01,102.9
2001-01-01,103
2001-02-01,103.1
2001-03-01,102.9
2001-04-01,103.5
2001-05-01,103.5
2001-06-01,103.4
2001-07-01,103.7
2001-08-01,103.7
2001-09-01,103.9
2001-10-01,104
2001-11-01,104.2
2001-12-01,104.1
2002-01-01,104.2
2002-02-01,104.4
2002-03-01,104.5
2002-04-01,104.7
2002-05-01,104.6
2002-06-01,104.4
2002-07-01,104.5
2002-08-01,104.6
2002-09-01,104.5
2002-10-01,104.8
2002-11-01,104.7
2002-12-01,105
2003-01-01,105.2
2003-02-01,105.3
2003-03-01,105.3
2003-04-01,105.1
2003-05-01,105.3
2003-06-01,105.4
2003-07-01,105.6
2003-08-01,105.7
2003-09-01,105.6
2003-10-01,105.5
2003-11-01,105.8
2003-12-01,105.8
2004-01-01,105.7
2004-02-01,106.1
2004-03-01,106.3
2004-04-01,106.4
2004-05-01,106.3
2004-06-01,106.6
2004-07-01,106.3
2004-08-01,106.2
2004-09-01,106.3
2004-10-01,106.3
2004-11-01,106.4
2004-12-01,106.4
2005-01-01,106.7
2005-02-01,106.6
2005-03-01,106.4
2005-04-01,106.5
2005-05-01,106.8
2005-06-01,106.5
2005-07-01,106.5
2005-08-01,106.8
2005-09-01,107.1
2005-10-01,107.4
2005-11-01,107.3
2005-12-01,107.3
2006-01-01,107.4
2006-02-01,107.5
2006-03-01,107.9
2006-04-01,108.2
2006-05-01,108.4
2006-06-01,108.5
2006-07-01,108.7
2006-08-01,108.4
2006-09-01,108.3
2006-10-01,108.5
2006-11-01,108.7
2006-12-01,108.4
2007-01-01,108.505
2007-02-01,108.527
2007-03-01,108.363
2007-04-01,108.492
2007-05-01,108.769
2007-06-01,108.534
2007-07-01,108.342
2007-08-01,108.084
2007-09-01,108.461
2007-10-01,108.843
2007-11-01,108.946
2007-12-01,108.999
2008-01-01,109.296
2008-02-01,109.362
2008-03-01,109.627
2008-04-01,109.57
2008-05-01,109.735
2008-06-01,109.748
2008-07-01,110.119
2008-08-01,110.61
2008-09-01,110.887
2008-10-01,111.007
2008-11-01,110.992
2008-12-01,110.783
2009-01-01,110.918
2009-02-01,111.274
2009-03-01,111.288
2009-04-01,110.97
2009-05-01,110.975
2009-06-01,111.302
2009-07-01,111.318
2009-08-01,111.354
2009-09-01,111.156
2009-10-01,110.783
2009-11-01,110.644
2009-12-01,110.225
2010-01-01,110.264
2010-02-01,110.061
2010-03-01,109.899
2010-04-01,110.072
2010-05-01,109.953
2010-06-01,110.135
2010-07-01,109.936
2010-08-01,109.904
2010-09-01,109.609
2010-10-01,109.576
2010-11-01,109.4
2010-12-01,108.999
2011-01-01,109.336
2011-02-01,109.653
2011-03-01,109.656
2011-04-01,109.659
2011-05-01,109.962
2011-06-01,110.01
2011-07-01,109.972
2011-08-01,110.1
2011-09-01,110.02
2011-10-01,110.008
2011-11-01,110.037
2011-12-01,110.412
2012-01-01,110.895
2012-02-01,110.812
2012-03-01,111.006
2012-04-01,110.864
2012-05-01,110.899
2012-06-01,111.169
2012-07-01,111.114
2012-08-01,111.209
2012-09-01,111.379
2012-10-01,111.319
2012-11-01,111.518
2012-12-01,111.376
2013-01-01,111.474
2013-02-01,111.692
2013-03-01,111.697
2013-04-01,111.599
2013-05-01,111.704
2013-06-01,111.534
2013-07-01,111.502
2013-08-01,111.657
2013-09-01,111.716
2013-10-01,111.825
2013-11-01,112.133
2013-12-01,111.851
2014-01-01,111.864
2014-02-01,111.875
2014-03-01,111.879
2014-04-01,112.03
2014-05-01,111.969
2014-06-01,111.999
2014-07-01,111.759
2014-08-01,111.464
2014-09-01,111.643
2014-10-01,111.904
2014-11-01,111.58
2014-12-01,111.61
2015-01-01,111.538
2015-02-01,111.563
2015-03-01,111.611
2015-04-01,111.688
2015-05-01,111.85
2015-06-01,111.941
2015-07-01,111.922
2015-08-01,111.86
2015-09-01,111.952
2015-10-01,112.203
2015-11-01,112.026
2015-12-01,112.012
2016-01-01,111.994
2016-02-01,112.243
2016-03-01,112.536
2016-04-01,112.947
2016-05-01,113.034
2016-06-01,113.035
2016-07-01,112.941
2016-08-01,112.756
2016-09-01,112.628
2016-10-01,112.535
2016-11-01,112.511
2016-12-01,112.485
2017-01-01,113.037
2017-02-01,113.611
2017-03-01,113.701
2017-04-01,113.863
2017-05-01,114.031
2017-06-01,114.084
2017-07-01,114.321
2017-08-01,114.377
2017-09-01,114.501
2017-10-01,114.436
2017-11-01,114.184
2017-12-01,114.073
2018-01-01,114.235
2018-02-01,114.431
2018-03-01,114.353
2018-04-01,114.028
2018-05-01,113.935
2018-06-01,114.078
2018-07-01,114.319
2018-08-01,114.193
2018-09-01,114.42
2018-10-01,114.251
2018-11-01,114.513
2018-12-01,114.978
2019-01-01,115.271
2019-02-01,115.071
2019-03-01,115.203
2019-04-01,115.171
2019-05-01,114.823
2019-06-01,114.867
2019-07-01,114.895
2019-08-01,115.234
2019-09-01,115.308
2019-10-01,116.011
2019-11-01,116.334
2019-12-01,116.534
2020-01-01,116.745
2020-02-01,116.57
2020-03-01,116.563
2020-04-01,116.308
2020-05-01,117.229
2020-06-01,116.384
2020-07-01,116.326
2020-08-01,117.021
2020-09-01,116.973
2020-10-01,117.279
2020-11-01,117.762
2020-12-01,117.525
2021-01-01,116.741
2021-02-01,117.424
2021-03-01,117.884
2021-04-01,118.805
2021-05-01,119.186
2021-06-01,119.492
2021-07-01,120.238
2021-08-01,120.634
2021-09-01,120.61
2021-10-01,121.377
2021-11-01,121.319
2021-12-01,121.325
2022-01-01,122.388
2022-02-01,123.208
2022-03-01,123.293
2022-04-01,123.947
2022-05-01,124.661
2022-06-01,125.063
2022-07-01,125.346
2022-08-01,125.554
2022-09-01,125.758
