"Date","CWSR0000SEEE01"
2005-01-01,155
2005-02-01,150.4
2005-03-01,148.5
2005-04-01,146.9
2005-05-01,145.5
2005-06-01,143.8
2005-07-01,141.5
2005-08-01,138.3
2005-09-01,137.4
2005-10-01,135.8
2005-11-01,134.5
2005-12-01,131.7
2006-01-01,128.6
2006-02-01,128.1
2006-03-01,126.5
2006-04-01,122.3
2006-05-01,119.9
2006-06-01,119.1
2006-07-01,118.1
2006-08-01,118.9
2006-09-01,117.6
2006-10-01,116.1
2006-11-01,115.6
2006-12-01,115.7
2007-01-01,113.402
2007-02-01,112.601
2007-03-01,112.417
2007-04-01,112.093
2007-05-01,110.889
2007-06-01,108.818
2007-07-01,107.722
2007-08-01,106.864
2007-09-01,106.356
2007-10-01,104.902
2007-11-01,100.982
2007-12-01,100.776
2008-01-01,100.788
2008-02-01,100.015
2008-03-01,99.259
2008-04-01,97.544
2008-05-01,96.622
2008-06-01,96.185
2008-07-01,94.847
2008-08-01,93.266
2008-09-01,91.43
2008-10-01,90.181
2008-11-01,89.136
2008-12-01,88.783
2009-01-01,88.136
2009-02-01,86.998
2009-03-01,85.036
2009-04-01,84.205
2009-05-01,83.552
2009-06-01,83.392
2009-07-01,80.776
2009-08-01,78.812
2009-09-01,78.533
2009-10-01,78.586
2009-11-01,78.543
2009-12-01,78.404
2010-01-01,78.187
2010-02-01,77.443
2010-03-01,77.757
2010-04-01,77.37
2010-05-01,76.34
2010-06-01,75.284
2010-07-01,75.874
2010-08-01,76.245
2010-09-01,76.209
2010-10-01,75.532
2010-11-01,75.08
2010-12-01,73.729
2011-01-01,72.48
2011-02-01,71.763
2011-03-01,70.853
2011-04-01,70.371
2011-05-01,69.754
2011-06-01,67.963
2011-07-01,68.063
2011-08-01,66.879
2011-09-01,66.067
2011-10-01,65.788
2011-11-01,65.958
2011-12-01,65.075
2012-01-01,64.622
2012-02-01,64.529
2012-03-01,63.838
2012-04-01,62.878
2012-05-01,63.196
2012-06-01,63.311
2012-07-01,63.048
2012-08-01,62.345
2012-09-01,61.676
2012-10-01,60.841
2012-11-01,59.761
2012-12-01,59.271
2013-01-01,59.139
2013-02-01,58.704
2013-03-01,58.334
2013-04-01,57.429
2013-05-01,57.027
2013-06-01,56.556
2013-07-01,55.917
2013-08-01,55.689
2013-09-01,55.561
2013-10-01,54.927
2013-11-01,54.437
2013-12-01,55.124
2014-01-01,54.583
2014-02-01,54.022
2014-03-01,53.932
2014-04-01,53.675
2014-05-01,53.189
2014-06-01,52.826
2014-07-01,52.402
2014-08-01,51.748
2014-09-01,51.002
2014-10-01,50.75
2014-11-01,49.977
2014-12-01,49.256
2015-01-01,48.937
2015-02-01,48.961
2015-03-01,48.505
2015-04-01,48.459
2015-05-01,48.243
2015-06-01,47.79
2015-07-01,47.452
2015-08-01,46.97
2015-09-01,47.11
2015-10-01,46.775
2015-11-01,46.549
2015-12-01,45.93
2016-01-01,45.05
2016-02-01,44.73
2016-03-01,44.81
2016-04-01,44.914
2016-05-01,44.504
2016-06-01,44.168
2016-07-01,43.806
2016-08-01,43.471
2016-09-01,43.349
2016-10-01,43.31
2016-11-01,43.087
2016-12-01,42.947
2017-01-01,43.019
2017-02-01,42.798
2017-03-01,42.229
2017-04-01,42.444
2017-05-01,41.874
2017-06-01,42.021
2017-07-01,42.419
2017-08-01,41.921
2017-09-01,41.588
2017-10-01,41.652
2017-11-01,41.281
2017-12-01,40.741
2018-01-01,40.965
2018-02-01,40.694
2018-03-01,40.616
2018-04-01,40.83
2018-05-01,40.751
2018-06-01,40.291
2018-07-01,39.682
2018-08-01,40.005
2018-09-01,40.484
2018-10-01,39.935
2018-11-01,39.193
2018-12-01,39.502
2019-01-01,39.423
2019-02-01,39.01
2019-03-01,39.321
2019-04-01,39.011
2019-05-01,38.752
2019-06-01,38.007
2019-07-01,39.157
2019-08-01,39.416
2019-09-01,39.111
2019-10-01,38.379
2019-11-01,38.219
2019-12-01,37.347
2020-01-01,37.146
2020-02-01,37.565
2020-03-01,38.045
2020-04-01,38.398
2020-05-01,37.97
2020-06-01,38.245
2020-07-01,38.106
2020-08-01,38.26
2020-09-01,36.984
2020-10-01,36.786
2020-11-01,37.457
2020-12-01,37.856
2021-01-01,37.901
2021-02-01,37.594
2021-03-01,36.626
2021-04-01,38.24
2021-05-01,38.586
2021-06-01,38.646
2021-07-01,39.179
2021-08-01,39.402
2021-09-01,39.795
2021-10-01,39.379
2021-11-01,38.862
2021-12-01,38.357
2022-01-01,38.582
2022-02-01,38.606
2022-03-01,38.912
2022-04-01,38.094
2022-05-01,37.569
2022-06-01,38.041
2022-07-01,37.278
2022-08-01,37.083
2022-09-01,37.882
2022-10-01,37.819
2022-11-01,36.725
2022-12-01,35.899
2023-01-01,36.127
2023-02-01,36.64
2023-03-01,36.844
2023-04-01,36.324
2023-05-01,36.096
2023-06-01,36.067
2023-07-01,35.495
2023-08-01,35.288
2023-09-01,35.787
2023-10-01,35.349
2023-11-01,35.099
