"Date","CWSR0000SEMC"
1980-01-01,74.7
1980-02-01,75.6
1980-03-01,76.3
1980-04-01,77.4
1980-05-01,78.2
1980-06-01,78.7
1980-07-01,79.1
1980-08-01,79.6
1980-09-01,80.4
1980-10-01,81
1980-11-01,81.7
1980-12-01,82.2
1981-01-01,83
1981-02-01,83.7
1981-03-01,84.5
1981-04-01,85.1
1981-05-01,85.7
1981-06-01,86.2
1981-07-01,86.7
1981-08-01,87.3
1981-09-01,87.9
1981-10-01,88.5
1981-11-01,89.2
1981-12-01,90.1
1982-01-01,90.3
1982-02-01,90.7
1982-03-01,91.1
1982-04-01,91.8
1982-05-01,92.3
1982-06-01,92.9
1982-07-01,93.5
1982-08-01,94.1
1982-09-01,94.6
1982-10-01,94.9
1982-11-01,95.5
1982-12-01,96
1983-01-01,96.7
1983-02-01,97.3
1983-03-01,97.6
1983-04-01,98.1
1983-05-01,98.8
1983-06-01,99.3
1983-07-01,100.2
1983-08-01,100.8
1983-09-01,101.3
1983-10-01,102.1
1983-11-01,102.7
1983-12-01,103.3
1984-01-01,104
1984-02-01,104.9
1984-03-01,105.2
1984-04-01,105.7
1984-05-01,106.2
1984-06-01,106.8
1984-07-01,107.2
1984-08-01,107.7
1984-09-01,108.2
1984-10-01,108.8
1984-11-01,109.3
1984-12-01,109.9
1985-01-01,110.4
1985-02-01,110.9
1985-03-01,111.6
1985-04-01,112.1
1985-05-01,112.6
1985-06-01,113.2
1985-07-01,113.7
1985-08-01,114.4
1985-09-01,115
1985-10-01,115.6
1985-11-01,116.3
1985-12-01,117.1
1986-01-01,117.3
1986-02-01,117.8
1986-03-01,118.7
1986-04-01,119.3
1986-05-01,120
1986-06-01,120.5
1986-07-01,121
1986-08-01,121.7
1986-09-01,122.6
1986-10-01,123.2
1986-11-01,123.9
1986-12-01,124.5
1987-01-01,125
1987-02-01,125.6
1987-03-01,126.3
1987-04-01,127.3
1987-05-01,128
1987-06-01,128.7
1987-07-01,129.5
1987-08-01,130.2
1987-09-01,131
1987-10-01,131.6
1987-11-01,132
1987-12-01,132.6
1988-01-01,133.7
1988-02-01,134.6
1988-03-01,135.1
1988-04-01,135.8
1988-05-01,136.5
1988-06-01,137.5
1988-07-01,138.3
1988-08-01,138.8
1988-09-01,139.3
1988-10-01,140.1
1988-11-01,140.9
1988-12-01,141.6
1989-01-01,142.6
1989-02-01,143.5
1989-03-01,144.3
1989-04-01,144.9
1989-05-01,145.4
1989-06-01,146.2
1989-07-01,147.1
1989-08-01,147.7
1989-09-01,148.5
1989-10-01,149.2
1989-11-01,149.9
1989-12-01,150.8
1990-01-01,151.7
1990-02-01,152.3
1990-03-01,153.1
1990-04-01,154.1
1990-05-01,155.2
1990-06-01,155.9
1990-07-01,156.9
1990-08-01,157.9
1990-09-01,158.6
1990-10-01,159.4
1990-11-01,160.3
1990-12-01,161
1991-01-01,161.7
1991-02-01,162.4
1991-03-01,163.2
1991-04-01,163.8
1991-05-01,164.6
1991-06-01,165.5
1991-07-01,166.3
1991-08-01,167.2
1991-09-01,168.4
1991-10-01,169.1
1991-11-01,169.8
1991-12-01,170.8
1992-01-01,171.7
1992-02-01,172.7
1992-03-01,173.5
1992-04-01,174.3
1992-05-01,175.1
1992-06-01,175.8
1992-07-01,176.6
1992-08-01,177.5
1992-09-01,178.4
1992-10-01,179.1
1992-11-01,180.1
1992-12-01,180.7
1993-01-01,181.5
1993-02-01,182.1
1993-03-01,182.7
1993-04-01,183.4
1993-05-01,184.8
1993-06-01,185.2
1993-07-01,185.8
1993-08-01,186.3
1993-09-01,187
1993-10-01,187.6
1993-11-01,187.9
1993-12-01,188.7
1994-01-01,189.3
1994-02-01,189.9
1994-03-01,190.7
1994-04-01,191.9
1994-05-01,192.2
1994-06-01,192.9
1994-07-01,193.7
1994-08-01,194.3
1994-09-01,195
1994-10-01,196.2
1994-11-01,196.9
1994-12-01,197.6
1995-01-01,198.4
1995-02-01,199.3
1995-03-01,199.7
1995-04-01,200.2
1995-05-01,200.9
1995-06-01,201.6
1995-07-01,202.4
1995-08-01,203.1
1995-09-01,203.7
1995-10-01,204.2
1995-11-01,204.9
1995-12-01,205.6
1996-01-01,206.3
1996-02-01,207
1996-03-01,207.3
1996-04-01,207.8
1996-05-01,208.5
1996-06-01,208.7
1996-07-01,209.6
1996-08-01,210.3
1996-09-01,211
1996-10-01,211.7
1996-11-01,212.6
1996-12-01,213
1997-01-01,213.6
1997-02-01,214
1997-03-01,215
1997-04-01,215.6
1997-05-01,216.1
1997-06-01,216.5
1997-07-01,216.9
1997-08-01,217.6
1997-09-01,218
1997-10-01,218.5
1997-11-01,219.1
1997-12-01,219.7
1998-01-01,220.1
1998-02-01,220.6
1998-03-01,221.4
1998-04-01,222
1998-05-01,222.8
1998-06-01,223.7
1998-07-01,224.1
1998-08-01,224.7
1998-09-01,225.5
1998-10-01,226.2
1998-11-01,226.5
1998-12-01,227.1
1999-01-01,227.6
1999-02-01,227.9
1999-03-01,228.5
1999-04-01,229.2
1999-05-01,229.8
1999-06-01,230.5
1999-07-01,231.2
1999-08-01,231.6
1999-09-01,232.3
1999-10-01,232.9
1999-11-01,233.8
1999-12-01,234.3
2000-01-01,235.2
2000-02-01,236.3
2000-03-01,237.5
2000-04-01,238
2000-05-01,238.6
2000-06-01,239.4
2000-07-01,240
2000-08-01,240.8
2000-09-01,241.6
2000-10-01,242.2
2000-11-01,242.5
2000-12-01,243.3
2001-01-01,245.3
2001-02-01,245.9
2001-03-01,246.4
2001-04-01,247.1
2001-05-01,247.5
2001-06-01,248.2
2001-07-01,248.7
2001-08-01,249.9
2001-09-01,250.5
2001-10-01,251
2001-11-01,251.8
2001-12-01,252.2
2002-01-01,253
2002-02-01,253
2002-03-01,253.4
2002-04-01,253.9
2002-05-01,254.5
2002-06-01,254.9
2002-07-01,257
2002-08-01,256.9
2002-09-01,257.2
2002-10-01,258.7
2002-11-01,259.6
2002-12-01,260.3
2003-01-01,260.4
2003-02-01,260.4
2003-03-01,260.6
2003-04-01,261.2
2003-05-01,262.8
2003-06-01,263.1
2003-07-01,263.8
2003-08-01,263.9
2003-09-01,264.8
2003-10-01,265.7
2003-11-01,266.1
2003-12-01,267.5
2004-01-01,268.4
2004-02-01,270.1
2004-03-01,271.5
2004-04-01,272.4
2004-05-01,272.9
2004-06-01,273.7
2004-07-01,274.5
2004-08-01,275.8
2004-09-01,276.4
2004-10-01,276.8
2004-11-01,277.8
2004-12-01,278.2
2005-01-01,279.4
2005-02-01,280.7
2005-03-01,281.5
2005-04-01,282.8
2005-05-01,283.5
2005-06-01,284.2
2005-07-01,285
2005-08-01,285.1
2005-09-01,286.1
2005-10-01,287.1
2005-11-01,288
2005-12-01,288.5
2006-01-01,287.8
2006-02-01,288.3
2006-03-01,289.2
2006-04-01,289.8
2006-05-01,290.5
2006-06-01,291.1
2006-07-01,291.9
2006-08-01,292.6
2006-09-01,293.4
2006-10-01,294.2
2006-11-01,295.1
2006-12-01,295.9
2007-01-01,297.804
2007-02-01,300.079
2007-03-01,300.395
2007-04-01,300.777
2007-05-01,301.226
2007-06-01,302.06
2007-07-01,303.273
2007-08-01,304.668
2007-09-01,305.399
2007-10-01,306.641
2007-11-01,307.27
2007-12-01,308.536
2008-01-01,309.253
2008-02-01,309.642
2008-03-01,310.41
2008-04-01,311.217
2008-05-01,312.751
2008-06-01,313.403
2008-07-01,314.067
2008-08-01,314.915
2008-09-01,315.435
2008-10-01,315.945
2008-11-01,316.764
2008-12-01,317.505
2009-01-01,318.041
2009-02-01,318.811
2009-03-01,319.495
2009-04-01,319.967
2009-05-01,321.718
2009-06-01,322.092
2009-07-01,322.56
2009-08-01,322.962
2009-09-01,323.897
2009-10-01,324.735
2009-11-01,325.298
2009-12-01,325.813
2010-01-01,327.426
2010-02-01,328.357
2010-03-01,328.781
2010-04-01,329.942
2010-05-01,329.952
2010-06-01,331.006
2010-07-01,331.974
2010-08-01,332.644
2010-09-01,333.763
2010-10-01,333.814
2010-11-01,334.713
2010-12-01,334.989
2011-01-01,335.339
2011-02-01,337.308
2011-03-01,337.785
2011-04-01,338.223
2011-05-01,338.615
2011-06-01,338.848
2011-07-01,339.499
2011-08-01,340.039
2011-09-01,340.319
2011-10-01,341.447
2011-11-01,341.881
2011-12-01,342.469
2012-01-01,342.519
2012-02-01,342.453
2012-03-01,342.749
2012-04-01,343.227
2012-05-01,344.546
2012-06-01,345.41
2012-07-01,346.214
2012-08-01,347.217
2012-09-01,347.994
2012-10-01,348.339
2012-11-01,348.516
2012-12-01,348.931
2013-01-01,349.766
2013-02-01,350.606
2013-03-01,351.535
